source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Julius Randle,PR,2026-05-01 00:54:51,27.7,1.0,0.28771335639896,0.71228664360104,1,5,18,side=under; rating=5; diff=-3.8; line=32; L10=4o/6u/10g; streak=1o; opp_rank=18
bettingpros,NBA,Nikola Jokic,PRA,2026-05-01 00:54:51,57.5,0.2,None,None,None,None,13,side=over; rating=0; diff=3; line=54.5; L10=3o/7u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Mike Conley,PR,2026-05-01 00:54:51,6.9,0.2,None,None,None,None,18,side=under; rating=0; diff=-2.6; line=9.5; L10=4o/6u/10g; streak=5u; opp_rank=18
bettingpros,NBA,Nikola Jokic,PA,2026-05-01 00:54:51,43,0.2,None,None,None,None,12,side=over; rating=0; diff=2.5; line=40.5; L10=3o/7u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Cameron Johnson,PTS,2026-05-01 00:54:51,13.9,0.2,None,None,None,None,13,side=over; rating=0; diff=2.4; line=11.5; L10=7o/3u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Cameron Johnson,PA,2026-05-01 00:54:51,16.6,0.2,None,None,None,None,12,side=over; rating=0; diff=2.1; line=13.5; L10=6o/4u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Spencer Jones,PRA,2026-05-01 00:54:51,9.4,0.2,None,None,None,None,13,side=under; rating=0; diff=-2.1; line=11.5; L10=1o/9u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Christian Braun,PA,2026-05-01 00:54:51,15.3,0.2,None,None,None,None,12,side=over; rating=0; diff=1.8; line=13.5; L10=4o/6u/10g; streak=3u; opp_rank=12
bettingpros,NBA,Jaden McDaniels,PR,2026-05-01 00:54:51,20.8,0.2,None,None,None,None,18,side=under; rating=0; diff=-1.7; line=23.5; L10=4o/6u/10g; streak=2u; opp_rank=18
bettingpros,NBA,Nikola Jokic,RA,2026-05-01 00:54:51,26.2,0.2,None,None,None,None,13,side=over; rating=0; diff=1.7; line=24.5; L10=4o/6u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Christian Braun,PRA,2026-05-01 00:54:51,20.2,0.2,None,None,None,None,13,side=over; rating=0; diff=1.7; line=18.5; L10=4o/6u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Rudy Gobert,PTS,2026-05-01 00:54:51,10.9,0.2,None,None,None,None,20,side=over; rating=0; diff=1.4; line=9.5; L10=4o/6u/10g; streak=2u; opp_rank=20
bettingpros,NBA,Spencer Jones,PA,2026-05-01 00:54:51,6.2,0.2,None,None,None,None,12,side=under; rating=0; diff=-1.3; line=7.5; L10=1o/9u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Nikola Jokic,PR,2026-05-01 00:54:51,45.8,0.2,None,None,None,None,13,side=over; rating=0; diff=1.3; line=44.5; L10=2o/8u/10g; streak=7u; opp_rank=13
bettingpros,NBA,Nikola Jokic,AST,2026-05-01 00:54:51,11.7,0.2,None,None,None,None,10,side=over; rating=0; diff=1.2; line=10.5; L10=5o/5u/10g; streak=1o; opp_rank=10
bettingpros,NBA,Christian Braun,PTS,2026-05-01 00:54:51,12.7,0.2,None,None,None,None,13,side=over; rating=0; diff=1.2; line=11.5; L10=6o/4u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Rudy Gobert,PA,2026-05-01 00:54:51,12.6,0.2,None,None,None,None,20,side=over; rating=0; diff=1.1; line=11.5; L10=4o/6u/10g; streak=2u; opp_rank=20
bettingpros,NBA,Jamal Murray,PR,2026-05-01 00:54:51,30.4,0.2,None,None,None,None,13,side=under; rating=0; diff=-1.1; line=32.5; L10=5o/5u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Christian Braun,PR,2026-05-01 00:54:51,17.6,0.2,None,None,None,None,13,side=over; rating=0; diff=1.1; line=15.5; L10=5o/5u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Nikola Jokic,REB,2026-05-01 00:54:51,14.5,0.2,None,None,None,None,14,side=over; rating=0; diff=1; line=13.5; L10=6o/4u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Jamal Murray,PRA,2026-05-01 00:54:51,37.5,0.2,None,None,None,None,13,side=under; rating=0; diff=-1; line=39.5; L10=4o/6u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Bruce Brown Jr.,PRA,2026-05-01 00:54:51,11.5,0.2,None,None,None,None,13,side=under; rating=0; diff=-1; line=12.5; L10=6o/4u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Naz Reid,PRA,2026-05-01 00:54:51,23.5,0.2,None,None,None,None,18,side=over; rating=0; diff=1; line=22.5; L10=2o/8u/10g; streak=1u; opp_rank=18
bettingpros,NBA,Naz Reid,AST,2026-05-01 00:54:51,2.4,0.2,None,None,None,None,20,side=over; rating=0; diff=0.9; line=1.5; L10=5o/5u/10g; streak=1u; opp_rank=20
bettingpros,NBA,Julius Randle,REB,2026-05-01 00:54:51,6.6,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.9; line=7.5; L10=4o/6u/10g; streak=2o; opp_rank=11
bettingpros,NBA,Jaden McDaniels,REB,2026-05-01 00:54:51,4.6,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.9; line=5.5; L10=6o/4u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Spencer Jones,PR,2026-05-01 00:54:51,8.6,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.9; line=10; L10=2o/8u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Jaden McDaniels,RA,2026-05-01 00:54:51,7.6,0.2,None,None,None,None,16,side=under; rating=0; diff=-0.9; line=8.5; L10=6o/4u/10g; streak=1u; opp_rank=16
bettingpros,NBA,Bones Hyland,AST,2026-05-01 00:54:51,3.7,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.8; line=4.5; L10=3o/7u/10g; streak=1u; opp_rank=20
bettingpros,NBA,Nikola Jokic,PTS,2026-05-01 00:54:51,31.3,0.2,None,None,None,None,13,side=over; rating=0; diff=0.8; line=30.5; L10=2o/8u/10g; streak=7u; opp_rank=13
bettingpros,NBA,Naz Reid,FG3M,2026-05-01 00:54:51,2.3,0.2,None,None,None,None,17,side=over; rating=0; diff=0.8; line=1.5; L10=3o/7u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Terrence Shannon Jr.,FG3M,2026-05-01 00:54:51,0.7,0.2,None,None,None,None,17,side=under; rating=0; diff=-0.8; line=1.5; L10=3o/7u/10g; streak=1o; opp_rank=17
bettingpros,NBA,Julius Randle,RA,2026-05-01 00:54:51,11.7,0.2,None,None,None,None,16,side=under; rating=0; diff=-0.8; line=12.5; L10=2o/8u/10g; streak=1o; opp_rank=16
bettingpros,NBA,Mike Conley,REB,2026-05-01 00:54:51,1.8,0.2,None,None,None,None,11,side=under; rating=0; diff=-0.7; line=2.5; L10=0o/10u/10g; streak=11u; opp_rank=11
bettingpros,NBA,Bones Hyland,STL,2026-05-01 00:54:51,0.8,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.7; line=1.5; L10=2o/8u/10g; streak=7u; opp_rank=6
bettingpros,NBA,Bruce Brown Jr.,PR,2026-05-01 00:54:51,9.8,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.7; line=10.5; L10=6o/4u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Jamal Murray,AST,2026-05-01 00:54:51,7.1,0.2,None,None,None,None,10,side=over; rating=0; diff=0.6; line=6.5; L10=6o/4u/10g; streak=1o; opp_rank=10
bettingpros,NBA,Jamal Murray,PTS,2026-05-01 00:54:51,25.9,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.6; line=27.5; L10=4o/6u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Tim Hardaway Jr.,REB,2026-05-01 00:54:51,1.9,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.6; line=2.5; L10=6o/4u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Jamal Murray,STL,2026-05-01 00:54:51,0.9,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.6; line=1.5; L10=2o/8u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Jaden McDaniels,STL,2026-05-01 00:54:51,1.1,0.2,None,None,None,None,6,side=over; rating=0; diff=0.6; line=0.5; L10=4o/6u/10g; streak=2u; opp_rank=6
bettingpros,NBA,Cameron Johnson,FG3M,2026-05-01 00:54:51,2.1,0.2,None,None,None,None,2,side=over; rating=0; diff=0.6; line=1.5; L10=6o/4u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Rudy Gobert,PR,2026-05-01 00:54:51,22.1,0.2,None,None,None,None,18,side=over; rating=0; diff=0.6; line=21.5; L10=4o/6u/10g; streak=2u; opp_rank=18
bettingpros,NBA,Naz Reid,PR,2026-05-01 00:54:51,21.1,0.2,None,None,None,None,18,side=over; rating=0; diff=0.6; line=20.5; L10=2o/8u/10g; streak=1u; opp_rank=18
bettingpros,NBA,Tim Hardaway Jr.,RA,2026-05-01 00:54:51,2.9,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.6; line=3.5; L10=6o/4u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Tim Hardaway Jr.,PRA,2026-05-01 00:54:51,12.9,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.6; line=13.5; L10=6o/4u/10g; streak=1u; opp_rank=13
bettingpros,NBA,Tim Hardaway Jr.,AST,2026-05-01 00:54:51,1,0.2,None,None,None,None,10,side=over; rating=0; diff=0.5; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Jaden McDaniels,AST,2026-05-01 00:54:51,3,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.5; line=3.5; L10=0o/10u/10g; streak=11u; opp_rank=20
bettingpros,NBA,Naz Reid,BLK,2026-05-01 00:54:51,1,0.2,None,None,None,None,11,side=over; rating=0; diff=0.5; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=11
