projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10740177|Jalen Brunson|PA|DEMON|44.5|OVER,10740177,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PA,PTS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-20 03:53:30.367000+00:00
10732314|Jalen Brunson|PRA|DEMON|41.5|OVER,10732314,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PRA,PTS+REBS+ASTS,1,41.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-19 23:59:37.831000+00:00
10732356|Karl-Anthony Towns|PRA|DEMON|40.5|OVER,10732356,137496,2026-03-20,0,BKN,karl anthony towns,Karl-Anthony Towns,NYK,PRA,PTS+REBS+ASTS,1,40.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-20 01:47:11.527000+00:00
10732316|Jalen Brunson|PRA|DEMON|39.5|OVER,10732316,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-19 23:09:17.352000+00:00
10740176|Jalen Brunson|PA|DEMON|39.5|OVER,10740176,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PA,PTS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-20 05:25:01.096000+00:00
10740180|Jalen Brunson|PR|DEMON|39.5|OVER,10740180,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-20 03:33:23.094000+00:00
10740187|Karl-Anthony Towns|PR|DEMON|39.5|OVER,10740187,137496,2026-03-20,0,BKN,karl anthony towns,Karl-Anthony Towns,NYK,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-20 04:37:27.681000+00:00
10732355|Karl-Anthony Towns|PRA|DEMON|38.5|OVER,10732355,137496,2026-03-20,0,BKN,karl anthony towns,Karl-Anthony Towns,NYK,PRA,PTS+REBS+ASTS,1,38.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-19 23:31:48.821000+00:00
10732357|Karl-Anthony Towns|PRA|DEMON|36.5|OVER,10732357,137496,2026-03-20,0,BKN,karl anthony towns,Karl-Anthony Towns,NYK,PRA,PTS+REBS+ASTS,1,36.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-19 23:49:11.780000+00:00
10732318|Jalen Brunson|PRA|STANDARD|36|OVER,10732318,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PRA,PTS+REBS+ASTS,1,36.0,OVER,STANDARD,1,0,,,0,standard,2026-03-20T19:30:00.000-04:00,2026-03-20 08:59:58.220000+00:00
10732318|Jalen Brunson|PRA|STANDARD|36|UNDER,10732318,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PRA,PTS+REBS+ASTS,1,36.0,UNDER,STANDARD,0,1,,,0,standard,2026-03-20T19:30:00.000-04:00,2026-03-20 08:59:58.220000+00:00
10732359|Karl-Anthony Towns|PRA|STANDARD|34.5|OVER,10732359,137496,2026-03-20,0,BKN,karl anthony towns,Karl-Anthony Towns,NYK,PRA,PTS+REBS+ASTS,1,34.5,OVER,STANDARD,1,0,,,0,standard,2026-03-20T19:30:00.000-04:00,2026-03-20 09:45:00.172000+00:00
10732359|Karl-Anthony Towns|PRA|STANDARD|34.5|UNDER,10732359,137496,2026-03-20,0,BKN,karl anthony towns,Karl-Anthony Towns,NYK,PRA,PTS+REBS+ASTS,1,34.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-20T19:30:00.000-04:00,2026-03-20 09:45:00.172000+00:00
10740179|Jalen Brunson|PR|DEMON|34.5|OVER,10740179,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PR,PTS+REBS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-20 06:40:50.355000+00:00
10740181|Jalen Brunson|PRA|GOBLIN|34.5|OVER,10740181,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PRA,PTS+REBS+ASTS,1,34.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-20T19:30:00.000-04:00,2026-03-20 03:47:01.160000+00:00
10740186|Karl-Anthony Towns|PR|DEMON|34.5|OVER,10740186,137496,2026-03-20,0,BKN,karl anthony towns,Karl-Anthony Towns,NYK,PR,PTS+REBS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-20T19:30:00.000-04:00,2026-03-20 04:14:05.273000+00:00
10732312|Jalen Brunson|PA|STANDARD|33.5|OVER,10732312,137496,2026-03-20,0,BKN,jalen brunson,Jalen Brunson,NYK,PA,PTS+ASTS,1,33.5,OVER,STANDARD,1,0,,,0,standard,2026-03-20T19:30:00.000-04:00,2026-03-20 04:37:02.275000+00:00
