date,n_legs_published,n_legs_matched,n_hits,hit_rate,hit_rate_GOBLIN,hit_rate_STANDARD,hit_rate_DEMON
20260412,15,15,9,0.6,0.8571,0.2857,1.0
20260410,23,19,7,0.3684,0.6667,0.2,0.3333
20260409,22,20,10,0.5,0.625,0.5,0.0
20260408,22,22,12,0.5455,0.5556,0.5,0.6667
20260407,22,18,9,0.5,0.625,0.5,0.0
20260406,23,23,12,0.5217,0.7,0.4,0.3333
20260405,24,24,11,0.4583,0.8,0.2727,0.0
20260404,21,21,14,0.6667,0.875,0.6,0.3333
20260403,22,22,12,0.5455,0.5,0.5455,0.6667
20260402,18,18,10,0.5556,0.5714,0.5,0.6667
