n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Desmond Bane UNDER PRA 27.5 (STANDARD) [id:11784171] | Anthony Black UNDER PR 16.5 (STANDARD) [id:11785026],0.27830468281128,20.0,1.0,20.0,5.5660936562256005,20.0,atlas,0.7869159455268897,0.09729635936511596,James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Desmond Bane UNDER PRA 27.5 (STANDARD) [id:11784171] | Anthony Black UNDER PR 16.5 (STANDARD) [id:11785026],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.57830468281128,"['james harden', 'donovan mitchell', 'sandro mamukelashvili', 'desmond bane', 'anthony black']",1,James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711],Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156],Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630],Desmond Bane UNDER PRA 27.5 (STANDARD) [id:11784171],Anthony Black UNDER PR 16.5 (STANDARD) [id:11785026],0,
5,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396] | Javonte Green OVER REB 1.5 (GOBLIN) [id:11817131] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271] | Austin Reaves UNDER PR 27.5 (STANDARD) [id:11784799],0.24602608248168678,20.0,1.0,20.0,4.920521649633736,20.0,atlas,0.765236759693072,0.10904580729633029,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396] | Javonte Green OVER REB 1.5 (GOBLIN) [id:11817131] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Jamal Cain UNDER REB 4 (STANDARD) [id:11812271] | Austin Reaves UNDER PR 27.5 (STANDARD) [id:11784799],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3960260824816868,"['rui hachimura', 'javonte green', 'donovan mitchell', 'jamal cain', 'austin reaves']",1,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396],Javonte Green OVER REB 1.5 (GOBLIN) [id:11817131],Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156],Jamal Cain UNDER REB 4 (STANDARD) [id:11812271],Austin Reaves UNDER PR 27.5 (STANDARD) [id:11784799],0,
5,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11785069] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Reed Sheppard UNDER PR 18.5 (STANDARD) [id:11784576] | Jabari Smith OVER FG3M 2.5 (STANDARD) [id:11784803],0.24545166418937925,20.0,1.0,20.0,4.9090332837875845,20.0,atlas,0.7659433529484488,0.05227276964084195,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11785069] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | Reed Sheppard UNDER PR 18.5 (STANDARD) [id:11784576] | Jabari Smith OVER FG3M 2.5 (STANDARD) [id:11784803],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.39545166418937927,"['desmond bane', 'donovan mitchell', 'isaiah stewart', 'reed sheppard', 'jabari smith']",1,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11785069],Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156],Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661],Reed Sheppard UNDER PR 18.5 (STANDARD) [id:11784576],Jabari Smith OVER FG3M 2.5 (STANDARD) [id:11784803],0,
5,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11785179] | James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711] | Donovan Mitchell OVER REB 3.5 (GOBLIN) [id:11784672] | Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718] | Austin Reaves UNDER PR 27.5 (STANDARD) [id:11784799],0.24316989143890602,20.0,1.0,20.0,4.863397828778121,20.0,atlas,0.7642156900157043,0.10023053859410305,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11785179] | James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711] | Donovan Mitchell OVER REB 3.5 (GOBLIN) [id:11784672] | Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718] | Austin Reaves UNDER PR 27.5 (STANDARD) [id:11784799],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.393169891438906,"['jakob poeltl', 'james harden', 'donovan mitchell', 'jamal cain', 'austin reaves']",1,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11785179],James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711],Donovan Mitchell OVER REB 3.5 (GOBLIN) [id:11784672],Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718],Austin Reaves UNDER PR 27.5 (STANDARD) [id:11784799],0,
5,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Isaiah Stewart OVER PTS 2.5 (GOBLIN) [id:11807380] | Paolo Banchero OVER REB 5.5 (GOBLIN) [id:11785117] | Max Strus OVER REB 4 (STANDARD) [id:11784749] | Anthony Black UNDER PRA 19.5 (STANDARD) [id:11788501],0.2415993286582989,20.0,1.0,20.0,4.8319865731659775,20.0,atlas,0.7603716009530308,0.06702785801542471,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Isaiah Stewart OVER PTS 2.5 (GOBLIN) [id:11807380] | Paolo Banchero OVER REB 5.5 (GOBLIN) [id:11785117] | Max Strus OVER REB 4 (STANDARD) [id:11784749] | Anthony Black UNDER PRA 19.5 (STANDARD) [id:11788501],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.5415993286582989,"['donovan mitchell', 'isaiah stewart', 'paolo banchero', 'max strus', 'anthony black']",1,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156],Isaiah Stewart OVER PTS 2.5 (GOBLIN) [id:11807380],Paolo Banchero OVER REB 5.5 (GOBLIN) [id:11785117],Max Strus OVER REB 4 (STANDARD) [id:11784749],Anthony Black UNDER PRA 19.5 (STANDARD) [id:11788501],0,
5,Max Strus OVER REB 2.5 (GOBLIN) [id:11784751] | Tari Eason OVER FG3M 0.5 (GOBLIN) [id:11803197] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Jamal Cain UNDER PRA 12.5 (STANDARD) [id:11798075] | Jabari Smith OVER FG3M 2.5 (STANDARD) [id:11784803],0.23715970935852113,20.0,1.0,20.0,4.743194187170422,20.0,atlas,0.7573600498019433,0.05437375777907984,Max Strus OVER REB 2.5 (GOBLIN) [id:11784751] | Tari Eason OVER FG3M 0.5 (GOBLIN) [id:11803197] | Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630] | Jamal Cain UNDER PRA 12.5 (STANDARD) [id:11798075] | Jabari Smith OVER FG3M 2.5 (STANDARD) [id:11784803],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3871597093585211,"['max strus', 'tari eason', 'sandro mamukelashvili', 'jamal cain', 'jabari smith']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11784751],Tari Eason OVER FG3M 0.5 (GOBLIN) [id:11803197],Sandro Mamukelashvili OVER PR 4.5 (GOBLIN) [id:11808630],Jamal Cain UNDER PRA 12.5 (STANDARD) [id:11798075],Jabari Smith OVER FG3M 2.5 (STANDARD) [id:11784803],0,
5,Jabari Smith OVER FG3M 1.5 (GOBLIN) [id:11784496] | Sandro Mamukelashvili OVER PR 5.5 (GOBLIN) [id:11808628] | Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234] | Desmond Bane UNDER PA 22.5 (STANDARD) [id:11802655] | Austin Reaves UNDER PTS 23.5 (STANDARD) [id:11785273],0.23529911381085764,20.0,1.0,20.0,4.705982276217153,20.0,atlas,0.7580567998774619,0.09848699151051239,Jabari Smith OVER FG3M 1.5 (GOBLIN) [id:11784496] | Sandro Mamukelashvili OVER PR 5.5 (GOBLIN) [id:11808628] | Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234] | Desmond Bane UNDER PA 22.5 (STANDARD) [id:11802655] | Austin Reaves UNDER PTS 23.5 (STANDARD) [id:11785273],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.38529911381085763,"['jabari smith', 'sandro mamukelashvili', 'sam merrill', 'desmond bane', 'austin reaves']",1,Jabari Smith OVER FG3M 1.5 (GOBLIN) [id:11784496],Sandro Mamukelashvili OVER PR 5.5 (GOBLIN) [id:11808628],Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234],Desmond Bane UNDER PA 22.5 (STANDARD) [id:11802655],Austin Reaves UNDER PTS 23.5 (STANDARD) [id:11785273],0,
5,Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711] | Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396] | Anthony Black UNDER RA 6.5 (STANDARD) [id:11785034] | Austin Reaves UNDER RA 10 (STANDARD) [id:11785470],0.2344767759958911,20.0,1.0,20.0,4.689535519917822,20.0,atlas,0.7594445756510391,0.0862245920296354,Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661] | James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711] | Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396] | Anthony Black UNDER RA 6.5 (STANDARD) [id:11785034] | Austin Reaves UNDER RA 10 (STANDARD) [id:11785470],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3844767759958911,"['isaiah stewart', 'james harden', 'rui hachimura', 'anthony black', 'austin reaves']",1,Isaiah Stewart OVER PR 5.5 (GOBLIN) [id:11807661],James Harden OVER FG3M 1.5 (GOBLIN) [id:11784711],Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396],Anthony Black UNDER RA 6.5 (STANDARD) [id:11785034],Austin Reaves UNDER RA 10 (STANDARD) [id:11785470],0,
5,Sandro Mamukelashvili OVER PR 5.5 (GOBLIN) [id:11808628] | Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396] | Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234] | Dean Wade OVER REB 3.5 (STANDARD) [id:11790721] | Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718],0.23348916544356058,20.0,1.0,20.0,4.669783308871212,20.0,atlas,0.7597777534792387,0.043919659240023876,Sandro Mamukelashvili OVER PR 5.5 (GOBLIN) [id:11808628] | Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396] | Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234] | Dean Wade OVER REB 3.5 (STANDARD) [id:11790721] | Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3834891654435606,"['sandro mamukelashvili', 'rui hachimura', 'sam merrill', 'dean wade', 'jamal cain']",1,Sandro Mamukelashvili OVER PR 5.5 (GOBLIN) [id:11808628],Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:11785396],Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234],Dean Wade OVER REB 3.5 (STANDARD) [id:11790721],Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718],0,
5,Jakob Poeltl OVER REB 3.5 (GOBLIN) [id:11784705] | Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234] | Max Strus OVER REB 2.5 (GOBLIN) [id:11784751] | Jamison Battle UNDER REB 2.5 (STANDARD) [id:11817153] | Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718],0.23072644250448066,20.0,1.0,20.0,4.614528850089613,20.0,atlas,0.7546255059889578,0.10004375351811137,Jakob Poeltl OVER REB 3.5 (GOBLIN) [id:11784705] | Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234] | Max Strus OVER REB 2.5 (GOBLIN) [id:11784751] | Jamison Battle UNDER REB 2.5 (STANDARD) [id:11817153] | Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3807264425044806,"['jakob poeltl', 'sam merrill', 'max strus', 'jamison battle', 'jamal cain']",1,Jakob Poeltl OVER REB 3.5 (GOBLIN) [id:11784705],Sam Merrill OVER FG3M 0.5 (GOBLIN) [id:11794234],Max Strus OVER REB 2.5 (GOBLIN) [id:11784751],Jamison Battle UNDER REB 2.5 (STANDARD) [id:11817153],Jamal Cain UNDER PTS 8 (STANDARD) [id:11798718],0,
