n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Desmond Bane OVER FG3M 1.5 (GOBLIN) [id:11823431] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.3738085317187328,6.0,1.0,6.0,2.242851190312397,6.0,atlas,0.65,0.022812238456578513,Desmond Bane OVER FG3M 1.5 (GOBLIN) [id:11823431] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.5113085317187328,"['desmond bane', 'donovan mitchell', 'sandro mamukelashvili']",1,Desmond Bane OVER FG3M 1.5 (GOBLIN) [id:11823431],Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
3,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:11823947] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.37238168770164254,6.0,1.0,6.0,2.234290126209855,6.0,atlas,0.65,0.026143835623192762,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:11823947] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.5098816877016425,"['paolo banchero', 'donovan mitchell', 'sandro mamukelashvili']",1,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:11823947],Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
3,Paolo Banchero OVER RA 10.5 (GOBLIN) [id:11843076] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.3624921826176721,6.0,1.0,6.0,2.1749530957060323,6.0,atlas,0.65,0.029516839464592118,Paolo Banchero OVER RA 10.5 (GOBLIN) [id:11843076] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.4999921826176721,"['paolo banchero', 'donovan mitchell', 'sandro mamukelashvili']",1,Paolo Banchero OVER RA 10.5 (GOBLIN) [id:11843076],Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
3,Wendell Carter OVER PTS 5.5 (GOBLIN) [id:11828389] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.3605241219044441,6.0,1.0,6.0,2.1631447314266645,6.0,atlas,0.65,0.02546953466821127,Wendell Carter OVER PTS 5.5 (GOBLIN) [id:11828389] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.4980241219044441,"['wendell carter', 'donovan mitchell', 'sandro mamukelashvili']",1,Wendell Carter OVER PTS 5.5 (GOBLIN) [id:11828389],Donovan Mitchell OVER REB 4 (STANDARD) [id:11842598],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
3,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.3558822230796713,6.0,1.0,6.0,2.1352933384780277,6.0,atlas,0.6420268166070296,0.09765757496275629,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412] | Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.4933822230796713,"['desmond bane', 'cade cunningham', 'sandro mamukelashvili']",1,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836],Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412],Sandro Mamukelashvili OVER REB 3.5 (DEMON) [id:11826463],0,
3,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412] | Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0.30556133637489813,6.0,1.0,6.0,1.8333680182493888,6.0,atlas,0.6242490664002897,0.11316267357282773,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412] | Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.4430613363748981,"['desmond bane', 'cade cunningham', 'donovan mitchell']",1,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836],Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412],Donovan Mitchell OVER REB 4.5 (DEMON) [id:11824330],0,
3,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412] | Daniss Jenkins OVER PA 9.5 (DEMON) [id:11843810],0.28910286898210147,6.0,1.0,6.0,1.7346172138926088,6.0,atlas,0.5999911003992703,0.09028242579084912,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412] | Daniss Jenkins OVER PA 9.5 (DEMON) [id:11843810],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0,0.0,0.26410286898210145,"['max strus', 'cade cunningham', 'daniss jenkins']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985],Cade Cunningham UNDER PA 38.5 (STANDARD) [id:11823412],Daniss Jenkins OVER PA 9.5 (DEMON) [id:11843810],0,
3,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Jakob Poeltl OVER AST 1.5 (STANDARD) [id:11824406] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11850966],0.2859400382619278,6.0,1.0,6.0,1.715640229571567,6.0,atlas,0.5964181299767096,0.006957768702909008,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985] | Jakob Poeltl OVER AST 1.5 (STANDARD) [id:11824406] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11850966],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0,0.0,0.2609400382619278,"['max strus', 'jakob poeltl', 'jaylon tyson']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11841985],Jakob Poeltl OVER AST 1.5 (STANDARD) [id:11824406],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11850966],0,
3,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Dean Wade OVER PTS 4.5 (STANDARD) [id:11825816] | Sam Merrill OVER REB 1.5 (DEMON) [id:11831008],0.2800534088733674,6.0,1.0,6.0,1.6803204532402043,6.0,atlas,0.6072215598326,0.015164842503005647,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836] | Dean Wade OVER PTS 4.5 (STANDARD) [id:11825816] | Sam Merrill OVER REB 1.5 (DEMON) [id:11831008],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,1,0.3333333333333333,0.4050534088733674,"['desmond bane', 'dean wade', 'sam merrill']",1,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11824836],Dean Wade OVER PTS 4.5 (STANDARD) [id:11825816],Sam Merrill OVER REB 1.5 (DEMON) [id:11831008],0,
3,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Tobias Harris UNDER PRA 26.5 (STANDARD) [id:11823648] | Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0.26904506393498845,6.0,1.0,6.0,1.6142703836099308,6.0,atlas,0.5871695992864516,0.041000770397672186,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865] | Tobias Harris UNDER PRA 26.5 (STANDARD) [id:11823648] | Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.25654506393498844,"['jakob poeltl', 'tobias harris', 'sam merrill']",1,Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11829865],Tobias Harris UNDER PRA 26.5 (STANDARD) [id:11823648],Sam Merrill OVER PRA 9.5 (DEMON) [id:11835379],0,
