n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],0.42341908987870897,6.0,1.0,6.0,2.540514539272254,6.0,atlas,0.65,0.024124981477950034,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.41091908987870895,"[""de'aaron fox"", 'luke kornet', 'vj edgecombe']",1,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335],Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],0,
3,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.4122785003912523,6.0,1.0,6.0,2.4736710023475137,6.0,atlas,0.65,0.02809626321507323,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0,0.0,0.3872785003912523,"[""de'aaron fox"", 'vj edgecombe', 'quentin grimes']",1,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335],VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0,
3,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | Luke Kornet OVER PR 8 (STANDARD) [id:11813160] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],0.41064687683521006,6.0,1.0,6.0,2.4638812610112604,6.0,atlas,0.65,0.024263515399600855,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | Luke Kornet OVER PR 8 (STANDARD) [id:11813160] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.39814687683521005,"[""de'aaron fox"", 'luke kornet', 'vj edgecombe']",1,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335],Luke Kornet OVER PR 8 (STANDARD) [id:11813160],VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],0,
3,Andre Drummond OVER REB 1.5 (GOBLIN) [id:11863903] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.399207557648189,6.0,1.0,6.0,2.395245345889134,6.0,atlas,0.65,0.010756046143620343,Andre Drummond OVER REB 1.5 (GOBLIN) [id:11863903] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0,0.0,0.37420755764818897,"['andre drummond', 'luke kornet', 'quentin grimes']",1,Andre Drummond OVER REB 1.5 (GOBLIN) [id:11863903],Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0,
3,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | OG Anunoby OVER REB 6 (STANDARD) [id:11849992] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],0.3989825180870242,6.0,1.0,6.0,2.393895108522145,6.0,atlas,0.65,0.022852854612309334,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | OG Anunoby OVER REB 6 (STANDARD) [id:11849992] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.38648251808702416,"[""de'aaron fox"", 'og anunoby', 'luke kornet']",1,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335],OG Anunoby OVER REB 6 (STANDARD) [id:11849992],Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],0,
3,Andre Drummond OVER REB 1.5 (GOBLIN) [id:11863903] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],0.39828881038822816,6.0,1.0,6.0,2.389732862329369,6.0,atlas,0.65,0.02106864858586926,Andre Drummond OVER REB 1.5 (GOBLIN) [id:11863903] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995] | Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0,0.0,0.37328881038822814,"['andre drummond', 'vj edgecombe', 'luke kornet']",1,Andre Drummond OVER REB 1.5 (GOBLIN) [id:11863903],VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],Luke Kornet OVER PRA 9 (STANDARD) [id:11816281],0,
3,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.39422855187505024,6.0,1.0,6.0,2.3653713112503016,6.0,atlas,0.65,0.029991432526773585,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820] | VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0,0.0,0.3692285518750502,"['dylan harper', 'vj edgecombe', 'quentin grimes']",1,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820],VJ Edgecombe OVER REB 5 (STANDARD) [id:11849995],Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0,
3,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698] | OG Anunoby OVER REB 6 (STANDARD) [id:11849992],0.3884848798063492,6.0,1.0,6.0,2.3309092788380954,6.0,atlas,0.65,0.026824136349432526,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698] | OG Anunoby OVER REB 6 (STANDARD) [id:11849992],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.3759848798063492,"[""de'aaron fox"", 'quentin grimes', 'og anunoby']",1,De'Aaron Fox OVER FG3M 0.5 (GOBLIN) [id:11869335],Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],OG Anunoby OVER REB 6 (STANDARD) [id:11849992],0,
3,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820] | OG Anunoby OVER REB 6 (STANDARD) [id:11849992] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.37147663884017457,6.0,1.0,6.0,2.2288598330410476,6.0,atlas,0.65,0.028719305661132885,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820] | OG Anunoby OVER REB 6 (STANDARD) [id:11849992] | Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0,0.0,0.35897663884017456,"['dylan harper', 'og anunoby', 'quentin grimes']",1,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820],OG Anunoby OVER REB 6 (STANDARD) [id:11849992],Quentin Grimes OVER REB 2.5 (STANDARD) [id:11847698],0,
3,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820] | Keldon Johnson OVER RA 4.5 (STANDARD) [id:11833913] | Jordan Clarkson OVER PTS 5.5 (STANDARD) [id:11854671],0.34553583209636624,6.0,1.0,6.0,2.0732149925781975,6.0,atlas,0.65,0.01328904295239227,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820] | Keldon Johnson OVER RA 4.5 (STANDARD) [id:11833913] | Jordan Clarkson OVER PTS 5.5 (STANDARD) [id:11854671],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0,0.0,0.3205358320963662,"['dylan harper', 'keldon johnson', 'jordan clarkson']",1,Dylan Harper OVER PTS 5.5 (GOBLIN) [id:11825820],Keldon Johnson OVER RA 4.5 (STANDARD) [id:11833913],Jordan Clarkson OVER PTS 5.5 (STANDARD) [id:11854671],0,
