n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Isaiah Joe OVER PTS 5.5 (GOBLIN) [id:11870805] | Jarrett Allen OVER PTS 8.5 (GOBLIN) [id:11863449] | Alex Caruso UNDER PA 9.5 (STANDARD) [id:11870375] | LeBron James OVER PA 28.5 (STANDARD) [id:11832695] | Duncan Robinson OVER PR 19.5 (DEMON) [id:11862030],0.14702257709890443,20.0,0.34349566682476407,6.869913336495282,1.0100323631776693,20.0,pp_kernel,0.7003434201833107,0.04881482477565189,Isaiah Joe OVER PTS 5.5 (GOBLIN) [id:11870805] | Jarrett Allen OVER PTS 8.5 (GOBLIN) [id:11863449] | Alex Caruso UNDER PA 9.5 (STANDARD) [id:11870375] | LeBron James OVER PA 28.5 (STANDARD) [id:11832695] | Duncan Robinson OVER PR 19.5 (DEMON) [id:11862030],0.00625,0.05,0.0039051859820521512,0.0,0.0,0.060155185982052155,0.0,2,0.4,1.2498771771956172,"['isaiah joe', 'jarrett allen', 'alex caruso', 'lebron james', 'duncan robinson']",1.0100323631776693,1,Isaiah Joe OVER PTS 5.5 (GOBLIN) [id:11870805],Jarrett Allen OVER PTS 8.5 (GOBLIN) [id:11863449],Alex Caruso UNDER PA 9.5 (STANDARD) [id:11870375],LeBron James OVER PA 28.5 (STANDARD) [id:11832695],Duncan Robinson OVER PR 19.5 (DEMON) [id:11862030],0,
5,Isaiah Joe OVER PRA 8.5 (GOBLIN) [id:11883676] | Jaxson Hayes OVER PR 5.5 (GOBLIN) [id:11874416] | Shai Gilgeous-Alexander OVER FG3M 1.5 (STANDARD) [id:11832912] | Deandre Ayton UNDER REB 8 (STANDARD) [id:11832449] | Sam Merrill OVER PA 9.5 (DEMON) [id:11883747],0.1484286826619618,20.0,0.3147569944330348,6.295139888660696,0.934379320846676,20.0,pp_kernel,0.6985639086586554,0.011997823649600626,Isaiah Joe OVER PRA 8.5 (GOBLIN) [id:11883676] | Jaxson Hayes OVER PR 5.5 (GOBLIN) [id:11874416] | Shai Gilgeous-Alexander OVER FG3M 1.5 (STANDARD) [id:11832912] | Deandre Ayton UNDER REB 8 (STANDARD) [id:11832449] | Sam Merrill OVER PA 9.5 (DEMON) [id:11883747],0.0125,0.0125,0.0009598258919680501,0.0,0.0,0.02595982589196805,0.0,2,0.4,1.2084194949547078,"['isaiah joe', 'jaxson hayes', 'shai gilgeous-alexander', 'deandre ayton', 'sam merrill']",0.934379320846676,1,Isaiah Joe OVER PRA 8.5 (GOBLIN) [id:11883676],Jaxson Hayes OVER PR 5.5 (GOBLIN) [id:11874416],Shai Gilgeous-Alexander OVER FG3M 1.5 (STANDARD) [id:11832912],Deandre Ayton UNDER REB 8 (STANDARD) [id:11832449],Sam Merrill OVER PA 9.5 (DEMON) [id:11883747],0,
5,Donovan Mitchell OVER PTS 19.5 (GOBLIN) [id:11862005] | Alex Caruso OVER PR 7.5 (GOBLIN) [id:11863400] | Cason Wallace UNDER RA 5 (STANDARD) [id:11850049] | Tobias Harris OVER RA 8.5 (STANDARD) [id:11862586] | Jalen Duren OVER PTS 17.5 (DEMON) [id:11862356],0.16254400757419424,20.0,0.29480622956120905,5.896124591224181,0.9583797202143362,20.0,pp_kernel,0.7065128430748078,0.015598195666269615,Donovan Mitchell OVER PTS 19.5 (GOBLIN) [id:11862005] | Alex Caruso OVER PR 7.5 (GOBLIN) [id:11863400] | Cason Wallace UNDER RA 5 (STANDARD) [id:11850049] | Tobias Harris OVER RA 8.5 (STANDARD) [id:11862586] | Jalen Duren OVER PTS 17.5 (DEMON) [id:11862356],0.0125,0.05,0.0012478556533015693,0.0,0.0,0.06374785565330157,0.0,2,0.4,1.1946318645610345,"['donovan mitchell', 'alex caruso', 'cason wallace', 'tobias harris', 'jalen duren']",0.9583797202143362,1,Donovan Mitchell OVER PTS 19.5 (GOBLIN) [id:11862005],Alex Caruso OVER PR 7.5 (GOBLIN) [id:11863400],Cason Wallace UNDER RA 5 (STANDARD) [id:11850049],Tobias Harris OVER RA 8.5 (STANDARD) [id:11862586],Jalen Duren OVER PTS 17.5 (DEMON) [id:11862356],0,
5,Jaxson Hayes OVER PR 6.5 (GOBLIN) [id:11874418] | Chet Holmgren OVER REB 6.5 (GOBLIN) [id:11832844] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:11847181] | Duncan Robinson UNDER PRA 15.5 (STANDARD) [id:11862350] | Evan Mobley OVER PTS 19.5 (DEMON) [id:11862043],0.1731091737511649,20.0,0.2612764826091929,5.225529652183858,0.9045871205017598,20.0,pp_kernel,0.7189199688349314,0.05162173937939844,Jaxson Hayes OVER PR 6.5 (GOBLIN) [id:11874418] | Chet Holmgren OVER REB 6.5 (GOBLIN) [id:11832844] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:11847181] | Duncan Robinson UNDER PRA 15.5 (STANDARD) [id:11862350] | Evan Mobley OVER PTS 19.5 (DEMON) [id:11862043],0.00625,0.028125,0.004129739150351875,0.0,0.0,0.03850473915035188,0.0,2,0.4,1.1660823813514078,"['jaxson hayes', 'chet holmgren', 'shai gilgeous-alexander', 'duncan robinson', 'evan mobley']",0.9045871205017598,1,Jaxson Hayes OVER PR 6.5 (GOBLIN) [id:11874418],Chet Holmgren OVER REB 6.5 (GOBLIN) [id:11832844],Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:11847181],Duncan Robinson UNDER PRA 15.5 (STANDARD) [id:11862350],Evan Mobley OVER PTS 19.5 (DEMON) [id:11862043],0,
5,Tobias Harris OVER PRA 22.5 (GOBLIN) [id:11863477] | Jaxson Hayes OVER PR 4.5 (GOBLIN) [id:11874417] | Jaylon Tyson UNDER PRA 10.5 (STANDARD) [id:11863376] | Deandre Ayton UNDER PA 10.5 (STANDARD) [id:11832677] | Evan Mobley OVER PR 28.5 (DEMON) [id:11863438],0.22708361065044014,20.0,0.22800408897410132,4.560081779482027,1.0355198353460628,20.0,pp_kernel,0.7562318173182769,0.008228347049355305,Tobias Harris OVER PRA 22.5 (GOBLIN) [id:11863477] | Jaxson Hayes OVER PR 4.5 (GOBLIN) [id:11874417] | Jaylon Tyson UNDER PRA 10.5 (STANDARD) [id:11863376] | Deandre Ayton UNDER PA 10.5 (STANDARD) [id:11832677] | Evan Mobley OVER PR 28.5 (DEMON) [id:11863438],0.0125,0.05,0.0006582677639484244,0.0,0.0,0.06315826776394842,0.0,0,0.0,0.9723615675821144,"['tobias harris', 'jaxson hayes', 'jaylon tyson', 'deandre ayton', 'evan mobley']",1.0355198353460628,1,Tobias Harris OVER PRA 22.5 (GOBLIN) [id:11863477],Jaxson Hayes OVER PR 4.5 (GOBLIN) [id:11874417],Jaylon Tyson UNDER PRA 10.5 (STANDARD) [id:11863376],Deandre Ayton UNDER PA 10.5 (STANDARD) [id:11832677],Evan Mobley OVER PR 28.5 (DEMON) [id:11863438],0,
5,Dean Wade OVER PTS 2.5 (GOBLIN) [id:11868381] | Jaxson Hayes OVER PR 5.5 (GOBLIN) [id:11874416] | Jalen Duren UNDER REB 10.5 (STANDARD) [id:11867247] | Rui Hachimura OVER RA 4.5 (STANDARD) [id:11832719] | Evan Mobley OVER PA 23.5 (DEMON) [id:11863436],0.2042363032319636,20.0,0.24633115175039422,4.926623035007884,1.006195276087447,20.0,pp_kernel,0.7426514957437929,0.04147611945756033,Dean Wade OVER PTS 2.5 (GOBLIN) [id:11868381] | Jaxson Hayes OVER PR 5.5 (GOBLIN) [id:11874416] | Jalen Duren UNDER REB 10.5 (STANDARD) [id:11867247] | Rui Hachimura OVER RA 4.5 (STANDARD) [id:11832719] | Evan Mobley OVER PA 23.5 (DEMON) [id:11863436],0.0125,0.028125,0.0033180895566048262,0.0,0.0,0.04394308955660483,0.0,0,0.0,0.9622521865308422,"['dean wade', 'jaxson hayes', 'jalen duren', 'rui hachimura', 'evan mobley']",1.006195276087447,1,Dean Wade OVER PTS 2.5 (GOBLIN) [id:11868381],Jaxson Hayes OVER PR 5.5 (GOBLIN) [id:11874416],Jalen Duren UNDER REB 10.5 (STANDARD) [id:11867247],Rui Hachimura OVER RA 4.5 (STANDARD) [id:11832719],Evan Mobley OVER PA 23.5 (DEMON) [id:11863436],0,
5,Duncan Robinson OVER PRA 12.5 (GOBLIN) [id:11862537] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | LeBron James OVER PA 28.5 (STANDARD) [id:11832695] | Jake LaRavia UNDER REB 2.5 (STANDARD) [id:11863295] | Ausar Thompson OVER AST 5.5 (DEMON) [id:11862454],0.17724280790664246,20.0,0.2815078074969687,5.630156149939374,0.9979046849681061,20.0,pp_kernel,0.7194150414305079,0.02371427774510958,Duncan Robinson OVER PRA 12.5 (GOBLIN) [id:11862537] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | LeBron James OVER PA 28.5 (STANDARD) [id:11832695] | Jake LaRavia UNDER REB 2.5 (STANDARD) [id:11863295] | Ausar Thompson OVER AST 5.5 (DEMON) [id:11862454],0.0125,0.028125,0.0018971422196087664,0.0,0.0,0.04252214221960877,0.0,0,0.0,0.9553825427484973,"['duncan robinson', 'dean wade', 'lebron james', 'jake laravia', 'ausar thompson']",0.9979046849681061,1,Duncan Robinson OVER PRA 12.5 (GOBLIN) [id:11862537],Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],LeBron James OVER PA 28.5 (STANDARD) [id:11832695],Jake LaRavia UNDER REB 2.5 (STANDARD) [id:11863295],Ausar Thompson OVER AST 5.5 (DEMON) [id:11862454],0,
5,Jarrett Allen OVER PR 18.5 (GOBLIN) [id:11862573] | Luke Kennard OVER PTS 6.5 (GOBLIN) [id:11832551] | Rui Hachimura OVER PRA 17 (STANDARD) [id:11832717] | Cade Cunningham UNDER REB 5 (STANDARD) [id:11862505] | Sam Merrill OVER PA 9.5 (DEMON) [id:11883747],0.19375242864774614,20.0,0.2525075205329322,5.0501504106586435,0.9784789071015246,20.0,pp_kernel,0.7310795513624391,0.027518418641059028,Jarrett Allen OVER PR 18.5 (GOBLIN) [id:11862573] | Luke Kennard OVER PTS 6.5 (GOBLIN) [id:11832551] | Rui Hachimura OVER PRA 17 (STANDARD) [id:11832717] | Cade Cunningham UNDER REB 5 (STANDARD) [id:11862505] | Sam Merrill OVER PA 9.5 (DEMON) [id:11883747],0.0125,0.028125,0.0022014734912847223,0.0,0.0,0.042826473491284725,0.0,0,0.0,0.9356524336102399,"['jarrett allen', 'luke kennard', 'rui hachimura', 'cade cunningham', 'sam merrill']",0.9784789071015246,1,Jarrett Allen OVER PR 18.5 (GOBLIN) [id:11862573],Luke Kennard OVER PTS 6.5 (GOBLIN) [id:11832551],Rui Hachimura OVER PRA 17 (STANDARD) [id:11832717],Cade Cunningham UNDER REB 5 (STANDARD) [id:11862505],Sam Merrill OVER PA 9.5 (DEMON) [id:11883747],0,
5,Sam Merrill OVER AST 0.5 (GOBLIN) [id:11863803] | Evan Mobley OVER REB 6.5 (GOBLIN) [id:11862355] | Deandre Ayton UNDER PR 17.5 (STANDARD) [id:11832678] | Jalen Duren UNDER PR 26.5 (STANDARD) [id:11862072] | Isaiah Stewart OVER AST 1.5 (DEMON) [id:11869647],0.16325653598603532,20.0,0.2859406724129582,5.718813448259164,0.933633673513145,20.0,pp_kernel,0.7062166186274779,0.024265786926383582,Sam Merrill OVER AST 0.5 (GOBLIN) [id:11863803] | Evan Mobley OVER REB 6.5 (GOBLIN) [id:11862355] | Deandre Ayton UNDER PR 17.5 (STANDARD) [id:11832678] | Jalen Duren UNDER PR 26.5 (STANDARD) [id:11862072] | Isaiah Stewart OVER AST 1.5 (DEMON) [id:11869647],0.0125,0.028125,0.0019412629541106865,0.0,0.0,0.04256626295411069,0.0,0,0.0,0.8910674105590343,"['sam merrill', 'evan mobley', 'deandre ayton', 'jalen duren', 'isaiah stewart']",0.933633673513145,1,Sam Merrill OVER AST 0.5 (GOBLIN) [id:11863803],Evan Mobley OVER REB 6.5 (GOBLIN) [id:11862355],Deandre Ayton UNDER PR 17.5 (STANDARD) [id:11832678],Jalen Duren UNDER PR 26.5 (STANDARD) [id:11862072],Isaiah Stewart OVER AST 1.5 (DEMON) [id:11869647],0,
5,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:11863473] | Duncan Robinson OVER PTS 9.5 (GOBLIN) [id:11862273] | Marcus Smart OVER PA 13.5 (STANDARD) [id:11832708] | LeBron James OVER REB 7 (STANDARD) [id:11850156] | Jaylon Tyson OVER FG3M 1.5 (DEMON) [id:11863369],0.14671060809072398,20.0,0.3032294425671615,6.06458885134323,0.8897395182007906,20.0,pp_kernel,0.6916895978788121,0.03069648131961943,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:11863473] | Duncan Robinson OVER PTS 9.5 (GOBLIN) [id:11862273] | Marcus Smart OVER PA 13.5 (STANDARD) [id:11832708] | LeBron James OVER REB 7 (STANDARD) [id:11850156] | Jaylon Tyson OVER FG3M 1.5 (DEMON) [id:11863369],0.0125,0.0125,0.0024557185055695545,0.0,0.0,0.027455718505569555,0.0,0,0.0,0.862283799695221,"['sam merrill', 'duncan robinson', 'marcus smart', 'lebron james', 'jaylon tyson']",0.8897395182007906,1,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:11863473],Duncan Robinson OVER PTS 9.5 (GOBLIN) [id:11862273],Marcus Smart OVER PA 13.5 (STANDARD) [id:11832708],LeBron James OVER REB 7 (STANDARD) [id:11850156],Jaylon Tyson OVER FG3M 1.5 (DEMON) [id:11863369],0,
