n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:11871661] | Jaylin Williams OVER PA 4.5 (STANDARD) [id:11883993] | Sam Merrill OVER PR 7.5 (STANDARD) [id:11863696] | Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0.18908850450054726,20.0,1.0,20.0,3.781770090010945,20.0,atlas,0.7291831307411039,0.0038634667072741866,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:11871661] | Jaylin Williams OVER PA 4.5 (STANDARD) [id:11883993] | Sam Merrill OVER PR 7.5 (STANDARD) [id:11863696] | Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.48908850450054725,"['max strus', 'isaiah joe', 'jaylin williams', 'sam merrill', 'jake laravia']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469],Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:11871661],Jaylin Williams OVER PA 4.5 (STANDARD) [id:11883993],Sam Merrill OVER PR 7.5 (STANDARD) [id:11863696],Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0,
5,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11862271] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:11832726] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.17816445318625085,20.0,1.0,20.0,3.563289063725017,20.0,atlas,0.7180787308243952,0.04533782693725623,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11862271] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:11832726] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.32816445318625087,"['duncan robinson', 'dean wade', 'jake laravia', 'shai gilgeous-alexander', 'jaylon tyson']",1,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11862271],Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:11832726],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
5,Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:11871661] | Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Luke Kennard OVER REB 2.5 (STANDARD) [id:11832892] | Ajay Mitchell UNDER PTS 15.5 (STANDARD) [id:11832799] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.17811000702756832,20.0,1.0,20.0,3.5622001405513664,20.0,atlas,0.7220651420773978,0.06292331833798442,Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:11871661] | Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Luke Kennard OVER REB 2.5 (STANDARD) [id:11832892] | Ajay Mitchell UNDER PTS 15.5 (STANDARD) [id:11832799] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.47811000702756834,"['isaiah joe', 'max strus', 'luke kennard', 'ajay mitchell', 'jaylon tyson']",1,Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:11871661],Max Strus OVER REB 2.5 (GOBLIN) [id:11863469],Luke Kennard OVER REB 2.5 (STANDARD) [id:11832892],Ajay Mitchell UNDER PTS 15.5 (STANDARD) [id:11832799],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
5,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675] | Tobias Harris OVER REB 4.5 (GOBLIN) [id:11868337] | Max Strus OVER REB 4 (STANDARD) [id:11867231] | Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.17709762832898673,20.0,1.0,20.0,3.5419525665797345,20.0,atlas,0.7143903573755088,0.021209182232428243,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675] | Tobias Harris OVER REB 4.5 (GOBLIN) [id:11868337] | Max Strus OVER REB 4 (STANDARD) [id:11867231] | Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.4770976283289867,"['shai gilgeous-alexander', 'tobias harris', 'max strus', 'isaiah joe', 'marcus smart']",1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:11868675],Tobias Harris OVER REB 4.5 (GOBLIN) [id:11868337],Max Strus OVER REB 4 (STANDARD) [id:11867231],Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481],Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0,
5,Jaylin Williams OVER AST 0.5 (GOBLIN) [id:11872020] | Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481] | Jake LaRavia OVER AST 0.5 (STANDARD) [id:11867647] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.17674763663990326,20.0,1.0,20.0,3.534952732798065,20.0,atlas,0.714959532138567,0.003096119657704095,Jaylin Williams OVER AST 0.5 (GOBLIN) [id:11872020] | Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481] | Jake LaRavia OVER AST 0.5 (STANDARD) [id:11867647] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.47674763663990327,"['jaylin williams', 'max strus', 'isaiah joe', 'jake laravia', 'jaylon tyson']",1,Jaylin Williams OVER AST 0.5 (GOBLIN) [id:11872020],Max Strus OVER REB 2.5 (GOBLIN) [id:11863469],Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481],Jake LaRavia OVER AST 0.5 (STANDARD) [id:11867647],Jaylon Tyson OVER AST 1.5 (DEMON) [id:11863371],0,
5,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Jaxson Hayes OVER REB 1.5 (GOBLIN) [id:11863974] | Jaylon Tyson OVER REB 2.5 (STANDARD) [id:11863378] | Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.17598248233561145,20.0,1.0,20.0,3.519649646712229,20.0,atlas,0.7158195435362641,0.013627578995257137,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469] | Jaxson Hayes OVER REB 1.5 (GOBLIN) [id:11863974] | Jaylon Tyson OVER REB 2.5 (STANDARD) [id:11863378] | Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.32598248233561145,"['max strus', 'jaxson hayes', 'jaylon tyson', 'isaiah joe', 'marcus smart']",1,Max Strus OVER REB 2.5 (GOBLIN) [id:11863469],Jaxson Hayes OVER REB 1.5 (GOBLIN) [id:11863974],Jaylon Tyson OVER REB 2.5 (STANDARD) [id:11863378],Isaiah Joe OVER PTS 6.5 (STANDARD) [id:11870481],Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0,
5,Dean Wade OVER FG3M 0.5 (GOBLIN) [id:11862510] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11862271] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Ajay Mitchell UNDER PR 19.5 (STANDARD) [id:11833342] | Jaylon Tyson OVER RA 4.5 (DEMON) [id:11863380],0.174345064525945,20.0,1.0,20.0,3.4869012905189,20.0,atlas,0.7129485419636167,0.05613426620784534,Dean Wade OVER FG3M 0.5 (GOBLIN) [id:11862510] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11862271] | Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295] | Ajay Mitchell UNDER PR 19.5 (STANDARD) [id:11833342] | Jaylon Tyson OVER RA 4.5 (DEMON) [id:11863380],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.324345064525945,"['dean wade', 'duncan robinson', 'jake laravia', 'ajay mitchell', 'jaylon tyson']",1,Dean Wade OVER FG3M 0.5 (GOBLIN) [id:11862510],Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:11862271],Jake LaRavia OVER REB 2.5 (STANDARD) [id:11863295],Ajay Mitchell UNDER PR 19.5 (STANDARD) [id:11833342],Jaylon Tyson OVER RA 4.5 (DEMON) [id:11863380],0,
5,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11862889] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Jaylin Williams OVER REB 2.5 (STANDARD) [id:11872395] | Austin Reaves UNDER PA 26.5 (STANDARD) [id:11832662] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.16194002347820569,20.0,1.0,20.0,3.2388004695641137,20.0,atlas,0.7064096420479437,0.07340653875211497,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11862889] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Jaylin Williams OVER REB 2.5 (STANDARD) [id:11872395] | Austin Reaves UNDER PA 26.5 (STANDARD) [id:11832662] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3119400234782057,"['donovan mitchell', 'dean wade', 'jaylin williams', 'austin reaves', 'marcus smart']",1,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11862889],Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Jaylin Williams OVER REB 2.5 (STANDARD) [id:11872395],Austin Reaves UNDER PA 26.5 (STANDARD) [id:11832662],Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0,
5,Luguentz Dort OVER FG3M 0.5 (GOBLIN) [id:11870516] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Ajay Mitchell UNDER PA 19.5 (STANDARD) [id:11833341] | Sam Merrill OVER PTS 6.5 (STANDARD) [id:11863127] | Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0.16002583033043416,20.0,1.0,20.0,3.200516606608683,20.0,atlas,0.7046265543264386,0.05292440938238243,Luguentz Dort OVER FG3M 0.5 (GOBLIN) [id:11870516] | Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Ajay Mitchell UNDER PA 19.5 (STANDARD) [id:11833341] | Sam Merrill OVER PTS 6.5 (STANDARD) [id:11863127] | Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.46002583033043415,"['luguentz dort', 'dean wade', 'ajay mitchell', 'sam merrill', 'jake laravia']",1,Luguentz Dort OVER FG3M 0.5 (GOBLIN) [id:11870516],Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Ajay Mitchell UNDER PA 19.5 (STANDARD) [id:11833341],Sam Merrill OVER PTS 6.5 (STANDARD) [id:11863127],Jake LaRavia OVER RA 3.5 (DEMON) [id:11870379],0,
5,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11862889] | Ajay Mitchell UNDER PR 19.5 (STANDARD) [id:11833342] | Austin Reaves UNDER PR 24.5 (STANDARD) [id:11832663] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.1573208162941038,20.0,1.0,20.0,3.146416325882076,20.0,atlas,0.7029329857014697,0.11388103643988756,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11862889] | Ajay Mitchell UNDER PR 19.5 (STANDARD) [id:11833342] | Austin Reaves UNDER PR 24.5 (STANDARD) [id:11832663] | Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3073208162941038,"['dean wade', 'donovan mitchell', 'ajay mitchell', 'austin reaves', 'marcus smart']",1,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11862889],Ajay Mitchell UNDER PR 19.5 (STANDARD) [id:11833342],Austin Reaves UNDER PR 24.5 (STANDARD) [id:11832663],Marcus Smart OVER RA 6.5 (DEMON) [id:11832580],0,
