n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Isaiah Joe OVER PTS 4.5 (GOBLIN) [id:11871662] | Ajay Mitchell UNDER RA 7.5 (STANDARD) [id:11833347] | Evan Mobley OVER PA 23.5 (DEMON) [id:11863436],0.32050333474893966,6.0,0.3639832418751628,2.183899451250977,0.6999470568823175,6.0,pp_kernel,0.699240593157494,0.03014891457808551,Isaiah Joe OVER PTS 4.5 (GOBLIN) [id:11871662] | Ajay Mitchell UNDER RA 7.5 (STANDARD) [id:11833347] | Evan Mobley OVER PA 23.5 (DEMON) [id:11863436],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9949470568823175,"['isaiah joe', 'ajay mitchell', 'evan mobley']",0.6999470568823175,1,Isaiah Joe OVER PTS 4.5 (GOBLIN) [id:11871662],Ajay Mitchell UNDER RA 7.5 (STANDARD) [id:11833347],Evan Mobley OVER PA 23.5 (DEMON) [id:11863436],0,
3,Alex Caruso OVER PR 9.5 (GOBLIN) [id:11863283] | Chet Holmgren OVER RA 11 (STANDARD) [id:11867643] | Evan Mobley OVER PR 28.5 (DEMON) [id:11863438],0.28143319352353635,6.0,0.4105550460459537,2.4633302762757223,0.6932629063554916,6.0,pp_kernel,0.6688741809117843,0.03447224729506637,Alex Caruso OVER PR 9.5 (GOBLIN) [id:11863283] | Chet Holmgren OVER RA 11 (STANDARD) [id:11867643] | Evan Mobley OVER PR 28.5 (DEMON) [id:11863438],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9882629063554915,"['alex caruso', 'chet holmgren', 'evan mobley']",0.6932629063554916,1,Alex Caruso OVER PR 9.5 (GOBLIN) [id:11863283],Chet Holmgren OVER RA 11 (STANDARD) [id:11867643],Evan Mobley OVER PR 28.5 (DEMON) [id:11863438],0,
3,Isaiah Joe OVER PR 7.5 (GOBLIN) [id:11883286] | Deandre Ayton UNDER PA 10.5 (STANDARD) [id:11832677] | Jaylin Williams OVER RA 5.5 (DEMON) [id:11872032],0.3392308773548587,6.0,0.33581629610636854,2.014897776638211,0.6835155405493344,6.0,pp_kernel,0.7114044001524489,0.0,Isaiah Joe OVER PR 7.5 (GOBLIN) [id:11883286] | Deandre Ayton UNDER PA 10.5 (STANDARD) [id:11832677] | Jaylin Williams OVER RA 5.5 (DEMON) [id:11872032],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9785155405493344,"['isaiah joe', 'deandre ayton', 'jaylin williams']",0.6835155405493344,1,Isaiah Joe OVER PR 7.5 (GOBLIN) [id:11883286],Deandre Ayton UNDER PA 10.5 (STANDARD) [id:11832677],Jaylin Williams OVER RA 5.5 (DEMON) [id:11872032],0,
3,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Chet Holmgren UNDER PA 18.5 (STANDARD) [id:11832670] | Jaylin Williams OVER RA 5.5 (DEMON) [id:11872032],0.3008795086196131,6.0,0.375949037127097,2.255694222762582,0.6786921693409057,6.0,pp_kernel,0.6851074825454663,0.02131352672382969,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382] | Chet Holmgren UNDER PA 18.5 (STANDARD) [id:11832670] | Jaylin Williams OVER RA 5.5 (DEMON) [id:11872032],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,0.9736921693409057,"['dean wade', 'chet holmgren', 'jaylin williams']",0.6786921693409057,1,Dean Wade OVER PTS 1.5 (GOBLIN) [id:11868382],Chet Holmgren UNDER PA 18.5 (STANDARD) [id:11832670],Jaylin Williams OVER RA 5.5 (DEMON) [id:11872032],0,
3,Jaxson Hayes OVER PR 4.5 (GOBLIN) [id:11874417] | Max Strus UNDER PR 12.5 (STANDARD) [id:11862299] | LeBron James OVER RA 16.5 (DEMON) [id:11832524],0.36385905140460195,6.0,0.3370497246009284,2.0222983476055703,0.7358315584168568,6.0,pp_kernel,0.731960587228317,0.04112123296417184,Jaxson Hayes OVER PR 4.5 (GOBLIN) [id:11874417] | Max Strus UNDER PR 12.5 (STANDARD) [id:11862299] | LeBron James OVER RA 16.5 (DEMON) [id:11832524],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.7308315584168568,"['jaxson hayes', 'max strus', 'lebron james']",0.7358315584168568,1,Jaxson Hayes OVER PR 4.5 (GOBLIN) [id:11874417],Max Strus UNDER PR 12.5 (STANDARD) [id:11862299],LeBron James OVER RA 16.5 (DEMON) [id:11832524],0,
3,Dean Wade OVER PA 4.5 (GOBLIN) [id:11889454] | Luke Kennard UNDER RA 4.5 (STANDARD) [id:11868645] | Daniss Jenkins OVER PRA 15.5 (DEMON) [id:11867799],0.288022280202686,6.0,0.4213532915344261,2.5281197492065566,0.7281548147919151,6.0,pp_kernel,0.6785792497490925,0.0032112120204641262,Dean Wade OVER PA 4.5 (GOBLIN) [id:11889454] | Luke Kennard UNDER RA 4.5 (STANDARD) [id:11868645] | Daniss Jenkins OVER PRA 15.5 (DEMON) [id:11867799],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7281548147919151,"['dean wade', 'luke kennard', 'daniss jenkins']",0.7281548147919151,1,Dean Wade OVER PA 4.5 (GOBLIN) [id:11889454],Luke Kennard UNDER RA 4.5 (STANDARD) [id:11868645],Daniss Jenkins OVER PRA 15.5 (DEMON) [id:11867799],0,
3,Jarrett Allen OVER PA 9.5 (GOBLIN) [id:11863270] | Cade Cunningham UNDER PR 32.5 (STANDARD) [id:11861983] | LeBron James OVER RA 16.5 (DEMON) [id:11832524],0.2778958904495209,6.0,0.4326796984983202,2.596078190989921,0.7214394605617255,6.0,pp_kernel,0.6701346116398326,0.05794993954589065,Jarrett Allen OVER PA 9.5 (GOBLIN) [id:11863270] | Cade Cunningham UNDER PR 32.5 (STANDARD) [id:11861983] | LeBron James OVER RA 16.5 (DEMON) [id:11832524],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7214394605617255,"['jarrett allen', 'cade cunningham', 'lebron james']",0.7214394605617255,1,Jarrett Allen OVER PA 9.5 (GOBLIN) [id:11863270],Cade Cunningham UNDER PR 32.5 (STANDARD) [id:11861983],LeBron James OVER RA 16.5 (DEMON) [id:11832524],0,
3,Jaxson Hayes OVER PTS 2.5 (GOBLIN) [id:11868670] | Evan Mobley OVER PA 18.5 (STANDARD) [id:11862045] | Jalen Duren OVER PTS 17.5 (DEMON) [id:11862356],0.35224697869291954,6.0,0.3413507511165777,2.0481045066994663,0.7214386245322394,6.0,pp_kernel,0.7226612067988576,0.01491719730778575,Jaxson Hayes OVER PTS 2.5 (GOBLIN) [id:11868670] | Evan Mobley OVER PA 18.5 (STANDARD) [id:11862045] | Jalen Duren OVER PTS 17.5 (DEMON) [id:11862356],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7214386245322394,"['jaxson hayes', 'evan mobley', 'jalen duren']",0.7214386245322394,1,Jaxson Hayes OVER PTS 2.5 (GOBLIN) [id:11868670],Evan Mobley OVER PA 18.5 (STANDARD) [id:11862045],Jalen Duren OVER PTS 17.5 (DEMON) [id:11862356],0,
3,Jaxson Hayes OVER PTS 1.5 (GOBLIN) [id:11868671] | Evan Mobley OVER PR 24.5 (STANDARD) [id:11862049] | Isaiah Stewart OVER AST 1.5 (DEMON) [id:11869647],0.33899804767052655,6.0,0.35385919319896864,2.1231551591938116,0.7197454538683081,6.0,pp_kernel,0.7131623480933783,0.008931774430706004,Jaxson Hayes OVER PTS 1.5 (GOBLIN) [id:11868671] | Evan Mobley OVER PR 24.5 (STANDARD) [id:11862049] | Isaiah Stewart OVER AST 1.5 (DEMON) [id:11869647],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7197454538683081,"['jaxson hayes', 'evan mobley', 'isaiah stewart']",0.7197454538683081,1,Jaxson Hayes OVER PTS 1.5 (GOBLIN) [id:11868671],Evan Mobley OVER PR 24.5 (STANDARD) [id:11862049],Isaiah Stewart OVER AST 1.5 (DEMON) [id:11869647],0,
3,Jarrett Allen OVER PRA 19.5 (GOBLIN) [id:11863272] | Donovan Mitchell OVER PA 29.5 (STANDARD) [id:11862265] | Daniss Jenkins OVER PRA 15.5 (DEMON) [id:11867799],0.30673083057212397,6.0,0.3927918902999559,2.3567513417997357,0.7228882965222005,6.0,pp_kernel,0.6893246040483488,0.010280705630076188,Jarrett Allen OVER PRA 19.5 (GOBLIN) [id:11863272] | Donovan Mitchell OVER PA 29.5 (STANDARD) [id:11862265] | Daniss Jenkins OVER PRA 15.5 (DEMON) [id:11867799],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.7178882965222005,"['jarrett allen', 'donovan mitchell', 'daniss jenkins']",0.7228882965222005,1,Jarrett Allen OVER PRA 19.5 (GOBLIN) [id:11863272],Donovan Mitchell OVER PA 29.5 (STANDARD) [id:11862265],Daniss Jenkins OVER PRA 15.5 (DEMON) [id:11867799],0,
