n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER REB 3.5 (STANDARD) [id:11883501] | Ayo Dosunmu OVER PA 15.5 (STANDARD) [id:11908812] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.25800521017811573,20.0,1.0,20.0,5.160104203562314,20.0,atlas,0.7677838387993051,0.01667392644625742,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER REB 3.5 (STANDARD) [id:11883501] | Ayo Dosunmu OVER PA 15.5 (STANDARD) [id:11908812] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.5580052101781157,"['stephon castle', 'naz reid', 'luke kornet', 'ayo dosunmu', 'jose alvarado']",1,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Luke Kornet OVER REB 3.5 (STANDARD) [id:11883501],Ayo Dosunmu OVER PA 15.5 (STANDARD) [id:11908812],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],2,Naz Reid | Ayo Dosunmu
5,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:11909114] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.2327400484022834,20.0,1.0,20.0,4.654800968045668,20.0,atlas,0.7562129951154047,0.007819787251238108,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:11909114] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3827400484022834,"['stephon castle', 'ayo dosunmu', 'andre drummond', 'luke kornet', 'jose alvarado']",1,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:11909114],Andre Drummond OVER REB 3 (STANDARD) [id:11917375],Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],1,Ayo Dosunmu
5,Mitchell Robinson OVER PTS 1.5 (GOBLIN) [id:11904399] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Victor Wembanyama UNDER PR 39 (STANDARD) [id:11881648] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.22470785761358011,20.0,1.0,20.0,4.494157152271602,20.0,atlas,0.7512191825275278,0.045961855071012206,Mitchell Robinson OVER PTS 1.5 (GOBLIN) [id:11904399] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Victor Wembanyama UNDER PR 39 (STANDARD) [id:11881648] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3747078576135801,"['mitchell robinson', 'stephon castle', 'victor wembanyama', 'ayo dosunmu', 'jose alvarado']",1,Mitchell Robinson OVER PTS 1.5 (GOBLIN) [id:11904399],Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Victor Wembanyama UNDER PR 39 (STANDARD) [id:11881648],Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],1,Ayo Dosunmu
5,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.22460184733881042,20.0,1.0,20.0,4.492036946776208,20.0,atlas,0.746531850318947,0.0233569301893191,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3746018473388104,"['stephon castle', 'og anunoby', 'julian champagnie', 'jose alvarado', 'ayo dosunmu']",1,Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],Ayo Dosunmu OVER PR 15.5 (DEMON) [id:11910745],1,Ayo Dosunmu
5,OG Anunoby OVER REB 3.5 (GOBLIN) [id:11881301] | Miles McBride OVER FG3M 0.5 (GOBLIN) [id:11881299] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Quentin Grimes OVER REB 2.5 (DEMON) [id:11882613],0.21356235418688807,20.0,1.0,20.0,4.271247083737761,20.0,atlas,0.7409768823150067,0.025252797630626305,OG Anunoby OVER REB 3.5 (GOBLIN) [id:11881301] | Miles McBride OVER FG3M 0.5 (GOBLIN) [id:11881299] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Quentin Grimes OVER REB 2.5 (DEMON) [id:11882613],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3635623541868881,"['og anunoby', 'miles mcbride', 'ayo dosunmu', 'julian champagnie', 'quentin grimes']",1,OG Anunoby OVER REB 3.5 (GOBLIN) [id:11881301],Miles McBride OVER FG3M 0.5 (GOBLIN) [id:11881299],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],Quentin Grimes OVER REB 2.5 (DEMON) [id:11882613],1,Ayo Dosunmu
5,Rudy Gobert OVER REB 7.5 (GOBLIN) [id:11896022] | Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.20494138981601714,20.0,1.0,20.0,4.098827796320343,20.0,atlas,0.7337928466274208,0.07639186969619244,Rudy Gobert OVER REB 7.5 (GOBLIN) [id:11896022] | Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638] | Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.5049413898160171,"['rudy gobert', 'julius randle', 'luke kornet', 'josh hart', 'jose alvarado']",1,Rudy Gobert OVER REB 7.5 (GOBLIN) [id:11896022],Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118],Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638],Jose Alvarado OVER PRA 6.5 (DEMON) [id:11893244],2,Rudy Gobert | Julius Randle
5,Luke Kornet OVER REB 1.5 (GOBLIN) [id:11909133] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Jaden McDaniels OVER PR 19.5 (STANDARD) [id:11881797] | Paul George OVER FG3M 2.5 (DEMON) [id:11879188],0.18801010033783838,20.0,1.0,20.0,3.7602020067567676,20.0,atlas,0.7276837857980303,0.02360621654557175,Luke Kornet OVER REB 1.5 (GOBLIN) [id:11909133] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Jaden McDaniels OVER PR 19.5 (STANDARD) [id:11881797] | Paul George OVER FG3M 2.5 (DEMON) [id:11879188],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3380101003378384,"['luke kornet', 'stephon castle', 'andre drummond', 'jaden mcdaniels', 'paul george']",1,Luke Kornet OVER REB 1.5 (GOBLIN) [id:11909133],Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Andre Drummond OVER REB 3 (STANDARD) [id:11917375],Jaden McDaniels OVER PR 19.5 (STANDARD) [id:11881797],Paul George OVER FG3M 2.5 (DEMON) [id:11879188],1,Jaden McDaniels
5,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:11882646] | Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Luke Kornet OVER PTS 3 (STANDARD) [id:11886293] | Paul George OVER FG3M 2.5 (DEMON) [id:11879188],0.18483548599618524,20.0,1.0,20.0,3.696709719923705,20.0,atlas,0.7201330967737197,0.016509504278612606,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:11882646] | Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Luke Kornet OVER PTS 3 (STANDARD) [id:11886293] | Paul George OVER FG3M 2.5 (DEMON) [id:11879188],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.33483548599618523,"['jaden mcdaniels', 'dylan harper', 'andre drummond', 'luke kornet', 'paul george']",1,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:11882646],Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700],Andre Drummond OVER REB 3 (STANDARD) [id:11917375],Luke Kornet OVER PTS 3 (STANDARD) [id:11886293],Paul George OVER FG3M 2.5 (DEMON) [id:11879188],1,Jaden McDaniels
5,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:11882646] | Julius Randle OVER PTS 12.5 (GOBLIN) [id:11882711] | OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Paul George OVER FG3M 2.5 (DEMON) [id:11879188],0.17820299491596753,20.0,1.0,20.0,3.5640598983193508,20.0,atlas,0.7160401637536687,0.03810639878907056,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:11882646] | Julius Randle OVER PTS 12.5 (GOBLIN) [id:11882711] | OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Paul George OVER FG3M 2.5 (DEMON) [id:11879188],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.4782029949159675,"['jaden mcdaniels', 'julius randle', 'og anunoby', 'julian champagnie', 'paul george']",1,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:11882646],Julius Randle OVER PTS 12.5 (GOBLIN) [id:11882711],OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],Paul George OVER FG3M 2.5 (DEMON) [id:11879188],2,Jaden McDaniels | Julius Randle
5,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Tyrese Maxey UNDER AST 6 (STANDARD) [id:11887220] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Quentin Grimes OVER REB 2.5 (DEMON) [id:11882613],0.16147853200992796,20.0,1.0,20.0,3.229570640198559,20.0,atlas,0.7028952902160419,0.07042469218946786,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Tyrese Maxey UNDER AST 6 (STANDARD) [id:11887220] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Quentin Grimes OVER REB 2.5 (DEMON) [id:11882613],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.46147853200992794,"['julius randle', 'naz reid', 'tyrese maxey', 'julian champagnie', 'quentin grimes']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Tyrese Maxey UNDER AST 6 (STANDARD) [id:11887220],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],Quentin Grimes OVER REB 2.5 (DEMON) [id:11882613],2,Julius Randle | Naz Reid
