n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.4663957068004781,6.0,1.0,6.0,2.7983742408028687,6.0,atlas,0.65,0.030478960824442413,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.7538957068004781,"['julius randle', 'luke kornet', 'ayo dosunmu']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],2,Julius Randle | Ayo Dosunmu
3,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],0.45027440915550787,6.0,1.0,6.0,2.701646454933047,6.0,atlas,0.65,0.022894494056850234,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.7377744091555078,"['naz reid', 'ayo dosunmu', 'luke kornet']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],2,Naz Reid | Ayo Dosunmu
3,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],0.4502744091555078,6.0,1.0,6.0,2.701646454933047,6.0,atlas,0.65,0.022894494056850234,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.7377744091555078,"['naz reid', 'luke kornet', 'ayo dosunmu']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],2,Naz Reid | Ayo Dosunmu
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.4488366247533799,6.0,1.0,6.0,2.693019748520279,6.0,atlas,0.65,0.029037148354691702,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.7363366247533798,"['julius randle', 'jose alvarado', 'ayo dosunmu']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],2,Julius Randle | Ayo Dosunmu
3,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.44726712323943296,6.0,1.0,6.0,2.6836027394365978,6.0,atlas,0.65,0.02268404632633712,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,2,0.6666666666666666,0.7222671232394329,"['naz reid', 'ayo dosunmu', 'jose alvarado']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],2,Naz Reid | Ayo Dosunmu
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.40861501382877596,6.0,1.0,6.0,2.4516900829726556,6.0,atlas,0.65,0.017774290374455343,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.558615013828776,"['julius randle', 'luke kornet', 'jose alvarado']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Luke Kornet OVER PR 6.5 (STANDARD) [id:11884118],Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],1,Julius Randle
3,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Luke Kornet OVER PRA 8 (STANDARD) [id:11917561],0.3917136072201772,6.0,1.0,6.0,2.350281643321063,6.0,atlas,0.65,0.011070527208653863,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Luke Kornet OVER PRA 8 (STANDARD) [id:11917561],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.5292136072201772,"['naz reid', 'jose alvarado', 'luke kornet']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],Luke Kornet OVER PRA 8 (STANDARD) [id:11917561],1,Naz Reid
3,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],0.3682827827440046,6.0,1.0,6.0,2.209696696464028,6.0,atlas,0.646335464040506,0.023833657600892056,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.5182827827440046,"['naz reid', 'julian champagnie', 'jose alvarado']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],1,Naz Reid
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],0.34008137282798717,6.0,1.0,6.0,2.040488236967923,6.0,atlas,0.6404927205748278,0.0403591035610909,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.4775813728279872,"['julius randle', 'quentin grimes', 'julian champagnie']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],1,Julius Randle
3,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],0.33518953240471816,6.0,1.0,6.0,2.0111371944283087,6.0,atlas,0.6374601610990448,0.12572763207552248,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.4851895324047182,"['julius randle', 'josh hart', 'julian champagnie']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],1,Julius Randle
