n_legs,legs,hit_prob,payout_mult,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4
4,Terance Mann OVER PRA 7.5 (GOBLIN) [id:10263479] | Guerschon Yabusele UNDER PTS 9.5 (STANDARD) [id:10260202] | Cason Wallace UNDER PA 19 (STANDARD) [id:10260193] | DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201],0.3424315190862997,10.0,3.424315190862997,10.0,atlas,0.7663162177493932,0.060314200469408476,Terance Mann OVER PRA 7.5 (GOBLIN) [id:10263479] | Guerschon Yabusele UNDER PTS 9.5 (STANDARD) [id:10260202] | Cason Wallace UNDER PA 19 (STANDARD) [id:10260193] | DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201],0.0,0.024,0.0006031420046940847,0.024603142004694087,34.218548766625275,"['terance mann', 'guerschon yabusele', 'cason wallace', 'deandre jordan']",1,Terance Mann OVER PRA 7.5 (GOBLIN) [id:10263479],Guerschon Yabusele UNDER PTS 9.5 (STANDARD) [id:10260202],Cason Wallace UNDER PA 19 (STANDARD) [id:10260193],DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201]
4,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10263411] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648] | Terance Mann OVER PRA 9.5 (DEMON) [id:10263478],0.32877036528740633,10.0,3.2877036528740633,10.0,atlas,0.759494144300351,0.07435001362552782,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10263411] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648] | Terance Mann OVER PRA 9.5 (DEMON) [id:10263478],0.01,0.054,0.0007435001362552781,0.06474350013625528,32.81229302860438,"['noah clowney', 'nique clifford', 'guerschon yabusele', 'terance mann']",1,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10263411],Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648],Terance Mann OVER PRA 9.5 (DEMON) [id:10263478]
4,Jamal Shead OVER AST 2.5 (GOBLIN) [id:10255558] | Guerschon Yabusele UNDER PTS 9.5 (STANDARD) [id:10260202] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326] | Evan Mobley OVER RA 10 (DEMON) [id:10257540],0.3272748915920522,10.0,3.272748915920522,10.0,atlas,0.760983232954382,0.06404151545905241,Jamal Shead OVER AST 2.5 (GOBLIN) [id:10255558] | Guerschon Yabusele UNDER PTS 9.5 (STANDARD) [id:10260202] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326] | Evan Mobley OVER RA 10 (DEMON) [id:10257540],0.0,0.054,0.0006404151545905242,0.054640415154590526,32.67284874405063,"['jamal shead', 'guerschon yabusele', 'nique clifford', 'evan mobley']",1,Jamal Shead OVER AST 2.5 (GOBLIN) [id:10255558],Guerschon Yabusele UNDER PTS 9.5 (STANDARD) [id:10260202],Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],Evan Mobley OVER RA 10 (DEMON) [id:10257540]
4,Dejounte Murray OVER PTS 12.5 (GOBLIN) [id:10264233] | Isaiah Joe UNDER REB 3.5 (STANDARD) [id:10264682] | Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321] | Terance Mann OVER PRA 9.5 (DEMON) [id:10263478],0.31960082956221286,10.0,3.1960082956221285,10.0,atlas,0.7577790037177236,0.05896150912338175,Dejounte Murray OVER PTS 12.5 (GOBLIN) [id:10264233] | Isaiah Joe UNDER REB 3.5 (STANDARD) [id:10264682] | Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321] | Terance Mann OVER PRA 9.5 (DEMON) [id:10263478],0.0,0.024,0.0005896150912338175,0.024589615091233818,31.93549334113005,"['dejounte murray', 'isaiah joe', 'nique clifford', 'terance mann']",1,Dejounte Murray OVER PTS 12.5 (GOBLIN) [id:10264233],Isaiah Joe UNDER REB 3.5 (STANDARD) [id:10264682],Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321],Terance Mann OVER PRA 9.5 (DEMON) [id:10263478]
4,Harrison Barnes OVER PTS 4.5 (GOBLIN) [id:10265005] | Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647] | Terance Mann OVER PTS 5.5 (DEMON) [id:10263472],0.3153320615602893,10.0,3.153320615602893,10.0,atlas,0.7555218079102156,0.055423713752866935,Harrison Barnes OVER PTS 4.5 (GOBLIN) [id:10265005] | Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647] | Terance Mann OVER PTS 5.5 (DEMON) [id:10263472],0.0,0.054,0.0005542371375286694,0.05455423713752867,31.478651918891405,"['harrison barnes', 'nique clifford', 'guerschon yabusele', 'terance mann']",1,Harrison Barnes OVER PTS 4.5 (GOBLIN) [id:10265005],Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],Terance Mann OVER PTS 5.5 (DEMON) [id:10263472]
4,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10265029] | Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321] | Cason Wallace UNDER PA 19 (STANDARD) [id:10260193] | Keldon Johnson OVER REB 4.5 (DEMON) [id:10257469],0.3070509447892502,10.0,3.070509447892502,10.0,atlas,0.7515558898388021,0.05446595150290423,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10265029] | Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321] | Cason Wallace UNDER PA 19 (STANDARD) [id:10260193] | Keldon Johnson OVER REB 4.5 (DEMON) [id:10257469],0.0,0.024,0.0005446595150290423,0.024544659515029044,30.68054981940999,"['trey murphy', 'nique clifford', 'cason wallace', 'keldon johnson']",1,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10265029],Nique Clifford UNDER PTS 14.5 (STANDARD) [id:10265321],Cason Wallace UNDER PA 19 (STANDARD) [id:10260193],Keldon Johnson OVER REB 4.5 (DEMON) [id:10257469]
4,DeAndre Jordan OVER REB 3.5 (GOBLIN) [id:10264200] | Nolan Traore UNDER PA 16.5 (STANDARD) [id:10260667] | Trey Murphy OVER REB 3.5 (STANDARD) [id:10263700] | Terance Mann OVER PRA 9.5 (DEMON) [id:10263478],0.3054718182018073,10.0,3.054718182018073,10.0,atlas,0.7458201242185768,0.06579759489713571,DeAndre Jordan OVER REB 3.5 (GOBLIN) [id:10264200] | Nolan Traore UNDER PA 16.5 (STANDARD) [id:10260667] | Trey Murphy OVER REB 3.5 (STANDARD) [id:10263700] | Terance Mann OVER PRA 9.5 (DEMON) [id:10263478],0.02,0.012,0.0006579759489713571,0.03265797594897136,30.514523844231757,"['deandre jordan', 'nolan traore', 'trey murphy', 'terance mann']",1,DeAndre Jordan OVER REB 3.5 (GOBLIN) [id:10264200],Nolan Traore UNDER PA 16.5 (STANDARD) [id:10260667],Trey Murphy OVER REB 3.5 (STANDARD) [id:10263700],Terance Mann OVER PRA 9.5 (DEMON) [id:10263478]
4,Mikal Bridges OVER PTS 9.5 (GOBLIN) [id:10242492] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647] | Oso Ighodaro UNDER RA 9.5 (STANDARD) [id:10265378] | DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201],0.2982523042970714,10.0,2.9825230429707137,10.0,atlas,0.7403156710825352,0.06341344390732812,Mikal Bridges OVER PTS 9.5 (GOBLIN) [id:10242492] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647] | Oso Ighodaro UNDER RA 9.5 (STANDARD) [id:10265378] | DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201],0.0,0.024,0.0006341344390732812,0.024634134439073283,29.80059629526807,"['mikal bridges', 'guerschon yabusele', 'oso ighodaro', 'deandre jordan']",1,Mikal Bridges OVER PTS 9.5 (GOBLIN) [id:10242492],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],Oso Ighodaro UNDER RA 9.5 (STANDARD) [id:10265378],DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201]
4,P.J. Washington OVER REB 3.5 (GOBLIN) [id:10263252] | Cason Wallace UNDER PRA 23 (STANDARD) [id:10260194] | Brandon Williams UNDER PRA 24.5 (STANDARD) [id:10260994] | DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201],0.2953537203710098,10.0,2.9535372037100984,10.0,atlas,0.7398589723437035,0.06414372278269463,P.J. Washington OVER REB 3.5 (GOBLIN) [id:10263252] | Cason Wallace UNDER PRA 23 (STANDARD) [id:10260194] | Brandon Williams UNDER PRA 24.5 (STANDARD) [id:10260994] | DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201],0.01,0.012,0.0006414372278269463,0.022641437227826945,29.512730599873155,"['p.j. washington', 'cason wallace', 'brandon williams', 'deandre jordan']",1,P.J. Washington OVER REB 3.5 (GOBLIN) [id:10263252],Cason Wallace UNDER PRA 23 (STANDARD) [id:10260194],Brandon Williams UNDER PRA 24.5 (STANDARD) [id:10260994],DeAndre Jordan OVER REB 5.5 (DEMON) [id:10264201]
4,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | Brandon Williams UNDER PRA 24.5 (STANDARD) [id:10260994] | Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10260666] | DeAndre Jordan OVER REB 6.5 (DEMON) [id:10264202],0.28980202548768697,10.0,2.8980202548768697,10.0,atlas,0.743927402594169,0.05440708145501304,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | Brandon Williams UNDER PRA 24.5 (STANDARD) [id:10260994] | Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10260666] | DeAndre Jordan OVER REB 6.5 (DEMON) [id:10264202],0.01,0.024,0.0005440708145501304,0.03454407081455013,28.945658477954144,"['dejounte murray', 'brandon williams', 'nolan traore', 'deandre jordan']",1,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019],Brandon Williams UNDER PRA 24.5 (STANDARD) [id:10260994],Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10260666],DeAndre Jordan OVER REB 6.5 (DEMON) [id:10264202]
