projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,spread,home_team,away_team,home_spread,away_spread,game_spread,spread_source,spread_ok,spread_reason,minutes_s,p,p_role,p_adj,p_close,p_close_raw,p_close_role,q_blowout,minutes_s_close,is_star,fragility,fragility_abs,min_mean,min_std,rate_mean,rate_std,rate_mean_ctx,rate_std_ctx,role_ctx_mult,role_ctx_mult_raw,role_ctx_sigma_mult,role_ctx_reason,games_used,role_ctx_outs_used,role_ctx_outs,role_ctx_bump,role_ctx_by_out,role_ctx_components,role_ctx_component_mults,role_ctx_component_reasons,data_health_flag,role_ctx_team,role_ctx_stat,role_ctx_min_games,p_for_cal,p_cal_src,p_cal,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
10370149|Anthony Edwards|PA|DEMON|44.5|OVER,10370149,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PA,PTS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 10:42:21.177000+00:00,-6.5,MIN,ORL,-6.5,6.5,-6.5,rotowire,True,ok,1.0,0.1497350264973502,0.1497350264973502,0.120195769364958,0.1322286644238323,0.1420357964203579,0.1420357964203579,0.1972768685015392,0.35,True,0.091000654898134,0.0120328950588743,35.46,6.04718116149996,0.9577135190050892,0.2311481928447694,0.9577135190050892,0.2311481928447694,1.0,1.0,1.0,combo_no_effect,50,0,"[""enrique freeman"", ""pullin zyon"", ""rocco zikarsky""]",0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""ok"", ""ok""]",OK,,,,0.120195769364958,p_adj,0.120195769364958,0.0,0,,0.03
10370152|Anthony Edwards|PR|DEMON|44.5|OVER,10370152,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PR,PTS+REBS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 06:56:44.256000+00:00,-6.5,MIN,ORL,-6.5,6.5,-6.5,rotowire,True,ok,1.0,0.2170282971702829,0.2170282971702829,0.174213634328308,0.1908728450553102,0.2050294970502949,0.2050294970502949,0.1972768685015392,0.35,True,0.0872791031232062,0.0166592107270021,35.46,6.04718116149996,1.0068925569984524,0.271375724672764,1.0068925569984524,0.271375724672764,1.0,1.0,1.0,combo_no_effect,50,0,"[""enrique freeman"", ""pullin zyon"", ""rocco zikarsky""]",0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""ok"", ""ok""]",OK,,,,0.174213634328308,p_adj,0.174213634328308,0.0,0,,0.03
10370190|Paolo Banchero|PR|DEMON|44.5|OVER,10370190,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PR,PTS+REBS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 09:39:37.511000+00:00,6.5,MIN,ORL,-6.5,6.5,6.5,rotowire,True,ok,1.0,0.0610438956104389,0.0610438956104389,0.0490013470432767,0.0561774016049157,0.0603439656034396,0.0603439656034396,0.197276868501539,0.35,True,0.1277391683600244,0.007176054561639,33.98,6.561981408080946,0.8674638000956706,0.2099455378660163,0.8674638000956706,0.2099455378660163,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""no_outs"", ""no_outs""]",OK,,,,0.0490013470432767,p_adj,0.0490013470432767,0.0,0,rotowire,0.03
10366046|Anthony Edwards|PRA|DEMON|43.5|OVER,10366046,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PRA,PTS+REBS+ASTS,1,43.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.724000+00:00,-6.5,MIN,ORL,-6.5,6.5,-6.5,rotowire,True,ok,1.0,0.3428157184281571,0.3428157184281571,0.2751861070235449,0.3064856583002238,0.3292170782921708,0.3292170782921708,0.1972768685015392,0.35,True,0.1021240323291695,0.0312995512766788,35.46,6.04718116149996,1.1110795883130111,0.2529443893891016,1.1110795883130111,0.2529443893891016,1.0,1.0,1.0,combo_no_effect,50,0,"[""enrique freeman"", ""pullin zyon"", ""rocco zikarsky""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",OK,,,,0.2751861070235449,p_adj,0.2751861070235449,0.0,0,,0.03
10366044|Anthony Edwards|PRA|DEMON|41.5|OVER,10366044,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PRA,PTS+REBS+ASTS,1,41.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.268000+00:00,-6.5,MIN,ORL,-6.5,6.5,-6.5,rotowire,True,ok,1.0,0.4023097690230977,0.4023097690230977,0.3229433576226434,0.3650367529306994,0.3921107889211079,0.3921107889211079,0.1972768685015392,0.35,True,0.1153127595238259,0.042093395308056,35.46,6.04718116149996,1.1110795883130111,0.2529443893891016,1.1110795883130111,0.2529443893891016,1.0,1.0,1.0,combo_no_effect,50,0,"[""enrique freeman"", ""pullin zyon"", ""rocco zikarsky""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",OK,,,,0.3229433576226434,p_adj,0.3229433576226434,0.0,0,,0.03
10366484|Paolo Banchero|PRA|DEMON|41.5|OVER,10366484,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,41.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.806000+00:00,6.5,MIN,ORL,-6.5,6.5,6.5,rotowire,True,ok,1.0,0.2334266573342665,0.2334266573342665,0.1873769773505806,0.2058596912166879,0.2211278872112788,0.2211278872112788,0.197276868501539,0.35,True,0.0897830641679746,0.0184827138661073,33.98,6.561981408080946,1.0085919109365298,0.2254946192902887,1.0085919109365298,0.2254946192902887,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",OK,,,,0.1873769773505806,p_adj,0.1873769773505806,0.0,0,rotowire,0.03
10366482|Paolo Banchero|PRA|DEMON|40.5|OVER,10366482,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,40.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.492000+00:00,6.5,MIN,ORL,-6.5,6.5,6.5,rotowire,True,ok,1.0,0.2592240775922407,0.2592240775922407,0.2080851633246435,0.2301551374783002,0.2472252774722527,0.2472252774722527,0.197276868501539,0.35,True,0.0958917293590179,0.0220699741536567,33.98,6.561981408080946,1.0085919109365298,0.2254946192902887,1.0085919109365298,0.2254946192902887,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",OK,,,,0.2080851633246435,p_adj,0.2080851633246435,0.0,0,rotowire,0.03
10366049|Anthony Edwards|PRA|DEMON|39.5|OVER,10366049,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-06 22:27:17.783000+00:00,-6.5,MIN,ORL,-6.5,6.5,-6.5,rotowire,True,ok,1.0,0.4687031296870313,0.4687031296870313,0.376238844005503,0.4270320295982618,0.4587041295870413,0.4587041295870413,0.1972768685015392,0.35,True,0.1189446741045242,0.0507931855927588,35.46,6.04718116149996,1.1110795883130111,0.2529443893891016,1.1110795883130111,0.2529443893891016,1.0,1.0,1.0,combo_no_effect,50,0,"[""enrique freeman"", ""pullin zyon"", ""rocco zikarsky""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",OK,,,,0.376238844005503,p_adj,0.376238844005503,0.0,0,,0.03
10366483|Paolo Banchero|PRA|DEMON|39.5|OVER,10366483,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-06 22:27:17.768000+00:00,6.5,MIN,ORL,-6.5,6.5,6.5,rotowire,True,ok,1.0,0.2903209679032096,0.2903209679032096,0.2330473564949286,0.2582671097810087,0.2774222577742226,0.2774222577742226,0.197276868501539,0.35,True,0.0976498839030047,0.02521975328608,33.98,6.561981408080946,1.0085919109365298,0.2254946192902887,1.0085919109365298,0.2254946192902887,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",OK,,,,0.2330473564949286,p_adj,0.2330473564949286,0.0,0,rotowire,0.03
10370147|Anthony Edwards|PA|DEMON|39.5|OVER,10370147,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PA,PTS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 06:23:09.223000+00:00,-6.5,MIN,ORL,-6.5,6.5,-6.5,rotowire,True,ok,1.0,0.2783221677832216,0.2783221677832216,0.2234156420883877,0.2490515956817764,0.2675232476752325,0.2675232476752325,0.1972768685015392,0.35,True,0.1029343077413759,0.0256359535933887,35.46,6.04718116149996,0.9577135190050892,0.2311481928447694,0.9577135190050892,0.2311481928447694,1.0,1.0,1.0,combo_no_effect,50,0,"[""enrique freeman"", ""pullin zyon"", ""rocco zikarsky""]",0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""ok"", ""ok""]",OK,,,,0.2234156420883877,p_adj,0.2234156420883877,0.0,0,,0.03
