n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677] | Tari Eason UNDER PTS 10.5 (STANDARD) [id:10618569],0.4078821532432105,6.0,1.0,6.0,2.447292919459263,6.0,atlas,0.65,0.13037464290885595,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677] | Tari Eason UNDER PTS 10.5 (STANDARD) [id:10618569],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.6953821532432105,"['guerschon yabusele', 'jordan goodwin', 'tari eason']",1,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],Tari Eason UNDER PTS 10.5 (STANDARD) [id:10618569],0,
3,Baylor Scheierman OVER FG3M 0.5 (GOBLIN) [id:10622237] | Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613],0.4076335532518145,6.0,1.0,6.0,2.445801319510887,6.0,atlas,0.65,0.1930246951918522,Baylor Scheierman OVER FG3M 0.5 (GOBLIN) [id:10622237] | Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.5576335532518145,"['baylor scheierman', 'jordan goodwin', 'josh minott']",1,Baylor Scheierman OVER FG3M 0.5 (GOBLIN) [id:10622237],Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374],Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613],0,
3,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Josh Minott UNDER PRA 15.5 (STANDARD) [id:10634851] | Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374],0.40529001165305667,6.0,1.0,6.0,2.43174006991834,6.0,atlas,0.65,0.1861010010391548,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Josh Minott UNDER PRA 15.5 (STANDARD) [id:10634851] | Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.5552900116530567,"['guerschon yabusele', 'josh minott', 'jordan goodwin']",1,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917],Josh Minott UNDER PRA 15.5 (STANDARD) [id:10634851],Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374],0,
3,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Tari Eason UNDER PTS 10.5 (STANDARD) [id:10618569] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],0.4028466208455699,6.0,1.0,6.0,2.4170797250734193,6.0,atlas,0.65,0.2621410290799001,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Tari Eason UNDER PTS 10.5 (STANDARD) [id:10618569] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,3,1.0,0.8403466208455699,"['guerschon yabusele', 'tari eason', 'josh giddey']",1,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917],Tari Eason UNDER PTS 10.5 (STANDARD) [id:10618569],Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],0,
3,Baylor Scheierman OVER RA 4.5 (GOBLIN) [id:10626884] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613] | Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374],0.3998407413357676,6.0,1.0,6.0,2.3990444480146054,6.0,atlas,0.65,0.20025894722820722,Baylor Scheierman OVER RA 4.5 (GOBLIN) [id:10626884] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613] | Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.5498407413357675,"['baylor scheierman', 'josh minott', 'jordan goodwin']",1,Baylor Scheierman OVER RA 4.5 (GOBLIN) [id:10626884],Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613],Jordan Goodwin OVER PR 8.5 (STANDARD) [id:10622374],0,
3,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Bennedict Mathurin UNDER FG3M 1.5 (STANDARD) [id:10617067] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],0.39854438875899206,6.0,1.0,6.0,2.3912663325539523,6.0,atlas,0.6495617104956172,0.11160732812969086,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Bennedict Mathurin UNDER FG3M 1.5 (STANDARD) [id:10617067] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,2,0.6666666666666666,0.686044388758992,"['guerschon yabusele', 'bennedict mathurin', 'jordan goodwin']",1,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917],Bennedict Mathurin UNDER FG3M 1.5 (STANDARD) [id:10617067],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],0,
3,Matas Buzelis OVER REB 4.5 (GOBLIN) [id:10620104] | Baylor Scheierman OVER REB 4.5 (STANDARD) [id:10622055] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],0.3968967013329272,6.0,1.0,6.0,2.3813802079975632,6.0,atlas,0.65,0.1622947330860778,Matas Buzelis OVER REB 4.5 (GOBLIN) [id:10620104] | Baylor Scheierman OVER REB 4.5 (STANDARD) [id:10622055] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,3,1.0,0.8218967013329271,"['matas buzelis', 'baylor scheierman', 'josh giddey']",1,Matas Buzelis OVER REB 4.5 (GOBLIN) [id:10620104],Baylor Scheierman OVER REB 4.5 (STANDARD) [id:10622055],Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],0,
3,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613] | Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542],0.3957136228304811,6.0,1.0,6.0,2.3742817369828866,6.0,atlas,0.6442652681974228,0.31062293973350386,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613] | Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,1,0.3333333333333333,0.5332136228304811,"['guerschon yabusele', 'josh minott', 'drake powell']",1,Guerschon Yabusele OVER FG3M 0.5 (GOBLIN) [id:10622917],Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613],Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542],0,
3,John Collins OVER PR 11.5 (GOBLIN) [id:10628796] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613] | Luke Kennard OVER PRA 9.5 (STANDARD) [id:10630104],0.39522720803410144,6.0,1.0,6.0,2.3713632482046085,6.0,atlas,0.6469106499260335,0.1990817501694041,John Collins OVER PR 11.5 (GOBLIN) [id:10628796] | Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613] | Luke Kennard OVER PRA 9.5 (STANDARD) [id:10630104],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.5452272080341014,"['john collins', 'josh minott', 'luke kennard']",1,John Collins OVER PR 11.5 (GOBLIN) [id:10628796],Josh Minott UNDER REB 4.5 (STANDARD) [id:10625613],Luke Kennard OVER PRA 9.5 (STANDARD) [id:10630104],0,
3,Matas Buzelis OVER RA 6.5 (GOBLIN) [id:10623327] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070] | Baylor Scheierman OVER REB 4.5 (STANDARD) [id:10622055],0.38168439671544674,6.0,1.0,6.0,2.2901063802926807,6.0,atlas,0.65,0.1695026744992781,Matas Buzelis OVER RA 6.5 (GOBLIN) [id:10623327] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070] | Baylor Scheierman OVER REB 4.5 (STANDARD) [id:10622055],0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,3,1.0,0.8191843967154466,"['matas buzelis', 'josh giddey', 'baylor scheierman']",1,Matas Buzelis OVER RA 6.5 (GOBLIN) [id:10623327],Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],Baylor Scheierman OVER REB 4.5 (STANDARD) [id:10622055],0,
