n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Leonard Miller UNDER REB 6.5 (STANDARD) [id:10670380] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.33338612520285166,10.0,1.0,10.0,3.3338612520285165,10.0,atlas,0.7645951379302134,0.20142125788561552,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Leonard Miller UNDER REB 6.5 (STANDARD) [id:10670380] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.7833861252028516,"['amen thompson', 'zaccharie risacher', 'leonard miller', 'josh giddey']",1,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117],Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545],Leonard Miller UNDER REB 6.5 (STANDARD) [id:10670380],Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0,
4,Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345] | Leonard Miller UNDER REB 6.5 (STANDARD) [id:10670380],0.32751095162438026,10.0,1.0,10.0,3.275109516243803,10.0,atlas,0.7609205053934671,0.1947668463230249,Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345] | Leonard Miller UNDER REB 6.5 (STANDARD) [id:10670380],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.7775109516243802,"['zaccharie risacher', 'reed sheppard', 'josh giddey', 'leonard miller']",1,Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545],Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832],Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],Leonard Miller UNDER REB 6.5 (STANDARD) [id:10670380],0,
4,GG Jackson OVER PTS 9.5 (GOBLIN) [id:10674983] | Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Leonard Miller UNDER PTS 11.5 (STANDARD) [id:10670371] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.32305926013506986,10.0,1.0,10.0,3.2305926013506987,10.0,atlas,0.7587957178722192,0.20683124756535654,GG Jackson OVER PTS 9.5 (GOBLIN) [id:10674983] | Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Leonard Miller UNDER PTS 11.5 (STANDARD) [id:10670371] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.7730592601350699,"['gg jackson', 'zaccharie risacher', 'leonard miller', 'josh giddey']",1,GG Jackson OVER PTS 9.5 (GOBLIN) [id:10674983],Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545],Leonard Miller UNDER PTS 11.5 (STANDARD) [id:10670371],Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0,
4,Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832] | Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Leonard Miller UNDER PTS 11.5 (STANDARD) [id:10670371] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.3215680664654515,10.0,1.0,10.0,3.215680664654515,10.0,atlas,0.7578458128627201,0.21181345806657342,Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832] | Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Leonard Miller UNDER PTS 11.5 (STANDARD) [id:10670371] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.7715680664654514,"['reed sheppard', 'zaccharie risacher', 'leonard miller', 'josh giddey']",1,Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832],Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545],Leonard Miller UNDER PTS 11.5 (STANDARD) [id:10670371],Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0,
4,Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388] | Leonard Miller UNDER PRA 19.5 (STANDARD) [id:10670374],0.31953449944993795,10.0,1.0,10.0,3.1953449944993793,10.0,atlas,0.757474611172569,0.25035002918234667,Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545] | Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388] | Leonard Miller UNDER PRA 19.5 (STANDARD) [id:10670374],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.6195344994499379,"['zaccharie risacher', 'amen thompson', 'ayo dosunmu', 'leonard miller']",1,Zaccharie Risacher OVER RA 2.5 (GOBLIN) [id:10672545],Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117],Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388],Leonard Miller UNDER PRA 19.5 (STANDARD) [id:10670374],0,
4,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | GG Jackson OVER PA 11.5 (GOBLIN) [id:10675734] | Ayo Dosunmu UNDER PRA 26.5 (STANDARD) [id:10675390] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.2980065544101488,10.0,1.0,10.0,2.980065544101488,10.0,atlas,0.7427563369495167,0.2589516496855384,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | GG Jackson OVER PA 11.5 (GOBLIN) [id:10675734] | Ayo Dosunmu UNDER PRA 26.5 (STANDARD) [id:10675390] | Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.7480065544101487,"['amen thompson', 'gg jackson', 'ayo dosunmu', 'josh giddey']",1,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117],GG Jackson OVER PA 11.5 (GOBLIN) [id:10675734],Ayo Dosunmu UNDER PRA 26.5 (STANDARD) [id:10675390],Josh Giddey UNDER PA 29.5 (STANDARD) [id:10670345],0,
4,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Jock Landale OVER PTS 4.5 (GOBLIN) [id:10672762] | Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459],0.29302153083342863,10.0,1.0,10.0,2.9302153083342866,10.0,atlas,0.7402021472010508,0.16581405120956158,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Jock Landale OVER PTS 4.5 (GOBLIN) [id:10672762] | Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.5930215308334286,"['amen thompson', 'jock landale', 'ayo dosunmu', 'jaylen wells']",1,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117],Jock Landale OVER PTS 4.5 (GOBLIN) [id:10672762],Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388],Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459],0,
4,Jonathan Kuminga OVER RA 5.5 (GOBLIN) [id:10672372] | Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459] | Ayo Dosunmu UNDER PR 22.5 (STANDARD) [id:10675389],0.29089224737763353,10.0,1.0,10.0,2.908922473776335,10.0,atlas,0.7391431551584383,0.1569920808837459,Jonathan Kuminga OVER RA 5.5 (GOBLIN) [id:10672372] | Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459] | Ayo Dosunmu UNDER PR 22.5 (STANDARD) [id:10675389],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.5908922473776335,"['jonathan kuminga', 'amen thompson', 'jaylen wells', 'ayo dosunmu']",1,Jonathan Kuminga OVER RA 5.5 (GOBLIN) [id:10672372],Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117],Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459],Ayo Dosunmu UNDER PR 22.5 (STANDARD) [id:10675389],0,
4,GG Jackson OVER PTS 9.5 (GOBLIN) [id:10674983] | Jonathan Kuminga OVER RA 5.5 (GOBLIN) [id:10672372] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459] | Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388],0.2902044250552625,10.0,1.0,10.0,2.902044250552625,10.0,atlas,0.7381839918410517,0.15859537785169037,GG Jackson OVER PTS 9.5 (GOBLIN) [id:10674983] | Jonathan Kuminga OVER RA 5.5 (GOBLIN) [id:10672372] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459] | Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.5902044250552625,"['gg jackson', 'jonathan kuminga', 'jaylen wells', 'ayo dosunmu']",1,GG Jackson OVER PTS 9.5 (GOBLIN) [id:10674983],Jonathan Kuminga OVER RA 5.5 (GOBLIN) [id:10672372],Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459],Ayo Dosunmu UNDER PA 22.5 (STANDARD) [id:10675388],0,
4,GG Jackson OVER PR 14.5 (GOBLIN) [id:10675738] | Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459] | Jaden McDaniels UNDER PRA 24.5 (STANDARD) [id:10675422],0.2758774034250176,10.0,1.0,10.0,2.758774034250176,10.0,atlas,0.7289035906720355,0.14000070120007743,GG Jackson OVER PR 14.5 (GOBLIN) [id:10675738] | Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832] | Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459] | Jaden McDaniels UNDER PRA 24.5 (STANDARD) [id:10675422],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.7258774034250175,"['gg jackson', 'reed sheppard', 'jaylen wells', 'jaden mcdaniels']",1,GG Jackson OVER PR 14.5 (GOBLIN) [id:10675738],Reed Sheppard OVER PA 11.5 (GOBLIN) [id:10679832],Jaylen Wells OVER PA 13.5 (STANDARD) [id:10679459],Jaden McDaniels UNDER PRA 24.5 (STANDARD) [id:10675422],0,
