n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Jevon Carter OVER PR 7.5 (GOBLIN) [id:10804660] | Kawhi Leonard UNDER FG3M 2.5 (STANDARD) [id:10799705] | Bam Adebayo OVER PTS 20.5 (STANDARD) [id:10796648],0.4323549420541235,6.0,0.7564728265292231,4.538836959175338,1.9623885904773675,6.0,pp_kernel,0.7602526913145805,0.03555793137355239,Jevon Carter OVER PR 7.5 (GOBLIN) [id:10804660] | Kawhi Leonard UNDER FG3M 2.5 (STANDARD) [id:10799705] | Bam Adebayo OVER PTS 20.5 (STANDARD) [id:10796648],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,2.4123885904773674,"['jevon carter', 'kawhi leonard', 'bam adebayo']",1.9623885904773675,1,Jevon Carter OVER PR 7.5 (GOBLIN) [id:10804660],Kawhi Leonard UNDER FG3M 2.5 (STANDARD) [id:10799705],Bam Adebayo OVER PTS 20.5 (STANDARD) [id:10796648],0,
3,Daniss Jenkins OVER PR 14.5 (GOBLIN) [id:10801559] | Kyle Filipowski OVER PRA 24.5 (STANDARD) [id:10802485] | Desmond Bane UNDER PTS 21.5 (STANDARD) [id:10799774],0.41528528496515144,6.0,0.7830593783955199,4.698356270373119,1.9511582226097068,6.0,pp_kernel,0.7515719751492457,0.05258322805589666,Daniss Jenkins OVER PR 14.5 (GOBLIN) [id:10801559] | Kyle Filipowski OVER PRA 24.5 (STANDARD) [id:10802485] | Desmond Bane UNDER PTS 21.5 (STANDARD) [id:10799774],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,2.401158222609707,"['daniss jenkins', 'kyle filipowski', 'desmond bane']",1.9511582226097068,1,Daniss Jenkins OVER PR 14.5 (GOBLIN) [id:10801559],Kyle Filipowski OVER PRA 24.5 (STANDARD) [id:10802485],Desmond Bane UNDER PTS 21.5 (STANDARD) [id:10799774],0,
3,Jevon Carter OVER PRA 12.5 (GOBLIN) [id:10800394] | Derrick Jones UNDER PTS 12.5 (STANDARD) [id:10798145] | Naji Marshall OVER PA 20.5 (STANDARD) [id:10799104],0.39888065163665415,6.0,0.8140810275853145,4.884486165511888,1.9483270246096038,6.0,pp_kernel,0.7428800381141475,0.07406458510858933,Jevon Carter OVER PRA 12.5 (GOBLIN) [id:10800394] | Derrick Jones UNDER PTS 12.5 (STANDARD) [id:10798145] | Naji Marshall OVER PA 20.5 (STANDARD) [id:10799104],0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,2.398327024609604,"['jevon carter', 'derrick jones', 'naji marshall']",1.9483270246096038,1,Jevon Carter OVER PRA 12.5 (GOBLIN) [id:10800394],Derrick Jones UNDER PTS 12.5 (STANDARD) [id:10798145],Naji Marshall OVER PA 20.5 (STANDARD) [id:10799104],0,
3,Tre Jones OVER PTS 10.5 (GOBLIN) [id:10797954] | Kevin Huerter OVER PTS 8.5 (STANDARD) [id:10801519] | Ausar Thompson UNDER PRA 18.5 (STANDARD) [id:10800812],0.47677828232479036,6.0,0.6820794697517352,4.092476818510411,1.9512040679834166,6.0,pp_kernel,0.7835543224939148,0.07527482419895194,Tre Jones OVER PTS 10.5 (GOBLIN) [id:10797954] | Kevin Huerter OVER PTS 8.5 (STANDARD) [id:10801519] | Ausar Thompson UNDER PRA 18.5 (STANDARD) [id:10800812],0.005,0.0,0.0,0.0,0.0,0.005,0.0,3,1.0,2.3962040679834167,"['tre jones', 'kevin huerter', 'ausar thompson']",1.9512040679834166,1,Tre Jones OVER PTS 10.5 (GOBLIN) [id:10797954],Kevin Huerter OVER PTS 8.5 (STANDARD) [id:10801519],Ausar Thompson UNDER PRA 18.5 (STANDARD) [id:10800812],0,
3,Taurean Prince OVER RA 2.5 (GOBLIN) [id:10798613] | Gui Santos UNDER REB 5.5 (STANDARD) [id:10798932] | Ty Jerome OVER PRA 30.5 (STANDARD) [id:10796313],0.5207334598983475,6.0,0.6387657927598993,3.832594756559396,1.995760327971439,6.0,pp_kernel,0.8073572088838418,0.06692379540594455,Taurean Prince OVER RA 2.5 (GOBLIN) [id:10798613] | Gui Santos UNDER REB 5.5 (STANDARD) [id:10798932] | Ty Jerome OVER PRA 30.5 (STANDARD) [id:10796313],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.995760327971439,"['taurean prince', 'gui santos', 'ty jerome']",1.995760327971439,1,Taurean Prince OVER RA 2.5 (GOBLIN) [id:10798613],Gui Santos UNDER REB 5.5 (STANDARD) [id:10798932],Ty Jerome OVER PRA 30.5 (STANDARD) [id:10796313],0,
3,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061] | Brandon Ingram UNDER PRA 31.5 (STANDARD) [id:10802287] | Nickeil Alexander-Walker OVER PRA 28.5 (STANDARD) [id:10796260],0.5095061387868942,6.0,0.6526203349171819,3.9157220095030913,1.9950844016247784,6.0,pp_kernel,0.8015812052666709,0.184123596302913,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061] | Brandon Ingram UNDER PRA 31.5 (STANDARD) [id:10802287] | Nickeil Alexander-Walker OVER PRA 28.5 (STANDARD) [id:10796260],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9950844016247784,"['andrew nembhard', 'brandon ingram', 'nickeil alexander-walker']",1.9950844016247784,1,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061],Brandon Ingram UNDER PRA 31.5 (STANDARD) [id:10802287],Nickeil Alexander-Walker OVER PRA 28.5 (STANDARD) [id:10796260],0,
3,Taurean Prince OVER FG3M 0.5 (GOBLIN) [id:10801399] | Jalen Williams OVER AST 4 (STANDARD) [id:10802120] | Brandon Ingram UNDER AST 3.5 (STANDARD) [id:10802284],0.5095768401878557,6.0,0.6522283449692329,3.9133700698153975,1.9941627546622582,6.0,pp_kernel,0.8015982766119046,0.08972349113387479,Taurean Prince OVER FG3M 0.5 (GOBLIN) [id:10801399] | Jalen Williams OVER AST 4 (STANDARD) [id:10802120] | Brandon Ingram UNDER AST 3.5 (STANDARD) [id:10802284],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9941627546622582,"['taurean prince', 'jalen williams', 'brandon ingram']",1.9941627546622582,1,Taurean Prince OVER FG3M 0.5 (GOBLIN) [id:10801399],Jalen Williams OVER AST 4 (STANDARD) [id:10802120],Brandon Ingram UNDER AST 3.5 (STANDARD) [id:10802284],0,
3,Taurean Prince OVER RA 3.5 (GOBLIN) [id:10798275] | Jarace Walker UNDER PR 21.5 (STANDARD) [id:10802153] | Gary Payton OVER PRA 18.5 (STANDARD) [id:10798882],0.5238667921871512,6.0,0.6338735146254816,3.8032410877528893,1.9923917085554776,6.0,pp_kernel,0.8088709022098493,0.08658829437746579,Taurean Prince OVER RA 3.5 (GOBLIN) [id:10798275] | Jarace Walker UNDER PR 21.5 (STANDARD) [id:10802153] | Gary Payton OVER PRA 18.5 (STANDARD) [id:10798882],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9923917085554776,"['taurean prince', 'jarace walker', 'gary payton']",1.9923917085554776,1,Taurean Prince OVER RA 3.5 (GOBLIN) [id:10798275],Jarace Walker UNDER PR 21.5 (STANDARD) [id:10802153],Gary Payton OVER PRA 18.5 (STANDARD) [id:10798882],0,
3,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061] | Luguentz Dort UNDER PA 7.5 (STANDARD) [id:10799364] | Ty Jerome OVER AST 5.5 (STANDARD) [id:10800221],0.5158603895224817,6.0,0.6430631431984276,3.858378859190566,1.9903848212273538,6.0,pp_kernel,0.8047126450636339,0.07217962404742313,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061] | Luguentz Dort UNDER PA 7.5 (STANDARD) [id:10799364] | Ty Jerome OVER AST 5.5 (STANDARD) [id:10800221],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9903848212273538,"['andrew nembhard', 'luguentz dort', 'ty jerome']",1.9903848212273538,1,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061],Luguentz Dort UNDER PA 7.5 (STANDARD) [id:10799364],Ty Jerome OVER AST 5.5 (STANDARD) [id:10800221],0,
3,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061] | Amen Thompson OVER PR 26.5 (STANDARD) [id:10797523] | Keldon Johnson UNDER PA 14.5 (STANDARD) [id:10796504],0.4033647567400757,6.0,0.8223820020426132,4.934292012255679,1.9903194972080107,6.0,pp_kernel,0.746609001888341,0.07574788144356108,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061] | Amen Thompson OVER PR 26.5 (STANDARD) [id:10797523] | Keldon Johnson UNDER PA 14.5 (STANDARD) [id:10796504],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9903194972080107,"['andrew nembhard', 'amen thompson', 'keldon johnson']",1.9903194972080107,1,Andrew Nembhard OVER AST 5.5 (GOBLIN) [id:10800061],Amen Thompson OVER PR 26.5 (STANDARD) [id:10797523],Keldon Johnson UNDER PA 14.5 (STANDARD) [id:10796504],0,
