slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.234,2.145,0.5018,Ausar Thompson,DET,ORL,AST,OVER,GOBLIN,1.5,0.7706
5-leg,True,0.234,2.145,0.5018,Austin Reaves,LAL,OKC,RA,OVER,GOBLIN,7.5,0.7479
5-leg,True,0.234,2.145,0.5018,Jalen Duren,DET,ORL,PTS,OVER,STANDARD,12.5,0.8488
5-leg,True,0.234,2.145,0.5018,Paolo Banchero,ORL,DET,PA,OVER,STANDARD,29.5,0.8528
5-leg,True,0.234,2.145,0.5018,Kelly Oubre,PHI,NYK,PRA,OVER,DEMON,18.5,0.6376
4-leg,True,0.3068,1.897,0.5821,Cade Cunningham,DET,ORL,PRA,OVER,GOBLIN,41.5,0.7994
4-leg,True,0.3068,1.897,0.5821,Chet Holmgren,OKC,LAL,REB,OVER,GOBLIN,7.5,0.7187
4-leg,True,0.3068,1.897,0.5821,Sam Merrill,CLE,TOR,PTS,OVER,STANDARD,5.5,0.7302
4-leg,True,0.3068,1.897,0.5821,Julian Champagnie,SAS,MIN,PTS,OVER,STANDARD,8.5,0.7195
3-leg,True,0.5017,1.931,0.9688,Daniss Jenkins,DET,ORL,REB,OVER,GOBLIN,1.5,0.7466
3-leg,True,0.5017,1.931,0.9688,Wendell Carter,ORL,DET,PTS,OVER,STANDARD,9.5,0.704
3-leg,True,0.5017,1.931,0.9688,Quentin Grimes,PHI,NYK,PTS,OVER,STANDARD,6.5,0.7031
