slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.1406,2.145,0.3015,Ajay Mitchell,OKC,LAL,PTS,OVER,GOBLIN,11.5,0.7911
5-leg,True,0.1406,2.145,0.3015,Alex Caruso,OKC,LAL,PTS,OVER,GOBLIN,4.5,0.6997
5-leg,True,0.1406,2.145,0.3015,Jordan Clarkson,NYK,PHI,PA,OVER,STANDARD,6.5,0.7537
5-leg,True,0.1406,2.145,0.3015,Tobias Harris,DET,CLE,PTS,OVER,STANDARD,18.0,0.7393
5-leg,True,0.1406,2.145,0.3015,Ausar Thompson,DET,CLE,REB,OVER,DEMON,7.5,0.5035
4-leg,True,0.3212,1.897,0.6093,Anthony Edwards,MIN,SAS,REB,OVER,GOBLIN,3.5,0.6963
4-leg,True,0.3212,1.897,0.6093,Austin Reaves,LAL,OKC,REB,OVER,GOBLIN,2.5,0.7794
4-leg,True,0.3212,1.897,0.6093,Isaiah Joe,OKC,LAL,PTS,OVER,STANDARD,4.5,0.8162
4-leg,True,0.3212,1.897,0.6093,Mitchell Robinson,NYK,PHI,PTS,OVER,STANDARD,4.5,0.7289
3-leg,True,0.5079,1.931,0.9807,Ayo Dosunmu,MIN,SAS,PTS,OVER,GOBLIN,6.5,0.6837
3-leg,True,0.5079,1.931,0.9807,Karl-Anthony Towns,NYK,PHI,AST,OVER,STANDARD,4.5,0.8061
3-leg,True,0.5079,1.931,0.9807,Quentin Grimes,PHI,NYK,PRA,OVER,STANDARD,11.5,0.7795
