n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | GG Jackson UNDER PTS 14.5 (STANDARD) [id:10674985] | Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107],0.3145581368505714,6.0,1.120892998012438,6.725357988074628,2.1155160783818623,6.0,pp_kernel,0.6847927435780964,0.03281930408720423,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | GG Jackson UNDER PTS 14.5 (STANDARD) [id:10674985] | Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.1155160783818623,"['trey murphy', 'gg jackson', 'rui hachimura']",2.1155160783818623,1,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781],GG Jackson UNDER PTS 14.5 (STANDARD) [id:10674985],Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107],0,
3,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107] | Brook Lopez UNDER PR 13.5 (STANDARD) [id:10669722],0.30758577218036204,6.0,1.1180078342230788,6.708047005338473,2.0632998179591993,6.0,pp_kernel,0.6802532957005248,0.03281930408720423,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107] | Brook Lopez UNDER PR 13.5 (STANDARD) [id:10669722],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0632998179591993,"['trey murphy', 'rui hachimura', 'brook lopez']",2.0632998179591993,1,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781],Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107],Brook Lopez UNDER PR 13.5 (STANDARD) [id:10669722],0,
3,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Jarace Walker UNDER PRA 27.5 (STANDARD) [id:10675819] | Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465],0.29876160240106336,6.0,1.1217733089031572,6.730639853418943,2.0108567477919017,6.0,pp_kernel,0.6789170215603866,0.01544276280733413,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Jarace Walker UNDER PRA 27.5 (STANDARD) [id:10675819] | Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0108567477919017,"['amen thompson', 'jarace walker', 'kawhi leonard']",2.0108567477919017,1,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020],Jarace Walker UNDER PRA 27.5 (STANDARD) [id:10675819],Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465],0,
3,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10669373] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10675275] | Darius Garland UNDER PTS 21 (STANDARD) [id:10669732],0.31153461246444303,6.0,1.0704560972510369,6.422736583506222,2.0009047525038115,6.0,pp_kernel,0.6816973604397857,0.015358983515343693,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10669373] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10675275] | Darius Garland UNDER PTS 21 (STANDARD) [id:10669732],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0009047525038115,"['amen thompson', 'jarace walker', 'darius garland']",2.0009047525038115,1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10669373],Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10675275],Darius Garland UNDER PTS 21 (STANDARD) [id:10669732],0,
3,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465] | Jarace Walker UNDER AST 3.5 (STANDARD) [id:10675264],0.28958547988724026,6.0,1.148058142155264,6.888348852931584,1.9947658082069137,6.0,pp_kernel,0.6726482796934418,0.01544276280733413,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465] | Jarace Walker UNDER AST 3.5 (STANDARD) [id:10675264],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9947658082069137,"['amen thompson', 'kawhi leonard', 'jarace walker']",1.9947658082069137,1,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020],Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465],Jarace Walker UNDER AST 3.5 (STANDARD) [id:10675264],0,
3,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Jayson Tatum UNDER PA 26.5 (STANDARD) [id:10671115] | Gui Santos UNDER PR 19.5 (STANDARD) [id:10671029],0.3010755853822866,6.0,1.0996862810807415,6.598117686484449,1.9865321448795243,6.0,pp_kernel,0.6772589323390344,0.01579504706057758,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Jayson Tatum UNDER PA 26.5 (STANDARD) [id:10671115] | Gui Santos UNDER PR 19.5 (STANDARD) [id:10671029],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9865321448795243,"['john collins', 'jayson tatum', 'gui santos']",1.9865321448795243,1,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659],Jayson Tatum UNDER PA 26.5 (STANDARD) [id:10671115],Gui Santos UNDER PR 19.5 (STANDARD) [id:10671029],0,
3,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | Jarace Walker UNDER PRA 27.5 (STANDARD) [id:10675819] | GG Jackson UNDER PTS 14.5 (STANDARD) [id:10674985],0.299142924367681,6.0,1.0952301117313472,6.571380670388083,1.965782030873143,6.0,pp_kernel,0.6739590990254344,0.015142070111186373,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | Jarace Walker UNDER PRA 27.5 (STANDARD) [id:10675819] | GG Jackson UNDER PTS 14.5 (STANDARD) [id:10674985],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.965782030873143,"['jeremiah fears', 'jarace walker', 'gg jackson']",1.965782030873143,1,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101],Jarace Walker UNDER PRA 27.5 (STANDARD) [id:10675819],GG Jackson UNDER PTS 14.5 (STANDARD) [id:10674985],0,
3,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882] | Jock Landale OVER FG3M 0.5 (STANDARD) [id:10669890],0.2959714342193001,6.0,1.0991828505424859,6.595097103254915,1.9519603484659087,6.0,pp_kernel,0.6720264717558974,0.04116653047829751,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882] | Jock Landale OVER FG3M 0.5 (STANDARD) [id:10669890],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9519603484659087,"['jeremiah fears', 'rob dillingham', 'jock landale']",1.9519603484659087,1,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101],Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882],Jock Landale OVER FG3M 0.5 (STANDARD) [id:10669890],0,
3,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422] | Jock Landale OVER REB 4 (STANDARD) [id:10680664] | Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465],0.28332785461722765,6.0,1.148058142155264,6.888348852931584,1.9516611023561465,6.0,pp_kernel,0.663126414004415,0.04097087766937917,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422] | Jock Landale OVER REB 4 (STANDARD) [id:10680664] | Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9516611023561465,"['jabari smith', 'jock landale', 'kawhi leonard']",1.9516611023561465,1,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422],Jock Landale OVER REB 4 (STANDARD) [id:10680664],Kawhi Leonard UNDER AST 4 (STANDARD) [id:10681465],0,
3,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Jalen Smith UNDER PTS 12.5 (STANDARD) [id:10670319] | RJ Barrett UNDER PR 27.5 (STANDARD) [id:10670431],0.3030928071765509,6.0,1.0691334878712748,6.414800927227649,1.9442800205121697,6.0,pp_kernel,0.6807645674219825,0.015441441541273445,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Jalen Smith UNDER PTS 12.5 (STANDARD) [id:10670319] | RJ Barrett UNDER PR 27.5 (STANDARD) [id:10670431],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9442800205121697,"['dejounte murray', 'jalen smith', 'rj barrett']",1.9442800205121697,1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Jalen Smith UNDER PTS 12.5 (STANDARD) [id:10670319],RJ Barrett UNDER PR 27.5 (STANDARD) [id:10670431],0,
