n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Rui Hachimura OVER PR 7.5 (GOBLIN) [id:10677567] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10673024] | Darius Garland UNDER PTS 21 (STANDARD) [id:10669732] | Leonard Miller UNDER REB 6 (STANDARD) [id:10670380],0.25089930661504617,10.0,1.0,10.0,2.508993066150462,10.0,atlas,0.7105067103930328,0.035677640454695556,Rui Hachimura OVER PR 7.5 (GOBLIN) [id:10677567] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10673024] | Darius Garland UNDER PTS 21 (STANDARD) [id:10669732] | Leonard Miller UNDER REB 6 (STANDARD) [id:10670380],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25089930661504617,"['rui hachimura', 'jabari smith', 'darius garland', 'leonard miller']",1,Rui Hachimura OVER PR 7.5 (GOBLIN) [id:10677567],Jabari Smith OVER PR 14.5 (GOBLIN) [id:10673024],Darius Garland UNDER PTS 21 (STANDARD) [id:10669732],Leonard Miller UNDER REB 6 (STANDARD) [id:10670380],0,
4,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10674112] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Cooper Flagg UNDER RA 12.5 (STANDARD) [id:10672956] | Leonard Miller UNDER PRA 18.5 (STANDARD) [id:10670374],0.24988957197934675,10.0,1.0,10.0,2.4988957197934676,10.0,atlas,0.7189789519756369,0.021416562751701076,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10674112] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Cooper Flagg UNDER RA 12.5 (STANDARD) [id:10672956] | Leonard Miller UNDER PRA 18.5 (STANDARD) [id:10670374],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.24988957197934675,"['rui hachimura', 'dejounte murray', 'cooper flagg', 'leonard miller']",1,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10674112],Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Cooper Flagg UNDER RA 12.5 (STANDARD) [id:10672956],Leonard Miller UNDER PRA 18.5 (STANDARD) [id:10670374],0,
4,Jeremiah Fears OVER PRA 12.5 (GOBLIN) [id:10692096] | Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | Darius Garland UNDER PA 28.5 (STANDARD) [id:10669733],0.235612241808612,10.0,1.0,10.0,2.35612241808612,10.0,atlas,0.7006848851861187,0.027101112493030828,Jeremiah Fears OVER PRA 12.5 (GOBLIN) [id:10692096] | Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | Darius Garland UNDER PA 28.5 (STANDARD) [id:10669733],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.235612241808612,"['jeremiah fears', 'austin reaves', 'leonard miller', 'darius garland']",1,Jeremiah Fears OVER PRA 12.5 (GOBLIN) [id:10692096],Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788],Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371],Darius Garland UNDER PA 28.5 (STANDARD) [id:10669733],0,
4,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097] | Reed Sheppard OVER PR 11.5 (GOBLIN) [id:10678083] | Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10671114],0.22774213247423641,10.0,1.0,10.0,2.277421324742364,10.0,atlas,0.6931261137204838,0.030586689608687087,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097] | Reed Sheppard OVER PR 11.5 (GOBLIN) [id:10678083] | Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10671114],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.22774213247423641,"['rui hachimura', 'reed sheppard', 'rob dillingham', 'jayson tatum']",1,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097],Reed Sheppard OVER PR 11.5 (GOBLIN) [id:10678083],Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882],Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10671114],0,
4,Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10674125] | Zion Williamson OVER REB 3.5 (GOBLIN) [id:10697299] | Leonard Miller UNDER PRA 18.5 (STANDARD) [id:10670374] | Bones Hyland UNDER AST 4.5 (STANDARD) [id:10677185],0.22016235405856188,10.0,1.0,10.0,2.2016235405856186,10.0,atlas,0.6896597442910858,0.02468804474365785,Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10674125] | Zion Williamson OVER REB 3.5 (GOBLIN) [id:10697299] | Leonard Miller UNDER PRA 18.5 (STANDARD) [id:10670374] | Bones Hyland UNDER AST 4.5 (STANDARD) [id:10677185],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.22016235405856188,"['rui hachimura', 'zion williamson', 'leonard miller', 'bones hyland']",1,Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10674125],Zion Williamson OVER REB 3.5 (GOBLIN) [id:10697299],Leonard Miller UNDER PRA 18.5 (STANDARD) [id:10670374],Bones Hyland UNDER AST 4.5 (STANDARD) [id:10677185],0,
4,Jeremiah Fears OVER PTS 7.5 (GOBLIN) [id:10692085] | Zaccharie Risacher OVER PTS 4.5 (GOBLIN) [id:10672794] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10671114] | Jaylin Williams UNDER PTS 13 (STANDARD) [id:10692757],0.21887258834294732,10.0,1.0,10.0,2.1887258834294734,10.0,atlas,0.686211473209677,0.03169717125648499,Jeremiah Fears OVER PTS 7.5 (GOBLIN) [id:10692085] | Zaccharie Risacher OVER PTS 4.5 (GOBLIN) [id:10672794] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10671114] | Jaylin Williams UNDER PTS 13 (STANDARD) [id:10692757],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.21887258834294732,"['jeremiah fears', 'zaccharie risacher', 'jayson tatum', 'jaylin williams']",1,Jeremiah Fears OVER PTS 7.5 (GOBLIN) [id:10692085],Zaccharie Risacher OVER PTS 4.5 (GOBLIN) [id:10672794],Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10671114],Jaylin Williams UNDER PTS 13 (STANDARD) [id:10692757],0,
4,Kris Dunn OVER PR 7.5 (GOBLIN) [id:10675879] | Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10678934] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | RJ Barrett UNDER PTS 21.5 (STANDARD) [id:10670429],0.2159175314250985,10.0,1.0,10.0,2.159175314250985,10.0,atlas,0.6831324190859719,0.04489539367818148,Kris Dunn OVER PR 7.5 (GOBLIN) [id:10675879] | Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10678934] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | RJ Barrett UNDER PTS 21.5 (STANDARD) [id:10670429],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2159175314250985,"['kris dunn', 'ivica zubac', 'leonard miller', 'rj barrett']",1,Kris Dunn OVER PR 7.5 (GOBLIN) [id:10675879],Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10678934],Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371],RJ Barrett UNDER PTS 21.5 (STANDARD) [id:10670429],0,
4,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Marcus Smart OVER REB 1.5 (GOBLIN) [id:10670688] | Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10673945] | Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882],0.20685719866923227,10.0,1.0,10.0,2.068571986692323,10.0,atlas,0.6835899983310949,0.02286542128486295,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Marcus Smart OVER REB 1.5 (GOBLIN) [id:10670688] | Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10673945] | Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.20685719866923227,"['dejounte murray', 'marcus smart', 'baylor scheierman', 'rob dillingham']",1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Marcus Smart OVER REB 1.5 (GOBLIN) [id:10670688],Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10673945],Rob Dillingham UNDER PRA 12.5 (STANDARD) [id:10697882],0,
4,Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764] | Austin Reaves OVER REB 2.5 (GOBLIN) [id:10673679] | Gui Santos UNDER PRA 22.5 (STANDARD) [id:10671034] | Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10671264],0.2051802273073231,10.0,1.0,10.0,2.051802273073231,10.0,atlas,0.6777545440146888,0.029547180133113374,Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764] | Austin Reaves OVER REB 2.5 (GOBLIN) [id:10673679] | Gui Santos UNDER PRA 22.5 (STANDARD) [id:10671034] | Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10671264],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2051802273073231,"['jock landale', 'austin reaves', 'gui santos', 'brook lopez']",1,Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764],Austin Reaves OVER REB 2.5 (GOBLIN) [id:10673679],Gui Santos UNDER PRA 22.5 (STANDARD) [id:10671034],Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10671264],0,
4,Jeremiah Fears OVER PA 9.5 (GOBLIN) [id:10692089] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10673024] | Brandon Ingram UNDER PTS 23.5 (STANDARD) [id:10670232] | Jock Landale OVER REB 4 (STANDARD) [id:10680664],0.20399258671377032,10.0,1.0,10.0,2.039925867137703,10.0,atlas,0.6766072487574821,0.05483298546407552,Jeremiah Fears OVER PA 9.5 (GOBLIN) [id:10692089] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10673024] | Brandon Ingram UNDER PTS 23.5 (STANDARD) [id:10670232] | Jock Landale OVER REB 4 (STANDARD) [id:10680664],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.20399258671377032,"['jeremiah fears', 'jabari smith', 'brandon ingram', 'jock landale']",1,Jeremiah Fears OVER PA 9.5 (GOBLIN) [id:10692089],Jabari Smith OVER PR 14.5 (GOBLIN) [id:10673024],Brandon Ingram UNDER PTS 23.5 (STANDARD) [id:10670232],Jock Landale OVER REB 4 (STANDARD) [id:10680664],0,
