n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jaden McDaniels OVER FG3M 0.5 (GOBLIN) [id:10654802] | Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.1894421892937772,10.0,1.0,10.0,1.894421892937772,10.0,atlas,0.6623147158953826,0.024040915607326907,Jaden McDaniels OVER FG3M 0.5 (GOBLIN) [id:10654802] | Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.33944218929377723,"['jaden mcdaniels', 'jalen green', 'tristan silva', 'coby white']",1,Jaden McDaniels OVER FG3M 0.5 (GOBLIN) [id:10654802],Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
4,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Ayo Dosunmu UNDER PTS 15.5 (STANDARD) [id:10649095] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.17876296623417354,10.0,1.0,10.0,1.7876296623417354,10.0,atlas,0.6543806240977936,0.02376860086514504,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Ayo Dosunmu UNDER PTS 15.5 (STANDARD) [id:10649095] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.32876296623417356,"['norman powell', 'tristan silva', 'ayo dosunmu', 'coby white']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Ayo Dosunmu UNDER PTS 15.5 (STANDARD) [id:10649095],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
4,Royce O'Neale OVER AST 1.5 (GOBLIN) [id:10649499] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0.17487973859904032,10.0,1.0,10.0,1.7487973859904034,10.0,atlas,0.6581450677430769,0.0333657495669427,Royce O'Neale OVER AST 1.5 (GOBLIN) [id:10649499] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.3248797385990403,"[""royce o'neale"", 'trendon watford', 'tristan silva', 'grant williams']",1,Royce O'Neale OVER AST 1.5 (GOBLIN) [id:10649499],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0,
4,Luguentz Dort OVER PTS 4.5 (GOBLIN) [id:10645013] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Miles Bridges OVER PA 19.5 (DEMON) [id:10648335],0.1668661121402418,10.0,1.0,10.0,1.668661121402418,10.0,atlas,0.6501024319434776,0.05584796111977517,Luguentz Dort OVER PTS 4.5 (GOBLIN) [id:10645013] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Miles Bridges OVER PA 19.5 (DEMON) [id:10648335],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.3168661121402418,"['luguentz dort', 'tristan silva', 'jordan goodwin', 'miles bridges']",1,Luguentz Dort OVER PTS 4.5 (GOBLIN) [id:10645013],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Miles Bridges OVER PA 19.5 (DEMON) [id:10648335],0,
4,Davion Mitchell OVER AST 4.5 (GOBLIN) [id:10643874] | Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.16316635555191455,10.0,1.0,10.0,1.6316635555191454,10.0,atlas,0.6378145195085145,0.034029420313464814,Davion Mitchell OVER AST 4.5 (GOBLIN) [id:10643874] | Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.3131663555519145,"['davion mitchell', 'adem bona', 'jalen green', 'coby white']",1,Davion Mitchell OVER AST 4.5 (GOBLIN) [id:10643874],Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808],Jalen Green UNDER PTS 22 (STANDARD) [id:10649334],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
4,Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498] | Jaden McDaniels UNDER PR 19.5 (STANDARD) [id:10649301] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.16011446381742003,10.0,1.0,10.0,1.6011446381742003,10.0,atlas,0.6462443333359509,0.04008885181120241,Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498] | Jaden McDaniels UNDER PR 19.5 (STANDARD) [id:10649301] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.31011446381742,"[""royce o'neale"", 'jaden mcdaniels', 'tristan silva', 'grant williams']",1,Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498],Jaden McDaniels UNDER PR 19.5 (STANDARD) [id:10649301],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0,
4,Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149] | Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.15688532147023296,10.0,1.0,10.0,1.5688532147023295,10.0,atlas,0.6328847966887696,0.03554421492971458,Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149] | Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.30688532147023295,"['grayson allen', 'jaden mcdaniels', 'justin edwards', 'coby white']",1,Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149],Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
4,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Jaden McDaniels UNDER PA 18.5 (STANDARD) [id:10649300] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.15470254501760683,10.0,1.0,10.0,1.5470254501760683,10.0,atlas,0.6304873171223415,0.02588592710522674,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Jaden McDaniels UNDER PA 18.5 (STANDARD) [id:10649300] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.30470254501760685,"[""royce o'neale"", 'jaden mcdaniels', 'cameron payne', 'coby white']",1,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227],Jaden McDaniels UNDER PA 18.5 (STANDARD) [id:10649300],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
4,Isaiah Hartenstein OVER AST 1.5 (GOBLIN) [id:10644996] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0.15147182062094536,10.0,1.0,10.0,1.5147182062094535,10.0,atlas,0.6259284579032292,0.060796259458343924,Isaiah Hartenstein OVER AST 1.5 (GOBLIN) [id:10644996] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.30147182062094535,"['isaiah hartenstein', 'moussa diabaté', 'jordan goodwin', 'jaylon tyson']",1,Isaiah Hartenstein OVER AST 1.5 (GOBLIN) [id:10644996],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0,
4,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Grant Williams OVER PR 10.5 (DEMON) [id:10654249],0.14546203740380423,10.0,1.0,10.0,1.4546203740380423,10.0,atlas,0.6201047158291045,0.058207242434100824,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Grant Williams OVER PR 10.5 (DEMON) [id:10654249],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.2954620374038042,"['norman powell', 'james harden', 'cameron payne', 'grant williams']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],James Harden OVER PTS 19.5 (STANDARD) [id:10645153],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Grant Williams OVER PR 10.5 (DEMON) [id:10654249],0,
