n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Jayson Tatum UNDER PA 26.5 (STANDARD) [id:10671115] | Daniel Gafford UNDER RA 8.5 (STANDARD) [id:10672290] | Julius Randle OVER AST 5.5 (DEMON) [id:10675432],0.06636270595218706,20.0,1.0327710668163146,20.65542133632629,1.3707496524611524,20.0,pp_kernel,0.6146544679616825,0.04206904517326182,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Jayson Tatum UNDER PA 26.5 (STANDARD) [id:10671115] | Daniel Gafford UNDER RA 8.5 (STANDARD) [id:10672290] | Julius Randle OVER AST 5.5 (DEMON) [id:10675432],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3707496524611524,"['jeremiah fears', 'john collins', 'jayson tatum', 'daniel gafford', 'julius randle']",1.3707496524611524,1,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101],John Collins OVER PTS 7.5 (GOBLIN) [id:10671659],Jayson Tatum UNDER PA 26.5 (STANDARD) [id:10671115],Daniel Gafford UNDER RA 8.5 (STANDARD) [id:10672290],Julius Randle OVER AST 5.5 (DEMON) [id:10675432],0,
5,John Collins OVER PTS 9.5 (GOBLIN) [id:10671658] | Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | Spencer Jones UNDER PTS 7.5 (STANDARD) [id:10694256] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | Ivica Zubac OVER REB 9.5 (DEMON) [id:10675247],0.10828037868217953,20.0,0.6243608463850199,12.487216927700398,1.3521205776179217,20.0,pp_kernel,0.6576768635593379,0.0367977961067313,John Collins OVER PTS 9.5 (GOBLIN) [id:10671658] | Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | Spencer Jones UNDER PTS 7.5 (STANDARD) [id:10694256] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | Ivica Zubac OVER REB 9.5 (DEMON) [id:10675247],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3521205776179217,"['john collins', 'trey murphy', 'spencer jones', 'leonard miller', 'ivica zubac']",1.3521205776179217,1,John Collins OVER PTS 9.5 (GOBLIN) [id:10671658],Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781],Spencer Jones UNDER PTS 7.5 (STANDARD) [id:10694256],Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371],Ivica Zubac OVER REB 9.5 (DEMON) [id:10675247],0,
5,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097] | Jalen Johnson UNDER RA 18.5 (STANDARD) [id:10669886] | Donte DiVincenzo UNDER PR 19.5 (STANDARD) [id:10678911] | Jamal Shead OVER PTS 7.5 (DEMON) [id:10697214],0.04714475991756929,20.0,1.4206827672040299,28.413655344080595,1.3395549595772394,20.0,pp_kernel,0.5743466938165692,0.03348510986062811,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097] | Jalen Johnson UNDER RA 18.5 (STANDARD) [id:10669886] | Donte DiVincenzo UNDER PR 19.5 (STANDARD) [id:10678911] | Jamal Shead OVER PTS 7.5 (DEMON) [id:10697214],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3395549595772394,"['john collins', 'rui hachimura', 'jalen johnson', 'donte divincenzo', 'jamal shead']",1.3395549595772394,1,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659],Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097],Jalen Johnson UNDER RA 18.5 (STANDARD) [id:10669886],Donte DiVincenzo UNDER PR 19.5 (STANDARD) [id:10678911],Jamal Shead OVER PTS 7.5 (DEMON) [id:10697214],0,
5,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Zaccharie Risacher OVER PTS 4.5 (GOBLIN) [id:10672794] | Leonard Miller UNDER PR 16.5 (STANDARD) [id:10670373] | Kyle Anderson UNDER PTS 7.5 (STANDARD) [id:10697380] | Deandre Ayton OVER PRA 19.5 (DEMON) [id:10670595],0.09355998656960658,20.0,0.7089240657352243,14.178481314704484,1.3265385213811693,20.0,pp_kernel,0.6383323013241116,0.04226418581732365,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Zaccharie Risacher OVER PTS 4.5 (GOBLIN) [id:10672794] | Leonard Miller UNDER PR 16.5 (STANDARD) [id:10670373] | Kyle Anderson UNDER PTS 7.5 (STANDARD) [id:10697380] | Deandre Ayton OVER PRA 19.5 (DEMON) [id:10670595],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3265385213811693,"['jeremiah fears', 'zaccharie risacher', 'leonard miller', 'kyle anderson', 'deandre ayton']",1.3265385213811693,1,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590],Zaccharie Risacher OVER PTS 4.5 (GOBLIN) [id:10672794],Leonard Miller UNDER PR 16.5 (STANDARD) [id:10670373],Kyle Anderson UNDER PTS 7.5 (STANDARD) [id:10697380],Deandre Ayton OVER PRA 19.5 (DEMON) [id:10670595],0,
5,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10670805] | Cody Williams UNDER PA 15.5 (STANDARD) [id:10676050] | John Collins OVER FG3M 1.5 (DEMON) [id:10672682],0.08991233364689896,20.0,0.7366273234344151,14.732546468688302,1.3246376335611456,20.0,pp_kernel,0.6369456017504659,0.03041684656859358,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10670805] | Cody Williams UNDER PA 15.5 (STANDARD) [id:10676050] | John Collins OVER FG3M 1.5 (DEMON) [id:10672682],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3246376335611456,"['dejounte murray', 'jock landale', 'baylor scheierman', 'cody williams', 'john collins']",1.3246376335611456,1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764],Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10670805],Cody Williams UNDER PA 15.5 (STANDARD) [id:10676050],John Collins OVER FG3M 1.5 (DEMON) [id:10672682],0,
5,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10690622] | Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10672485] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Daniel Gafford UNDER RA 8.5 (STANDARD) [id:10672290] | Ivica Zubac OVER REB 10.5 (DEMON) [id:10675248],0.06685907221218557,20.0,0.9983583796100564,19.96716759220113,1.3349862999197868,20.0,pp_kernel,0.604165218711165,0.04465811705240104,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10690622] | Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10672485] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Daniel Gafford UNDER RA 8.5 (STANDARD) [id:10672290] | Ivica Zubac OVER REB 10.5 (DEMON) [id:10675248],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3349862999197868,"['sandro mamukelashvili', 'onyeka okongwu', 'bones hyland', 'daniel gafford', 'ivica zubac']",1.3349862999197868,1,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10690622],Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10672485],Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196],Daniel Gafford UNDER RA 8.5 (STANDARD) [id:10672290],Ivica Zubac OVER REB 10.5 (DEMON) [id:10675248],0,
5,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Rui Hachimura OVER PTS 5.5 (GOBLIN) [id:10674111] | Julius Randle UNDER PR 32.5 (STANDARD) [id:10675439] | Alperen Sengun OVER RA 13.5 (STANDARD) [id:10669355] | Jerami Grant OVER AST 2.5 (DEMON) [id:10674631],0.04626526205722345,20.0,1.4217671797541889,28.43534359508378,1.3155686231137413,20.0,pp_kernel,0.5703300438370931,0.05668496015750424,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Rui Hachimura OVER PTS 5.5 (GOBLIN) [id:10674111] | Julius Randle UNDER PR 32.5 (STANDARD) [id:10675439] | Alperen Sengun OVER RA 13.5 (STANDARD) [id:10669355] | Jerami Grant OVER AST 2.5 (DEMON) [id:10674631],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.3155686231137413,"['jeremiah fears', 'rui hachimura', 'julius randle', 'alperen sengun', 'jerami grant']",1.3155686231137413,1,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590],Rui Hachimura OVER PTS 5.5 (GOBLIN) [id:10674111],Julius Randle UNDER PR 32.5 (STANDARD) [id:10675439],Alperen Sengun OVER RA 13.5 (STANDARD) [id:10669355],Jerami Grant OVER AST 2.5 (DEMON) [id:10674631],0,
5,LeBron James OVER PTS 13.5 (GOBLIN) [id:10678040] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Jakob Poeltl UNDER PTS 12.5 (STANDARD) [id:10670292] | GG Jackson UNDER PA 16.5 (STANDARD) [id:10674986] | Payton Pritchard OVER PTS 16.5 (DEMON) [id:10671194],0.08367497775650147,20.0,0.7676856618294435,15.35371323658887,1.284721613551276,20.0,pp_kernel,0.630709457666214,0.0341029169201067,LeBron James OVER PTS 13.5 (GOBLIN) [id:10678040] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Jakob Poeltl UNDER PTS 12.5 (STANDARD) [id:10670292] | GG Jackson UNDER PA 16.5 (STANDARD) [id:10674986] | Payton Pritchard OVER PTS 16.5 (DEMON) [id:10671194],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.284721613551276,"['lebron james', 'dejounte murray', 'jakob poeltl', 'gg jackson', 'payton pritchard']",1.284721613551276,1,LeBron James OVER PTS 13.5 (GOBLIN) [id:10678040],Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Jakob Poeltl UNDER PTS 12.5 (STANDARD) [id:10670292],GG Jackson UNDER PA 16.5 (STANDARD) [id:10674986],Payton Pritchard OVER PTS 16.5 (DEMON) [id:10671194],0,
5,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Nickeil Alexander-Walker OVER FG3M 1.5 (GOBLIN) [id:10690634] | Jarace Walker UNDER AST 3.5 (STANDARD) [id:10675264] | Matas Buzelis UNDER PR 24.5 (STANDARD) [id:10670403] | Rui Hachimura OVER PRA 14.5 (DEMON) [id:10674118],0.0856881393283844,20.0,0.7464617562102703,14.929235124205407,1.279258379389123,20.0,pp_kernel,0.6291660625242551,0.035578945464563395,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Nickeil Alexander-Walker OVER FG3M 1.5 (GOBLIN) [id:10690634] | Jarace Walker UNDER AST 3.5 (STANDARD) [id:10675264] | Matas Buzelis UNDER PR 24.5 (STANDARD) [id:10670403] | Rui Hachimura OVER PRA 14.5 (DEMON) [id:10674118],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.279258379389123,"['dejounte murray', 'nickeil alexander-walker', 'jarace walker', 'matas buzelis', 'rui hachimura']",1.279258379389123,1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Nickeil Alexander-Walker OVER FG3M 1.5 (GOBLIN) [id:10690634],Jarace Walker UNDER AST 3.5 (STANDARD) [id:10675264],Matas Buzelis UNDER PR 24.5 (STANDARD) [id:10670403],Rui Hachimura OVER PRA 14.5 (DEMON) [id:10674118],0,
5,Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Kris Dunn OVER PTS 7.5 (STANDARD) [id:10669791] | Ayo Dosunmu UNDER PTS 18.5 (STANDARD) [id:10675387] | Deni Avdija OVER PTS 24.5 (DEMON) [id:10674600],0.05569005827131988,20.0,1.1470445963995357,22.940891927990712,1.2775796082658546,20.0,pp_kernel,0.5978087541727963,0.037288540152384704,Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Kris Dunn OVER PTS 7.5 (STANDARD) [id:10669791] | Ayo Dosunmu UNDER PTS 18.5 (STANDARD) [id:10675387] | Deni Avdija OVER PTS 24.5 (DEMON) [id:10674600],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2775796082658546,"['jock landale', 'dejounte murray', 'kris dunn', 'ayo dosunmu', 'deni avdija']",1.2775796082658546,1,Jock Landale OVER REB 2.5 (GOBLIN) [id:10672764],Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Kris Dunn OVER PTS 7.5 (STANDARD) [id:10669791],Ayo Dosunmu UNDER PTS 18.5 (STANDARD) [id:10675387],Deni Avdija OVER PTS 24.5 (DEMON) [id:10674600],0,
