n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Will Riley UNDER PRA 21 (STANDARD) [id:10647535],0.7949523909842902,6.0,1.0,6.0,4.769714345905741,6.0,atlas,0.9270779384216441,0.015366554726848036,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Will Riley UNDER PRA 21 (STANDARD) [id:10647535],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.9449523909842902,"['ryan kalkbrenner', 'tristan silva', 'will riley']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Will Riley UNDER PRA 21 (STANDARD) [id:10647535],0,
3,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Adem Bona UNDER PRA 14.5 (STANDARD) [id:10647018] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.7780666171086075,6.0,1.0,6.0,4.668399702651644,6.0,atlas,0.9205494524753313,0.025193854589788022,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Adem Bona UNDER PRA 14.5 (STANDARD) [id:10647018] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.9280666171086075,"['coby white', 'adem bona', 'tristan silva']",1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Adem Bona UNDER PRA 14.5 (STANDARD) [id:10647018],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
3,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Jarace Walker UNDER RA 9 (STANDARD) [id:10655274] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.7442722661818091,6.0,1.0,6.0,4.4656335970908545,6.0,atlas,0.9071176278291254,0.015366554726848036,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Jarace Walker UNDER RA 9 (STANDARD) [id:10655274] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.8942722661818091,"['ryan kalkbrenner', 'jarace walker', 'justin edwards']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Jarace Walker UNDER RA 9 (STANDARD) [id:10655274],Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0,
3,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Adem Bona UNDER PA 8.5 (STANDARD) [id:10647014] | Nique Clifford UNDER PA 15.5 (STANDARD) [id:10651773],0.7319033085560978,6.0,1.0,6.0,4.391419851336586,6.0,atlas,0.9013727358192228,0.025193854589788022,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Adem Bona UNDER PA 8.5 (STANDARD) [id:10647014] | Nique Clifford UNDER PA 15.5 (STANDARD) [id:10651773],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.8819033085560978,"['coby white', 'adem bona', 'nique clifford']",1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Adem Bona UNDER PA 8.5 (STANDARD) [id:10647014],Nique Clifford UNDER PA 15.5 (STANDARD) [id:10651773],0,
3,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833] | Jarace Walker UNDER PA 17.5 (STANDARD) [id:10650084],0.6691519582196184,6.0,1.0,6.0,4.01491174931771,6.0,atlas,0.8770997426019256,0.026627468051176426,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833] | Jarace Walker UNDER PA 17.5 (STANDARD) [id:10650084],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.8191519582196184,"['grant williams', 'cameron payne', 'jarace walker']",1,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599],Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833],Jarace Walker UNDER PA 17.5 (STANDARD) [id:10650084],0,
3,Miles Bridges OVER AST 1.5 (GOBLIN) [id:10645630] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629] | Will Riley UNDER PA 16.5 (STANDARD) [id:10647533],0.6682045149567747,6.0,1.0,6.0,4.009227089740648,6.0,atlas,0.8772404766357642,0.017714134105010774,Miles Bridges OVER AST 1.5 (GOBLIN) [id:10645630] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629] | Will Riley UNDER PA 16.5 (STANDARD) [id:10647533],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.8182045149567747,"['miles bridges', 'quentin grimes', 'will riley']",1,Miles Bridges OVER AST 1.5 (GOBLIN) [id:10645630],Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629],Will Riley UNDER PA 16.5 (STANDARD) [id:10647533],0,
3,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Jalen Duren UNDER PRA 33.5 (STANDARD) [id:10647705] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629],0.6428647039467515,6.0,1.0,6.0,3.8571882236805095,6.0,atlas,0.8649099194571584,0.017260856753182608,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Jalen Duren UNDER PRA 33.5 (STANDARD) [id:10647705] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.7928647039467516,"['grant williams', 'jalen duren', 'quentin grimes']",1,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595],Jalen Duren UNDER PRA 33.5 (STANDARD) [id:10647705],Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629],0,
3,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832] | Precious Achiuwa UNDER PA 14.5 (STANDARD) [id:10651812],0.6384193716661917,6.0,1.0,6.0,3.83051622999715,6.0,atlas,0.863663971102004,0.02651038239922675,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832] | Precious Achiuwa UNDER PA 14.5 (STANDARD) [id:10651812],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.7884193716661917,"['lamelo ball', 'cameron payne', 'precious achiuwa']",1,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873],Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832],Precious Achiuwa UNDER PA 14.5 (STANDARD) [id:10651812],0,
3,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Justin Edwards UNDER PA 15.5 (STANDARD) [id:10647162] | Jalen Brunson UNDER PA 35.5 (STANDARD) [id:10650053],0.6267147547867382,6.0,1.0,6.0,3.7602885287204293,6.0,atlas,0.8598246011496201,0.02808172042525049,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Justin Edwards UNDER PA 15.5 (STANDARD) [id:10647162] | Jalen Brunson UNDER PA 35.5 (STANDARD) [id:10650053],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.7767147547867382,"['kon knueppel', 'justin edwards', 'jalen brunson']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Justin Edwards UNDER PA 15.5 (STANDARD) [id:10647162],Jalen Brunson UNDER PA 35.5 (STANDARD) [id:10650053],0,
3,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Nique Clifford UNDER PRA 19.5 (STANDARD) [id:10651782] | VJ Edgecombe UNDER PA 22.5 (STANDARD) [id:10644635],0.5927286712500037,6.0,1.0,6.0,3.5563720275000223,6.0,atlas,0.8414850467635958,0.01707768622414568,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Nique Clifford UNDER PRA 19.5 (STANDARD) [id:10651782] | VJ Edgecombe UNDER PA 22.5 (STANDARD) [id:10644635],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.7427286712500037,"['brandon miller', 'nique clifford', 'vj edgecombe']",1,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Nique Clifford UNDER PRA 19.5 (STANDARD) [id:10651782],VJ Edgecombe UNDER PA 22.5 (STANDARD) [id:10644635],0,
