n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Cody Williams UNDER PRA 20.5 (STANDARD) [id:10676052] | Jock Landale OVER REB 4.5 (DEMON) [id:10669898],0.44654485769090585,6.0,1.0,6.0,2.679269146145435,6.0,atlas,0.7819755399373265,0.03851783276470061,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Cody Williams UNDER PRA 20.5 (STANDARD) [id:10676052] | Jock Landale OVER REB 4.5 (DEMON) [id:10669898],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.44654485769090585,"['dejounte murray', 'cody williams', 'jock landale']",1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Cody Williams UNDER PRA 20.5 (STANDARD) [id:10676052],Jock Landale OVER REB 4.5 (DEMON) [id:10669898],0,
3,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Gui Santos UNDER PTS 13.5 (STANDARD) [id:10671027] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10674122],0.4303989231271097,6.0,1.0,6.0,2.582393538762658,6.0,atlas,0.7653238958636637,0.0234298906257511,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Gui Santos UNDER PTS 13.5 (STANDARD) [id:10671027] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10674122],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4303989231271097,"['dejounte murray', 'gui santos', 'rui hachimura']",1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Gui Santos UNDER PTS 13.5 (STANDARD) [id:10671027],Rui Hachimura OVER REB 2.5 (DEMON) [id:10674122],0,
3,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Bones Hyland UNDER PRA 22.5 (STANDARD) [id:10677203] | Rui Hachimura OVER PRA 12.5 (DEMON) [id:10674117],0.41137721071816336,6.0,1.0,6.0,2.4682632643089804,6.0,atlas,0.7640497204336153,0.04241214997707927,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Bones Hyland UNDER PRA 22.5 (STANDARD) [id:10677203] | Rui Hachimura OVER PRA 12.5 (DEMON) [id:10674117],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.41137721071816336,"['jeremiah fears', 'bones hyland', 'rui hachimura']",1,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590],Bones Hyland UNDER PRA 22.5 (STANDARD) [id:10677203],Rui Hachimura OVER PRA 12.5 (DEMON) [id:10674117],0,
3,Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10692255] | Bones Hyland UNDER PA 19.5 (STANDARD) [id:10677201] | Amen Thompson OVER REB 7.5 (DEMON) [id:10669376],0.3905167701791564,6.0,1.0,6.0,2.3431006210749388,6.0,atlas,0.748876495348597,0.026841631727801015,Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10692255] | Bones Hyland UNDER PA 19.5 (STANDARD) [id:10677201] | Amen Thompson OVER REB 7.5 (DEMON) [id:10669376],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3905167701791564,"['saddiq bey', 'bones hyland', 'amen thompson']",1,Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10692255],Bones Hyland UNDER PA 19.5 (STANDARD) [id:10677201],Amen Thompson OVER REB 7.5 (DEMON) [id:10669376],0,
3,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788] | Drake Powell UNDER PR 10.5 (STANDARD) [id:10692246] | Jock Landale OVER REB 4.5 (DEMON) [id:10669898],0.38691383266538165,6.0,1.0,6.0,2.32148299599229,6.0,atlas,0.7425749539491768,0.0380944949573968,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788] | Drake Powell UNDER PR 10.5 (STANDARD) [id:10692246] | Jock Landale OVER REB 4.5 (DEMON) [id:10669898],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.38691383266538165,"['austin reaves', 'drake powell', 'jock landale']",1,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788],Drake Powell UNDER PR 10.5 (STANDARD) [id:10692246],Jock Landale OVER REB 4.5 (DEMON) [id:10669898],0,
3,Jeremiah Fears OVER AST 1.5 (GOBLIN) [id:10692076] | Jaylin Williams UNDER PA 16.5 (STANDARD) [id:10692758] | Marcus Smart OVER REB 2.5 (DEMON) [id:10669523],0.3849229039584928,6.0,1.0,6.0,2.3095374237509567,6.0,atlas,0.7483210455289709,0.025144783315112083,Jeremiah Fears OVER AST 1.5 (GOBLIN) [id:10692076] | Jaylin Williams UNDER PA 16.5 (STANDARD) [id:10692758] | Marcus Smart OVER REB 2.5 (DEMON) [id:10669523],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3849229039584928,"['jeremiah fears', 'jaylin williams', 'marcus smart']",1,Jeremiah Fears OVER AST 1.5 (GOBLIN) [id:10692076],Jaylin Williams UNDER PA 16.5 (STANDARD) [id:10692758],Marcus Smart OVER REB 2.5 (DEMON) [id:10669523],0,
3,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Jaylin Williams UNDER PR 22.5 (STANDARD) [id:10692759] | Collin Sexton OVER AST 2.5 (DEMON) [id:10689027],0.3767589244707367,6.0,1.0,6.0,2.2605535468244202,6.0,atlas,0.7457455109985665,0.04317723319471136,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117] | Jaylin Williams UNDER PR 22.5 (STANDARD) [id:10692759] | Collin Sexton OVER AST 2.5 (DEMON) [id:10689027],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3767589244707367,"['amen thompson', 'jaylin williams', 'collin sexton']",1,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10676117],Jaylin Williams UNDER PR 22.5 (STANDARD) [id:10692759],Collin Sexton OVER AST 2.5 (DEMON) [id:10689027],0,
3,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | Marcus Smart OVER REB 2.5 (DEMON) [id:10669523],0.3670519159055786,6.0,1.0,6.0,2.202311495433472,6.0,atlas,0.7325379443867095,0.02526403667465235,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422] | Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371] | Marcus Smart OVER REB 2.5 (DEMON) [id:10669523],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3670519159055786,"['jabari smith', 'leonard miller', 'marcus smart']",1,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422],Leonard Miller UNDER PTS 10.5 (STANDARD) [id:10670371],Marcus Smart OVER REB 2.5 (DEMON) [id:10669523],0,
3,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788] | Cody Williams UNDER PRA 20.5 (STANDARD) [id:10676052] | Sandro Mamukelashvili OVER REB 4.5 (DEMON) [id:10683295],0.3567470684299195,6.0,1.0,6.0,2.140482410579517,6.0,atlas,0.7315319482503112,0.03515210919164343,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788] | Cody Williams UNDER PRA 20.5 (STANDARD) [id:10676052] | Sandro Mamukelashvili OVER REB 4.5 (DEMON) [id:10683295],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3567470684299195,"['austin reaves', 'cody williams', 'sandro mamukelashvili']",1,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10670788],Cody Williams UNDER PRA 20.5 (STANDARD) [id:10676052],Sandro Mamukelashvili OVER REB 4.5 (DEMON) [id:10683295],0,
3,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Drake Powell UNDER PA 9.5 (STANDARD) [id:10691998] | LeBron James OVER PTS 19.5 (DEMON) [id:10669471],0.35549847482186847,6.0,1.0,6.0,2.132990848931211,6.0,atlas,0.7340173730018055,0.02329729739975706,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Drake Powell UNDER PA 9.5 (STANDARD) [id:10691998] | LeBron James OVER PTS 19.5 (DEMON) [id:10669471],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.35549847482186847,"['john collins', 'drake powell', 'lebron james']",1,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659],Drake Powell UNDER PA 9.5 (STANDARD) [id:10691998],LeBron James OVER PTS 19.5 (DEMON) [id:10669471],0,
