n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096] | Donte DiVincenzo OVER PR 19.5 (DEMON) [id:10652203],0.15821342104300126,6.0,1.3392117668558638,8.035270601135183,1.2712876508118507,6.0,pp_kernel,0.580758590807586,0.04643590392471949,Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096] | Donte DiVincenzo OVER PR 19.5 (DEMON) [id:10652203],0.0,0.0,0.0,0.0,0.0,3,1.0,1.7212876508118506,"['grant williams', 'brandon miller', 'donte divincenzo']",1.2712876508118507,1,Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493],Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096],Donte DiVincenzo OVER PR 19.5 (DEMON) [id:10652203],0,
3,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Donte DiVincenzo UNDER PTS 12.5 (STANDARD) [id:10649226] | Grant Williams OVER PTS 9.5 (DEMON) [id:10643907],0.15562769451953268,6.0,1.3305805784124578,7.983483470474747,1.2424511267447824,6.0,pp_kernel,0.5775589107755891,0.027244954676202724,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Donte DiVincenzo UNDER PTS 12.5 (STANDARD) [id:10649226] | Grant Williams OVER PTS 9.5 (DEMON) [id:10643907],0.0,0.0,0.0,0.0,0.0,3,1.0,1.6924511267447824,"['ryan kalkbrenner', 'donte divincenzo', 'grant williams']",1.2424511267447824,1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Donte DiVincenzo UNDER PTS 12.5 (STANDARD) [id:10649226],Grant Williams OVER PTS 9.5 (DEMON) [id:10643907],0,
3,Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Rudy Gobert UNDER PRA 26.5 (STANDARD) [id:10649552] | Jaden McDaniels OVER PA 19.5 (DEMON) [id:10652334],0.1465371796782096,6.0,1.4131151350721711,8.478690810433026,1.2424434387244088,6.0,pp_kernel,0.5594940505949405,0.04954730494454379,Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Rudy Gobert UNDER PRA 26.5 (STANDARD) [id:10649552] | Jaden McDaniels OVER PA 19.5 (DEMON) [id:10652334],0.0,0.0,0.0,0.0,0.0,3,1.0,1.6924434387244087,"['coby white', 'rudy gobert', 'jaden mcdaniels']",1.2424434387244088,1,Coby White OVER PA 14.5 (GOBLIN) [id:10644471],Rudy Gobert UNDER PRA 26.5 (STANDARD) [id:10649552],Jaden McDaniels OVER PA 19.5 (DEMON) [id:10652334],0,
3,Grant Williams OVER PTS 4.5 (GOBLIN) [id:10643909] | Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211] | Julius Randle OVER PRA 36.5 (DEMON) [id:10649389],0.1416275812777726,6.0,1.4489756080487015,8.693853648292208,1.2312894641905647,6.0,pp_kernel,0.5488617804886178,0.05277534807747538,Grant Williams OVER PTS 4.5 (GOBLIN) [id:10643909] | Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211] | Julius Randle OVER PRA 36.5 (DEMON) [id:10649389],0.0,0.0,0.0,0.0,0.0,3,1.0,1.6812894641905647,"['grant williams', 'jaden mcdaniels', 'julius randle']",1.2312894641905647,1,Grant Williams OVER PTS 4.5 (GOBLIN) [id:10643909],Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211],Julius Randle OVER PRA 36.5 (DEMON) [id:10649389],0,
3,Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Andrew Nembhard OVER REB 2.5 (DEMON) [id:10650931],0.1894655744070157,6.0,0.6815708592838707,4.089425155703225,0.7748052861198111,6.0,pp_kernel,0.5948101719140114,0.06929629352204995,Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Andrew Nembhard OVER REB 2.5 (DEMON) [id:10650931],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7748052861198111,"['jordan goodwin', 'quentin grimes', 'andrew nembhard']",0.7748052861198111,1,Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Andrew Nembhard OVER REB 2.5 (DEMON) [id:10650931],0,
3,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | Thomas Bryant UNDER PTS 6.5 (STANDARD) [id:10653223] | Andrew Nembhard OVER REB 2.5 (DEMON) [id:10650931],0.15707220215961742,6.0,0.7206992415814519,4.324195449488712,0.6792109018197886,6.0,pp_kernel,0.5594667909489821,0.0698426572322347,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | Thomas Bryant UNDER PTS 6.5 (STANDARD) [id:10653223] | Andrew Nembhard OVER REB 2.5 (DEMON) [id:10650931],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6792109018197886,"['collin gillespie', 'thomas bryant', 'andrew nembhard']",0.6792109018197886,1,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127],Thomas Bryant UNDER PTS 6.5 (STANDARD) [id:10653223],Andrew Nembhard OVER REB 2.5 (DEMON) [id:10650931],0,
3,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Devin Booker UNDER PR 31.5 (STANDARD) [id:10649192] | Bruce Brown OVER REB 3.5 (DEMON) [id:10644817],0.1478264482431842,6.0,0.7066917319295158,4.240150391577095,0.6268063724037887,6.0,pp_kernel,0.5426956485607716,0.06376138378446869,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Devin Booker UNDER PR 31.5 (STANDARD) [id:10649192] | Bruce Brown OVER REB 3.5 (DEMON) [id:10644817],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6268063724037887,"['collin gillespie', 'devin booker', 'bruce brown']",0.6268063724037887,1,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143],Devin Booker UNDER PR 31.5 (STANDARD) [id:10649192],Bruce Brown OVER REB 3.5 (DEMON) [id:10644817],0,
3,Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808] | Jaylon Tyson OVER REB 4.5 (DEMON) [id:10645181],0.18726146502452248,6.0,0.5478296659699452,3.2869779958196714,0.6155243150005604,6.0,pp_kernel,0.5814199241587202,0.04299157858079785,Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808] | Jaylon Tyson OVER REB 4.5 (DEMON) [id:10645181],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6155243150005604,"['collin gillespie', 'adem bona', 'jaylon tyson']",0.6155243150005604,1,Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223],Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808],Jaylon Tyson OVER REB 4.5 (DEMON) [id:10645181],0,
3,Ryan Rollins OVER PTS 11.5 (GOBLIN) [id:10649716] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Devin Vassell OVER FG3M 2.5 (DEMON) [id:10649866],0.17328642022329144,6.0,0.5911444997100124,3.5468669982600742,0.6146238851366195,6.0,pp_kernel,0.5865628623554353,0.07942657812061284,Ryan Rollins OVER PTS 11.5 (GOBLIN) [id:10649716] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Devin Vassell OVER FG3M 2.5 (DEMON) [id:10649866],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6146238851366195,"['ryan rollins', 'tristan silva', 'devin vassell']",0.6146238851366195,1,Ryan Rollins OVER PTS 11.5 (GOBLIN) [id:10649716],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Devin Vassell OVER FG3M 2.5 (DEMON) [id:10649866],0,
3,Sam Merrill OVER FG3M 1.5 (GOBLIN) [id:10646825] | Kyle Kuzma UNDER PTS 12.5 (STANDARD) [id:10648988] | Karl-Anthony Towns OVER FG3M 1.5 (DEMON) [id:10649952],0.10218022278182659,6.0,0.9939712830765353,5.963827698459212,0.6093852428609904,6.0,pp_kernel,0.48282941263360274,0.0889302944619389,Sam Merrill OVER FG3M 1.5 (GOBLIN) [id:10646825] | Kyle Kuzma UNDER PTS 12.5 (STANDARD) [id:10648988] | Karl-Anthony Towns OVER FG3M 1.5 (DEMON) [id:10649952],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6093852428609904,"['sam merrill', 'kyle kuzma', 'karl-anthony towns']",0.6093852428609904,1,Sam Merrill OVER FG3M 1.5 (GOBLIN) [id:10646825],Kyle Kuzma UNDER PTS 12.5 (STANDARD) [id:10648988],Karl-Anthony Towns OVER FG3M 1.5 (DEMON) [id:10649952],0,
