n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],0.2583165748048466,6.0,1.0,6.0,1.5498994488290796,6.0,atlas,0.6419637401038143,0.03209769257831037,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5498994488290796,"['james harden', 'adem bona', 'jalen green']",1.5498994488290796,1,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Adem Bona UNDER PTS 6.5 (STANDARD) [id:10644808],Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],0,
3,Grayson Allen OVER AST 2.5 (GOBLIN) [id:10649259] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796],0.2571318502470366,6.0,1.0,6.0,1.5427911014822198,6.0,atlas,0.6373471197103965,0.017415041351459826,Grayson Allen OVER AST 2.5 (GOBLIN) [id:10649259] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5427911014822198,"['grayson allen', 'justin edwards', 'bam adebayo']",1.5427911014822198,1,Grayson Allen OVER AST 2.5 (GOBLIN) [id:10649259],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Dennis Schröder OVER RA 5.5 (STANDARD) [id:10653206],0.22909877842405624,6.0,1.0,6.0,1.3745926705443374,6.0,atlas,0.6228232401478188,0.08574432635295925,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Dennis Schröder OVER RA 5.5 (STANDARD) [id:10653206],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3745926705443374,"['davion mitchell', 'coby white', 'dennis schröder']",1.3745926705443374,1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],Dennis Schröder OVER RA 5.5 (STANDARD) [id:10653206],0,
3,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Jaylon Tyson OVER PRA 14.5 (STANDARD) [id:10645798] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0.2267850249694521,6.0,1.0,6.0,1.3607101498167127,6.0,atlas,0.6146035983709114,0.0803154054093866,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Jaylon Tyson OVER PRA 14.5 (STANDARD) [id:10645798] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3607101498167127,"['coby white', 'jaylon tyson', 'moussa diabaté']",1.3607101498167127,1,Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Jaylon Tyson OVER PRA 14.5 (STANDARD) [id:10645798],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0,
3,Luguentz Dort OVER RA 2.5 (GOBLIN) [id:10648685] | Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339] | Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294],0.2242356433321792,6.0,1.0,6.0,1.3454138599930752,6.0,atlas,0.6076674981987334,0.054521190829928436,Luguentz Dort OVER RA 2.5 (GOBLIN) [id:10648685] | Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339] | Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3454138599930752,"['luguentz dort', 'jalen green', 'jaden mcdaniels']",1.3454138599930752,1,Luguentz Dort OVER RA 2.5 (GOBLIN) [id:10648685],Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339],Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294],0,
3,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.22313851449910357,6.0,1.0,6.0,1.3388310869946214,6.0,atlas,0.6147826994536048,0.03491089285281563,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3388310869946214,"['collin gillespie', ""kel'el ware"", 'ryan kalkbrenner']",1.3388310869946214,1,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0,
3,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.22282751000909734,6.0,1.0,6.0,1.3369650600545842,6.0,atlas,0.6062758010755821,0.050598315128920456,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3369650600545842,"['lamelo ball', 'grayson allen', 'ryan kalkbrenner']",1.3369650600545842,1,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0,
3,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101],0.2187197331531084,6.0,1.0,6.0,1.3123183989186504,6.0,atlas,0.6030125429567358,0.0489823253078002,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3123183989186504,"['jalen green', 'james harden', 'ayo dosunmu']",1.3123183989186504,1,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818],James Harden OVER PTS 19.5 (STANDARD) [id:10645153],Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101],0,
3,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.2103025110041673,6.0,1.0,6.0,1.2618150660250038,6.0,atlas,0.5957712063706055,0.07169857575185691,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2618150660250038,"['tyler herro', 'ryan kalkbrenner', 'grayson allen']",1.2618150660250038,1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0,
3,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Royce O'Neale OVER PRA 15.5 (STANDARD) [id:10650250] | Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118],0.20811896783300682,6.0,1.0,6.0,1.2487138069980408,6.0,atlas,0.6033358231851249,0.04179801121977744,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Royce O'Neale OVER PRA 15.5 (STANDARD) [id:10650250] | Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2487138069980408,"['davion mitchell', ""royce o'neale"", 'ayo dosunmu']",1.2487138069980408,1,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884],Royce O'Neale OVER PRA 15.5 (STANDARD) [id:10650250],Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118],0,
