n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:10654866] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.2457198601864916,6.0,1.0,6.0,1.4743191611189497,6.0,atlas,0.6298266941341556,0.06154601732970458,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:10654866] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.0,0.0,0.0,0.0,0.0,0,0.0,0.2457198601864916,"['jaden mcdaniels', 'davion mitchell', 'jordan goodwin']",1,Jaden McDaniels OVER REB 2.5 (GOBLIN) [id:10654866],Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
3,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Jordan Goodwin OVER REB 4.5 (DEMON) [id:10652489],0.22852853325252379,6.0,1.0,6.0,1.3711711995151428,6.0,atlas,0.6171640572317153,0.03862731930468425,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Jordan Goodwin OVER REB 4.5 (DEMON) [id:10652489],0.0,0.0,0.0,0.0,0.0,0,0.0,0.22852853325252379,"['jaime jaquez', 'jalen green', 'jordan goodwin']",1,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501],Jalen Green UNDER PTS 22 (STANDARD) [id:10649334],Jordan Goodwin OVER REB 4.5 (DEMON) [id:10652489],0,
3,Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Royce O'Neale OVER PTS 7.5 (STANDARD) [id:10649509] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.2232309891629446,6.0,1.0,6.0,1.3393859349776676,6.0,atlas,0.6077165042239537,0.07283625300874237,Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Royce O'Neale OVER PTS 7.5 (STANDARD) [id:10649509] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.0,0.0,0.0,0.0,0.0,0,0.0,0.2232309891629446,"['shai gilgeous-alexander', ""royce o'neale"", 'evan mobley']",1,Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719],Royce O'Neale OVER PTS 7.5 (STANDARD) [id:10649509],Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0,
3,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0.21921341873464995,6.0,1.0,6.0,1.3152805124078997,6.0,atlas,0.6227771407792758,0.03511928176575659,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0.0,0.0,0.0,0.0,0.0,0,0.0,0.21921341873464995,"['ryan kalkbrenner', 'tristan silva', 'donte divincenzo']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0,
3,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118] | Ivica Zubac OVER REB 7.5 (DEMON) [id:10650937],0.2087962169114412,6.0,1.0,6.0,1.2527773014686472,6.0,atlas,0.5995286136961586,0.06775422594145807,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118] | Ivica Zubac OVER REB 7.5 (DEMON) [id:10650937],0.0,0.0,0.0,0.0,0.0,0,0.0,0.2087962169114412,"['coby white', 'ayo dosunmu', 'ivica zubac']",1,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645],Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118],Ivica Zubac OVER REB 7.5 (DEMON) [id:10650937],0,
3,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | VJ Edgecombe UNDER PTS 18.5 (STANDARD) [id:10644634] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.20739839386925427,6.0,1.0,6.0,1.2443903632155255,6.0,atlas,0.5998384465590291,0.04367478825880374,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | VJ Edgecombe UNDER PTS 18.5 (STANDARD) [id:10644634] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.0,0.0,0.0,0.0,0.0,0,0.0,0.20739839386925427,"['collin gillespie', 'vj edgecombe', 'grayson allen']",1,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132],VJ Edgecombe UNDER PTS 18.5 (STANDARD) [id:10644634],Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0,
3,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341] | Isaiah Hartenstein OVER PA 11.5 (DEMON) [id:10649005],0.20414412932814227,6.0,1.0,6.0,1.2248647759688536,6.0,atlas,0.6064069145916714,0.07134423241658765,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341] | Isaiah Hartenstein OVER PA 11.5 (DEMON) [id:10649005],0.0,0.0,0.0,0.0,0.0,0,0.0,0.20414412932814227,"['jordan goodwin', 'jalen green', 'isaiah hartenstein']",1,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],Isaiah Hartenstein OVER PA 11.5 (DEMON) [id:10649005],0,
3,Royce O'Neale OVER AST 1.5 (GOBLIN) [id:10649499] | Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.20078336793888563,6.0,1.0,6.0,1.2047002076333138,6.0,atlas,0.589002190251213,0.10172276199443847,Royce O'Neale OVER AST 1.5 (GOBLIN) [id:10649499] | Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,0.20078336793888563,"[""royce o'neale"", 'jaylon tyson', 'coby white']",1,Royce O'Neale OVER AST 1.5 (GOBLIN) [id:10649499],Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Kon Knueppel OVER FG3M 3.5 (DEMON) [id:10643951],0.20025036372040916,6.0,1.0,6.0,1.201502182322455,6.0,atlas,0.5948620513416826,0.031141833585706723,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Kon Knueppel OVER FG3M 3.5 (DEMON) [id:10643951],0.0,0.0,0.0,0.0,0.0,0,0.0,0.20025036372040916,"['norman powell', 'cameron payne', 'kon knueppel']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Kon Knueppel OVER FG3M 3.5 (DEMON) [id:10643951],0,
3,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365] | Jaylon Tyson OVER PR 14.5 (DEMON) [id:10652948],0.193463027675096,6.0,1.0,6.0,1.160778166050576,6.0,atlas,0.5858869343216679,0.10315646539145366,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365] | Jaylon Tyson OVER PR 14.5 (DEMON) [id:10652948],0.0,0.0,0.0,0.0,0.0,0,0.0,0.193463027675096,"[""royce o'neale"", 'ryan kalkbrenner', 'jaylon tyson']",1,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227],Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],Jaylon Tyson OVER PR 14.5 (DEMON) [id:10652948],0,
