n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_hybrid,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Naz Reid UNDER PA 17.5 (STANDARD) [id:10649428] | Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101] | Coby White OVER PA 19.5 (DEMON) [id:10644472],0.11366465501494445,20.0,0.2902628765140131,5.8052575302802625,0.6598525944522144,20.0,pp_kernel,0.6526047395260474,0.04848697521356495,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Naz Reid UNDER PA 17.5 (STANDARD) [id:10649428] | Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101] | Coby White OVER PA 19.5 (DEMON) [id:10644472],0.003125,0.006,0.0004848697521356495,0.00960986975213565,0.0,5,1.0,0.9019709236286613,"['kon knueppel', 'ryan kalkbrenner', 'naz reid', 'ayo dosunmu', 'coby white']",0.16158079338079692,1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664],Naz Reid UNDER PA 17.5 (STANDARD) [id:10649428],Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101],Coby White OVER PA 19.5 (DEMON) [id:10644472],0,
5,Julius Randle OVER RA 10.5 (GOBLIN) [id:10649399] | Grant Williams OVER PR 8.5 (GOBLIN) [id:10652259] | Ayo Dosunmu UNDER RA 8 (STANDARD) [id:10649117] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.10109696490096429,20.0,0.2976288467601595,5.95257693520319,0.6017874614885265,20.0,pp_kernel,0.6336266373362663,0.04664223451631259,Julius Randle OVER RA 10.5 (GOBLIN) [id:10649399] | Grant Williams OVER PR 8.5 (GOBLIN) [id:10652259] | Ayo Dosunmu UNDER RA 8 (STANDARD) [id:10649117] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.003125,0.006,0.00046642234516312587,0.009591422345163128,0.0,5,1.0,0.8848457976788184,"['julius randle', 'grant williams', 'ayo dosunmu', 'jaden mcdaniels', 'ryan kalkbrenner']",0.14443722002398163,1,Julius Randle OVER RA 10.5 (GOBLIN) [id:10649399],Grant Williams OVER PR 8.5 (GOBLIN) [id:10652259],Ayo Dosunmu UNDER RA 8 (STANDARD) [id:10649117],Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234],Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0,
5,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247] | LaMelo Ball UNDER PR 25.5 (STANDARD) [id:10644002] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Miles Bridges OVER PRA 27.5 (DEMON) [id:10645634],0.09066042262770276,20.0,0.5573767414661767,11.147534829323533,1.0106402188835077,20.0,pp_kernel,0.6438456154384562,0.044649824339174464,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247] | LaMelo Ball UNDER PR 25.5 (STANDARD) [id:10644002] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Miles Bridges OVER PRA 27.5 (DEMON) [id:10645634],0.005625,0.006,0.00044649824339174467,0.012071498243391744,0.0,5,1.0,0.8847715890905472,"['coby white', 'donte divincenzo', 'lamelo ball', 'moussa diabaté', 'miles bridges']",0.1468430873339389,1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Donte DiVincenzo OVER RA 7.5 (GOBLIN) [id:10649247],LaMelo Ball UNDER PR 25.5 (STANDARD) [id:10644002],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Miles Bridges OVER PRA 27.5 (DEMON) [id:10645634],0,
5,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910] | Jaden McDaniels OVER RA 8.5 (DEMON) [id:10649312],0.07770723515501483,20.0,1.0156262542502248,20.312525085004495,1.578430163372582,20.0,pp_kernel,0.6277072292770722,0.05889180181233479,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910] | Jaden McDaniels OVER RA 8.5 (DEMON) [id:10649312],0.003125,0.006,0.0005889180181233479,0.009713918018123349,0.0,5,1.0,0.8821964870984507,"['ryan kalkbrenner', 'coby white', 'ayo dosunmu', 'grant williams', 'jaden mcdaniels']",0.14191040511657407,1,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664],Coby White OVER PRA 16.5 (GOBLIN) [id:10653798],Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103],Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],Jaden McDaniels OVER RA 8.5 (DEMON) [id:10649312],0,
5,Ajay Mitchell OVER PTS 9.5 (GOBLIN) [id:10644948] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Precious Achiuwa UNDER PRA 22.5 (STANDARD) [id:10651820] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Grayson Allen OVER PRA 22.5 (DEMON) [id:10649767],0.07120822852687742,20.0,0.3627930784837514,7.255861569675028,0.5166770488128068,20.0,pp_kernel,0.6008130100098152,0.0567086523654282,Ajay Mitchell OVER PTS 9.5 (GOBLIN) [id:10644948] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Precious Achiuwa UNDER PRA 22.5 (STANDARD) [id:10651820] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Grayson Allen OVER PRA 22.5 (DEMON) [id:10649767],0.0025,0.006,0.000567086523654282,0.009067086523654283,0.0,0,0.0,0.0967773364157236,"['ajay mitchell', 'collin gillespie', 'precious achiuwa', 'jordan goodwin', 'grayson allen']",0.10584442293937789,1,Ajay Mitchell OVER PTS 9.5 (GOBLIN) [id:10644948],Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223],Precious Achiuwa UNDER PRA 22.5 (STANDARD) [id:10651820],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Grayson Allen OVER PRA 22.5 (DEMON) [id:10649767],0,
5,Desmond Bane OVER PTS 16.5 (GOBLIN) [id:10648596] | Devin Booker OVER AST 3.5 (GOBLIN) [id:10649177] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Andrew Nembhard OVER PTS 13.5 (STANDARD) [id:10650926] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.058723034534570936,20.0,0.33463844662509146,6.69276893250183,0.3930197011552084,20.0,pp_kernel,0.574178856927893,0.06962088288983566,Desmond Bane OVER PTS 16.5 (GOBLIN) [id:10648596] | Devin Booker OVER AST 3.5 (GOBLIN) [id:10649177] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Andrew Nembhard OVER PTS 13.5 (STANDARD) [id:10650926] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.000625,0.003375,0.0006962088288983566,0.0046962088288983565,0.0,0,0.0,0.08119123075855893,"['desmond bane', 'devin booker', 'trendon watford', 'andrew nembhard', 'jordan goodwin']",0.08588743958745729,1,Desmond Bane OVER PTS 16.5 (GOBLIN) [id:10648596],Devin Booker OVER AST 3.5 (GOBLIN) [id:10649177],Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],Andrew Nembhard OVER PTS 13.5 (STANDARD) [id:10650926],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
5,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160] | Bam Adebayo UNDER PR 30.5 (STANDARD) [id:10643799] | Nique Clifford UNDER PRA 19.5 (STANDARD) [id:10651782] | Alex Sarr OVER REB 6.5 (DEMON) [id:10647625],0.04452341895431535,20.0,0.650758512615298,13.01517025230596,0.5794798779051605,20.0,pp_kernel,0.549948736946489,0.06987697439929177,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160] | Bam Adebayo UNDER PR 30.5 (STANDARD) [id:10643799] | Nique Clifford UNDER PRA 19.5 (STANDARD) [id:10651782] | Alex Sarr OVER REB 6.5 (DEMON) [id:10647625],0.0,0.003375,0.0006987697439929177,0.004073769743992917,0.0,0,0.0,0.07031005012415098,"['james harden', 'collin gillespie', 'bam adebayo', 'nique clifford', 'alex sarr']",0.0743838198681439,1,James Harden OVER AST 5.5 (GOBLIN) [id:10645143],Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160],Bam Adebayo UNDER PR 30.5 (STANDARD) [id:10643799],Nique Clifford UNDER PRA 19.5 (STANDARD) [id:10651782],Alex Sarr OVER REB 6.5 (DEMON) [id:10647625],0,
5,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Sam Merrill OVER FG3M 1.5 (GOBLIN) [id:10646825] | Ryan Rollins UNDER AST 5.5 (STANDARD) [id:10649065] | Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10645064],0.04969245385968654,20.0,0.3552836243546537,7.1056724870930745,0.35309830220691674,20.0,pp_kernel,0.5627296340571196,0.04708419352924233,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Sam Merrill OVER FG3M 1.5 (GOBLIN) [id:10646825] | Ryan Rollins UNDER AST 5.5 (STANDARD) [id:10649065] | Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10645064],0.00125,0.003375,0.00047084193529242326,0.005095841935292423,0.0,0,0.0,0.06845903621689135,"['jordan goodwin', 'sam merrill', 'ryan rollins', 'devin booker', 'dennis schröder']",0.07355487815218377,1,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Sam Merrill OVER FG3M 1.5 (GOBLIN) [id:10646825],Ryan Rollins UNDER AST 5.5 (STANDARD) [id:10649065],Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191],Dennis Schröder OVER PTS 9.5 (DEMON) [id:10645064],0,
5,Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10648290] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Dominick Barlow UNDER PTS 10 (STANDARD) [id:10644611] | Jalen Brunson UNDER PTS 27.5 (STANDARD) [id:10650051] | Jordan Goodwin OVER REB 5.5 (DEMON) [id:10652153],0.0421081216148942,20.0,0.653511558643375,13.0702311728675,0.550362883761886,20.0,pp_kernel,0.5473113143284412,0.05013081207326213,Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10648290] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Dominick Barlow UNDER PTS 10 (STANDARD) [id:10644611] | Jalen Brunson UNDER PTS 27.5 (STANDARD) [id:10650051] | Jordan Goodwin OVER REB 5.5 (DEMON) [id:10652153],0.0,0.003375,0.0005013081207326213,0.003876308120732621,0.0,0,0.0,0.06653177527288599,"['paolo banchero', 'davion mitchell', 'dominick barlow', 'jalen brunson', 'jordan goodwin']",0.07040808339361862,1,Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10648290],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Dominick Barlow UNDER PTS 10 (STANDARD) [id:10644611],Jalen Brunson UNDER PTS 27.5 (STANDARD) [id:10650051],Jordan Goodwin OVER REB 5.5 (DEMON) [id:10652153],0,
5,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Wendell Carter OVER PTS 7.5 (GOBLIN) [id:10648338] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Will Riley UNDER FG3M 1.5 (STANDARD) [id:10647523] | Sam Merrill OVER PTS 11.5 (DEMON) [id:10646833],0.0470384032964665,20.0,0.35029424251798114,7.005884850359623,0.32954563703982076,20.0,pp_kernel,0.5509998643338719,0.07495982250263471,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Wendell Carter OVER PTS 7.5 (GOBLIN) [id:10648338] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Will Riley UNDER FG3M 1.5 (STANDARD) [id:10647523] | Sam Merrill OVER PTS 11.5 (DEMON) [id:10646833],0.000625,0.003375,0.0007495982250263471,0.004749598225026347,0.0,0,0.0,0.06468008284743848,"['collin gillespie', 'wendell carter', 'james harden', 'will riley', 'sam merrill']",0.06942968107246483,1,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Wendell Carter OVER PTS 7.5 (GOBLIN) [id:10648338],James Harden OVER PTS 19.5 (STANDARD) [id:10645153],Will Riley UNDER FG3M 1.5 (STANDARD) [id:10647523],Sam Merrill OVER PTS 11.5 (DEMON) [id:10646833],0,
