n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Donte DiVincenzo OVER PA 14.5 (GOBLIN) [id:10652330] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0.12818252656387874,20.0,0.49690310785703395,9.93806215714068,1.2738859164511631,20.0,pp_kernel,0.6664233576642336,0.061079398949806726,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Donte DiVincenzo OVER PA 14.5 (GOBLIN) [id:10652330] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0.0,0.0,0.0,0.0,0.0,5,1.0,2.023885916451163,"['coby white', 'donte divincenzo', 'lamelo ball', 'jaden mcdaniels', 'grant williams']",1.2738859164511631,1,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581],Donte DiVincenzo OVER PA 14.5 (GOBLIN) [id:10652330],LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234],Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0,
5,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Donte DiVincenzo OVER PR 14.5 (GOBLIN) [id:10652201] | Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | Brandon Miller UNDER RA 8.5 (STANDARD) [id:10650496],0.11967867343168027,20.0,0.49690310785703395,9.93806215714068,1.1893740954481793,20.0,pp_kernel,0.6606239376062394,0.041942166598902306,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Donte DiVincenzo OVER PR 14.5 (GOBLIN) [id:10652201] | Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | Brandon Miller UNDER RA 8.5 (STANDARD) [id:10650496],0.0,0.0,0.0,0.0,0.0,5,1.0,1.9393740954481793,"['kon knueppel', 'donte divincenzo', 'coby white', 'julius randle', 'brandon miller']",1.1893740954481793,1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Donte DiVincenzo OVER PR 14.5 (GOBLIN) [id:10652201],Coby White OVER PA 14.5 (GOBLIN) [id:10644471],Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],Brandon Miller UNDER RA 8.5 (STANDARD) [id:10650496],0,
5,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | LaMelo Ball OVER REB 3.5 (GOBLIN) [id:10644008] | Moussa Diabaté OVER PR 19 (STANDARD) [id:10644055] | Julius Randle UNDER PRA 34.5 (STANDARD) [id:10649386],0.080906695105126,20.0,0.6954476281570509,13.908952563141018,1.1253273842577112,20.0,pp_kernel,0.6333866613338666,0.04506941349472643,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | LaMelo Ball OVER REB 3.5 (GOBLIN) [id:10644008] | Moussa Diabaté OVER PR 19 (STANDARD) [id:10644055] | Julius Randle UNDER PRA 34.5 (STANDARD) [id:10649386],0.0,0.0,0.0,0.0,0.0,5,1.0,1.8753273842577112,"['kon knueppel', 'coby white', 'lamelo ball', 'moussa diabaté', 'julius randle']",1.1253273842577112,1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Coby White OVER RA 4.5 (GOBLIN) [id:10645584],LaMelo Ball OVER REB 3.5 (GOBLIN) [id:10644008],Moussa Diabaté OVER PR 19 (STANDARD) [id:10644055],Julius Randle UNDER PRA 34.5 (STANDARD) [id:10649386],0,
5,Coby White OVER REB 1.5 (GOBLIN) [id:10645583] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Miles Bridges UNDER PR 21.5 (STANDARD) [id:10644029] | Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0.12895353786305103,20.0,0.4352428080654738,8.704856161309475,1.1225219985898345,20.0,pp_kernel,0.6783821617838216,0.044615860042821184,Coby White OVER REB 1.5 (GOBLIN) [id:10645583] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Miles Bridges UNDER PR 21.5 (STANDARD) [id:10644029] | Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0.0,0.0,0.0,0.0,0.0,5,1.0,1.8725219985898345,"['coby white', 'grant williams', 'ryan kalkbrenner', 'miles bridges', 'kon knueppel']",1.1225219985898345,1,Coby White OVER REB 1.5 (GOBLIN) [id:10645583],Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493],Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Miles Bridges UNDER PR 21.5 (STANDARD) [id:10644029],Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0,
5,Myles Turner OVER PTS 7.5 (GOBLIN) [id:10646697] | Jaylon Tyson OVER PTS 7.5 (GOBLIN) [id:10646789] | Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Jevon Carter UNDER PTS 7 (STANDARD) [id:10645954],0.0998583563786267,20.0,0.5335744339741235,10.67148867948247,1.065637319646241,20.0,pp_kernel,0.6350007907074448,0.048838809682230214,Myles Turner OVER PTS 7.5 (GOBLIN) [id:10646697] | Jaylon Tyson OVER PTS 7.5 (GOBLIN) [id:10646789] | Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Jevon Carter UNDER PTS 7 (STANDARD) [id:10645954],0.0,0.0,0.0,0.0,0.0,0,0.0,1.065637319646241,"['myles turner', 'jaylon tyson', 'norman powell', 'quentin grimes', 'jevon carter']",1.065637319646241,1,Myles Turner OVER PTS 7.5 (GOBLIN) [id:10646697],Jaylon Tyson OVER PTS 7.5 (GOBLIN) [id:10646789],Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Jevon Carter UNDER PTS 7 (STANDARD) [id:10645954],0,
5,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Sam Merrill OVER PTS 9.5 (STANDARD) [id:10645247] | Bam Adebayo UNDER PR 30.5 (STANDARD) [id:10643799],0.09280225757532058,20.0,0.5468221209199966,10.936442418399931,1.0149265462700123,20.0,pp_kernel,0.6273711191449892,0.06942349400033887,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Sam Merrill OVER PTS 9.5 (STANDARD) [id:10645247] | Bam Adebayo UNDER PR 30.5 (STANDARD) [id:10643799],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0149265462700123,"['jaylon tyson', 'shai gilgeous-alexander', 'grayson allen', 'sam merrill', 'bam adebayo']",1.0149265462700123,1,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719],Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204],Sam Merrill OVER PTS 9.5 (STANDARD) [id:10645247],Bam Adebayo UNDER PR 30.5 (STANDARD) [id:10643799],0,
5,Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494] | James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10651085] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980],0.08620886182802502,20.0,0.5692854084612626,11.385708169225254,0.9815489423749556,20.0,pp_kernel,0.6199069426322401,0.07531126137515713,Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494] | James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10651085] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9815489423749556,"[""royce o'neale"", 'james harden', 'russell westbrook', 'davion mitchell', 'bam adebayo']",0.9815489423749556,1,Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494],James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10651085],Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980],0,
5,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Isaiah Hartenstein OVER PTS 5.5 (GOBLIN) [id:10648218] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832],0.08757886870897195,20.0,0.5261984336677907,10.523968673355814,0.9216772707411626,20.0,pp_kernel,0.61734182378373,0.04639444945851291,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Isaiah Hartenstein OVER PTS 5.5 (GOBLIN) [id:10648218] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9216772707411626,"['bam adebayo', 'tyler herro', 'isaiah hartenstein', 'devin booker', 'cameron payne']",0.9216772707411626,1,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454],Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730],Isaiah Hartenstein OVER PTS 5.5 (GOBLIN) [id:10648218],Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],Cameron Payne UNDER PA 13.5 (STANDARD) [id:10644832],0,
5,Kevin Porter OVER AST 4.5 (GOBLIN) [id:10645187] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10651085] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075],0.08449279297417368,20.0,0.5435817276314043,10.871634552628088,0.9185747675460784,20.0,pp_kernel,0.6138583060981645,0.055550832790851865,Kevin Porter OVER AST 4.5 (GOBLIN) [id:10645187] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10651085] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9185747675460784,"['kevin porter', 'collin gillespie', 'russell westbrook', ""kel'el ware"", 'nique clifford']",0.9185747675460784,1,Kevin Porter OVER AST 4.5 (GOBLIN) [id:10645187],Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10651085],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075],0,
5,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Myles Turner OVER PA 7.5 (GOBLIN) [id:10651135] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.08338502080850102,20.0,0.5398625137824422,10.797250275648844,0.9003289389095722,20.0,pp_kernel,0.6129983347731025,0.0697423299600441,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Myles Turner OVER PA 7.5 (GOBLIN) [id:10651135] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9003289389095722,"['devin booker', 'myles turner', 'grayson allen', 'jordan goodwin', 'justin edwards']",0.9003289389095722,1,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479],Myles Turner OVER PA 7.5 (GOBLIN) [id:10651135],Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0,
