n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.1444332395602386,20.0,0.17453708568312284,3.490741713662457,0.5041791341723274,20.0,pp_kernel,0.6855173205803979,0.03918921895569836,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0,0.006,0.0003918921895569836,0.0063918921895569835,0.0,0,0.0,1.7535672426240072,"['collin gillespie', 'isaiah hartenstein', 'tristan silva', 'justin edwards', 'coby white']",1,Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143],Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
5,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796] | Ivica Zubac OVER REB 7.5 (DEMON) [id:10650937],0.14427414056175009,20.0,0.18289781506677322,3.6579563013354646,0.5277485015876122,20.0,pp_kernel,0.6919952878507127,0.05056114506287701,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796] | Ivica Zubac OVER REB 7.5 (DEMON) [id:10650937],0.000625,0.003375,0.0005056114506287701,0.00450561145062877,0.0,0,0.0,1.925975345452127,"[""royce o'neale"", 'jaime jaquez', 'tristan silva', 'bam adebayo', 'ivica zubac']",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796],Ivica Zubac OVER REB 7.5 (DEMON) [id:10650937],0,
5,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.14418315159075712,20.0,0.18116565364485057,3.6233130728970115,0.5224206980502818,20.0,pp_kernel,0.6876455598850977,0.06030419800794272,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.0,0.006,0.0006030419800794272,0.006603041980079428,0.0,0,0.0,1.8862907028174891,"['collin gillespie', 'james harden', 'coby white', 'tristan silva', 'davion mitchell']",1,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478],James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Coby White OVER PA 16.5 (STANDARD) [id:10643854],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0,
5,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0.14136431175439632,20.0,0.25539294138961,5.1078588277921995,0.7220689477294618,20.0,pp_kernel,0.681200801706209,0.0476182108796104,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0.000625,0.003375,0.00047618210879610403,0.0044761821087961045,0.0,0,0.0,3.68375006682576,"['coby white', 'grayson allen', 'ryan kalkbrenner', 'tristan silva', 'jaylon tyson']",1,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0,
5,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.13568392199961316,20.0,0.2089052075013489,4.178104150026978,0.5669015575985205,20.0,pp_kernel,0.6747407443962792,0.039420278102762454,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.000625,0.001875,0.00039420278102762454,0.0028942027810276248,0.0,0,0.0,2.3656795476781087,"['jaime jaquez', 'naz reid', 'tristan silva', 'ayo dosunmu', 'evan mobley']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Ayo Dosunmu UNDER REB 3.5 (STANDARD) [id:10652118],Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0,
5,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Coby White OVER RA 6.5 (DEMON) [id:10645586],0.12612521365003684,20.0,0.3071134280015217,6.142268560030434,0.7746949344297427,20.0,pp_kernel,0.6689831803525914,0.06737907585115636,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Coby White OVER RA 6.5 (DEMON) [id:10645586],0.0025,0.003375,0.0006737907585115636,0.006548790758511564,0.0,0,0.0,4.751835548604135,"[""royce o'neale"", 'collin gillespie', 'james harden', 'jordan goodwin', 'coby white']",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127],James Harden OVER PTS 19.5 (STANDARD) [id:10645153],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Coby White OVER RA 6.5 (DEMON) [id:10645586],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.1208558288832029,20.0,0.3119116089034992,6.2382321780699845,0.7539267206465161,20.0,pp_kernel,0.6639263855006632,0.028755134460116925,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0025,0.0015,0.00028755134460116925,0.004287551344601169,0.0,0,0.0,4.6988823772992765,"['ryan kalkbrenner', 'collin gillespie', 'quentin grimes', 'moussa diabaté', 'coby white']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
5,Davion Mitchell OVER FG3M 0.5 (GOBLIN) [id:10643868] | James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Rudy Gobert UNDER PTS 12.5 (STANDARD) [id:10649544] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.11775105942711378,20.0,0.19725333874219572,3.9450667748439145,0.4645357922485779,20.0,pp_kernel,0.6540929109494771,0.037327238141424815,Davion Mitchell OVER FG3M 0.5 (GOBLIN) [id:10643868] | James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Rudy Gobert UNDER PTS 12.5 (STANDARD) [id:10649544] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.000625,0.0015,0.0003732723814142482,0.0024982723814142484,0.0,0,0.0,1.8301264473442458,"['davion mitchell', 'james harden', 'rudy gobert', 'jalen green', 'jordan goodwin']",1,Davion Mitchell OVER FG3M 0.5 (GOBLIN) [id:10643868],James Harden OVER AST 5.5 (GOBLIN) [id:10645143],Rudy Gobert UNDER PTS 12.5 (STANDARD) [id:10649544],Jalen Green UNDER PTS 22 (STANDARD) [id:10649334],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
5,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341] | Ayo Dosunmu UNDER PR 19.5 (STANDARD) [id:10649102] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.11720967874352443,20.0,0.20628550704306814,4.125710140861363,0.48357316019926133,20.0,pp_kernel,0.653850144375322,0.04021447986629125,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341] | Ayo Dosunmu UNDER PR 19.5 (STANDARD) [id:10649102] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.0025,0.003375,0.0004021447986629125,0.006277144798662913,0.0,0,0.0,1.9888055460838059,"['collin gillespie', 'isaiah hartenstein', 'jalen green', 'ayo dosunmu', 'jordan goodwin']",1,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132],Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530],Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],Ayo Dosunmu UNDER PR 19.5 (STANDARD) [id:10649102],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
5,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | James Harden OVER PTS 16.5 (GOBLIN) [id:10652299] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0.11503510184641902,20.0,0.306381171253162,6.1276234250632395,0.7048917847786527,20.0,pp_kernel,0.6509380732333329,0.05224318339300989,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | James Harden OVER PTS 16.5 (GOBLIN) [id:10652299] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0.00125,0.006,0.0005224318339300989,0.007772431833930099,0.0,0,0.0,4.3115389807103774,"['ryan kalkbrenner', 'james harden', 'cameron payne', 'justin edwards', 'jaylon tyson']",1,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],James Harden OVER PTS 16.5 (GOBLIN) [id:10652299],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],Jaylon Tyson OVER AST 1.5 (DEMON) [id:10653215],0,
