n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Dennis Schröder OVER AST 4.5 (DEMON) [id:10645056],0.09776242904472675,20.0,0.48371537712974555,9.67430754259491,0.9457838046897997,20.0,pp_kernel,0.6445614938029499,0.04625816664670235,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Dennis Schröder OVER AST 4.5 (DEMON) [id:10645056],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9457838046897997,"[""royce o'neale"", 'ryan kalkbrenner', 'devin booker', 'jordan goodwin', 'dennis schröder']",0.9457838046897997,1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Dennis Schröder OVER AST 4.5 (DEMON) [id:10645056],0,
5,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Julius Randle UNDER PTS 22.5 (STANDARD) [id:10649378] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Coby White OVER AST 4.5 (DEMON) [id:10643841],0.0861005966716189,20.0,0.5338685486371207,10.677370972742414,0.9193280116373458,20.0,pp_kernel,0.6262239269645404,0.051838277255393195,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Julius Randle UNDER PTS 22.5 (STANDARD) [id:10649378] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Coby White OVER AST 4.5 (DEMON) [id:10643841],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9193280116373458,"['evan mobley', 'collin gillespie', 'julius randle', 'jordan goodwin', 'coby white']",0.9193280116373458,1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752],Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478],Julius Randle UNDER PTS 22.5 (STANDARD) [id:10649378],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Coby White OVER AST 4.5 (DEMON) [id:10643841],0,
5,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Naz Reid UNDER PTS 15.5 (STANDARD) [id:10649422] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Norman Powell OVER AST 2.5 (DEMON) [id:10644070],0.09155376632650464,20.0,0.48434769682113715,9.686953936422743,0.886877117110862,20.0,pp_kernel,0.6323036627218767,0.05173656441020441,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Naz Reid UNDER PTS 15.5 (STANDARD) [id:10649422] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Norman Powell OVER AST 2.5 (DEMON) [id:10644070],0.0,0.0,0.0,0.0,0.0,0,0.0,0.886877117110862,"['davion mitchell', 'jaylon tyson', 'naz reid', 'jordan goodwin', 'norman powell']",0.886877117110862,1,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482],Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Naz Reid UNDER PTS 15.5 (STANDARD) [id:10649422],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Norman Powell OVER AST 2.5 (DEMON) [id:10644070],0,
5,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Naz Reid UNDER PTS 15.5 (STANDARD) [id:10649422] | Tim Hardaway OVER FG3M 2.5 (DEMON) [id:10644879],0.08220546573174348,20.0,0.5372017614246725,10.744035228493448,0.8832184197965629,20.0,pp_kernel,0.6228871544125981,0.049314890767668235,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Naz Reid UNDER PTS 15.5 (STANDARD) [id:10649422] | Tim Hardaway OVER FG3M 2.5 (DEMON) [id:10644879],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8832184197965629,"['grant williams', 'davion mitchell', 'ayo dosunmu', 'naz reid', 'tim hardaway']",0.8832184197965629,1,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103],Naz Reid UNDER PTS 15.5 (STANDARD) [id:10649422],Tim Hardaway OVER FG3M 2.5 (DEMON) [id:10644879],0,
5,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0.08510155724611289,20.0,0.5189486715147672,10.378973430295344,0.8832668015341639,20.0,pp_kernel,0.6235835264842592,0.036438630586628024,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8832668015341639,"['coby white', ""royce o'neale"", 'cameron payne', 'ryan kalkbrenner', 'davion mitchell']",0.8832668015341639,1,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0,
5,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Myles Turner OVER FG3M 1.5 (STANDARD) [id:10645229] | Brandon Miller OVER AST 3.5 (DEMON) [id:10650495],0.081063150616929,20.0,0.5381046793347115,10.762093586694231,0.87240921337168,20.0,pp_kernel,0.6208380881586649,0.06299715109520987,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Myles Turner OVER FG3M 1.5 (STANDARD) [id:10645229] | Brandon Miller OVER AST 3.5 (DEMON) [id:10650495],0.0,0.0,0.0,0.0,0.0,0,0.0,0.87240921337168,"['evan mobley', 'ryan kalkbrenner', 'grayson allen', 'myles turner', 'brandon miller']",0.87240921337168,1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],Myles Turner OVER FG3M 1.5 (STANDARD) [id:10645229],Brandon Miller OVER AST 3.5 (DEMON) [id:10650495],0,
5,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Brandon Miller OVER AST 3.5 (DEMON) [id:10650495],0.08184816078541522,20.0,0.532302879843696,10.64605759687392,0.8713602339197278,20.0,pp_kernel,0.6182812080778187,0.04483975307809283,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Brandon Miller OVER AST 3.5 (DEMON) [id:10650495],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8713602339197278,"['collin gillespie', 'jaime jaquez', 'ayo dosunmu', 'ryan kalkbrenner', 'brandon miller']",0.8713602339197278,1,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Brandon Miller OVER AST 3.5 (DEMON) [id:10650495],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Ayo Dosunmu UNDER PR 19.5 (STANDARD) [id:10649102] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075] | Dean Wade OVER AST 1.5 (DEMON) [id:10646714],0.09137685553334425,20.0,0.4738263880337967,9.476527760675934,0.8659353081450111,20.0,pp_kernel,0.6344683828112692,0.03682555180445644,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Ayo Dosunmu UNDER PR 19.5 (STANDARD) [id:10649102] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075] | Dean Wade OVER AST 1.5 (DEMON) [id:10646714],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8659353081450111,"['ryan kalkbrenner', 'jordan goodwin', 'ayo dosunmu', 'nique clifford', 'dean wade']",0.8659353081450111,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Ayo Dosunmu UNDER PR 19.5 (STANDARD) [id:10649102],Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075],Dean Wade OVER AST 1.5 (DEMON) [id:10646714],0,
5,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Grayson Allen OVER REB 1.5 (GOBLIN) [id:10649768] | Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Kon Knueppel OVER FG3M 3.5 (DEMON) [id:10643951],0.08893061878126929,20.0,0.4827614114599269,9.655228229198539,0.8586454208970049,20.0,pp_kernel,0.6248372590397453,0.038105422461533714,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Grayson Allen OVER REB 1.5 (GOBLIN) [id:10649768] | Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Kon Knueppel OVER FG3M 3.5 (DEMON) [id:10643951],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8586454208970049,"['evan mobley', 'grayson allen', 'jalen green', 'devin booker', 'kon knueppel']",0.8586454208970049,1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752],Grayson Allen OVER REB 1.5 (GOBLIN) [id:10649768],Jalen Green UNDER PA 24.5 (STANDARD) [id:10649339],Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],Kon Knueppel OVER FG3M 3.5 (DEMON) [id:10643951],0,
5,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Evan Mobley OVER AST 3.5 (DEMON) [id:10645102],0.08008460671042278,20.0,0.5334332445543621,10.668664891087243,0.8543958319280173,20.0,pp_kernel,0.6152449930944515,0.04992465921203591,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Evan Mobley OVER AST 3.5 (DEMON) [id:10645102],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8543958319280173,"['brandon miller', 'coby white', 'jaden mcdaniels', 'jordan goodwin', 'evan mobley']",0.8543958319280173,1,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Coby White OVER PTS 11.5 (GOBLIN) [id:10644469],Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Evan Mobley OVER AST 3.5 (DEMON) [id:10645102],0,
