n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Jeremiah Fears OVER PR 11.5 (STANDARD) [id:10690630] | Scottie Barnes OVER REB 7.5 (DEMON) [id:10670467],0.23933159395067977,6.0,0.5171636430626557,3.1029818583759345,0.7426415941651549,6.0,pp_kernel,0.6406771295393582,0.05665355227085359,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659] | Jeremiah Fears OVER PR 11.5 (STANDARD) [id:10690630] | Scottie Barnes OVER REB 7.5 (DEMON) [id:10670467],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7426415941651549,"['john collins', 'jeremiah fears', 'scottie barnes']",0.7426415941651549,1,John Collins OVER PTS 7.5 (GOBLIN) [id:10671659],Jeremiah Fears OVER PR 11.5 (STANDARD) [id:10690630],Scottie Barnes OVER REB 7.5 (DEMON) [id:10670467],0,
3,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Cedric Coward OVER AST 2.5 (DEMON) [id:10692791],0.23751752314093985,6.0,0.52029711410218,3.1217826846130805,0.7414780910335727,6.0,pp_kernel,0.6381170059879137,0.061986037003655875,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Cedric Coward OVER AST 2.5 (DEMON) [id:10692791],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7414780910335727,"['jeremiah fears', 'bones hyland', 'cedric coward']",0.7414780910335727,1,Jeremiah Fears OVER PR 7.5 (GOBLIN) [id:10696590],Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196],Cedric Coward OVER AST 2.5 (DEMON) [id:10692791],0,
3,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Jrue Holiday OVER AST 5.5 (DEMON) [id:10674654],0.24204814993146637,6.0,0.5550291766996344,3.3301750601978064,0.8060627122687887,6.0,pp_kernel,0.6467838567872015,0.0526376988838106,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Jrue Holiday OVER AST 5.5 (DEMON) [id:10674654],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8060627122687887,"['dejounte murray', 'bones hyland', 'jrue holiday']",0.8060627122687887,1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10670769],Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196],Jrue Holiday OVER AST 5.5 (DEMON) [id:10674654],0,
3,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Jock Landale OVER REB 4 (STANDARD) [id:10680664] | Herbert Jones OVER REB 3.5 (DEMON) [id:10671361],0.24353443547967263,6.0,0.5149529179396238,3.0897175076377428,0.7524526090142188,6.0,pp_kernel,0.6459014533772343,0.04880473200293611,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Jock Landale OVER REB 4 (STANDARD) [id:10680664] | Herbert Jones OVER REB 3.5 (DEMON) [id:10671361],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7524526090142188,"['amen thompson', 'jock landale', 'herbert jones']",0.7524526090142188,1,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020],Jock Landale OVER REB 4 (STANDARD) [id:10680664],Herbert Jones OVER REB 3.5 (DEMON) [id:10671361],0,
3,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10675275] | Austin Reaves OVER REB 4.5 (DEMON) [id:10669398],0.23906392483714536,6.0,0.516307505529372,3.097845033176232,0.7405829921683668,6.0,pp_kernel,0.6432793958498224,0.02318803171443796,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10675275] | Austin Reaves OVER REB 4.5 (DEMON) [id:10669398],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7405829921683668,"['amen thompson', 'jarace walker', 'austin reaves']",0.7405829921683668,1,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10688020],Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10675275],Austin Reaves OVER REB 4.5 (DEMON) [id:10669398],0,
3,Jeremiah Fears OVER PA 7.5 (GOBLIN) [id:10696589] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Patrick Williams OVER REB 2.5 (DEMON) [id:10697860],0.22561400569108067,6.0,0.544431817358299,3.266590904149794,0.736988658839284,6.0,pp_kernel,0.6300721776029076,0.03945354613985797,Jeremiah Fears OVER PA 7.5 (GOBLIN) [id:10696589] | Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196] | Patrick Williams OVER REB 2.5 (DEMON) [id:10697860],0.0,0.0,0.0,0.0,0.0,0,0.0,0.736988658839284,"['jeremiah fears', 'bones hyland', 'patrick williams']",0.736988658839284,1,Jeremiah Fears OVER PA 7.5 (GOBLIN) [id:10696589],Bones Hyland UNDER PTS 14.5 (STANDARD) [id:10677196],Patrick Williams OVER REB 2.5 (DEMON) [id:10697860],0,
3,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107] | LeBron James OVER REB 5.5 (DEMON) [id:10669481],0.23469493350469225,6.0,0.5156166853248143,3.093700111948886,0.7260757420573027,6.0,pp_kernel,0.6342919842262015,0.039194225212208174,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101] | Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107] | LeBron James OVER REB 5.5 (DEMON) [id:10669481],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7260757420573027,"['jeremiah fears', 'rui hachimura', 'lebron james']",0.7260757420573027,1,Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10692101],Rui Hachimura OVER PTS 7.5 (STANDARD) [id:10674107],LeBron James OVER REB 5.5 (DEMON) [id:10669481],0,
3,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | Jeremiah Fears OVER PRA 14.5 (STANDARD) [id:10690631] | LeBron James OVER AST 6.5 (DEMON) [id:10669464],0.232006485180423,6.0,0.5202247296204409,3.1213483777226454,0.7241730661390463,6.0,pp_kernel,0.6327436090822885,0.04255816581146052,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781] | Jeremiah Fears OVER PRA 14.5 (STANDARD) [id:10690631] | LeBron James OVER AST 6.5 (DEMON) [id:10669464],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7241730661390463,"['trey murphy', 'jeremiah fears', 'lebron james']",0.7241730661390463,1,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10670781],Jeremiah Fears OVER PRA 14.5 (STANDARD) [id:10690631],LeBron James OVER AST 6.5 (DEMON) [id:10669464],0,
3,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097] | Amen Thompson OVER REB 7 (STANDARD) [id:10680669] | Jrue Holiday OVER AST 5.5 (DEMON) [id:10674654],0.21163297879215526,6.0,0.5560130082019654,3.3360780492117925,0.7060241350378139,6.0,pp_kernel,0.61386275601071,0.06805724209402984,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097] | Amen Thompson OVER REB 7 (STANDARD) [id:10680669] | Jrue Holiday OVER AST 5.5 (DEMON) [id:10674654],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7060241350378139,"['rui hachimura', 'amen thompson', 'jrue holiday']",0.7060241350378139,1,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10674097],Amen Thompson OVER REB 7 (STANDARD) [id:10680669],Jrue Holiday OVER AST 5.5 (DEMON) [id:10674654],0,
3,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422] | Rui Hachimura OVER PR 10 (STANDARD) [id:10674115] | Jock Landale OVER REB 5.5 (DEMON) [id:10672350],0.22659339266753348,6.0,0.5170339002525511,3.1022034015153066,0.7029387934941159,6.0,pp_kernel,0.6271736012253498,0.057125568428331365,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422] | Rui Hachimura OVER PR 10 (STANDARD) [id:10674115] | Jock Landale OVER REB 5.5 (DEMON) [id:10672350],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7029387934941159,"['jabari smith', 'rui hachimura', 'jock landale']",0.7029387934941159,1,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10669422],Rui Hachimura OVER PR 10 (STANDARD) [id:10674115],Jock Landale OVER REB 5.5 (DEMON) [id:10672350],0,
