n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.21736272180353297,6.0,1.0,6.0,1.3041763308211978,6.0,atlas,0.6039087415003445,0.020055819144863565,Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3041763308211978,"['alex sarr', 'quentin grimes', 'tristan silva']",1,Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,Ivica Zubac OVER REB 4.5 (GOBLIN) [id:10653968] | Julian Champagnie UNDER AST 1.5 (STANDARD) [id:10652366] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.21133420218769808,6.0,1.0,6.0,1.2680052131261885,6.0,atlas,0.5978610220668601,0.012853688269487018,Ivica Zubac OVER REB 4.5 (GOBLIN) [id:10653968] | Julian Champagnie UNDER AST 1.5 (STANDARD) [id:10652366] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2680052131261885,"['ivica zubac', 'julian champagnie', 'tristan silva']",1,Ivica Zubac OVER REB 4.5 (GOBLIN) [id:10653968],Julian Champagnie UNDER AST 1.5 (STANDARD) [id:10652366],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Alex Caruso UNDER REB 2.5 (STANDARD) [id:10644963] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.21091202701321335,6.0,1.0,6.0,1.2654721620792801,6.0,atlas,0.5974084228463122,0.013194238277355268,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Alex Caruso UNDER REB 2.5 (STANDARD) [id:10644963] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2654721620792801,"['james harden', 'alex caruso', 'tristan silva']",1,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Alex Caruso UNDER REB 2.5 (STANDARD) [id:10644963],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
3,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0.21035982268465284,6.0,1.0,6.0,1.262158936107917,6.0,atlas,0.5975147687719041,0.012021561140964058,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0.0,0.0,0.0,0.0,0.0,0,0.0,1.262158936107917,"['ivica zubac', 'tristan silva', ""de'aaron fox""]",1,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],De'Aaron Fox UNDER REB 3.5 (STANDARD) [id:10653004],0,
3,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.2097534518150066,6.0,1.0,6.0,1.2585207108900396,6.0,atlas,0.5962935720859548,0.013194238277355268,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2585207108900396,"['james harden', 'donovan mitchell', 'tristan silva']",1,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Donovan Mitchell UNDER REB 4 (STANDARD) [id:10651047],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
3,Ivica Zubac OVER REB 4.5 (GOBLIN) [id:10653968] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.20196047085657187,6.0,1.0,6.0,1.2117628251394312,6.0,atlas,0.587959530439368,0.012853688269487018,Ivica Zubac OVER REB 4.5 (GOBLIN) [id:10653968] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2117628251394312,"['ivica zubac', 'quentin grimes', 'justin edwards']",1,Ivica Zubac OVER REB 4.5 (GOBLIN) [id:10653968],Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10644629],Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0,
3,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166] | Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10644628],0.19931659083366512,6.0,1.0,6.0,1.1958995450019907,6.0,atlas,0.5856677289956266,0.020260898920916856,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166] | Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10644628],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1958995450019907,"['bub carrington', 'justin edwards', 'quentin grimes']",1,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481],Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10644628],0,
3,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.19836517291815614,6.0,1.0,6.0,1.1901910375089368,6.0,atlas,0.5845135480390821,0.012424606802120807,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1901910375089368,"['jaylon tyson', 'miles bridges', 'justin edwards']",1,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],0,
3,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],0.1976653501697853,6.0,1.0,6.0,1.1859921010187118,6.0,atlas,0.5842068194261952,0.012021561140964058,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1859921010187118,"['ivica zubac', 'cameron payne', 'justin edwards']",1,Ivica Zubac OVER REB 5.5 (GOBLIN) [id:10650939],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],0,
3,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627],0.19747350119995752,6.0,1.0,6.0,1.184841007199745,6.0,atlas,0.5842889683861597,0.013379353566450924,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627],0.0,0.0,0.0,0.0,0.0,0,0.0,1.184841007199745,"[""royce o'neale"", 'justin edwards', 'quentin grimes']",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Justin Edwards UNDER PRA 18.5 (STANDARD) [id:10647166],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627],0,
3,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0.19721534643803984,6.0,1.0,6.0,1.183292078628239,6.0,atlas,0.5833003161877954,0.012424606802120807,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0.0,0.0,0.0,0.0,0.0,0,0.0,1.183292078628239,"['jaylon tyson', 'quentin grimes', 'chet holmgren']",1,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627],Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0,
