n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Kon Knueppel OVER RA 6.5 (GOBLIN) [id:10661300] | Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Moussa Diabaté UNDER PR 18.5 (STANDARD) [id:10644055] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.270695388895621,20.0,1.0,20.0,5.41390777791242,20.0,atlas,0.7736787478131228,0.051762620415922986,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Kon Knueppel OVER RA 6.5 (GOBLIN) [id:10661300] | Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Moussa Diabaté UNDER PR 18.5 (STANDARD) [id:10644055] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,4,0.8,6.0139077779124195,"['ryan kalkbrenner', 'kon knueppel', 'grant williams', 'moussa diabaté', 'tristan silva']",1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Kon Knueppel OVER RA 6.5 (GOBLIN) [id:10661300],Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599],Moussa Diabaté UNDER PR 18.5 (STANDARD) [id:10644055],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
5,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | LaMelo Ball OVER RA 8.5 (GOBLIN) [id:10661302] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Coby White OVER PRA 18.5 (STANDARD) [id:10643856] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.2408219355143846,20.0,1.0,20.0,4.816438710287692,20.0,atlas,0.7526830300546848,0.0637257593643282,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | LaMelo Ball OVER RA 8.5 (GOBLIN) [id:10661302] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Coby White OVER PRA 18.5 (STANDARD) [id:10643856] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.0,0.0,0.0,0.0,0.0,4,0.8,5.416438710287692,"['ryan kalkbrenner', 'lamelo ball', 'miles bridges', 'coby white', 'tristan silva']",1,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],LaMelo Ball OVER RA 8.5 (GOBLIN) [id:10661302],Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],Coby White OVER PRA 18.5 (STANDARD) [id:10643856],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0,
5,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458] | LaMelo Ball UNDER PRA 32.5 (STANDARD) [id:10644003] | Tristan Silva UNDER REB 5 (STANDARD) [id:10647825],0.2313542577550092,20.0,1.0,20.0,4.627085155100184,20.0,atlas,0.751851367492288,0.05018282663143644,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458] | LaMelo Ball UNDER PRA 32.5 (STANDARD) [id:10644003] | Tristan Silva UNDER REB 5 (STANDARD) [id:10647825],0.0,0.0,0.0,0.0,0.0,3,0.6,5.0770851551001845,"['coby white', ""royce o'neale"", 'brandon miller', 'lamelo ball', 'tristan silva']",1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458],LaMelo Ball UNDER PRA 32.5 (STANDARD) [id:10644003],Tristan Silva UNDER REB 5 (STANDARD) [id:10647825],0,
5,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ayo Dosunmu UNDER PTS 15.5 (STANDARD) [id:10649095] | Tristan Silva UNDER REB 5 (STANDARD) [id:10647825],0.2232857414306998,20.0,1.0,20.0,4.465714828613995,20.0,atlas,0.7472337461812757,0.04785254691435588,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ayo Dosunmu UNDER PTS 15.5 (STANDARD) [id:10649095] | Tristan Silva UNDER REB 5 (STANDARD) [id:10647825],0.0,0.0,0.0,0.0,0.0,2,0.4,4.765714828613995,"[""royce o'neale"", 'ryan kalkbrenner', 'coby white', 'ayo dosunmu', 'tristan silva']",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267],Coby White OVER RA 4.5 (GOBLIN) [id:10645584],Ayo Dosunmu UNDER PTS 15.5 (STANDARD) [id:10649095],Tristan Silva UNDER REB 5 (STANDARD) [id:10647825],0,
5,Kon Knueppel OVER REB 3.5 (GOBLIN) [id:10653204] | Brandon Miller OVER FG3M 1.5 (GOBLIN) [id:10661646] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Coby White OVER PTS 13 (STANDARD) [id:10643852] | Tristan Silva UNDER PR 15.5 (STANDARD) [id:10646713],0.22238099229846117,20.0,1.0,20.0,4.447619845969223,20.0,atlas,0.7427840199556947,0.05616044796425984,Kon Knueppel OVER REB 3.5 (GOBLIN) [id:10653204] | Brandon Miller OVER FG3M 1.5 (GOBLIN) [id:10661646] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Coby White OVER PTS 13 (STANDARD) [id:10643852] | Tristan Silva UNDER PR 15.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,4,0.8,5.047619845969223,"['kon knueppel', 'brandon miller', 'grant williams', 'coby white', 'tristan silva']",1,Kon Knueppel OVER REB 3.5 (GOBLIN) [id:10653204],Brandon Miller OVER FG3M 1.5 (GOBLIN) [id:10661646],Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493],Coby White OVER PTS 13 (STANDARD) [id:10643852],Tristan Silva UNDER PR 15.5 (STANDARD) [id:10646713],0,
5,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Kon Knueppel OVER AST 2.5 (GOBLIN) [id:10643957] | Jalen Green UNDER PTS 22.5 (STANDARD) [id:10649334] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096],0.19921608005169666,20.0,1.0,20.0,3.9843216010339333,20.0,atlas,0.7287539480942702,0.04249744856176036,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Kon Knueppel OVER AST 2.5 (GOBLIN) [id:10643957] | Jalen Green UNDER PTS 22.5 (STANDARD) [id:10649334] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096],0.0,0.0,0.0,0.0,0.0,4,0.8,4.584321601033933,"['ryan kalkbrenner', 'grant williams', 'kon knueppel', 'jalen green', 'brandon miller']",1,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595],Kon Knueppel OVER AST 2.5 (GOBLIN) [id:10643957],Jalen Green UNDER PTS 22.5 (STANDARD) [id:10649334],Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096],0,
5,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10655795] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.19276370606362686,20.0,1.0,20.0,3.8552741212725374,20.0,atlas,0.7239781269422446,0.0736573841825484,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10655795] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.0,0.0,0.0,0.0,0.0,3,0.6,4.305274121272538,"['lamelo ball', 'miles bridges', 'ryan kalkbrenner', 'jaylon tyson', 'quentin grimes']",1,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873],Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10655795],Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0,
5,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Jordan Goodwin OVER PRA 9.5 (GOBLIN) [id:10661651] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0.18661696712963052,20.0,1.0,20.0,3.7323393425926104,20.0,atlas,0.7207872912612464,0.06336737712586682,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Jordan Goodwin OVER PRA 9.5 (GOBLIN) [id:10661651] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0.0,0.0,0.0,0.0,0.0,2,0.4,4.032339342592611,"['jaden mcdaniels', 'coby white', 'jordan goodwin', 'ousmane dieng', 'grant williams']",1,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Jordan Goodwin OVER PRA 9.5 (GOBLIN) [id:10661651],Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805],Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0,
5,Miles Bridges OVER PR 17.5 (GOBLIN) [id:10661356] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10661298] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717] | Moussa Diabaté UNDER RA 12.5 (STANDARD) [id:10658559] | LaMelo Ball UNDER PTS 20.5 (STANDARD) [id:10643999],0.16681413468942852,20.0,1.0,20.0,3.3362826937885703,20.0,atlas,0.7014359280360882,0.06026806290450959,Miles Bridges OVER PR 17.5 (GOBLIN) [id:10661356] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10661298] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717] | Moussa Diabaté UNDER RA 12.5 (STANDARD) [id:10658559] | LaMelo Ball UNDER PTS 20.5 (STANDARD) [id:10643999],0.0,0.0,0.0,0.0,0.0,4,0.8,3.9362826937885704,"['miles bridges', 'kon knueppel', 'myles turner', 'moussa diabaté', 'lamelo ball']",1,Miles Bridges OVER PR 17.5 (GOBLIN) [id:10661356],Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10661298],Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717],Moussa Diabaté UNDER RA 12.5 (STANDARD) [id:10658559],LaMelo Ball UNDER PTS 20.5 (STANDARD) [id:10643999],0,
5,Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10661298] | Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Miles Bridges OVER PR 17.5 (GOBLIN) [id:10661356] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],0.1575730906787476,20.0,1.0,20.0,3.151461813574952,20.0,atlas,0.6936855707737009,0.05275264252665337,Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10661298] | Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Miles Bridges OVER PR 17.5 (GOBLIN) [id:10661356] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],0.0,0.0,0.0,0.0,0.0,3,0.6,3.601461813574952,"['kon knueppel', 'grant williams', 'miles bridges', 'devin booker', 'jalen green']",1,Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10661298],Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917],Miles Bridges OVER PR 17.5 (GOBLIN) [id:10661356],Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],0,
