n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980] | Coby White OVER PRA 23.5 (DEMON) [id:10645582],0.5238508262049425,10.0,0.44161533390302055,4.416153339030205,2.3134055752986886,10.0,pp_kernel,0.8509953668578246,0.05541807776003205,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980] | Coby White OVER PRA 23.5 (DEMON) [id:10645582],0.0,0.0,0.0,0.0,0.0,0,0.0,2.3134055752986886,"['lamelo ball', 'ryan kalkbrenner', 'bam adebayo', 'coby white']",2.3134055752986886,1,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980],Coby White OVER PRA 23.5 (DEMON) [id:10645582],0,
4,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.5203993648848558,10.0,0.4403883146196047,4.403883146196047,2.2917779923075434,10.0,pp_kernel,0.8498876921537666,0.04839406468799632,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.0,0.0,0.0,0.0,0.0,0,0.0,2.2917779923075434,"['coby white', 'jaime jaquez', 'ryan kalkbrenner', 'tyler herro']",2.2917779923075434,1,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0,
4,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.5002330655201409,10.0,0.44904915164547465,4.490491516454746,2.246292336968344,10.0,pp_kernel,0.8413787763528173,0.05589962675617273,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.0,0.0,0.0,0.0,0.0,0,0.0,2.246292336968344,"['miles bridges', 'ryan kalkbrenner', 'jordan goodwin', 'grant williams']",2.246292336968344,1,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0,
4,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026] | Coby White OVER PRA 24.5 (DEMON) [id:10644477],0.4935947412576421,10.0,0.44904915164547465,4.490491516454746,2.216482998184117,10.0,pp_kernel,0.8390195604852264,0.06560311096982957,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026] | Coby White OVER PRA 24.5 (DEMON) [id:10644477],0.0,0.0,0.0,0.0,0.0,0,0.0,2.216482998184117,"['tyler herro', 'lamelo ball', 'miles bridges', 'coby white']",2.216482998184117,1,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],Coby White OVER PRA 24.5 (DEMON) [id:10644477],0,
4,Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Coby White OVER PRA 23.5 (DEMON) [id:10645582],0.5028630790069081,10.0,0.43980748138286985,4.398074813828698,2.2116294425846332,10.0,pp_kernel,0.8423445281128299,0.0561055006650003,Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Coby White OVER PRA 23.5 (DEMON) [id:10645582],0.0,0.0,0.0,0.0,0.0,0,0.0,2.2116294425846332,"['jalen green', 'grayson allen', 'ryan kalkbrenner', 'coby white']",2.2116294425846332,1,Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Coby White OVER PRA 23.5 (DEMON) [id:10645582],0,
4,Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.4903573683980334,10.0,0.44904915164547465,4.490491516454746,2.201945602822444,10.0,pp_kernel,0.8370981762459702,0.0727282923180129,Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,2.201945602822444,"['norman powell', 'davion mitchell', 'lamelo ball', 'coby white']",2.201945602822444,1,Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555],Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488],LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
4,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.4866587836631637,10.0,0.44904915164547465,4.490491516454746,2.185337139447622,10.0,pp_kernel,0.8367340818920981,0.057462506436719143,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.0,0.0,0.0,0.0,0.0,0,0.0,2.185337139447622,"['norman powell', 'jaime jaquez', 'tyler herro', 'jalen green']",2.185337139447622,1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0,
4,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.47909933292260665,10.0,0.44904915164547465,4.490491516454746,2.151391490028093,10.0,pp_kernel,0.8326421427534226,0.06497838474449065,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.0,0.0,0.0,0.0,0.0,0,0.0,2.151391490028093,"['norman powell', 'lamelo ball', 'kon knueppel', 'ryan kalkbrenner']",2.151391490028093,1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0,
4,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0.4766758024551558,10.0,0.4483853149182185,4.483853149182185,2.1373442979774953,10.0,pp_kernel,0.8315455230672906,0.06428418293884586,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0.0,0.0,0.0,0.0,0.0,0,0.0,2.1373442979774953,"['bam adebayo', 'tyler herro', 'norman powell', 'davion mitchell']",2.1373442979774953,1,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454],Tyler Herro OVER PRA 31 (STANDARD) [id:10644163],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0,
4,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0.47234905220058365,10.0,0.44904915164547465,4.490491516454746,2.1210794117121607,10.0,pp_kernel,0.8296745488182429,0.05733071655348217,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0.0,0.0,0.0,0.0,0.0,0,0.0,2.1210794117121607,"['ayo dosunmu', 'tyler herro', 'grayson allen', 'grant williams']",2.1210794117121607,1,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0,
