n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0.859631725119028,6.0,1.0,6.0,5.157790350714167,6.0,atlas,0.951388194513882,0.0808631718974164,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0.0,0.0,0.0,0.0,0.0,3,1.0,5.6077903507141675,"['coby white', 'lamelo ball', 'miles bridges']",1,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581],LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0,
3,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029],0.8517370832569338,6.0,1.0,6.0,5.1104224995416025,6.0,atlas,0.9483218344832184,0.0810374960167237,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029],0.0,0.0,0.0,0.0,0.0,3,1.0,5.560422499541603,"['coby white', 'lamelo ball', 'miles bridges']",1,Coby White OVER PR 14.5 (GOBLIN) [id:10644474],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029],0,
3,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0.8513065091365875,6.0,1.0,6.0,5.107839054819525,6.0,atlas,0.9478552144785523,0.06882489260096786,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0.0,0.0,0.0,0.0,0.0,3,1.0,5.557839054819525,"['grant williams', 'ryan kalkbrenner', 'kon knueppel']",1,Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0,
3,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0.8409240449348322,6.0,1.0,6.0,5.045544269608993,6.0,atlas,0.9442555744425558,0.05814477973571089,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0.0,0.0,0.0,0.0,0.0,3,1.0,5.495544269608994,"['ryan kalkbrenner', 'coby white', 'miles bridges']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0,
3,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0.8408454908969004,6.0,1.0,6.0,5.045072945381403,6.0,atlas,0.9441889144418892,0.08151935091903954,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0.0,0.0,0.0,0.0,0.0,3,1.0,5.495072945381403,"['coby white', 'miles bridges', 'lamelo ball']",1,Coby White OVER PR 14.5 (GOBLIN) [id:10644474],Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0,
3,Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0.8382588936176846,6.0,1.0,6.0,5.029553361706108,6.0,atlas,0.9431890144318901,0.06954766210312695,Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0.0,0.0,0.0,0.0,0.0,3,1.0,5.479553361706108,"['coby white', 'ryan kalkbrenner', 'miles bridges']",1,Coby White OVER RA 4.5 (GOBLIN) [id:10645584],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],0,
3,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0.8381711234151286,6.0,1.0,6.0,5.029026740490771,6.0,atlas,0.942955704429557,0.06892285000306855,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0.0,0.0,0.0,0.0,0.0,3,1.0,5.479026740490771,"['brandon miller', 'ryan kalkbrenner', 'grant williams']",1,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0,
3,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969] | LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999],0.7980741267018426,6.0,1.0,6.0,4.788444760211056,6.0,atlas,0.9282571742825718,0.07037791589790147,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969] | LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999],0.0,0.0,0.0,0.0,0.0,3,1.0,5.238444760211056,"['ryan kalkbrenner', 'kon knueppel', 'lamelo ball']",1,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581],Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969],LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999],0,
3,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0.7960216486458358,6.0,1.0,6.0,4.776129891875015,6.0,atlas,0.9273239342732392,0.07185379346773968,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0.0,0.0,0.0,0.0,0.0,3,1.0,5.226129891875015,"['kon knueppel', 'brandon miller', 'lamelo ball']",1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828],LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],0,
3,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0.7854500100709413,6.0,1.0,6.0,4.7127000604256475,6.0,atlas,0.9229382741923832,0.06823623171904487,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,5.012700060425647,"['jalen green', 'kon knueppel', 'grant williams']",1,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],0,
