n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | LaMelo Ball OVER PA 24.5 (GOBLIN) [id:10644523] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829] | Grant Williams OVER RA 6.5 (DEMON) [id:10645601],0.7531577192831633,20.0,1.0,20.0,15.063154385663267,20.0,atlas,0.9455754424557543,0.08125651362074657,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | LaMelo Ball OVER PA 24.5 (GOBLIN) [id:10644523] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829] | Grant Williams OVER RA 6.5 (DEMON) [id:10645601],0.0,0.0,0.0,0.0,0.0,5,1.0,15.813154385663267,"['ryan kalkbrenner', 'lamelo ball', 'coby white', 'brandon miller', 'grant williams']",1,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581],LaMelo Ball OVER PA 24.5 (GOBLIN) [id:10644523],Coby White OVER PA 16.5 (STANDARD) [id:10643854],Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829],Grant Williams OVER RA 6.5 (DEMON) [id:10645601],0,
5,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365] | Coby White OVER RA 6.5 (DEMON) [id:10645586],0.7458167871402862,20.0,1.0,20.0,14.916335742805725,20.0,atlas,0.9433756624337566,0.08107165483405379,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365] | Coby White OVER RA 6.5 (DEMON) [id:10645586],0.0,0.0,0.0,0.0,0.0,5,1.0,15.666335742805725,"['miles bridges', 'kon knueppel', 'grant williams', 'ryan kalkbrenner', 'coby white']",1,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804],Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],Coby White OVER RA 6.5 (DEMON) [id:10645586],0,
5,LaMelo Ball OVER PA 24.5 (GOBLIN) [id:10644523] | Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0.7330323736604191,20.0,1.0,20.0,14.660647473208382,20.0,atlas,0.9402759724027596,0.08141692417361782,LaMelo Ball OVER PA 24.5 (GOBLIN) [id:10644523] | Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970] | Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0.0,0.0,0.0,0.0,0.0,5,1.0,15.410647473208382,"['lamelo ball', 'ryan kalkbrenner', 'brandon miller', 'kon knueppel', 'grant williams']",1,LaMelo Ball OVER PA 24.5 (GOBLIN) [id:10644523],Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581],Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],Grant Williams OVER PRA 12.5 (DEMON) [id:10645597],0,
5,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Miles Bridges OVER PRA 21.5 (GOBLIN) [id:10645633] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.7295321335539167,20.0,1.0,20.0,14.590642671078333,20.0,atlas,0.9393960603939606,0.08177525544066676,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Miles Bridges OVER PRA 21.5 (GOBLIN) [id:10645633] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0.0,0.0,0.0,0.0,0.0,5,1.0,15.340642671078333,"['kon knueppel', 'miles bridges', 'brandon miller', 'lamelo ball', 'ryan kalkbrenner']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Miles Bridges OVER PRA 21.5 (GOBLIN) [id:10645633],Brandon Miller OVER PR 26.5 (STANDARD) [id:10643828],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],Ryan Kalkbrenner OVER PRA 14.5 (DEMON) [id:10644582],0,
5,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Grant Williams OVER RA 7.5 (DEMON) [id:10645602],0.7237105942184053,20.0,1.0,20.0,14.474211884368106,20.0,atlas,0.9382961703829619,0.06922025180866113,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Grant Williams OVER RA 7.5 (DEMON) [id:10645602],0.0,0.0,0.0,0.0,0.0,5,1.0,15.224211884368106,"['coby white', 'miles bridges', 'lamelo ball', 'ryan kalkbrenner', 'grant williams']",1,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798],Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Grant Williams OVER RA 7.5 (DEMON) [id:10645602],0,
5,Brandon Miller OVER PRA 27.5 (GOBLIN) [id:10645677] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912] | Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.7105882635570615,20.0,1.0,20.0,14.21176527114123,20.0,atlas,0.9342165783421658,0.07458231283005094,Brandon Miller OVER PRA 27.5 (GOBLIN) [id:10645677] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912] | Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029] | Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0.0,0.0,0.0,0.0,0.0,5,1.0,14.96176527114123,"['brandon miller', 'coby white', 'grant williams', 'miles bridges', 'kon knueppel']",1,Brandon Miller OVER PRA 27.5 (GOBLIN) [id:10645677],Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Grant Williams OVER PRA 10.5 (STANDARD) [id:10643912],Miles Bridges OVER PR 21.5 (STANDARD) [id:10644029],Kon Knueppel OVER PRA 29.5 (DEMON) [id:10644519],0,
5,Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030] | Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829] | LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0.6934264166366585,20.0,1.0,20.0,13.86852833273317,20.0,atlas,0.9296970302969703,0.06902979528355599,Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030] | Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829] | LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0.0,0.0,0.0,0.0,0.0,5,1.0,14.61852833273317,"['coby white', 'kon knueppel', 'miles bridges', 'brandon miller', 'lamelo ball']",1,Coby White OVER PTS 11.5 (GOBLIN) [id:10644469],Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Miles Bridges OVER PRA 24.5 (STANDARD) [id:10644030],Brandon Miller OVER PRA 30.5 (STANDARD) [id:10643829],LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0,
5,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Myles Turner OVER FG3M 1.5 (STANDARD) [id:10645229] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Naz Reid OVER RA 9.5 (DEMON) [id:10649442],0.3285289164690489,20.0,1.0,20.0,6.570578329380979,20.0,atlas,0.802627017263213,0.07130390378611443,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Myles Turner OVER FG3M 1.5 (STANDARD) [id:10645229] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163] | Naz Reid OVER RA 9.5 (DEMON) [id:10649442],0.0,0.0,0.0,0.0,0.0,0,0.0,6.570578329380979,"['collin gillespie', 'rudy gobert', 'myles turner', 'tyler herro', 'naz reid']",1,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132],Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Myles Turner OVER FG3M 1.5 (STANDARD) [id:10645229],Tyler Herro OVER PRA 31 (STANDARD) [id:10644163],Naz Reid OVER RA 9.5 (DEMON) [id:10649442],0,
5,Julius Randle OVER PTS 19.5 (GOBLIN) [id:10649382] | Davion Mitchell OVER PR 8.5 (GOBLIN) [id:10652256] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Chet Holmgren OVER PTS 17.5 (DEMON) [id:10646677],0.29547162771501767,20.0,1.0,20.0,5.909432554300354,20.0,atlas,0.7865355279135405,0.06718734140449426,Julius Randle OVER PTS 19.5 (GOBLIN) [id:10649382] | Davion Mitchell OVER PR 8.5 (GOBLIN) [id:10652256] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Chet Holmgren OVER PTS 17.5 (DEMON) [id:10646677],0.0,0.0,0.0,0.0,0.0,0,0.0,5.909432554300354,"['julius randle', 'davion mitchell', 'bam adebayo', 'tyler herro', 'chet holmgren']",1,Julius Randle OVER PTS 19.5 (GOBLIN) [id:10649382],Davion Mitchell OVER PR 8.5 (GOBLIN) [id:10652256],Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Chet Holmgren OVER PTS 17.5 (DEMON) [id:10646677],0,
5,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Donte DiVincenzo OVER REB 3.5 (GOBLIN) [id:10649243] | Luguentz Dort OVER PTS 7.5 (STANDARD) [id:10645014] | Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128] | Oso Ighodaro OVER RA 9.5 (DEMON) [id:10649483],0.26540015424636915,20.0,1.0,20.0,5.308003084927383,20.0,atlas,0.7689597150898442,0.08418570186530497,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Donte DiVincenzo OVER REB 3.5 (GOBLIN) [id:10649243] | Luguentz Dort OVER PTS 7.5 (STANDARD) [id:10645014] | Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128] | Oso Ighodaro OVER RA 9.5 (DEMON) [id:10649483],0.0,0.0,0.0,0.0,0.0,0,0.0,5.308003084927383,"['davion mitchell', 'donte divincenzo', 'luguentz dort', 'giannis antetokounmpo', 'oso ighodaro']",1,Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489],Donte DiVincenzo OVER REB 3.5 (GOBLIN) [id:10649243],Luguentz Dort OVER PTS 7.5 (STANDARD) [id:10645014],Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128],Oso Ighodaro OVER RA 9.5 (DEMON) [id:10649483],0,
