n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,LaMelo Ball OVER RA 10.5 (GOBLIN) [id:10652262] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.6776535571199802,6.0,0.9646378660917874,5.787827196550724,3.9221416877383612,6.0,pp_kernel,0.8807187682244736,0.07313287546281756,LaMelo Ball OVER RA 10.5 (GOBLIN) [id:10652262] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,4.072141687738362,"['lamelo ball', 'tyler herro', 'grayson allen']",3.9221416877383612,1,LaMelo Ball OVER RA 10.5 (GOBLIN) [id:10652262],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0,
3,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0.6751069605439265,6.0,0.9646378660917874,5.787827196550724,3.9074024268168346,6.0,pp_kernel,0.8808380657466043,0.07286639269196295,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,4.057402426816835,"['coby white', 'jordan goodwin', 'jaime jaquez']",3.9074024268168346,1,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0,
3,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.6714489875475572,6.0,0.9646378660917874,5.787827196550724,3.8862307112242003,6.0,pp_kernel,0.8777347311515703,0.06297259516322969,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,4.0362307112242,"['ryan kalkbrenner', 'tyler herro', 'grayson allen']",3.8862307112242003,1,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0,
3,LaMelo Ball OVER RA 9.5 (GOBLIN) [id:10645625] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083],0.6669243439286675,6.0,0.9646378660917874,5.787827196550724,3.8600428558320905,6.0,pp_kernel,0.876623617938639,0.07340613439265038,LaMelo Ball OVER RA 9.5 (GOBLIN) [id:10645625] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083],0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,4.010042855832091,"['lamelo ball', 'jordan goodwin', 'norman powell']",3.8600428558320905,1,LaMelo Ball OVER RA 9.5 (GOBLIN) [id:10645625],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],0,
3,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],0.5864283914981289,6.0,1.05134934006472,6.30809604038832,3.6992466143806384,6.0,pp_kernel,0.8373244725433744,0.0624350637270886,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.6992466143806384,"['naz reid', 'jordan goodwin', 'davion mitchell']",3.6992466143806384,1,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],0.574481314384353,6.0,1.05134934006472,6.30809604038832,3.623883304545015,6.0,pp_kernel,0.8325112462260171,0.05331931881878691,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.623883304545015,"['davion mitchell', 'ayo dosunmu', 'jordan goodwin']",3.623883304545015,1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],0,
3,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163],0.5648862402764991,6.0,1.05134934006472,6.30809604038832,3.5633566555580294,6.0,pp_kernel,0.8274355755228572,0.07737095213963852,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128] | Tyler Herro OVER PRA 31 (STANDARD) [id:10644163],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5633566555580294,"['rudy gobert', 'giannis antetokounmpo', 'tyler herro']",3.5633566555580294,1,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128],Tyler Herro OVER PRA 31 (STANDARD) [id:10644163],0,
3,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Norman Powell OVER PA 23 (STANDARD) [id:10644081] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],0.5582188939831574,6.0,1.05134934006472,6.30809604038832,3.5212983948051026,6.0,pp_kernel,0.8242245272444201,0.07278996047216016,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Norman Powell OVER PA 23 (STANDARD) [id:10644081] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5212983948051026,"['rudy gobert', 'norman powell', 'collin gillespie']",3.5212983948051026,1,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Norman Powell OVER PA 23 (STANDARD) [id:10644081],Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],0,
3,Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350] | Chet Holmgren OVER REB 8.5 (STANDARD) [id:10644991] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],0.5565788308004245,6.0,1.05134934006472,6.30809604038832,3.5109527187361182,6.0,pp_kernel,0.8241476068362265,0.05810747397244929,Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350] | Chet Holmgren OVER REB 8.5 (STANDARD) [id:10644991] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5109527187361182,"['jalen green', 'chet holmgren', 'tyler herro']",3.5109527187361182,1,Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350],Chet Holmgren OVER REB 8.5 (STANDARD) [id:10644991],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],0,
3,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0.5557558121720957,6.0,1.05134934006472,6.30809604038832,3.5057610381855917,6.0,pp_kernel,0.822623945918659,0.06227603509563434,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5057610381855917,"['rudy gobert', 'collin gillespie', 'jaime jaquez']",3.5057610381855917,1,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0,
