n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0.6025702910023549,10.0,1.0,10.0,6.025702910023549,10.0,atlas,0.8832311194795891,0.054140768143565,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.752570291002355,"['rudy gobert', 'coby white', 'tristan silva', 'tyler herro']",1,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0,
4,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10643939] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.5966409888414972,10.0,1.0,10.0,5.966409888414972,10.0,atlas,0.8815995907551546,0.05337001217282118,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10643939] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.7466409888414972,"['coby white', 'rudy gobert', 'jaime jaquez', 'tristan silva']",1,Coby White OVER PRA 16.5 (GOBLIN) [id:10653798],Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10643939],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
4,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162],0.5453864680431658,10.0,1.0,10.0,5.453864680431658,10.0,atlas,0.8609118292366924,0.06779978126364603,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6953864680431658,"['naz reid', 'collin gillespie', 'lamelo ball', 'tyler herro']",1,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127],LaMelo Ball OVER PA 27.5 (STANDARD) [id:10644001],Tyler Herro OVER PR 27 (STANDARD) [id:10644162],0,
4,Julius Randle OVER RA 9.5 (GOBLIN) [id:10650381] | Jalen Green OVER AST 1.5 (GOBLIN) [id:10649328] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.5303784040966136,10.0,1.0,10.0,5.3037840409661365,10.0,atlas,0.8564757794653174,0.05565012175466323,Julius Randle OVER RA 9.5 (GOBLIN) [id:10650381] | Jalen Green OVER AST 1.5 (GOBLIN) [id:10649328] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6803784040966137,"['julius randle', 'jalen green', 'coby white', 'tristan silva']",1,Julius Randle OVER RA 9.5 (GOBLIN) [id:10650381],Jalen Green OVER AST 1.5 (GOBLIN) [id:10649328],Coby White OVER PA 16.5 (STANDARD) [id:10643854],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
4,Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Tyler Herro OVER PTS 18.5 (GOBLIN) [id:10652268] | Ayo Dosunmu OVER PRA 24.5 (STANDARD) [id:10649103] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.5188861820868157,10.0,1.0,10.0,5.188861820868157,10.0,atlas,0.8528198487323704,0.06916031550399243,Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Tyler Herro OVER PTS 18.5 (GOBLIN) [id:10652268] | Ayo Dosunmu OVER PRA 24.5 (STANDARD) [id:10649103] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6688861820868157,"['brandon miller', 'tyler herro', 'ayo dosunmu', 'grayson allen']",1,Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461],Tyler Herro OVER PTS 18.5 (GOBLIN) [id:10652268],Ayo Dosunmu OVER PRA 24.5 (STANDARD) [id:10649103],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0,
4,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.515730682588672,10.0,1.0,10.0,5.157306825886721,10.0,atlas,0.8520655103950767,0.06846624831889858,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6657306825886721,"['lamelo ball', 'davion mitchell', 'jaden mcdaniels', 'grayson allen']",1,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Jaden McDaniels OVER AST 2.5 (STANDARD) [id:10652211],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0,
4,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Bam Adebayo OVER RA 12.5 (STANDARD) [id:10650494],0.5124713448102712,10.0,1.0,10.0,5.124713448102712,10.0,atlas,0.8490027819221388,0.06894841861288914,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268] | Bam Adebayo OVER RA 12.5 (STANDARD) [id:10650494],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6624713448102713,"['james harden', 'coby white', 'grayson allen', 'bam adebayo']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10645143],Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],Bam Adebayo OVER RA 12.5 (STANDARD) [id:10650494],0,
4,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Jaime Jaquez OVER RA 7.5 (GOBLIN) [id:10650536] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.5088583304019806,10.0,1.0,10.0,5.088583304019806,10.0,atlas,0.8461757715842637,0.05912765382727973,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Jaime Jaquez OVER RA 7.5 (GOBLIN) [id:10650536] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6588583304019806,"['lamelo ball', 'jaime jaquez', 'rudy gobert', 'grayson allen']",1,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522],Jaime Jaquez OVER RA 7.5 (GOBLIN) [id:10650536],Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0,
4,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],0.5069578984092945,10.0,1.0,10.0,5.069578984092945,10.0,atlas,0.8469324565696992,0.07687392034234965,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6569578984092945,"['ryan kalkbrenner', 'devin booker', 'norman powell', 'ayo dosunmu']",1,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510],Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],0,
4,Jaime Jaquez OVER REB 3.5 (GOBLIN) [id:10643946] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Chet Holmgren OVER REB 8.5 (STANDARD) [id:10644991],0.5067354657138227,10.0,1.0,10.0,5.067354657138226,10.0,atlas,0.8468529997114564,0.06572475668384187,Jaime Jaquez OVER REB 3.5 (GOBLIN) [id:10643946] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065] | Chet Holmgren OVER REB 8.5 (STANDARD) [id:10644991],0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.6567354657138227,"['jaime jaquez', 'rudy gobert', 'lamelo ball', 'chet holmgren']",1,Jaime Jaquez OVER REB 3.5 (GOBLIN) [id:10643946],Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],Chet Holmgren OVER REB 8.5 (STANDARD) [id:10644991],0,
