n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Precious Achiuwa UNDER PTS 12.5 (STANDARD) [id:10650775] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Collin Gillespie OVER FG3M 2.5 (DEMON) [id:10649124],0.15220306892672048,20.0,1.0,20.0,3.0440613785344093,20.0,atlas,0.6950669748034722,0.03745522584079679,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Precious Achiuwa UNDER PTS 12.5 (STANDARD) [id:10650775] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Collin Gillespie OVER FG3M 2.5 (DEMON) [id:10649124],0.0,0.0,0.0,0.0,0.0,0,0.0,3.0440613785344093,"['jaylon tyson', 'davion mitchell', 'precious achiuwa', 'tristan silva', 'collin gillespie']",1,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Precious Achiuwa UNDER PTS 12.5 (STANDARD) [id:10650775],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Collin Gillespie OVER FG3M 2.5 (DEMON) [id:10649124],0,
5,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.13784972137195248,20.0,1.0,20.0,2.7569944274390497,20.0,atlas,0.6804003836990682,0.03621128727704073,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0,0.0,0.0,0.0,0.0,0,0.0,2.7569944274390497,"['ryan kalkbrenner', 'jordan goodwin', 'bam adebayo', 'tristan silva', 'coby white']",1,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490],Bam Adebayo UNDER PTS 20.5 (STANDARD) [id:10643796],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
5,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.13703604420514162,20.0,1.0,20.0,2.7407208841028323,20.0,atlas,0.6753825910827792,0.04206982623228835,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.0,0.0,0.0,0.0,0.0,0,0.0,2.7407208841028323,"['jaime jaquez', ""royce o'neale"", 'devin booker', 'tristan silva', 'evan mobley']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227],Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0,
5,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Coby White OVER RA 7.5 (DEMON) [id:10645585],0.13592575981548569,20.0,1.0,20.0,2.718515196309714,20.0,atlas,0.6906592753325835,0.0346078084410422,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Coby White OVER RA 7.5 (DEMON) [id:10645585],0.0,0.0,0.0,0.0,0.0,0,0.0,2.718515196309714,"['jaden mcdaniels', ""royce o'neale"", 'jalen green', 'tristan silva', 'coby white']",1,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Jalen Green UNDER PTS 22 (STANDARD) [id:10649334],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Coby White OVER RA 7.5 (DEMON) [id:10645585],0,
5,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Ayo Dosunmu UNDER PTS 16.5 (STANDARD) [id:10649095] | Tristan Silva UNDER REB 5 (STANDARD) [id:10647825] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.13470949636874982,20.0,1.0,20.0,2.6941899273749965,20.0,atlas,0.6778516619998508,0.036971286657260086,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Ayo Dosunmu UNDER PTS 16.5 (STANDARD) [id:10649095] | Tristan Silva UNDER REB 5 (STANDARD) [id:10647825] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.0,0.0,0.0,0.0,0.0,0,0.0,2.6941899273749965,"['ryan kalkbrenner', 'jordan goodwin', 'ayo dosunmu', 'tristan silva', 'grayson allen']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Ayo Dosunmu UNDER PTS 16.5 (STANDARD) [id:10649095],Tristan Silva UNDER REB 5 (STANDARD) [id:10647825],Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Jordan Goodwin OVER PTS 7.5 (DEMON) [id:10655797],0.12122812923210519,20.0,1.0,20.0,2.4245625846421035,20.0,atlas,0.6630250771445686,0.04628278593744191,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Jordan Goodwin OVER PTS 7.5 (DEMON) [id:10655797],0.0,0.0,0.0,0.0,0.0,0,0.0,2.4245625846421035,"['ryan kalkbrenner', 'jaden mcdaniels', 'quentin grimes', 'davion mitchell', 'jordan goodwin']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],Jordan Goodwin OVER PTS 7.5 (DEMON) [id:10655797],0,
5,Luguentz Dort OVER PTS 4.5 (GOBLIN) [id:10645013] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.11703594903573955,20.0,1.0,20.0,2.340718980714791,20.0,atlas,0.6530279564538615,0.048273793699084154,Luguentz Dort OVER PTS 4.5 (GOBLIN) [id:10645013] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Jalen Green UNDER PTS 22 (STANDARD) [id:10649334] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.0,0.0,0.0,0.0,0.0,0,0.0,2.340718980714791,"['luguentz dort', 'evan mobley', 'moussa diabaté', 'jalen green', 'jordan goodwin']",1,Luguentz Dort OVER PTS 4.5 (GOBLIN) [id:10645013],Evan Mobley OVER AST 1.5 (GOBLIN) [id:10646752],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Jalen Green UNDER PTS 22 (STANDARD) [id:10649334],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
5,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341] | Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.11574715020634492,20.0,1.0,20.0,2.3149430041268984,20.0,atlas,0.6516822912079949,0.04289047482737601,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498] | Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341] | Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.0,0.0,0.0,0.0,0.0,0,0.0,2.3149430041268984,"['coby white', ""royce o'neale"", 'jalen green', 'ayo dosunmu', 'jordan goodwin']",1,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498],Jalen Green UNDER PRA 29.5 (STANDARD) [id:10649341],Ayo Dosunmu UNDER PA 20.5 (STANDARD) [id:10649101],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
5,Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Jalen Green UNDER PR 26.5 (STANDARD) [id:10649340] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.11288279869728157,20.0,1.0,20.0,2.2576559739456314,20.0,atlas,0.6477787288196518,0.054006474603300214,Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Jalen Green UNDER PR 26.5 (STANDARD) [id:10649340] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0.0,0.0,0.0,0.0,0.0,0,0.0,2.2576559739456314,"['coby white', 'ryan kalkbrenner', 'jalen green', 'cameron payne', 'evan mobley']",1,Coby White OVER RA 4.5 (GOBLIN) [id:10645584],Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],Jalen Green UNDER PR 26.5 (STANDARD) [id:10649340],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Evan Mobley OVER AST 2.5 (DEMON) [id:10645103],0,
5,Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.10842469359282034,20.0,1.0,20.0,2.168493871856407,20.0,atlas,0.6461702661219687,0.028854043882684415,Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.0,0.0,0.0,0.0,0.0,0,0.0,2.168493871856407,"['grayson allen', 'coby white', 'justin edwards', 'moussa diabaté', 'davion mitchell']",1,Grayson Allen OVER FG3M 1.5 (GOBLIN) [id:10652149],Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0,
