n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Donte DiVincenzo OVER AST 2.5 (GOBLIN) [id:10660807] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Julius Randle UNDER PR 30.5 (STANDARD) [id:10649385],0.14754341063825857,20.0,0.5182588919937143,10.365177839874287,1.5293136903671498,20.0,pp_kernel,0.6866173405533129,0.03207383481081803,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Donte DiVincenzo OVER AST 2.5 (GOBLIN) [id:10660807] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Julius Randle UNDER PR 30.5 (STANDARD) [id:10649385],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5293136903671498,"['ryan kalkbrenner', 'collin gillespie', 'donte divincenzo', 'cameron payne', 'julius randle']",1.5293136903671498,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223],Donte DiVincenzo OVER AST 2.5 (GOBLIN) [id:10660807],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Julius Randle UNDER PR 30.5 (STANDARD) [id:10649385],0,
5,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Jalen Green UNDER REB 4 (STANDARD) [id:10655935] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],0.13692570874818275,20.0,0.5183087435282067,10.366174870564134,1.4193958411595955,20.0,pp_kernel,0.6766773105026853,0.05550992920404383,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143] | Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Jalen Green UNDER REB 4 (STANDARD) [id:10655935] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],0.0,0.0,0.0,0.0,0.0,0,0.0,1.4193958411595955,"['grant williams', 'collin gillespie', 'coby white', 'jalen green', 'jaylon tyson']",1.4193958411595955,1,Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595],Collin Gillespie OVER PTS 9.5 (GOBLIN) [id:10649143],Coby White OVER AST 1.5 (GOBLIN) [id:10661295],Jalen Green UNDER REB 4 (STANDARD) [id:10655935],Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],0,
5,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Collin Gillespie OVER FG3M 2.5 (STANDARD) [id:10649124],0.18120579309344045,20.0,0.4196172939197155,8.392345878394309,1.5207416908089069,20.0,pp_kernel,0.7138370406966021,0.03843346483120073,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Collin Gillespie OVER FG3M 2.5 (STANDARD) [id:10649124],0.0,0.0,0.0,0.0,0.0,0,0.0,1.5207416908089069,"['jaden mcdaniels', ""royce o'neale"", 'jordan goodwin', 'tristan silva', 'collin gillespie']",1.5207416908089069,1,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Jordan Goodwin OVER REB 2.5 (GOBLIN) [id:10652490],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Collin Gillespie OVER FG3M 2.5 (STANDARD) [id:10649124],0,
5,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Jordan Goodwin OVER PRA 9.5 (GOBLIN) [id:10661651] | Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Donte DiVincenzo UNDER PRA 23.5 (STANDARD) [id:10649234] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],0.13730586703905953,20.0,0.5185058432027643,10.370116864055285,1.423877887315484,20.0,pp_kernel,0.6761837980883302,0.06600585804212736,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Jordan Goodwin OVER PRA 9.5 (GOBLIN) [id:10661651] | Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Donte DiVincenzo UNDER PRA 23.5 (STANDARD) [id:10649234] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],0.0,0.0,0.0,0.0,0.0,0,0.0,1.423877887315484,"['james harden', 'jordan goodwin', 'collin gillespie', 'donte divincenzo', 'jaylon tyson']",1.423877887315484,1,James Harden OVER AST 5.5 (GOBLIN) [id:10645143],Jordan Goodwin OVER PRA 9.5 (GOBLIN) [id:10661651],Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155],Donte DiVincenzo UNDER PRA 23.5 (STANDARD) [id:10649234],Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],0,
5,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:10646830] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Kel'el Ware UNDER PRA 26.5 (STANDARD) [id:10660871],0.13270990177791783,20.0,0.5186643184469744,10.373286368939487,1.3766378151361733,20.0,pp_kernel,0.6703322851132327,0.05197665415586984,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:10646830] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Kel'el Ware UNDER PRA 26.5 (STANDARD) [id:10660871],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3766378151361733,"['sam merrill', 'coby white', 'jaden mcdaniels', 'ousmane dieng', ""kel'el ware""]",1.3766378151361733,1,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:10646830],Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805],Kel'el Ware UNDER PRA 26.5 (STANDARD) [id:10660871],0,
5,Brandon Miller OVER FG3M 1.5 (GOBLIN) [id:10661646] | Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Rudy Gobert UNDER PTS 12 (STANDARD) [id:10649544] | Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378],0.1294820721126722,20.0,0.5183800671398742,10.367601342797483,1.342418504703541,20.0,pp_kernel,0.6703487777026276,0.04196952944107425,Brandon Miller OVER FG3M 1.5 (GOBLIN) [id:10661646] | Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Rudy Gobert UNDER PTS 12 (STANDARD) [id:10649544] | Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378],0.0,0.0,0.0,0.0,0.0,0,0.0,1.342418504703541,"['brandon miller', 'ryan kalkbrenner', 'coby white', 'rudy gobert', 'julius randle']",1.342418504703541,1,Brandon Miller OVER FG3M 1.5 (GOBLIN) [id:10661646],Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Coby White OVER AST 1.5 (GOBLIN) [id:10661295],Rudy Gobert UNDER PTS 12 (STANDARD) [id:10649544],Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378],0,
5,Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | James Harden OVER PTS 16.5 (GOBLIN) [id:10652299] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Tyler Herro UNDER PRA 31.5 (STANDARD) [id:10644163],0.12688789781602386,20.0,0.5185079994359908,10.370159988719816,1.3158478009844992,20.0,pp_kernel,0.6676669961483005,0.04855936952219071,Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | James Harden OVER PTS 16.5 (GOBLIN) [id:10652299] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Tyler Herro UNDER PRA 31.5 (STANDARD) [id:10644163],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3158478009844992,"['coby white', 'collin gillespie', 'james harden', 'quentin grimes', 'tyler herro']",1.3158478009844992,1,Coby White OVER AST 1.5 (GOBLIN) [id:10661295],Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475],James Harden OVER PTS 16.5 (GOBLIN) [id:10652299],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Tyler Herro UNDER PRA 31.5 (STANDARD) [id:10644163],0,
5,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717] | Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804] | Moussa Diabaté UNDER REB 10 (STANDARD) [id:10644060],0.12647288565896897,20.0,0.5186869831730497,10.373739663460995,1.3119967903128136,20.0,pp_kernel,0.6653508123144349,0.06793923707932581,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717] | Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804] | Moussa Diabaté UNDER REB 10 (STANDARD) [id:10644060],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3119967903128136,"['ryan kalkbrenner', 'myles turner', 'shai gilgeous-alexander', 'jaylon tyson', 'moussa diabaté']",1.3119967903128136,1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717],Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719],Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804],Moussa Diabaté UNDER REB 10 (STANDARD) [id:10644060],0,
5,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.15740824461727923,20.0,0.41588743528128896,8.31774870562578,1.3092822229202004,20.0,pp_kernel,0.692097792342903,0.04772876557094807,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3092822229202004,"['jaden mcdaniels', 'coby white', 'davion mitchell', 'tristan silva', 'quentin grimes']",1.3092822229202004,1,Jaden McDaniels OVER AST 1.5 (GOBLIN) [id:10649284],Coby White OVER RA 4.5 (GOBLIN) [id:10645584],Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0,
5,Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10645919] | Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.12561283347180816,20.0,0.5189524615558588,10.379049231117177,1.3037417826640205,20.0,pp_kernel,0.6610000998996419,0.08032055081860397,Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10645919] | Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.0,0.0,0.0,0.0,0.0,0,0.0,1.3037417826640205,"['isaiah hartenstein', 'desmond bane', 'ryan kalkbrenner', 'jaylon tyson', 'quentin grimes']",1.3037417826640205,1,Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10645919],Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Jaylon Tyson OVER PTS 8.5 (STANDARD) [id:10661894],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0,
