n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Naz Reid OVER PR 21.5 (STANDARD) [id:10649429] | Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0.1993805682122693,6.0,1.0,6.0,1.1962834092736156,6.0,atlas,0.5843043135454252,0.0682794889691409,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Naz Reid OVER PR 21.5 (STANDARD) [id:10649429] | Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1962834092736156,"['jaime jaquez', 'naz reid', 'kon knueppel']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Naz Reid OVER PR 21.5 (STANDARD) [id:10649429],Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0,
3,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999] | Rudy Gobert OVER RA 14 (STANDARD) [id:10649562],0.19916370415672188,6.0,1.0,6.0,1.1949822249403312,6.0,atlas,0.5840989101528938,0.0682375114559767,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999] | Rudy Gobert OVER RA 14 (STANDARD) [id:10649562],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1949822249403312,"['norman powell', 'lamelo ball', 'rudy gobert']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999],Rudy Gobert OVER RA 14 (STANDARD) [id:10649562],0,
3,Coby White OVER AST 2.5 (GOBLIN) [id:10643844] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162],0.1990614928252326,6.0,1.0,6.0,1.1943689569513958,6.0,atlas,0.5838976049766785,0.05354366519788973,Coby White OVER AST 2.5 (GOBLIN) [id:10643844] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1943689569513958,"['coby white', 'tristan silva', 'tyler herro']",1,Coby White OVER AST 2.5 (GOBLIN) [id:10643844],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Tyler Herro OVER PR 27 (STANDARD) [id:10644162],0,
3,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.19879570937485083,6.0,1.0,6.0,1.192774256249105,6.0,atlas,0.5837203845933215,0.057515422587152705,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.0,0.0,0.0,0.0,0.0,0,0.0,1.192774256249105,"['rudy gobert', 'brandon miller', 'norman powell']",1,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0,
3,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Naz Reid OVER PR 21.5 (STANDARD) [id:10649429] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.19682884173854595,6.0,1.0,6.0,1.1809730504312757,6.0,atlas,0.5817919181580106,0.08241774678249376,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Naz Reid OVER PR 21.5 (STANDARD) [id:10649429] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1809730504312757,"['ryan kalkbrenner', 'naz reid', 'lamelo ball']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Naz Reid OVER PR 21.5 (STANDARD) [id:10649429],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0,
3,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Kel'el Ware OVER PR 22.5 (STANDARD) [id:10650504] | Norman Powell OVER PA 23 (STANDARD) [id:10644081],0.19610746347206767,6.0,1.0,6.0,1.176644780832406,6.0,atlas,0.5810786138969695,0.08235788499405573,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Kel'el Ware OVER PR 22.5 (STANDARD) [id:10650504] | Norman Powell OVER PA 23 (STANDARD) [id:10644081],0.0,0.0,0.0,0.0,0.0,0,0.0,1.176644780832406,"[""royce o'neale"", ""kel'el ware"", 'norman powell']",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Kel'el Ware OVER PR 22.5 (STANDARD) [id:10650504],Norman Powell OVER PA 23 (STANDARD) [id:10644081],0,
3,Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296] | Naz Reid OVER RA 8.5 (STANDARD) [id:10649441] | LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999],0.19610087033572832,6.0,1.0,6.0,1.17660522201437,6.0,atlas,0.5809795115911248,0.08020678264032814,Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296] | Naz Reid OVER RA 8.5 (STANDARD) [id:10649441] | LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999],0.0,0.0,0.0,0.0,0.0,0,0.0,1.17660522201437,"['ryan kalkbrenner', 'naz reid', 'lamelo ball']",1,Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296],Naz Reid OVER RA 8.5 (STANDARD) [id:10649441],LaMelo Ball OVER PTS 20.5 (STANDARD) [id:10643999],0,
3,Tyler Herro OVER REB 3.5 (GOBLIN) [id:10644168] | Grayson Allen OVER PA 17.5 (STANDARD) [id:10649269] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],0.19602077001010978,6.0,1.0,6.0,1.1761246200606588,6.0,atlas,0.5809002027525603,0.07966998415064018,Tyler Herro OVER REB 3.5 (GOBLIN) [id:10644168] | Grayson Allen OVER PA 17.5 (STANDARD) [id:10649269] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1761246200606588,"['tyler herro', 'grayson allen', 'ryan kalkbrenner']",1,Tyler Herro OVER REB 3.5 (GOBLIN) [id:10644168],Grayson Allen OVER PA 17.5 (STANDARD) [id:10649269],Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],0,
3,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],0.19566644292710475,6.0,1.0,6.0,1.1739986575626284,6.0,atlas,0.5805561582989358,0.10118788805611828,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Norman Powell OVER PRA 27 (STANDARD) [id:10644083] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1739986575626284,"['kon knueppel', 'norman powell', 'ryan kalkbrenner']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Norman Powell OVER PRA 27 (STANDARD) [id:10644083],Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],0,
3,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0.19555639615357936,6.0,1.0,6.0,1.1733383769214762,6.0,atlas,0.5804927173323929,0.08635246400135636,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1733383769214762,"['lamelo ball', 'kon knueppel', 'jaime jaquez']",1,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522],Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],0,
