n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.16739963057009105,6.0,1.0,6.0,1.0043977834205462,6.0,atlas,0.5640540278448004,0.04371782489596789,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0043977834205462,"['grant williams', 'tristan silva', 'donte divincenzo']",1,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0,
3,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.16575506759558792,6.0,1.0,6.0,0.9945304055735276,6.0,atlas,0.5578272554684914,0.03350414771248347,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Coby White OVER AST 3.5 (DEMON) [id:10643843],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9945304055735276,"['brandon miller', 'tristan silva', 'coby white']",1,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Coby White OVER AST 3.5 (DEMON) [id:10643843],0,
3,Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Kon Knueppel OVER PR 29.5 (DEMON) [id:10644515],0.16160686050476816,6.0,1.0,6.0,0.969641163028609,6.0,atlas,0.5587033636015677,0.05531964830287441,Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Kon Knueppel OVER PR 29.5 (DEMON) [id:10644515],0.0,0.0,0.0,0.0,0.0,0,0.0,0.969641163028609,"['tyler herro', 'tristan silva', 'kon knueppel']",1,Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Kon Knueppel OVER PR 29.5 (DEMON) [id:10644515],0,
3,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.16012841711672535,6.0,1.0,6.0,0.9607705027003521,6.0,atlas,0.5522965774407919,0.033221154556530304,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9607705027003521,"['collin gillespie', 'tristan silva', 'grayson allen']",1,Collin Gillespie OVER REB 2.5 (GOBLIN) [id:10649155],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0,
3,James Harden OVER PTS 17.5 (GOBLIN) [id:10646779] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Jalen Green OVER RA 8.5 (DEMON) [id:10649351],0.15034984357025702,6.0,1.0,6.0,0.9020990614215421,6.0,atlas,0.5423802642320836,0.061437817864837575,James Harden OVER PTS 17.5 (GOBLIN) [id:10646779] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Jalen Green OVER RA 8.5 (DEMON) [id:10649351],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9020990614215421,"['james harden', 'tristan silva', 'jalen green']",1,James Harden OVER PTS 17.5 (GOBLIN) [id:10646779],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Jalen Green OVER RA 8.5 (DEMON) [id:10649351],0,
3,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.15024603345155732,6.0,1.0,6.0,0.901476200709344,6.0,atlas,0.5358244657726772,0.033342759126977546,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.0,0.0,0.0,0.0,0.0,0,0.0,0.901476200709344,"['miles bridges', ""kel'el ware"", 'ryan kalkbrenner']",1,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0,
3,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.14991067716662837,6.0,1.0,6.0,0.8994640629997702,6.0,atlas,0.5340850740027138,0.04238204151651006,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8994640629997702,"['tyler herro', ""kel'el ware"", 'coby white']",1,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160],Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.14791466569328415,6.0,1.0,6.0,0.8874879941597049,6.0,atlas,0.5334117788299643,0.044217664575375286,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8874879941597049,"['kon knueppel', 'moussa diabaté', 'ryan kalkbrenner']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0,
3,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Bam Adebayo OVER REB 10.5 (DEMON) [id:10643803],0.1458457979133528,6.0,1.0,6.0,0.8750747874801168,6.0,atlas,0.5307589779258531,0.04418739987281282,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Bam Adebayo OVER REB 10.5 (DEMON) [id:10643803],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8750747874801168,"['ryan kalkbrenner', 'trendon watford', 'bam adebayo']",1,Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Bam Adebayo OVER REB 10.5 (DEMON) [id:10643803],0,
3,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0.14577148335764586,6.0,1.0,6.0,0.8746289001458751,6.0,atlas,0.5309477768766605,0.053949042873148695,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8746289001458751,"['jaime jaquez', ""kel'el ware"", 'davion mitchell']",1,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Davion Mitchell OVER PA 14.5 (DEMON) [id:10644483],0,
3,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | LaMelo Ball OVER PTS 24.5 (DEMON) [id:10643997],0.14554175951752762,6.0,1.0,6.0,0.8732505571051657,6.0,atlas,0.5309109114232097,0.03426061861186135,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | LaMelo Ball OVER PTS 24.5 (DEMON) [id:10643997],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8732505571051657,"['coby white', ""kel'el ware"", 'lamelo ball']",1,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],LaMelo Ball OVER PTS 24.5 (DEMON) [id:10643997],0,
3,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Tyler Herro OVER PA 29.5 (DEMON) [id:10644587],0.14459237164710337,6.0,1.0,6.0,0.8675542298826202,6.0,atlas,0.5286681736495195,0.04418241913301726,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Tyler Herro OVER PA 29.5 (DEMON) [id:10644587],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8675542298826202,"['norman powell', ""kel'el ware"", 'tyler herro']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],Tyler Herro OVER PA 29.5 (DEMON) [id:10644587],0,
3,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0.1437446025073323,6.0,1.0,6.0,0.8624676150439937,6.0,atlas,0.5288914364819529,0.05478740754042327,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8624676150439937,"['miles bridges', 'moussa diabaté', 'davion mitchell']",1,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],Davion Mitchell OVER RA 9.5 (DEMON) [id:10645592],0,
3,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Jaime Jaquez OVER RA 10.5 (DEMON) [id:10645609],0.14350193492166102,6.0,1.0,6.0,0.8610116095299661,6.0,atlas,0.5281916334012,0.044516241571136816,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Jaime Jaquez OVER RA 10.5 (DEMON) [id:10645609],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8610116095299661,"['coby white', 'moussa diabaté', 'jaime jaquez']",1,Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Jaime Jaquez OVER RA 10.5 (DEMON) [id:10645609],0,
