n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Miles Bridges OVER PRA 21.5 (GOBLIN) [id:10645633] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | LaMelo Ball OVER RA 13.5 (DEMON) [id:10645626],0.20058654843439222,6.0,1.0,6.0,1.2035192906063532,6.0,atlas,0.594042661897138,0.05443071974345858,Miles Bridges OVER PRA 21.5 (GOBLIN) [id:10645633] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | LaMelo Ball OVER RA 13.5 (DEMON) [id:10645626],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2035192906063532,"['miles bridges', 'tristan silva', 'lamelo ball']",1,Miles Bridges OVER PRA 21.5 (GOBLIN) [id:10645633],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],LaMelo Ball OVER RA 13.5 (DEMON) [id:10645626],0,
3,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jalen Green OVER REB 4.5 (DEMON) [id:10649349],0.1945364705771034,6.0,1.0,6.0,1.1672188234626204,6.0,atlas,0.5857013769604023,0.043795370395933515,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jalen Green OVER REB 4.5 (DEMON) [id:10649349],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1672188234626204,"['jaime jaquez', 'tristan silva', 'jalen green']",1,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Jalen Green OVER REB 4.5 (DEMON) [id:10649349],0,
3,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Sam Merrill OVER PTS 11.5 (DEMON) [id:10646833],0.19274726399665984,6.0,1.0,6.0,1.156483583979959,6.0,atlas,0.5874477540518809,0.060838109624530255,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Sam Merrill OVER PTS 11.5 (DEMON) [id:10646833],0.0,0.0,0.0,0.0,0.0,0,0.0,1.156483583979959,"['collin gillespie', 'tristan silva', 'sam merrill']",1,Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Sam Merrill OVER PTS 11.5 (DEMON) [id:10646833],0,
3,Oso Ighodaro OVER PTS 5.5 (GOBLIN) [id:10649469] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Kon Knueppel OVER PRA 34.5 (DEMON) [id:10644518],0.18103354264998478,6.0,1.0,6.0,1.0862012558999088,6.0,atlas,0.573305142804225,0.04722910288479428,Oso Ighodaro OVER PTS 5.5 (GOBLIN) [id:10649469] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Kon Knueppel OVER PRA 34.5 (DEMON) [id:10644518],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0862012558999088,"['oso ighodaro', 'tristan silva', 'kon knueppel']",1,Oso Ighodaro OVER PTS 5.5 (GOBLIN) [id:10649469],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Kon Knueppel OVER PRA 34.5 (DEMON) [id:10644518],0,
3,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.18069226688976403,6.0,1.0,6.0,1.0841536013385842,6.0,atlas,0.5662826671073766,0.04280281894463057,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0841536013385842,"['jaime jaquez', ""kel'el ware"", 'coby white']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.1798088882294002,6.0,1.0,6.0,1.078853329376401,6.0,atlas,0.5662226341200896,0.032741342421655384,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.0,0.0,0.0,0.0,0.0,0,0.0,1.078853329376401,"['miles bridges', 'moussa diabaté', 'tyler herro']",1,Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0,
3,Cason Wallace OVER PTS 5.5 (GOBLIN) [id:10646675] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Coby White OVER PTS 19.5 (DEMON) [id:10643851],0.1790076060000932,6.0,1.0,6.0,1.0740456360005592,6.0,atlas,0.5714184694488998,0.05221764455327372,Cason Wallace OVER PTS 5.5 (GOBLIN) [id:10646675] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Coby White OVER PTS 19.5 (DEMON) [id:10643851],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0740456360005592,"['cason wallace', 'tristan silva', 'coby white']",1,Cason Wallace OVER PTS 5.5 (GOBLIN) [id:10646675],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Coby White OVER PTS 19.5 (DEMON) [id:10643851],0,
3,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.17898189167103587,6.0,1.0,6.0,1.0738913500262153,6.0,atlas,0.5657568580479717,0.04358885014529212,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0738913500262153,"['jaime jaquez', ""kel'el ware"", 'tyler herro']",1,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0,
3,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.17547863639240616,6.0,1.0,6.0,1.052871818354437,6.0,atlas,0.561857053647564,0.04150121391076498,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0.0,0.0,0.0,0.0,0.0,0,0.0,1.052871818354437,"['bam adebayo', 'moussa diabaté', 'grant williams']",1,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],Grant Williams OVER RA 5.5 (DEMON) [id:10645600],0,
3,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.1751260316639936,6.0,1.0,6.0,1.0507561899839617,6.0,atlas,0.5615586819595233,0.05383600035996396,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0507561899839617,"['miles bridges', 'moussa diabaté', 'grayson allen']",1,Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0,
