n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0.06098112353093249,20.0,1.0,20.0,1.2196224706186498,20.0,atlas,0.5751406167471239,0.04820536265186427,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2196224706186498,"['coby white', 'tyler herro', 'brandon miller', 'tristan silva', 'trendon watford']",1.2196224706186498,1,Coby White OVER PR 14.5 (GOBLIN) [id:10644474],Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586],Brandon Miller OVER PR 19.5 (GOBLIN) [id:10644461],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0,
5,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Oso Ighodaro OVER PRA 15.5 (STANDARD) [id:10649472] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.05900658112087313,20.0,1.0,20.0,1.1801316224174627,20.0,atlas,0.5733079516500773,0.06501546258752611,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430] | Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Oso Ighodaro OVER PRA 15.5 (STANDARD) [id:10649472] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1801316224174627,"['norman powell', 'bam adebayo', 'miles bridges', 'oso ighodaro', 'tristan silva']",1.1801316224174627,1,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559],Bam Adebayo OVER PR 24.5 (GOBLIN) [id:10648430],Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Oso Ighodaro OVER PRA 15.5 (STANDARD) [id:10649472],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
5,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.05905232680684127,20.0,1.0,20.0,1.1810465361368254,20.0,atlas,0.5717152410722552,0.042409599279276324,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1810465361368254,"['collin gillespie', 'coby white', 'devin booker', 'tristan silva', 'quentin grimes']",1.1810465361368254,1,Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475],Coby White OVER PR 14.5 (GOBLIN) [id:10644474],Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0,
5,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Norman Powell OVER PA 23 (STANDARD) [id:10644081] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.05799718832041303,20.0,1.0,20.0,1.1599437664082606,20.0,atlas,0.5714290455965114,0.06750341253802387,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599] | Norman Powell OVER PA 23 (STANDARD) [id:10644081] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1599437664082606,"['jaylon tyson', 'tyler herro', 'grant williams', 'norman powell', 'tristan silva']",1.1599437664082606,1,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594],Grant Williams OVER RA 3.5 (GOBLIN) [id:10645599],Norman Powell OVER PA 23 (STANDARD) [id:10644081],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
5,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.056097086544459746,20.0,1.0,20.0,1.121941730889195,20.0,atlas,0.5636052329970151,0.028707144227830255,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.0,0.0,0.0,0.0,0.0,0,0.0,1.121941730889195,"['jaime jaquez', 'kon knueppel', 'lamelo ball', ""kel'el ware"", 'jett howard']",1.121941730889195,1,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498],Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510],LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0,
5,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],0.055958778451849885,20.0,1.0,20.0,1.1191755690369978,20.0,atlas,0.5662318553787056,0.062233519745244624,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1191755690369978,"['brandon miller', 'coby white', 'norman powell', 'tristan silva', 'jaylon tyson']",1.1191755690369978,1,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457],Coby White OVER PTS 11.5 (GOBLIN) [id:10644469],Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],0,
5,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Miles Bridges OVER PRA 22.5 (GOBLIN) [id:10645714] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.0557749241685286,20.0,1.0,20.0,1.115498483370572,20.0,atlas,0.5625897846237475,0.04053853874228209,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Miles Bridges OVER PRA 22.5 (GOBLIN) [id:10645714] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.0,0.0,0.0,0.0,0.0,0,0.0,1.115498483370572,"['coby white', 'miles bridges', 'ryan kalkbrenner', ""kel'el ware"", 'shai gilgeous-alexander']",1.115498483370572,1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Miles Bridges OVER PRA 22.5 (GOBLIN) [id:10645714],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0,
5,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.05256154033079931,20.0,1.0,20.0,1.0512308066159861,20.0,atlas,0.5556270540739462,0.04157237955197714,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0512308066159861,"['lamelo ball', 'ryan kalkbrenner', 'grayson allen', ""kel'el ware"", ""de'aaron fox""]",1.0512308066159861,1,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522],Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296],Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0,
5,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.051526808877185,20.0,1.0,20.0,1.0305361775436999,20.0,atlas,0.5534635368616453,0.05081094451329897,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0305361775436999,"['jaime jaquez', 'jordan goodwin', 'tyler herro', ""kel'el ware"", 'ryan kalkbrenner']",1.0305361775436999,1,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506],Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Tyler Herro OVER PA 24.5 (GOBLIN) [id:10644586],Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0,
5,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676] | Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Davion Mitchell OVER PR 8.5 (GOBLIN) [id:10652256] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0.051254739014298056,20.0,1.0,20.0,1.0250947802859611,20.0,atlas,0.5536374433638018,0.05800249225964347,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676] | Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Davion Mitchell OVER PR 8.5 (GOBLIN) [id:10652256] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0250947802859611,"['brandon miller', 'bam adebayo', 'davion mitchell', 'jaime jaquez', 'moussa diabaté']",1.0250947802859611,1,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676],Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451],Davion Mitchell OVER PR 8.5 (GOBLIN) [id:10652256],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0,
5,Naz Reid OVER PRA 19.5 (GOBLIN) [id:10652226] | Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Nikola Jokić UNDER PR 42 (STANDARD) [id:10644404],0.05098120073075235,20.0,1.0,20.0,1.019624014615047,20.0,atlas,0.5527100164658368,0.0411423161346539,Naz Reid OVER PRA 19.5 (GOBLIN) [id:10652226] | Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Nikola Jokić UNDER PR 42 (STANDARD) [id:10644404],0.0,0.0,0.0,0.0,0.0,0,0.0,1.019624014615047,"['naz reid', 'davion mitchell', 'ryan kalkbrenner', 'moussa diabaté', 'nikola jokić']",1.019624014615047,1,Naz Reid OVER PRA 19.5 (GOBLIN) [id:10652226],Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Nikola Jokić UNDER PR 42 (STANDARD) [id:10644404],0,
5,Brandon Miller OVER PR 24.5 (GOBLIN) [id:10644462] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Bam Adebayo OVER REB 8.5 (GOBLIN) [id:10643804] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622],0.05061981216354684,20.0,1.0,20.0,1.0123962432709368,20.0,atlas,0.5523324178416068,0.03453274614503562,Brandon Miller OVER PR 24.5 (GOBLIN) [id:10644462] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Bam Adebayo OVER REB 8.5 (GOBLIN) [id:10643804] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0123962432709368,"['brandon miller', 'jordan goodwin', 'bam adebayo', 'moussa diabaté', 'nikola jokić']",1.0123962432709368,1,Brandon Miller OVER PR 24.5 (GOBLIN) [id:10644462],Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Bam Adebayo OVER REB 8.5 (GOBLIN) [id:10643804],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Nikola Jokić UNDER PRA 53 (STANDARD) [id:10644622],0,
5,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Miles Bridges OVER PR 19.5 (GOBLIN) [id:10644538] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.04945359039171933,20.0,1.0,20.0,0.9890718078343865,20.0,atlas,0.5497326969360594,0.04783663633603917,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Miles Bridges OVER PR 19.5 (GOBLIN) [id:10644538] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9890718078343865,"['kon knueppel', 'grant williams', 'miles bridges', 'justin edwards', ""kel'el ware""]",0.9890718078343865,1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493],Miles Bridges OVER PR 19.5 (GOBLIN) [id:10644538],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
