n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.20026006412471586,6.0,1.0,6.0,1.2015603847482952,6.0,atlas,0.5929244905844518,0.03156921962802652,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2015603847482952,"[""royce o'neale"", 'jordan goodwin', 'tristan silva']",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,Ayo Dosunmu OVER PTS 14.5 (GOBLIN) [id:10649100] | Jalen Duren UNDER AST 1.5 (STANDARD) [id:10647471] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.18326521322708925,6.0,1.0,6.0,1.0995912793625355,6.0,atlas,0.5778739504272715,0.017965524998696542,Ayo Dosunmu OVER PTS 14.5 (GOBLIN) [id:10649100] | Jalen Duren UNDER AST 1.5 (STANDARD) [id:10647471] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0995912793625355,"['ayo dosunmu', 'jalen duren', 'tristan silva']",1,Ayo Dosunmu OVER PTS 14.5 (GOBLIN) [id:10649100],Jalen Duren UNDER AST 1.5 (STANDARD) [id:10647471],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Devin Vassell UNDER PTS 14.5 (STANDARD) [id:10649868],0.17942205443313677,6.0,1.0,6.0,1.0765323265988207,6.0,atlas,0.5710596196810476,0.01982612941616656,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Devin Vassell UNDER PTS 14.5 (STANDARD) [id:10649868],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0765323265988207,"['ryan kalkbrenner', 'tristan silva', 'devin vassell']",1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Devin Vassell UNDER PTS 14.5 (STANDARD) [id:10649868],0,
3,Grayson Allen OVER RA 4.5 (GOBLIN) [id:10652210] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Julius Randle UNDER PTS 22.5 (STANDARD) [id:10649378],0.17867005906026442,6.0,1.0,6.0,1.0720203543615865,6.0,atlas,0.570078101209264,0.026824249998726315,Grayson Allen OVER RA 4.5 (GOBLIN) [id:10652210] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Julius Randle UNDER PTS 22.5 (STANDARD) [id:10649378],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0720203543615865,"['grayson allen', 'tristan silva', 'julius randle']",1,Grayson Allen OVER RA 4.5 (GOBLIN) [id:10652210],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Julius Randle UNDER PTS 22.5 (STANDARD) [id:10649378],0,
3,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Grayson Allen UNDER AST 3.5 (STANDARD) [id:10649257] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.17811519038506088,6.0,1.0,6.0,1.0686911423103653,6.0,atlas,0.5697058053010267,0.015500621603519628,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Grayson Allen UNDER AST 3.5 (STANDARD) [id:10649257] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0686911423103653,"['naz reid', 'grayson allen', 'tristan silva']",1,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Grayson Allen UNDER AST 3.5 (STANDARD) [id:10649257],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
3,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Rudy Gobert UNDER PTS 12.5 (STANDARD) [id:10649544] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.1572848792552956,6.0,1.0,6.0,0.9437092755317736,6.0,atlas,0.5410588008987238,0.019611236308893734,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Rudy Gobert UNDER PTS 12.5 (STANDARD) [id:10649544] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9437092755317736,"['jaime jaquez', 'rudy gobert', 'jett howard']",1,Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604],Rudy Gobert UNDER PTS 12.5 (STANDARD) [id:10649544],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0,
3,Royce O'Neale OVER PRA 13.5 (GOBLIN) [id:10653000] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.1568980567426118,6.0,1.0,6.0,0.9413883404556709,6.0,atlas,0.5401348639689836,0.046427527371438015,Royce O'Neale OVER PRA 13.5 (GOBLIN) [id:10653000] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9413883404556709,"[""royce o'neale"", 'trendon watford', 'coby white']",1,Royce O'Neale OVER PRA 13.5 (GOBLIN) [id:10653000],Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0,
3,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.1538677504692713,6.0,1.0,6.0,0.9232065028156279,6.0,atlas,0.5365184222834493,0.040439481476424254,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9232065028156279,"['ryan kalkbrenner', 'norman powell', 'trendon watford']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0,
3,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Dennis Schröder UNDER PTS 8.5 (STANDARD) [id:10645063] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0.15184950194682506,6.0,1.0,6.0,0.9110970116809504,6.0,atlas,0.5338699451224137,0.01636941582894988,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132] | Dennis Schröder UNDER PTS 8.5 (STANDARD) [id:10645063] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9110970116809504,"['collin gillespie', 'dennis schröder', 'julius randle']",1,Collin Gillespie OVER AST 2.5 (GOBLIN) [id:10649132],Dennis Schröder UNDER PTS 8.5 (STANDARD) [id:10645063],Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0,
3,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],0.1516162524934477,6.0,1.0,6.0,0.9096975149606863,6.0,atlas,0.5337986153558655,0.03345381656337931,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9096975149606863,"['jaime jaquez', 'trendon watford', 'justin edwards']",1,Jaime Jaquez OVER PA 17.5 (GOBLIN) [id:10654220],Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],0,
3,Oso Ighodaro OVER PRA 13.5 (GOBLIN) [id:10649476] | Shai Gilgeous-Alexander UNDER FG3M 1.5 (STANDARD) [id:10645019] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.15026533877933812,6.0,1.0,6.0,0.9015920326760287,6.0,atlas,0.5333765663348795,0.02724406403602828,Oso Ighodaro OVER PRA 13.5 (GOBLIN) [id:10649476] | Shai Gilgeous-Alexander UNDER FG3M 1.5 (STANDARD) [id:10645019] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9015920326760287,"['oso ighodaro', 'shai gilgeous-alexander', 'jett howard']",1,Oso Ighodaro OVER PRA 13.5 (GOBLIN) [id:10649476],Shai Gilgeous-Alexander UNDER FG3M 1.5 (STANDARD) [id:10645019],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0,
