n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER PRA 23.5 (DEMON) [id:10649236],0.06344749902497734,20.0,1.0,20.0,1.268949980499547,20.0,atlas,0.5818414410483086,0.03698546880053236,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER PRA 23.5 (DEMON) [id:10649236],0.0,0.0,0.0,0.0,0.0,0,0.0,1.268949980499547,"['miles bridges', 'jaime jaquez', ""kel'el ware"", 'tristan silva', 'donte divincenzo']",1,Miles Bridges OVER PTS 13.5 (GOBLIN) [id:10645632],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Donte DiVincenzo OVER PRA 23.5 (DEMON) [id:10649236],0,
5,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.060739678417904626,20.0,1.0,20.0,1.2147935683580926,20.0,atlas,0.5750223827269252,0.03585941221566563,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2147935683580926,"['ryan kalkbrenner', 'lamelo ball', 'jett howard', 'tristan silva', 'jaime jaquez']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],LaMelo Ball OVER PTS 16.5 (GOBLIN) [id:10646664],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0,
5,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.06048964148989693,20.0,1.0,20.0,1.2097928297979386,20.0,atlas,0.5743173713083582,0.04831944130959091,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451] | Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2097928297979386,"['bam adebayo', 'ryan kalkbrenner', 'tristan silva', 'jared mccain', 'coby white']",1,Bam Adebayo OVER PRA 29.5 (GOBLIN) [id:10644451],Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
5,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Grayson Allen OVER PR 19.5 (DEMON) [id:10652208],0.05774569355780872,20.0,1.0,20.0,1.1549138711561744,20.0,atlas,0.5697745914692722,0.04932592292479784,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Grayson Allen OVER PR 19.5 (DEMON) [id:10652208],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1549138711561744,"['davion mitchell', 'brandon miller', ""de'aaron fox"", 'tristan silva', 'grayson allen']",1,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482],Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Grayson Allen OVER PR 19.5 (DEMON) [id:10652208],0,
5,Norman Powell OVER PA 21.5 (GOBLIN) [id:10654223] | Chet Holmgren OVER PTS 13.5 (GOBLIN) [id:10648579] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Thomas Bryant OVER PRA 14.5 (DEMON) [id:10646850],0.057326379494962415,20.0,1.0,20.0,1.1465275898992484,20.0,atlas,0.5726447511592301,0.0698171473683332,Norman Powell OVER PA 21.5 (GOBLIN) [id:10654223] | Chet Holmgren OVER PTS 13.5 (GOBLIN) [id:10648579] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Thomas Bryant OVER PRA 14.5 (DEMON) [id:10646850],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1465275898992484,"['norman powell', 'chet holmgren', 'tristan silva', 'moussa diabaté', 'thomas bryant']",1,Norman Powell OVER PA 21.5 (GOBLIN) [id:10654223],Chet Holmgren OVER PTS 13.5 (GOBLIN) [id:10648579],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Thomas Bryant OVER PRA 14.5 (DEMON) [id:10646850],0,
5,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.052397194705953914,20.0,1.0,20.0,1.0479438941190784,20.0,atlas,0.5558571403089589,0.042412751069249,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0479438941190784,"['lamelo ball', 'norman powell', 'trendon watford', 'shai gilgeous-alexander', 'jaime jaquez']",1,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623],Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0,
5,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.05218458198241746,20.0,1.0,20.0,1.0436916396483493,20.0,atlas,0.5555787456730137,0.0414053071214409,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0436916396483493,"['collin gillespie', 'ayo dosunmu', 'moussa diabaté', 'shai gilgeous-alexander', 'coby white']",1,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478],Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028],Coby White OVER PR 19.5 (DEMON) [id:10644475],0,
5,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.05201682289889394,20.0,1.0,20.0,1.0403364579778789,20.0,atlas,0.5556597712667403,0.04253569534907754,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0403364579778789,"['ryan kalkbrenner', 'jaime jaquez', 'karl-anthony towns', 'moussa diabaté', 'jalen green']",1,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0,
5,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.05103991548727561,20.0,1.0,20.0,1.0207983097455122,20.0,atlas,0.5529036396523503,0.034682016499696336,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0207983097455122,"['naz reid', 'davion mitchell', ""de'aaron fox"", 'trendon watford', 'ryan kalkbrenner']",1,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],De'Aaron Fox UNDER PRA 29.5 (STANDARD) [id:10649864],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Ryan Kalkbrenner OVER PR 11.5 (DEMON) [id:10650593],0,
5,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401] | Ryan Kalkbrenner OVER PR 14.5 (DEMON) [id:10644580],0.05097786786511121,20.0,1.0,20.0,1.019557357302224,20.0,atlas,0.5531351703931771,0.04162120367542229,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401] | Ryan Kalkbrenner OVER PR 14.5 (DEMON) [id:10644580],0.0,0.0,0.0,0.0,0.0,0,0.0,1.019557357302224,"['lamelo ball', 'rudy gobert', ""kel'el ware"", 'nikola jokić', 'ryan kalkbrenner']",1,LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530],Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401],Ryan Kalkbrenner OVER PR 14.5 (DEMON) [id:10644580],0,
5,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Bam Adebayo OVER REB 10.5 (DEMON) [id:10643803],0.05005566452433982,20.0,1.0,20.0,1.0011132904867965,20.0,atlas,0.5514201965104772,0.028732886610055252,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Bam Adebayo OVER REB 10.5 (DEMON) [id:10643803],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0011132904867965,"['jalen green', 'naz reid', 'trendon watford', 'moussa diabaté', 'bam adebayo']",1,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818],Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Bam Adebayo OVER REB 10.5 (DEMON) [id:10643803],0,
