n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0.062336811500897454,20.0,1.0,20.0,1.246736230017949,20.0,atlas,0.5778942026784215,0.04177717418454242,Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0.0,0.0,0.0,0.0,0.0,0,0.0,1.246736230017949,"['tyler herro', 'brandon miller', 'davion mitchell', 'tristan silva', 'trendon watford']",1.246736230017949,1,Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589],Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457],Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],0,
5,Davion Mitchell OVER PR 7.5 (GOBLIN) [id:10650527] | Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589] | Grant Williams OVER PTS 4.5 (GOBLIN) [id:10643909] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.06030750301473504,20.0,1.0,20.0,1.2061500602947008,20.0,atlas,0.5743619288023549,0.042631094581708634,Davion Mitchell OVER PR 7.5 (GOBLIN) [id:10650527] | Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589] | Grant Williams OVER PTS 4.5 (GOBLIN) [id:10643909] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2061500602947008,"['davion mitchell', 'tyler herro', 'grant williams', 'tristan silva', 'quentin grimes']",1.2061500602947008,1,Davion Mitchell OVER PR 7.5 (GOBLIN) [id:10650527],Tyler Herro OVER PR 24.5 (GOBLIN) [id:10644589],Grant Williams OVER PTS 4.5 (GOBLIN) [id:10643909],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0,
5,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.059937327366113895,20.0,1.0,20.0,1.1987465473222778,20.0,atlas,0.5753786824465031,0.04835252586830546,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482] | LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530] | Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1987465473222778,"['davion mitchell', 'lamelo ball', 'devin booker', 'nique clifford', 'tristan silva']",1.1987465473222778,1,Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10644482],LaMelo Ball OVER PRA 29.5 (GOBLIN) [id:10644530],Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325],Nique Clifford UNDER PTS 11.5 (STANDARD) [id:10651075],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
5,Naz Reid OVER PR 19.5 (GOBLIN) [id:10652223] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Jalen Green OVER PR 19.5 (GOBLIN) [id:10652486] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.05876117772420375,20.0,1.0,20.0,1.175223554484075,20.0,atlas,0.5732352665351292,0.06466266967035714,Naz Reid OVER PR 19.5 (GOBLIN) [id:10652223] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Jalen Green OVER PR 19.5 (GOBLIN) [id:10652486] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.175223554484075,"['naz reid', 'kon knueppel', 'jalen green', 'grayson allen', 'tristan silva']",1.175223554484075,1,Naz Reid OVER PR 19.5 (GOBLIN) [id:10652223],Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Jalen Green OVER PR 19.5 (GOBLIN) [id:10652486],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
5,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Ryan Kalkbrenner UNDER AST 0.5 (STANDARD) [id:10644123] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],0.05784532147051792,20.0,1.0,20.0,1.1569064294103584,20.0,atlas,0.5698092626702091,0.034459112750041036,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Ryan Kalkbrenner UNDER AST 0.5 (STANDARD) [id:10644123] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1569064294103584,"['tyler herro', 'brandon miller', 'jalen green', 'ryan kalkbrenner', 'tristan silva']",1.1569064294103584,1,Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729],Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457],Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818],Ryan Kalkbrenner UNDER AST 0.5 (STANDARD) [id:10644123],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],0,
5,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Naz Reid OVER REB 5.5 (GOBLIN) [id:10649440] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.0572508023051319,20.0,1.0,20.0,1.145016046102638,20.0,atlas,0.5660902643420967,0.035500850532824195,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Naz Reid OVER REB 5.5 (GOBLIN) [id:10649440] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.0,0.0,0.0,0.0,0.0,0,0.0,1.145016046102638,"['jaime jaquez', 'collin gillespie', 'naz reid', ""kel'el ware"", 'jett howard']",1.145016046102638,1,Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498],Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Naz Reid OVER REB 5.5 (GOBLIN) [id:10649440],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0,
5,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Bam Adebayo OVER PRA 32.5 (GOBLIN) [id:10645675] | Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.0569232045865213,20.0,1.0,20.0,1.138464091730426,20.0,atlas,0.5650470319945284,0.04099085945143936,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Bam Adebayo OVER PRA 32.5 (GOBLIN) [id:10645675] | Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.0,0.0,0.0,0.0,0.0,0,0.0,1.138464091730426,"['coby white', 'bam adebayo', 'jaime jaquez', ""kel'el ware"", 'shai gilgeous-alexander']",1.138464091730426,1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Bam Adebayo OVER PRA 32.5 (GOBLIN) [id:10645675],Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0,
5,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Jaime Jaquez OVER PR 17.5 (GOBLIN) [id:10654221] | Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.05365988144384806,20.0,1.0,20.0,1.0731976288769611,20.0,atlas,0.5580595292147044,0.04849238602437371,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Jaime Jaquez OVER PR 17.5 (GOBLIN) [id:10654221] | Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0731976288769611,"['lamelo ball', 'jaime jaquez', 'brandon miller', ""kel'el ware"", ""de'aaron fox""]",1.0731976288769611,1,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623],Jaime Jaquez OVER PR 17.5 (GOBLIN) [id:10654221],Brandon Miller OVER PA 19.5 (GOBLIN) [id:10644458],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0.052289386473473046,20.0,1.0,20.0,1.0457877294694609,20.0,atlas,0.5554104313334486,0.044435453188250616,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0457877294694609,"['ryan kalkbrenner', 'tyler herro', 'brandon miller', 'norman powell', 'trendon watford']",1.0457877294694609,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593],Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],0,
5,Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Julius Randle OVER PRA 29.5 (GOBLIN) [id:10652218] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0.05214073427979098,20.0,1.0,20.0,1.0428146855958196,20.0,atlas,0.5556848254496632,0.04433948737473985,Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510] | Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Julius Randle OVER PRA 29.5 (GOBLIN) [id:10652218] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0428146855958196,"['kon knueppel', 'rudy gobert', 'julius randle', 'ryan kalkbrenner', 'moussa diabaté']",1.0428146855958196,1,Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10644510],Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Julius Randle OVER PRA 29.5 (GOBLIN) [id:10652218],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],0,
