n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236] | Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058] | Jalen Suggs OVER PA 14.5 (GOBLIN) [id:10648282] | Trae Young OVER PA 19.5 (STANDARD) [id:10647514] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],0.8772128839365156,20.0,1.0,20.0,17.54425767873031,20.0,atlas,0.9742325767423257,0.22852751117520476,Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236] | Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058] | Jalen Suggs OVER PA 14.5 (GOBLIN) [id:10648282] | Trae Young OVER PA 19.5 (STANDARD) [id:10647514] | LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],0.0,0.0,0.0,0.0,0.0,0,0.0,17.54425767873031,"['alex sarr', 'andrew nembhard', 'jalen suggs', 'trae young', 'lamelo ball']",1,Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236],Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058],Jalen Suggs OVER PA 14.5 (GOBLIN) [id:10648282],Trae Young OVER PA 19.5 (STANDARD) [id:10647514],LaMelo Ball OVER RA 11.5 (STANDARD) [id:10646065],0,
5,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236] | Chet Holmgren OVER PR 19.5 (GOBLIN) [id:10648212] | Trae Young OVER PA 19.5 (STANDARD) [id:10647514] | Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797],0.8605899192969205,20.0,1.0,20.0,17.211798385938412,20.0,atlas,0.9705129487051295,0.1980732563964628,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236] | Chet Holmgren OVER PR 19.5 (GOBLIN) [id:10648212] | Trae Young OVER PA 19.5 (STANDARD) [id:10647514] | Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797],0.0,0.0,0.0,0.0,0.0,0,0.0,17.211798385938412,"['norman powell', 'alex sarr', 'chet holmgren', 'trae young', 'jaylon tyson']",1,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562],Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236],Chet Holmgren OVER PR 19.5 (GOBLIN) [id:10648212],Trae Young OVER PA 19.5 (STANDARD) [id:10647514],Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797],0,
5,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Trae Young OVER RA 6.5 (GOBLIN) [id:10647755] | Ivica Zubac OVER PR 17.5 (STANDARD) [id:10650935] | Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128],0.8585678474919609,20.0,1.0,20.0,17.17135694983922,20.0,atlas,0.97003299670033,0.1598545042855428,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Trae Young OVER RA 6.5 (GOBLIN) [id:10647755] | Ivica Zubac OVER PR 17.5 (STANDARD) [id:10650935] | Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128],0.0,0.0,0.0,0.0,0.0,0,0.0,17.17135694983922,"['jaime jaquez', 'bam adebayo', 'trae young', 'ivica zubac', 'giannis antetokounmpo']",1,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506],Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565],Trae Young OVER RA 6.5 (GOBLIN) [id:10647755],Ivica Zubac OVER PR 17.5 (STANDARD) [id:10650935],Giannis Antetokounmpo OVER PTS 27.5 (STANDARD) [id:10645128],0,
5,James Harden OVER PA 24.5 (GOBLIN) [id:10646925] | Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10651844] | Giannis Antetokounmpo OVER PRA 39.5 (GOBLIN) [id:10646924] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797],0.8556463883487206,20.0,1.0,20.0,17.112927766974412,20.0,atlas,0.9694730526947305,0.13108557738150534,James Harden OVER PA 24.5 (GOBLIN) [id:10646925] | Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10651844] | Giannis Antetokounmpo OVER PRA 39.5 (GOBLIN) [id:10646924] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797],0.0,0.0,0.0,0.0,0.0,0,0.0,17.112927766974412,"['james harden', 'russell westbrook', 'giannis antetokounmpo', 'grayson allen', 'jaylon tyson']",1,James Harden OVER PA 24.5 (GOBLIN) [id:10646925],Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10651844],Giannis Antetokounmpo OVER PRA 39.5 (GOBLIN) [id:10646924],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],Jaylon Tyson OVER PA 10.5 (STANDARD) [id:10645797],0,
5,Isaiah Hartenstein OVER RA 8.5 (GOBLIN) [id:10648622] | Bub Carrington OVER PRA 15.5 (GOBLIN) [id:10652243] | Josh Hart OVER RA 9.5 (GOBLIN) [id:10652391] | Bam Adebayo OVER PR 30.5 (STANDARD) [id:10643799] | Trae Young OVER PRA 21.5 (STANDARD) [id:10647516],0.8512780866536039,20.0,1.0,20.0,17.025561733072077,20.0,atlas,0.9687531246875312,0.2257397612239008,Isaiah Hartenstein OVER RA 8.5 (GOBLIN) [id:10648622] | Bub Carrington OVER PRA 15.5 (GOBLIN) [id:10652243] | Josh Hart OVER RA 9.5 (GOBLIN) [id:10652391] | Bam Adebayo OVER PR 30.5 (STANDARD) [id:10643799] | Trae Young OVER PRA 21.5 (STANDARD) [id:10647516],0.0,0.0,0.0,0.0,0.0,0,0.0,17.025561733072077,"['isaiah hartenstein', 'bub carrington', 'josh hart', 'bam adebayo', 'trae young']",1,Isaiah Hartenstein OVER RA 8.5 (GOBLIN) [id:10648622],Bub Carrington OVER PRA 15.5 (GOBLIN) [id:10652243],Josh Hart OVER RA 9.5 (GOBLIN) [id:10652391],Bam Adebayo OVER PR 30.5 (STANDARD) [id:10643799],Trae Young OVER PRA 21.5 (STANDARD) [id:10647516],0,
5,Tre Johnson OVER PA 9.5 (GOBLIN) [id:10649690] | Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | James Harden OVER PA 27.5 (STANDARD) [id:10645156] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193],0.8448366442790802,20.0,1.0,20.0,16.896732885581606,20.0,atlas,0.9670732926707328,0.12793202374167364,Tre Johnson OVER PA 9.5 (GOBLIN) [id:10649690] | Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | James Harden OVER PA 27.5 (STANDARD) [id:10645156] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193],0.0,0.0,0.0,0.0,0.0,0,0.0,16.896732885581606,"['tre johnson', 'tyler herro', 'coby white', 'james harden', 'devin booker']",1,Tre Johnson OVER PA 9.5 (GOBLIN) [id:10649690],Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594],Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],James Harden OVER PA 27.5 (STANDARD) [id:10645156],Devin Booker OVER PRA 36 (STANDARD) [id:10649193],0,
5,Luguentz Dort OVER PRA 8.5 (GOBLIN) [id:10648902] | Ajay Mitchell OVER PRA 17.5 (GOBLIN) [id:10648545] | Wendell Carter OVER PR 14.5 (GOBLIN) [id:10648341] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Russell Westbrook OVER PR 19.5 (STANDARD) [id:10651003],0.8434402070645886,20.0,1.0,20.0,16.868804141291772,20.0,atlas,0.9666133386661333,0.12935648259372357,Luguentz Dort OVER PRA 8.5 (GOBLIN) [id:10648902] | Ajay Mitchell OVER PRA 17.5 (GOBLIN) [id:10648545] | Wendell Carter OVER PR 14.5 (GOBLIN) [id:10648341] | Coby White OVER PA 16.5 (STANDARD) [id:10643854] | Russell Westbrook OVER PR 19.5 (STANDARD) [id:10651003],0.0,0.0,0.0,0.0,0.0,0,0.0,16.868804141291772,"['luguentz dort', 'ajay mitchell', 'wendell carter', 'coby white', 'russell westbrook']",1,Luguentz Dort OVER PRA 8.5 (GOBLIN) [id:10648902],Ajay Mitchell OVER PRA 17.5 (GOBLIN) [id:10648545],Wendell Carter OVER PR 14.5 (GOBLIN) [id:10648341],Coby White OVER PA 16.5 (STANDARD) [id:10643854],Russell Westbrook OVER PR 19.5 (STANDARD) [id:10651003],0,
5,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10648294] | LaMelo Ball OVER RA 9.5 (GOBLIN) [id:10645625] | Aaron Gordon OVER PRA 20.5 (GOBLIN) [id:10646987] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | Trae Young OVER PRA 21.5 (STANDARD) [id:10647516],0.843372580317778,20.0,1.0,20.0,16.86745160635556,20.0,atlas,0.9666933306669334,0.16920282506545367,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10648294] | LaMelo Ball OVER RA 9.5 (GOBLIN) [id:10645625] | Aaron Gordon OVER PRA 20.5 (GOBLIN) [id:10646987] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | Trae Young OVER PRA 21.5 (STANDARD) [id:10647516],0.0,0.0,0.0,0.0,0.0,0,0.0,16.86745160635556,"['paolo banchero', 'lamelo ball', 'aaron gordon', 'devin booker', 'trae young']",1,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10648294],LaMelo Ball OVER RA 9.5 (GOBLIN) [id:10645625],Aaron Gordon OVER PRA 20.5 (GOBLIN) [id:10646987],Devin Booker OVER PRA 36 (STANDARD) [id:10649193],Trae Young OVER PRA 21.5 (STANDARD) [id:10647516],0,
5,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Giannis Antetokounmpo OVER RA 13.5 (STANDARD) [id:10645137] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0.8423047129795654,20.0,1.0,20.0,16.846094259591307,20.0,atlas,0.9664133586641336,0.08262898635148497,James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254] | Giannis Antetokounmpo OVER RA 13.5 (STANDARD) [id:10645137] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0.0,0.0,0.0,0.0,0.0,0,0.0,16.846094259591307,"['james harden', 'coby white', 'ajay mitchell', 'giannis antetokounmpo', 'kon knueppel']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10645143],Coby White OVER PTS 10.5 (GOBLIN) [id:10653645],Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10648254],Giannis Antetokounmpo OVER RA 13.5 (STANDARD) [id:10645137],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10643970],0,
5,Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236] | Josh Hart OVER PRA 19.5 (GOBLIN) [id:10652088] | Giannis Antetokounmpo OVER PR 35.5 (GOBLIN) [id:10652297] | Ryan Rollins OVER PRA 26.5 (STANDARD) [id:10649072] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],0.8422305675444549,20.0,1.0,20.0,16.8446113508891,20.0,atlas,0.9666133386661334,0.20143001250239143,Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236] | Josh Hart OVER PRA 19.5 (GOBLIN) [id:10652088] | Giannis Antetokounmpo OVER PR 35.5 (GOBLIN) [id:10652297] | Ryan Rollins OVER PRA 26.5 (STANDARD) [id:10649072] | Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],0.0,0.0,0.0,0.0,0.0,0,0.0,16.8446113508891,"['alex sarr', 'josh hart', 'giannis antetokounmpo', 'ryan rollins', 'ajay mitchell']",1,Alex Sarr OVER PR 16.5 (GOBLIN) [id:10652236],Josh Hart OVER PRA 19.5 (GOBLIN) [id:10652088],Giannis Antetokounmpo OVER PR 35.5 (GOBLIN) [id:10652297],Ryan Rollins OVER PRA 26.5 (STANDARD) [id:10649072],Ajay Mitchell OVER PA 17 (STANDARD) [id:10644951],0,
5,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501] | Tre Johnson OVER PR 11.5 (GOBLIN) [id:10650522] | Ajay Mitchell OVER PRA 17.5 (GOBLIN) [id:10648545] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176] | Myles Turner OVER PRA 16.5 (STANDARD) [id:10645806],0.8416492482704571,20.0,1.0,20.0,16.832984965409143,20.0,atlas,0.9662133786621337,0.1546277590274514,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501] | Tre Johnson OVER PR 11.5 (GOBLIN) [id:10650522] | Ajay Mitchell OVER PRA 17.5 (GOBLIN) [id:10648545] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176] | Myles Turner OVER PRA 16.5 (STANDARD) [id:10645806],0.0,0.0,0.0,0.0,0.0,0,0.0,16.832984965409143,"['jaime jaquez', 'tre johnson', 'ajay mitchell', 'jaylon tyson', 'myles turner']",1,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10644501],Tre Johnson OVER PR 11.5 (GOBLIN) [id:10650522],Ajay Mitchell OVER PRA 17.5 (GOBLIN) [id:10648545],Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],Myles Turner OVER PRA 16.5 (STANDARD) [id:10645806],0,
