n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Rui Hachimura OVER PTS 6.5 (GOBLIN) [id:10619971] | Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377] | Luka Dončić OVER AST 7.5 (STANDARD) [id:10626995] | Jordan Goodwin OVER PA 6.5 (STANDARD) [id:10638344],0.1836871574277793,10.0,0.9969602343375306,9.969602343375305,1.831287915139937,10.0,pp_kernel,0.661389189500613,0.07790090760993659,Rui Hachimura OVER PTS 6.5 (GOBLIN) [id:10619971] | Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377] | Luka Dončić OVER AST 7.5 (STANDARD) [id:10626995] | Jordan Goodwin OVER PA 6.5 (STANDARD) [id:10638344],0.0,0.0,0.0,0.0,0.0,0,0.0,1.831287915139937,"['rui hachimura', 'collin gillespie', 'luka dončić', 'jordan goodwin']",1.831287915139937,1,Rui Hachimura OVER PTS 6.5 (GOBLIN) [id:10619971],Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377],Luka Dončić OVER AST 7.5 (STANDARD) [id:10626995],Jordan Goodwin OVER PA 6.5 (STANDARD) [id:10638344],0,
4,Austin Reaves OVER PA 20.5 (GOBLIN) [id:10638602] | Deandre Ayton OVER REB 4.5 (GOBLIN) [id:10638528] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10620975] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],0.2531379941845127,10.0,0.7128147681141254,7.128147681141254,1.8044050062550825,10.0,pp_kernel,0.7118408493007624,0.048168365684671456,Austin Reaves OVER PA 20.5 (GOBLIN) [id:10638602] | Deandre Ayton OVER REB 4.5 (GOBLIN) [id:10638528] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10620975] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],0.0,0.0,0.0,0.0,0.0,0,0.0,1.8044050062550825,"['austin reaves', 'deandre ayton', 'jayson tatum', 'jordan goodwin']",1.8044050062550825,1,Austin Reaves OVER PA 20.5 (GOBLIN) [id:10638602],Deandre Ayton OVER REB 4.5 (GOBLIN) [id:10638528],Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10620975],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],0,
4,Deandre Ayton OVER PR 11.5 (GOBLIN) [id:10638508] | Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10621316] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677] | Marcus Smart OVER PTS 8 (STANDARD) [id:10634785],0.18387349638250092,10.0,0.9772734984387659,9.77273498438766,1.7969469507989444,10.0,pp_kernel,0.6594960232314424,0.06882743324228309,Deandre Ayton OVER PR 11.5 (GOBLIN) [id:10638508] | Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10621316] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677] | Marcus Smart OVER PTS 8 (STANDARD) [id:10634785],0.0,0.0,0.0,0.0,0.0,0,0.0,1.7969469507989444,"['deandre ayton', 'collin gillespie', 'jordan goodwin', 'marcus smart']",1.7969469507989444,1,Deandre Ayton OVER PR 11.5 (GOBLIN) [id:10638508],Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10621316],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10622677],Marcus Smart OVER PTS 8 (STANDARD) [id:10634785],0,
4,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10617664] | Jabari Smith OVER REB 4.5 (GOBLIN) [id:10631650] | Jayson Tatum OVER REB 7.5 (STANDARD) [id:10621133] | Marcus Smart OVER PR 10 (STANDARD) [id:10626106],0.17837742707902,10.0,1.0017337728275697,10.017337728275697,1.786866930151414,10.0,pp_kernel,0.6570420250156817,0.05299625097552466,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10617664] | Jabari Smith OVER REB 4.5 (GOBLIN) [id:10631650] | Jayson Tatum OVER REB 7.5 (STANDARD) [id:10621133] | Marcus Smart OVER PR 10 (STANDARD) [id:10626106],0.0,0.0,0.0,0.0,0.0,0,0.0,1.786866930151414,"['austin reaves', 'jabari smith', 'jayson tatum', 'marcus smart']",1.786866930151414,1,Austin Reaves OVER PTS 14.5 (GOBLIN) [id:10617664],Jabari Smith OVER REB 4.5 (GOBLIN) [id:10631650],Jayson Tatum OVER REB 7.5 (STANDARD) [id:10621133],Marcus Smart OVER PR 10 (STANDARD) [id:10626106],0,
4,Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10620508] | Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Luke Kennard OVER PRA 9.5 (STANDARD) [id:10630104] | Amen Thompson OVER REB 7 (STANDARD) [id:10626983],0.1804574046441293,10.0,0.9889642200678211,9.889642200678212,1.7846591643934455,10.0,pp_kernel,0.6566561865507851,0.05506998729044489,Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10620508] | Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Luke Kennard OVER PRA 9.5 (STANDARD) [id:10630104] | Amen Thompson OVER REB 7 (STANDARD) [id:10626983],0.0,0.0,0.0,0.0,0.0,0,0.0,1.7846591643934455,"['saddiq bey', 'tari eason', 'luke kennard', 'amen thompson']",1.7846591643934455,1,Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10620508],Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571],Luke Kennard OVER PRA 9.5 (STANDARD) [id:10630104],Amen Thompson OVER REB 7 (STANDARD) [id:10626983],0,
4,Julian Champagnie OVER REB 3.5 (GOBLIN) [id:10619042] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Derrick White OVER AST 5 (STANDARD) [id:10620868] | Jordan Goodwin OVER PA 6.5 (STANDARD) [id:10638344],0.17734599917189056,10.0,1.0014032540515703,10.014032540515704,1.7759486066375831,10.0,pp_kernel,0.6556007404818882,0.09160229875867425,Julian Champagnie OVER REB 3.5 (GOBLIN) [id:10619042] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Derrick White OVER AST 5 (STANDARD) [id:10620868] | Jordan Goodwin OVER PA 6.5 (STANDARD) [id:10638344],0.0,0.0,0.0,0.0,0.0,0,0.0,1.7759486066375831,"['julian champagnie', 'jayson tatum', 'derrick white', 'jordan goodwin']",1.7759486066375831,1,Julian Champagnie OVER REB 3.5 (GOBLIN) [id:10619042],Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690],Derrick White OVER AST 5 (STANDARD) [id:10620868],Jordan Goodwin OVER PA 6.5 (STANDARD) [id:10638344],0,
4,Marvin Bagley OVER PTS 5.5 (GOBLIN) [id:10642182] | Jordan Goodwin OVER AST 0.5 (GOBLIN) [id:10630787] | Amen Thompson OVER REB 7 (STANDARD) [id:10626983] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],0.25058403344610375,10.0,0.7061888893109141,7.06188889310914,1.7695966025835295,10.0,pp_kernel,0.7110947934208733,0.04920870543971445,Marvin Bagley OVER PTS 5.5 (GOBLIN) [id:10642182] | Jordan Goodwin OVER AST 0.5 (GOBLIN) [id:10630787] | Amen Thompson OVER REB 7 (STANDARD) [id:10626983] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],0.0,0.0,0.0,0.0,0.0,0,0.0,1.7695966025835295,"['marvin bagley', 'jordan goodwin', 'amen thompson', 'leonard miller']",1.7695966025835295,1,Marvin Bagley OVER PTS 5.5 (GOBLIN) [id:10642182],Jordan Goodwin OVER AST 0.5 (GOBLIN) [id:10630787],Amen Thompson OVER REB 7 (STANDARD) [id:10626983],Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],0,
4,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010] | Luke Kennard OVER AST 0.5 (GOBLIN) [id:10619907] | Josh Giddey UNDER PTS 21.5 (STANDARD) [id:10620067] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0.3080947516564368,10.0,0.5591499563040356,5.591499563040356,1.7227116692619935,10.0,pp_kernel,0.7464269154232036,0.021610788988543357,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010] | Luke Kennard OVER AST 0.5 (GOBLIN) [id:10619907] | Josh Giddey UNDER PTS 21.5 (STANDARD) [id:10620067] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0.0,0.0,0.0,0.0,0.0,0,0.0,1.7227116692619935,"['rui hachimura', 'luke kennard', 'josh giddey', 'matas buzelis']",1.7227116692619935,1,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010],Luke Kennard OVER AST 0.5 (GOBLIN) [id:10619907],Josh Giddey UNDER PTS 21.5 (STANDARD) [id:10620067],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0,
4,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Luke Kennard OVER PTS 4.5 (GOBLIN) [id:10618005] | Leonard Miller UNDER RA 8.5 (STANDARD) [id:10638442] | Rui Hachimura OVER PRA 11.5 (STANDARD) [id:10621407],0.23531638441993724,10.0,0.7128703218689787,7.128703218689787,1.6775006670248498,10.0,pp_kernel,0.6996069176863162,0.04744880840199783,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Luke Kennard OVER PTS 4.5 (GOBLIN) [id:10618005] | Leonard Miller UNDER RA 8.5 (STANDARD) [id:10638442] | Rui Hachimura OVER PRA 11.5 (STANDARD) [id:10621407],0.0,0.0,0.0,0.0,0.0,0,0.0,1.6775006670248498,"['jayson tatum', 'luke kennard', 'leonard miller', 'rui hachimura']",1.6775006670248498,1,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690],Luke Kennard OVER PTS 4.5 (GOBLIN) [id:10618005],Leonard Miller UNDER RA 8.5 (STANDARD) [id:10638442],Rui Hachimura OVER PRA 11.5 (STANDARD) [id:10621407],0,
4,Rui Hachimura OVER PRA 8.5 (GOBLIN) [id:10620202] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10620551] | Jaxson Hayes OVER PTS 5.5 (STANDARD) [id:10641891] | Deandre Ayton OVER REB 7 (STANDARD) [id:10626986],0.16483378119344314,10.0,1.0091492900376673,10.091492900376673,1.6634189326558735,10.0,pp_kernel,0.6427552607737097,0.05473389083086834,Rui Hachimura OVER PRA 8.5 (GOBLIN) [id:10620202] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10620551] | Jaxson Hayes OVER PTS 5.5 (STANDARD) [id:10641891] | Deandre Ayton OVER REB 7 (STANDARD) [id:10626986],0.0,0.0,0.0,0.0,0.0,0,0.0,1.6634189326558735,"['rui hachimura', 'collin gillespie', 'jaxson hayes', 'deandre ayton']",1.6634189326558735,1,Rui Hachimura OVER PRA 8.5 (GOBLIN) [id:10620202],Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10620551],Jaxson Hayes OVER PTS 5.5 (STANDARD) [id:10641891],Deandre Ayton OVER REB 7 (STANDARD) [id:10626986],0,
