n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867] | Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10291716] | Quentin Grimes UNDER PA 21.5 (STANDARD) [id:10291503] | Tyrese Maxey UNDER PA 40.5 (STANDARD) [id:10291780],0.2967931767688633,20.0,1.0,20.0,5.9358635353772655,20.0,atlas,0.7861345189845729,0.05922797654273006,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867] | Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10291716] | Quentin Grimes UNDER PA 21.5 (STANDARD) [id:10291503] | Tyrese Maxey UNDER PA 40.5 (STANDARD) [id:10291780],0.01,0.054,0.0005922797654273006,0.06459227976542731,118.6526784277799,"['ryan rollins', 'darius garland', 'keyonte george', 'quentin grimes', 'tyrese maxey']",1,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867],Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358],Keyonte George OVER REB 1.5 (GOBLIN) [id:10291716],Quentin Grimes UNDER PA 21.5 (STANDARD) [id:10291503],Tyrese Maxey UNDER PA 40.5 (STANDARD) [id:10291780],0,
5,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867] | Coby White OVER PTS 9.5 (GOBLIN) [id:10293293] | Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10284588] | Quentin Grimes UNDER PA 21.5 (STANDARD) [id:10291503] | Brook Lopez UNDER REB 4.5 (STANDARD) [id:10297844],0.27224829562911307,20.0,1.0,20.0,5.444965912582261,20.0,atlas,0.7712932782995323,0.05469795369520906,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867] | Coby White OVER PTS 9.5 (GOBLIN) [id:10293293] | Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10284588] | Quentin Grimes UNDER PA 21.5 (STANDARD) [id:10291503] | Brook Lopez UNDER REB 4.5 (STANDARD) [id:10297844],0.0,0.054,0.0005469795369520906,0.05454697953695209,108.84477127210828,"['ryan rollins', 'coby white', 'onyeka okongwu', 'quentin grimes', 'brook lopez']",1,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867],Coby White OVER PTS 9.5 (GOBLIN) [id:10293293],Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10284588],Quentin Grimes UNDER PA 21.5 (STANDARD) [id:10291503],Brook Lopez UNDER REB 4.5 (STANDARD) [id:10297844],0,
5,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10290938] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389] | Darius Garland OVER PR 11.5 (GOBLIN) [id:10305340] | Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429] | Jrue Holiday OVER AST 5 (STANDARD) [id:10297858],0.2719079156607478,20.0,1.0,20.0,5.438158313214956,20.0,atlas,0.7759256953601625,0.05155202634846225,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10290938] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389] | Darius Garland OVER PR 11.5 (GOBLIN) [id:10305340] | Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429] | Jrue Holiday OVER AST 5 (STANDARD) [id:10297858],0.0,0.054,0.0005155202634846226,0.05451552026348462,108.70865074403564,"['shai gilgeous-alexander', 'ryan kalkbrenner', 'darius garland', 'cameron payne', 'jrue holiday']",1,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10290938],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389],Darius Garland OVER PR 11.5 (GOBLIN) [id:10305340],Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429],Jrue Holiday OVER AST 5 (STANDARD) [id:10297858],0,
5,Onyeka Okongwu OVER PA 11.5 (GOBLIN) [id:10306448] | Brice Sensabaugh OVER AST 0.5 (GOBLIN) [id:10293676] | Ryan Rollins OVER PRA 19.5 (GOBLIN) [id:10286544] | Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429] | Quentin Grimes UNDER PR 21.5 (STANDARD) [id:10291757],0.2714471086753352,20.0,1.0,20.0,5.428942173506704,20.0,atlas,0.7711104199925685,0.06596477107813523,Onyeka Okongwu OVER PA 11.5 (GOBLIN) [id:10306448] | Brice Sensabaugh OVER AST 0.5 (GOBLIN) [id:10293676] | Ryan Rollins OVER PRA 19.5 (GOBLIN) [id:10286544] | Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429] | Quentin Grimes UNDER PR 21.5 (STANDARD) [id:10291757],0.01,0.096,0.0006596477107813523,0.10665964771078135,108.4721838224233,"['onyeka okongwu', 'brice sensabaugh', 'ryan rollins', 'cameron payne', 'quentin grimes']",1,Onyeka Okongwu OVER PA 11.5 (GOBLIN) [id:10306448],Brice Sensabaugh OVER AST 0.5 (GOBLIN) [id:10293676],Ryan Rollins OVER PRA 19.5 (GOBLIN) [id:10286544],Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429],Quentin Grimes UNDER PR 21.5 (STANDARD) [id:10291757],0,
5,Jaylen Wells OVER PA 9.5 (GOBLIN) [id:10306440] | Josh Hart OVER REB 4.5 (GOBLIN) [id:10306422] | Coby White OVER PR 9.5 (GOBLIN) [id:10306186] | Baylor Scheierman UNDER PR 12.5 (STANDARD) [id:10286815] | Tyrese Maxey UNDER PR 37.5 (STANDARD) [id:10291524],0.26817171342837876,20.0,1.0,20.0,5.363434268567575,20.0,atlas,0.7710948941819006,0.07109345253078456,Jaylen Wells OVER PA 9.5 (GOBLIN) [id:10306440] | Josh Hart OVER REB 4.5 (GOBLIN) [id:10306422] | Coby White OVER PR 9.5 (GOBLIN) [id:10306186] | Baylor Scheierman UNDER PR 12.5 (STANDARD) [id:10286815] | Tyrese Maxey UNDER PR 37.5 (STANDARD) [id:10291524],0.0,0.054,0.0007109345253078456,0.05471093452530784,107.21397443682619,"['jaylen wells', 'josh hart', 'coby white', 'baylor scheierman', 'tyrese maxey']",1,Jaylen Wells OVER PA 9.5 (GOBLIN) [id:10306440],Josh Hart OVER REB 4.5 (GOBLIN) [id:10306422],Coby White OVER PR 9.5 (GOBLIN) [id:10306186],Baylor Scheierman UNDER PR 12.5 (STANDARD) [id:10286815],Tyrese Maxey UNDER PR 37.5 (STANDARD) [id:10291524],0,
5,Kon Knueppel OVER PA 14.5 (GOBLIN) [id:10293609] | Deni Avdija OVER PTS 14.5 (GOBLIN) [id:10293696] | Darius Garland OVER PR 11.5 (GOBLIN) [id:10305340] | Tyrese Maxey UNDER PRA 44.5 (STANDARD) [id:10291525] | Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429],0.2673650508222136,20.0,1.0,20.0,5.3473010164442725,20.0,atlas,0.77001631606068,0.06607112632985797,Kon Knueppel OVER PA 14.5 (GOBLIN) [id:10293609] | Deni Avdija OVER PTS 14.5 (GOBLIN) [id:10293696] | Darius Garland OVER PR 11.5 (GOBLIN) [id:10305340] | Tyrese Maxey UNDER PRA 44.5 (STANDARD) [id:10291525] | Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429],0.01,0.096,0.0006607112632985797,0.10666071126329858,106.83935961762215,"['kon knueppel', 'deni avdija', 'darius garland', 'tyrese maxey', 'cameron payne']",1,Kon Knueppel OVER PA 14.5 (GOBLIN) [id:10293609],Deni Avdija OVER PTS 14.5 (GOBLIN) [id:10293696],Darius Garland OVER PR 11.5 (GOBLIN) [id:10305340],Tyrese Maxey UNDER PRA 44.5 (STANDARD) [id:10291525],Cameron Payne UNDER PTS 9.5 (STANDARD) [id:10306429],0,
5,Josh Hart OVER REB 4.5 (GOBLIN) [id:10306422] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10291716] | Quentin Grimes UNDER PRA 25.5 (STANDARD) [id:10291504] | Darius Garland OVER FG3M 1.5 (STANDARD) [id:10290353],0.2670012485628769,20.0,1.0,20.0,5.340024971257538,20.0,atlas,0.7701328037888019,0.05196509212876619,Josh Hart OVER REB 4.5 (GOBLIN) [id:10306422] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10291716] | Quentin Grimes UNDER PRA 25.5 (STANDARD) [id:10291504] | Darius Garland OVER FG3M 1.5 (STANDARD) [id:10290353],0.0,0.024,0.0005196509212876619,0.02451965092128766,106.77597977422946,"['josh hart', 'ryan kalkbrenner', 'keyonte george', 'quentin grimes', 'darius garland']",1,Josh Hart OVER REB 4.5 (GOBLIN) [id:10306422],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389],Keyonte George OVER REB 1.5 (GOBLIN) [id:10291716],Quentin Grimes UNDER PRA 25.5 (STANDARD) [id:10291504],Darius Garland OVER FG3M 1.5 (STANDARD) [id:10290353],0,
5,CJ McCollum OVER PTS 11.5 (GOBLIN) [id:10288043] | Nickeil Alexander-Walker OVER FG3M 1.5 (GOBLIN) [id:10284276] | Jaylen Wells OVER PA 9.5 (GOBLIN) [id:10306440] | Dominick Barlow UNDER PTS 10 (STANDARD) [id:10292162] | Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10302930],0.2538663535852691,20.0,1.0,20.0,5.077327071705382,20.0,atlas,0.7640951025356802,0.06041228435468552,CJ McCollum OVER PTS 11.5 (GOBLIN) [id:10288043] | Nickeil Alexander-Walker OVER FG3M 1.5 (GOBLIN) [id:10284276] | Jaylen Wells OVER PA 9.5 (GOBLIN) [id:10306440] | Dominick Barlow UNDER PTS 10 (STANDARD) [id:10292162] | Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10302930],0.01,0.054,0.0006041228435468552,0.06460412284354686,101.48193731126409,"['cj mccollum', 'nickeil alexander-walker', 'jaylen wells', 'dominick barlow', 'ryan kalkbrenner']",1,CJ McCollum OVER PTS 11.5 (GOBLIN) [id:10288043],Nickeil Alexander-Walker OVER FG3M 1.5 (GOBLIN) [id:10284276],Jaylen Wells OVER PA 9.5 (GOBLIN) [id:10306440],Dominick Barlow UNDER PTS 10 (STANDARD) [id:10292162],Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10302930],0,
5,Pascal Siakam OVER PA 19.5 (GOBLIN) [id:10292099] | Jock Landale OVER REB 3.5 (GOBLIN) [id:10284832] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10290931] | Cameron Payne UNDER PR 11.5 (STANDARD) [id:10306361] | Baylor Scheierman UNDER PR 12.5 (STANDARD) [id:10286815],0.2534508982119153,20.0,1.0,20.0,5.069017964238306,20.0,atlas,0.7605509416134619,0.06374762396838496,Pascal Siakam OVER PA 19.5 (GOBLIN) [id:10292099] | Jock Landale OVER REB 3.5 (GOBLIN) [id:10284832] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10290931] | Cameron Payne UNDER PR 11.5 (STANDARD) [id:10306361] | Baylor Scheierman UNDER PR 12.5 (STANDARD) [id:10286815],0.0,0.024,0.0006374762396838496,0.02463747623968385,101.35572180852643,"['pascal siakam', 'jock landale', 'shai gilgeous-alexander', 'cameron payne', 'baylor scheierman']",1,Pascal Siakam OVER PA 19.5 (GOBLIN) [id:10292099],Jock Landale OVER REB 3.5 (GOBLIN) [id:10284832],Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10290931],Cameron Payne UNDER PR 11.5 (STANDARD) [id:10306361],Baylor Scheierman UNDER PR 12.5 (STANDARD) [id:10286815],0,
5,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10291055] | Dyson Daniels OVER REB 4.5 (GOBLIN) [id:10286079] | Nickeil Alexander-Walker OVER PTS 11.5 (GOBLIN) [id:10286933] | Miles Bridges OVER PTS 12.5 (STANDARD) [id:10291939] | Brook Lopez UNDER RA 6.5 (STANDARD) [id:10290342],0.2518874499125781,20.0,1.0,20.0,5.037748998251562,20.0,atlas,0.7617451406406198,0.05329227045582088,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10291055] | Dyson Daniels OVER REB 4.5 (GOBLIN) [id:10286079] | Nickeil Alexander-Walker OVER PTS 11.5 (GOBLIN) [id:10286933] | Miles Bridges OVER PTS 12.5 (STANDARD) [id:10291939] | Brook Lopez UNDER RA 6.5 (STANDARD) [id:10290342],0.01,0.054,0.0005329227045582088,0.06453292270455821,100.69044704232668,"['t.j. mcconnell', 'dyson daniels', 'nickeil alexander-walker', 'miles bridges', 'brook lopez']",1,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10291055],Dyson Daniels OVER REB 4.5 (GOBLIN) [id:10286079],Nickeil Alexander-Walker OVER PTS 11.5 (GOBLIN) [id:10286933],Miles Bridges OVER PTS 12.5 (STANDARD) [id:10291939],Brook Lopez UNDER RA 6.5 (STANDARD) [id:10290342],0,
