n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10398373] | Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Russell Westbrook OVER PRA 28.5 (DEMON) [id:10400987],0.3424582032660065,20.0,1.0,20.0,6.84916406532013,20.0,atlas,0.815958852430434,0.056650609924660186,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10398373] | Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Russell Westbrook OVER PRA 28.5 (DEMON) [id:10400987],0.0,0.054,0.0005665060992466019,0.0545665060992466,136.92871480030337,"['ryan kalkbrenner', 'jayson tatum', 'guerschon yabusele', 'tristan silva', 'russell westbrook']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10398373],Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818],Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Russell Westbrook OVER PRA 28.5 (DEMON) [id:10400987],0,
5,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Jayson Tatum OVER PR 19.5 (GOBLIN) [id:10397821] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.3248252433580542,20.0,1.0,20.0,6.496504867161084,20.0,atlas,0.8098590586761935,0.06432285543120389,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Jayson Tatum OVER PR 19.5 (GOBLIN) [id:10397821] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.0,0.054,0.0006432285543120389,0.054643228554312036,129.87545411466735,"['collin gillespie', 'jayson tatum', 'tristan silva', 'ousmane dieng', 'coby white']",1,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689],Jayson Tatum OVER PR 19.5 (GOBLIN) [id:10397821],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920],Coby White OVER PA 16.5 (DEMON) [id:10410050],0,
5,Immanuel Quickley OVER RA 7.5 (GOBLIN) [id:10407835] | Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10403896] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Guerschon Yabusele UNDER PRA 20.5 (STANDARD) [id:10400647] | Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0.3203567672677789,20.0,1.0,20.0,6.407135345355578,20.0,atlas,0.8038341870467398,0.06115306969173616,Immanuel Quickley OVER RA 7.5 (GOBLIN) [id:10407835] | Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10403896] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Guerschon Yabusele UNDER PRA 20.5 (STANDARD) [id:10400647] | Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0.0,0.054,0.0006115306969173616,0.05461153069691736,128.08809537641463,"['immanuel quickley', 'bam adebayo', 'tristan silva', 'guerschon yabusele', 'russell westbrook']",1,Immanuel Quickley OVER RA 7.5 (GOBLIN) [id:10407835],Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10403896],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Guerschon Yabusele UNDER PRA 20.5 (STANDARD) [id:10400647],Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0,
5,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10402094] | Luke Kornet OVER REB 2.5 (GOBLIN) [id:10406171] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Russell Westbrook OVER REB 4.5 (DEMON) [id:10400768],0.3100673877562501,20.0,1.0,20.0,6.201347755125002,20.0,atlas,0.7985875591739588,0.04509990999267731,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10402094] | Luke Kornet OVER REB 2.5 (GOBLIN) [id:10406171] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Russell Westbrook OVER REB 4.5 (DEMON) [id:10400768],0.01,0.012,0.0004509990999267731,0.02245099909992677,124.00450410340011,"['t.j. mcconnell', 'luke kornet', 'tristan silva', 'precious achiuwa', 'russell westbrook']",1,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10402094],Luke Kornet OVER REB 2.5 (GOBLIN) [id:10406171],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235],Russell Westbrook OVER REB 4.5 (DEMON) [id:10400768],0,
5,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10407361] | Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | DeMar DeRozan OVER PRA 23.5 (DEMON) [id:10400892],0.3035077342217764,20.0,1.0,20.0,6.070154684435528,20.0,atlas,0.7937324853976865,0.0709154238228025,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10407361] | Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | DeMar DeRozan OVER PRA 23.5 (DEMON) [id:10400892],0.01,0.096,0.000709154238228025,0.10670915423822802,121.29638453447232,"['collin gillespie', 'bam adebayo', 'precious achiuwa', 'guerschon yabusele', 'demar derozan']",1,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777],Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10407361],Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238],Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469],DeMar DeRozan OVER PRA 23.5 (DEMON) [id:10400892],0,
5,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Ousmane Dieng UNDER PTS 10.5 (STANDARD) [id:10404011] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.2967979899283128,20.0,1.0,20.0,5.935959798566256,20.0,atlas,0.7922442377596577,0.05748234706790695,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Ousmane Dieng UNDER PTS 10.5 (STANDARD) [id:10404011] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.0,0.054,0.0005748234706790695,0.05457482347067907,118.66462114785445,"['collin gillespie', 'jayson tatum', 'ousmane dieng', 'guerschon yabusele', 'rui hachimura']",1,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689],Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697],Ousmane Dieng UNDER PTS 10.5 (STANDARD) [id:10404011],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0,
5,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10406577] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230] | Andrew Wiggins OVER PRA 23.5 (DEMON) [id:10405031],0.2735287269071703,20.0,1.0,20.0,5.470574538143405,20.0,atlas,0.7812523613005699,0.0610246905174751,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10406577] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230] | Andrew Wiggins OVER PRA 23.5 (DEMON) [id:10405031],0.01,0.054,0.000610246905174751,0.06461024690517475,109.34688051596294,"['jayson tatum', 'jaylon tyson', 'precious achiuwa', 'nique clifford', 'andrew wiggins']",1,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675],Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10406577],Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235],Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230],Andrew Wiggins OVER PRA 23.5 (DEMON) [id:10405031],0,
5,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Coby White OVER REB 2.5 (DEMON) [id:10396930],0.27293772673388067,20.0,1.0,20.0,5.458754534677613,20.0,atlas,0.7807772123726884,0.04853535473089538,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Coby White OVER REB 2.5 (DEMON) [id:10396930],0.01,0.054,0.00048535354730895385,0.06448535354730896,109.11060534000495,"['jaime jaquez', 'collin gillespie', 'nique clifford', 'precious achiuwa', 'coby white']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906],Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689],Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235],Coby White OVER REB 2.5 (DEMON) [id:10396930],0,
5,Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10398871] | Devin Booker OVER AST 3.5 (GOBLIN) [id:10397939] | Jarace Walker UNDER PRA 22.5 (STANDARD) [id:10401112] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Russell Westbrook OVER PRA 26.5 (DEMON) [id:10400988],0.2573682440477789,20.0,1.0,20.0,5.147364880955578,20.0,atlas,0.7651471023504056,0.07397566577155874,Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10398871] | Devin Booker OVER AST 3.5 (GOBLIN) [id:10397939] | Jarace Walker UNDER PRA 22.5 (STANDARD) [id:10401112] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Russell Westbrook OVER PRA 26.5 (DEMON) [id:10400988],0.02,0.096,0.0007397566577155874,0.11673975665771559,102.83055786245384,"['grayson allen', 'devin booker', 'jarace walker', 'nique clifford', 'russell westbrook']",1,Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10398871],Devin Booker OVER AST 3.5 (GOBLIN) [id:10397939],Jarace Walker UNDER PRA 22.5 (STANDARD) [id:10401112],Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228],Russell Westbrook OVER PRA 26.5 (DEMON) [id:10400988],0,
5,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10403901] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920] | Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0.2500084223554477,20.0,1.0,20.0,5.000168447108954,20.0,atlas,0.7626702884284003,0.06254502490894201,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10403901] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920] | Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0.01,0.096,0.0006254502490894201,0.10662545024908941,99.89674349192998,"['jaime jaquez', 'davion mitchell', 'nique clifford', 'ousmane dieng', 'ryan kalkbrenner']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906],Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10403901],Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920],Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0,
