n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10146729] | Paolo Banchero OVER PA 22.5 (GOBLIN) [id:10162275] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Rob Dillingham UNDER PRA 17.5 (STANDARD) [id:10165581] | Josh Giddey OVER RA 14.5 (DEMON) [id:10140370],0.4502334365952619,20.0,1.0,20.0,9.004668731905237,20.0,atlas,0.853024697530247,0.07032316814374051,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10146729] | Paolo Banchero OVER PA 22.5 (GOBLIN) [id:10162275] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Rob Dillingham UNDER PRA 17.5 (STANDARD) [id:10165581] | Josh Giddey OVER RA 14.5 (DEMON) [id:10140370],0.02,0.096,0.0007032316814374051,0.11670323168143741,179.97667140642332,"['desmond bane', 'paolo banchero', 'kobe brown', 'rob dillingham', 'josh giddey']",1,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10146729],Paolo Banchero OVER PA 22.5 (GOBLIN) [id:10162275],Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823],Rob Dillingham UNDER PRA 17.5 (STANDARD) [id:10165581],Josh Giddey OVER RA 14.5 (DEMON) [id:10140370],0,
5,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:10143680] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250] | Marvin Bagley UNDER PTS 15.5 (STANDARD) [id:10144911] | Josh Giddey OVER PRA 31.5 (DEMON) [id:10140364],0.447260394148177,20.0,1.0,20.0,8.94520788296354,20.0,atlas,0.8536385636229908,0.0627738845797563,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:10143680] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250] | Marvin Bagley UNDER PTS 15.5 (STANDARD) [id:10144911] | Josh Giddey OVER PRA 31.5 (DEMON) [id:10140364],0.01,0.096,0.000627738845797563,0.10662773884579756,178.797529920425,"['paolo banchero', 'wendell carter', 'yanic niederhäuser', 'marvin bagley', 'josh giddey']",1,Paolo Banchero OVER AST 3.5 (GOBLIN) [id:10143680],Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071],Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250],Marvin Bagley UNDER PTS 15.5 (STANDARD) [id:10144911],Josh Giddey OVER PRA 31.5 (DEMON) [id:10140364],0,
5,Day'Ron Sharpe OVER REB 3.5 (GOBLIN) [id:10163082] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10140034] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10151802] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10139274] | Josh Giddey OVER RA 13.5 (DEMON) [id:10149720],0.4467254805912337,20.0,1.0,20.0,8.934509611824673,20.0,atlas,0.8516105923430517,0.05515368170861268,Day'Ron Sharpe OVER REB 3.5 (GOBLIN) [id:10163082] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10140034] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10151802] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10139274] | Josh Giddey OVER RA 13.5 (DEMON) [id:10149720],0.01,0.03,0.0005515368170861268,0.04055153681708613,178.64964069967638,"[""day'ron sharpe"", 'kon knueppel', 'tristan vukcevic', 'guerschon yabusele', 'josh giddey']",1,Day'Ron Sharpe OVER REB 3.5 (GOBLIN) [id:10163082],Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10140034],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10151802],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10139274],Josh Giddey OVER RA 13.5 (DEMON) [id:10149720],0,
5,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10142990] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Kobe Brown UNDER PRA 17.5 (STANDARD) [id:10165824] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Josh Giddey OVER PRA 33.5 (DEMON) [id:10140363],0.44001949114503286,20.0,1.0,20.0,8.800389822900657,20.0,atlas,0.8538664333057095,0.07290682327173025,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10142990] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Kobe Brown UNDER PRA 17.5 (STANDARD) [id:10165824] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Josh Giddey OVER PRA 33.5 (DEMON) [id:10140363],0.01,0.096,0.0007290682327173025,0.1067290682327173,175.90106738978042,"['dejounte murray', 'andrew nembhard', 'kobe brown', 'yanic niederhäuser', 'josh giddey']",1,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10142990],Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855],Kobe Brown UNDER PRA 17.5 (STANDARD) [id:10165824],Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],Josh Giddey OVER PRA 33.5 (DEMON) [id:10140363],0,
5,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10147068] | Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250] | Jarace Walker UNDER PRA 28.5 (STANDARD) [id:10139911] | Desmond Bane OVER AST 3.5 (DEMON) [id:10143592],0.4271307194780508,20.0,1.0,20.0,8.542614389561017,20.0,atlas,0.8500189255867945,0.06323115501770729,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10147068] | Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250] | Jarace Walker UNDER PRA 28.5 (STANDARD) [id:10139911] | Desmond Bane OVER AST 3.5 (DEMON) [id:10143592],0.02,0.096,0.0006323115501770729,0.11663231155017707,170.73565547967016,"['paolo banchero', 'andrew nembhard', 'yanic niederhäuser', 'jarace walker', 'desmond bane']",1,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10147068],Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854],Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250],Jarace Walker UNDER PRA 28.5 (STANDARD) [id:10139911],Desmond Bane OVER AST 3.5 (DEMON) [id:10143592],0,
5,Wendell Carter OVER RA 7.5 (GOBLIN) [id:10151696] | Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Desmond Bane OVER PA 24.5 (DEMON) [id:10147058],0.3860684197355146,20.0,1.0,20.0,7.721368394710292,20.0,atlas,0.8307469253074693,0.07399318603319763,Wendell Carter OVER RA 7.5 (GOBLIN) [id:10151696] | Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Desmond Bane OVER PA 24.5 (DEMON) [id:10147058],0.02,0.096,0.0007399318603319763,0.11673993186033198,154.3106279623455,"['wendell carter', 'andrew nembhard', 'marvin bagley', 'kobe brown', 'desmond bane']",1,Wendell Carter OVER RA 7.5 (GOBLIN) [id:10151696],Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854],Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823],Desmond Bane OVER PA 24.5 (DEMON) [id:10147058],0,
5,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10147425] | Sion James OVER PR 4.5 (GOBLIN) [id:10166117] | Khris Middleton UNDER PA 18.5 (STANDARD) [id:10147851] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Desmond Bane OVER PA 24.5 (DEMON) [id:10147058],0.38359562588830914,20.0,1.0,20.0,7.671912517766183,20.0,atlas,0.8285891668113712,0.0658078017118581,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10147425] | Sion James OVER PR 4.5 (GOBLIN) [id:10166117] | Khris Middleton UNDER PA 18.5 (STANDARD) [id:10147851] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Desmond Bane OVER PA 24.5 (DEMON) [id:10147058],0.0,0.054,0.0006580780171185811,0.05465807801711858,153.38359227730652,"['amen thompson', 'sion james', 'khris middleton', 'yanic niederhäuser', 'desmond bane']",1,Amen Thompson OVER REB 4.5 (GOBLIN) [id:10147425],Sion James OVER PR 4.5 (GOBLIN) [id:10166117],Khris Middleton UNDER PA 18.5 (STANDARD) [id:10147851],Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],Desmond Bane OVER PA 24.5 (DEMON) [id:10147058],0,
5,Paolo Banchero OVER RA 10.5 (GOBLIN) [id:10144192] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Jarace Walker UNDER PA 20.5 (STANDARD) [id:10139906] | John Konchar UNDER RA 8.5 (STANDARD) [id:10156499] | Ryan Kalkbrenner OVER PRA 12.5 (DEMON) [id:10140196],0.34363864796210786,20.0,1.0,20.0,6.872772959242157,20.0,atlas,0.8133422370741075,0.07258727415846718,Paolo Banchero OVER RA 10.5 (GOBLIN) [id:10144192] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Jarace Walker UNDER PA 20.5 (STANDARD) [id:10139906] | John Konchar UNDER RA 8.5 (STANDARD) [id:10156499] | Ryan Kalkbrenner OVER PRA 12.5 (DEMON) [id:10140196],0.01,0.096,0.0007258727415846718,0.10672587274158467,137.34873331210156,"['paolo banchero', 'wendell carter', 'jarace walker', 'john konchar', 'ryan kalkbrenner']",1,Paolo Banchero OVER RA 10.5 (GOBLIN) [id:10144192],Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071],Jarace Walker UNDER PA 20.5 (STANDARD) [id:10139906],John Konchar UNDER RA 8.5 (STANDARD) [id:10156499],Ryan Kalkbrenner OVER PRA 12.5 (DEMON) [id:10140196],0,
5,Anthony Black OVER AST 2.5 (GOBLIN) [id:10151615] | Andrew Nembhard OVER PRA 19.5 (GOBLIN) [id:10141207] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Brook Lopez UNDER REB 5 (STANDARD) [id:10151822] | Ryan Kalkbrenner OVER RA 5.5 (DEMON) [id:10142690],0.33038876356996955,20.0,1.0,20.0,6.607775271399391,20.0,atlas,0.8055394782803408,0.06412920905945083,Anthony Black OVER AST 2.5 (GOBLIN) [id:10151615] | Andrew Nembhard OVER PRA 19.5 (GOBLIN) [id:10141207] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Brook Lopez UNDER REB 5 (STANDARD) [id:10151822] | Ryan Kalkbrenner OVER RA 5.5 (DEMON) [id:10142690],0.01,0.054,0.0006412920905945083,0.06464129209059451,132.09086413589722,"['anthony black', 'andrew nembhard', 'kobe brown', 'brook lopez', 'ryan kalkbrenner']",1,Anthony Black OVER AST 2.5 (GOBLIN) [id:10151615],Andrew Nembhard OVER PRA 19.5 (GOBLIN) [id:10141207],Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823],Brook Lopez UNDER REB 5 (STANDARD) [id:10151822],Ryan Kalkbrenner OVER RA 5.5 (DEMON) [id:10142690],0,
5,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875] | Jarace Walker UNDER PR 23.5 (STANDARD) [id:10139907] | Ryan Kalkbrenner OVER RA 5.5 (DEMON) [id:10142690],0.3264107387969163,20.0,1.0,20.0,6.528214775938325,20.0,atlas,0.8038096190380962,0.07688749672977571,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875] | Jarace Walker UNDER PR 23.5 (STANDARD) [id:10139907] | Ryan Kalkbrenner OVER RA 5.5 (DEMON) [id:10142690],0.01,0.096,0.0007688749672977571,0.10676887496729776,130.45752664379924,"['tre jones', 'kon knueppel', 'marvin bagley', 'jarace walker', 'ryan kalkbrenner']",1,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723],Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835],Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],Jarace Walker UNDER PR 23.5 (STANDARD) [id:10139907],Ryan Kalkbrenner OVER RA 5.5 (DEMON) [id:10142690],0,
