n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788] | Naji Marshall UNDER PTS 19.5 (STANDARD) [id:10175385] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:10175724] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.3883961529018943,10.0,1.0,10.0,3.8839615290189426,10.0,atlas,0.7918735097399725,0.06220121664590421,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788] | Naji Marshall UNDER PTS 19.5 (STANDARD) [id:10175385] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:10175724] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.01,0.024,0.0006220121664590421,0.03462201216645904,38.80499327802297,"['duncan robinson', 'naji marshall', 'caleb martin', 'evan mobley']",1,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788],Naji Marshall UNDER PTS 19.5 (STANDARD) [id:10175385],Caleb Martin UNDER PA 10.5 (STANDARD) [id:10175724],Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0,
4,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Jaylon Tyson OVER PRA 19.5 (STANDARD) [id:10173810] | Evan Mobley OVER PRA 28.5 (DEMON) [id:10173663],0.3677959257444833,10.0,1.0,10.0,3.677959257444833,10.0,atlas,0.7805656906289894,0.06426152913682603,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Jaylon Tyson OVER PRA 19.5 (STANDARD) [id:10173810] | Evan Mobley OVER PRA 28.5 (DEMON) [id:10173663],0.04,0.054,0.0006426152913682604,0.09464261529136826,36.68494995915696,"['sam merrill', 'caleb martin', 'jaylon tyson', 'evan mobley']",1,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883],Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],Jaylon Tyson OVER PRA 19.5 (STANDARD) [id:10173810],Evan Mobley OVER PRA 28.5 (DEMON) [id:10173663],0,
4,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618] | Nolan Traore UNDER PRA 17.5 (STANDARD) [id:10174848] | Ausar Thompson OVER PRA 16.5 (STANDARD) [id:10171768] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.3595875785771579,10.0,1.0,10.0,3.595875785771579,10.0,atlas,0.7770328893126501,0.06878135286850529,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618] | Nolan Traore UNDER PRA 17.5 (STANDARD) [id:10174848] | Ausar Thompson OVER PRA 16.5 (STANDARD) [id:10171768] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.01,0.054,0.0006878135286850529,0.06468781352868505,35.8940700441871,"['duncan robinson', 'nolan traore', 'ausar thompson', 'evan mobley']",1,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618],Nolan Traore UNDER PRA 17.5 (STANDARD) [id:10174848],Ausar Thompson OVER PRA 16.5 (STANDARD) [id:10171768],Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0,
4,Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341] | Jaylon Tyson OVER PRA 20 (STANDARD) [id:10180142] | Baylor Scheierman UNDER PRA 13 (STANDARD) [id:10180143] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.3242264913521115,10.0,1.0,10.0,3.2422649135211152,10.0,atlas,0.7584982849069684,0.07738066784547783,Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341] | Jaylon Tyson OVER PRA 20 (STANDARD) [id:10180142] | Baylor Scheierman UNDER PRA 13 (STANDARD) [id:10180143] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.01,0.054,0.0007738066784547783,0.06477380667845478,32.3578753285327,"['ronald holland', 'jaylon tyson', 'baylor scheierman', 'evan mobley']",1,Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341],Jaylon Tyson OVER PRA 20 (STANDARD) [id:10180142],Baylor Scheierman UNDER PRA 13 (STANDARD) [id:10180143],Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0,
4,Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725] | Nolan Traore UNDER PR 12.5 (STANDARD) [id:10174847] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0.2813970570011106,10.0,1.0,10.0,2.813970570011106,10.0,atlas,0.7347693746472008,0.06383404212070651,Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725] | Nolan Traore UNDER PR 12.5 (STANDARD) [id:10174847] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0.0,0.024,0.000638340421207065,0.024638340421207064,28.115067359689856,"['ronald holland', 'caleb martin', 'nolan traore', 'bobby portis']",1,Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341],Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725],Nolan Traore UNDER PR 12.5 (STANDARD) [id:10174847],Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0,
4,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725] | Baylor Scheierman UNDER PR 11.5 (STANDARD) [id:10172076] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0.2805944736708295,10.0,1.0,10.0,2.805944736708295,10.0,atlas,0.7340715437852368,0.05678012145532025,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725] | Baylor Scheierman UNDER PR 11.5 (STANDARD) [id:10172076] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0.0,0.024,0.0005678012145532025,0.024567801214553202,28.0348795658684,"['sam merrill', 'caleb martin', 'baylor scheierman', 'bobby portis']",1,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883],Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725],Baylor Scheierman UNDER PR 11.5 (STANDARD) [id:10172076],Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0,
4,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623] | GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823] | Walter Clayton UNDER PR 12.5 (STANDARD) [id:10172240] | Cade Cunningham OVER RA 16.5 (DEMON) [id:10179926],0.2556315073341435,10.0,1.0,10.0,2.5563150733414353,10.0,atlas,0.7185049829654262,0.07251272553714652,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623] | GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823] | Walter Clayton UNDER PR 12.5 (STANDARD) [id:10172240] | Cade Cunningham OVER RA 16.5 (DEMON) [id:10179926],0.02,0.054,0.0007251272553714652,0.07472512725537146,25.488425606158984,"['duncan robinson', 'gg jackson', 'walter clayton', 'cade cunningham']",1,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623],GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823],Walter Clayton UNDER PR 12.5 (STANDARD) [id:10172240],Cade Cunningham OVER RA 16.5 (DEMON) [id:10179926],0,
4,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618] | Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.2540556483254899,10.0,1.0,10.0,2.540556483254899,10.0,atlas,0.7142119704610956,0.06044660350827674,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618] | Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.0,0.024,0.0006044660350827674,0.02460446603508277,25.380960366513907,"['duncan robinson', 'taylor hendricks', 'julian strawther', 'jaylon tyson']",1,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618],Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432],Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991],Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0,
4,James Harden OVER AST 5.5 (GOBLIN) [id:10170936] | Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508] | GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822] | Michael Porter OVER PA 24.5 (DEMON) [id:10180594],0.2474659103192314,10.0,1.0,10.0,2.474659103192314,10.0,atlas,0.7115976754355066,0.06198668424305445,James Harden OVER AST 5.5 (GOBLIN) [id:10170936] | Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508] | GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822] | Michael Porter OVER PA 24.5 (DEMON) [id:10180594],0.0,0.024,0.0006198668424305445,0.024619866842430546,24.72197116508071,"['james harden', 'jericho sims', 'gg jackson', 'michael porter']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10170936],Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508],GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822],Michael Porter OVER PA 24.5 (DEMON) [id:10180594],0,
4,Ausar Thompson OVER REB 3.5 (GOBLIN) [id:10171769] | Julian Strawther UNDER FG3M 1.5 (STANDARD) [id:10172714] | GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822] | Cade Cunningham OVER PRA 42.5 (DEMON) [id:10173488],0.24737318801555774,10.0,1.0,10.0,2.4737318801555777,10.0,atlas,0.7112535186102316,0.06043851992412067,Ausar Thompson OVER REB 3.5 (GOBLIN) [id:10171769] | Julian Strawther UNDER FG3M 1.5 (STANDARD) [id:10172714] | GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822] | Cade Cunningham OVER PRA 42.5 (DEMON) [id:10173488],0.01,0.006,0.0006043851992412067,0.016604385199241206,24.720714416356532,"['ausar thompson', 'julian strawther', 'gg jackson', 'cade cunningham']",1,Ausar Thompson OVER REB 3.5 (GOBLIN) [id:10171769],Julian Strawther UNDER FG3M 1.5 (STANDARD) [id:10172714],GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822],Cade Cunningham OVER PRA 42.5 (DEMON) [id:10173488],0,
