n_legs,legs,hit_prob,ev_mult,avg_p,avg_fragility,slip_key,leg_1,leg_2,leg_3
3,Bobby Portis OVER PTS 9.5 (GOBLIN) [id:9870103] | Vít Krejčí UNDER PR 11.5 (STANDARD) [id:9870194] | Kevin Porter OVER AST 8.5 (DEMON) [id:9870860],0.26498833399081606,1.5899300039448963,0.6650971531287544,0.0008773084177742715,Bobby Portis OVER PTS 9.5 (GOBLIN) [id:9870103] | Vít Krejčí UNDER PR 11.5 (STANDARD) [id:9870194] | Kevin Porter OVER AST 8.5 (DEMON) [id:9870860],Bobby Portis OVER PTS 9.5 (GOBLIN) [id:9870103],Vít Krejčí UNDER PR 11.5 (STANDARD) [id:9870194],Kevin Porter OVER AST 8.5 (DEMON) [id:9870860]
3,Naji Marshall OVER PA 19.5 (GOBLIN) [id:9869615] | Cam Thomas UNDER PA 21.5 (STANDARD) [id:9870847] | Bobby Portis OVER RA 8.5 (DEMON) [id:9871180],0.2577725923828255,1.546635554296953,0.644405129232881,0.0017184345061648893,Naji Marshall OVER PA 19.5 (GOBLIN) [id:9869615] | Cam Thomas UNDER PA 21.5 (STANDARD) [id:9870847] | Bobby Portis OVER RA 8.5 (DEMON) [id:9871180],Naji Marshall OVER PA 19.5 (GOBLIN) [id:9869615],Cam Thomas UNDER PA 21.5 (STANDARD) [id:9870847],Bobby Portis OVER RA 8.5 (DEMON) [id:9871180]
3,Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Aaron Wiggins UNDER PR 21.5 (STANDARD) [id:9869854] | Myles Turner OVER REB 6.5 (DEMON) [id:9869831],0.2428237939218509,1.4569427635311054,0.6484443457923558,0.0028872848417545983,Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Aaron Wiggins UNDER PR 21.5 (STANDARD) [id:9869854] | Myles Turner OVER REB 6.5 (DEMON) [id:9869831],Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145],Aaron Wiggins UNDER PR 21.5 (STANDARD) [id:9869854],Myles Turner OVER REB 6.5 (DEMON) [id:9869831]
3,Jrue Holiday OVER FG3M 1.5 (GOBLIN) [id:9870158] | Kevin Porter OVER AST 7 (STANDARD) [id:9870859] | Jusuf Nurkić OVER REB 10.5 (DEMON) [id:9870437],0.22804536833565106,1.3682722100139064,0.6114049631544362,0.0,Jrue Holiday OVER FG3M 1.5 (GOBLIN) [id:9870158] | Kevin Porter OVER AST 7 (STANDARD) [id:9870859] | Jusuf Nurkić OVER REB 10.5 (DEMON) [id:9870437],Jrue Holiday OVER FG3M 1.5 (GOBLIN) [id:9870158],Kevin Porter OVER AST 7 (STANDARD) [id:9870859],Jusuf Nurkić OVER REB 10.5 (DEMON) [id:9870437]
3,Isaiah Hartenstein OVER RA 11.5 (GOBLIN) [id:9871379] | Brice Sensabaugh UNDER PA 20.5 (STANDARD) [id:9870748] | Myles Turner OVER RA 7.5 (DEMON) [id:9871386],0.18724737724350554,1.1234842634610334,0.5746549032274483,0.0036785958274213166,Isaiah Hartenstein OVER RA 11.5 (GOBLIN) [id:9871379] | Brice Sensabaugh UNDER PA 20.5 (STANDARD) [id:9870748] | Myles Turner OVER RA 7.5 (DEMON) [id:9871386],Isaiah Hartenstein OVER RA 11.5 (GOBLIN) [id:9871379],Brice Sensabaugh UNDER PA 20.5 (STANDARD) [id:9870748],Myles Turner OVER RA 7.5 (DEMON) [id:9871386]
3,Lauri Markkanen OVER FG3M 1.5 (GOBLIN) [id:9870278] | Bobby Portis OVER PR 16.5 (STANDARD) [id:9870104] | Jerami Grant OVER PA 24.5 (DEMON) [id:9871355],0.18703753912196355,1.1222252347317814,0.6347152258653344,0.0028753638142813725,Lauri Markkanen OVER FG3M 1.5 (GOBLIN) [id:9870278] | Bobby Portis OVER PR 16.5 (STANDARD) [id:9870104] | Jerami Grant OVER PA 24.5 (DEMON) [id:9871355],Lauri Markkanen OVER FG3M 1.5 (GOBLIN) [id:9870278],Bobby Portis OVER PR 16.5 (STANDARD) [id:9870104],Jerami Grant OVER PA 24.5 (DEMON) [id:9871355]
3,Naji Marshall OVER PTS 14.5 (GOBLIN) [id:9869611] | Bobby Portis OVER PR 16.5 (STANDARD) [id:9870104] | Deni Avdija OVER REB 8.5 (DEMON) [id:9870495],0.18314791344156606,1.0988874806493962,0.6083631246906288,0.0014036934684388245,Naji Marshall OVER PTS 14.5 (GOBLIN) [id:9869611] | Bobby Portis OVER PR 16.5 (STANDARD) [id:9870104] | Deni Avdija OVER REB 8.5 (DEMON) [id:9870495],Naji Marshall OVER PTS 14.5 (GOBLIN) [id:9869611],Bobby Portis OVER PR 16.5 (STANDARD) [id:9870104],Deni Avdija OVER REB 8.5 (DEMON) [id:9870495]
3,Kyle Kuzma OVER AST 1.5 (GOBLIN) [id:9869969] | Vince Williams UNDER PA 15.5 (STANDARD) [id:9871141] | Toumani Camara OVER REB 6.5 (DEMON) [id:9870458],0.181925187615109,1.091551125690654,0.5906520519799859,0.002187917831530316,Kyle Kuzma OVER AST 1.5 (GOBLIN) [id:9869969] | Vince Williams UNDER PA 15.5 (STANDARD) [id:9871141] | Toumani Camara OVER REB 6.5 (DEMON) [id:9870458],Kyle Kuzma OVER AST 1.5 (GOBLIN) [id:9869969],Vince Williams UNDER PA 15.5 (STANDARD) [id:9871141],Toumani Camara OVER REB 6.5 (DEMON) [id:9870458]
3,Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Jrue Holiday UNDER RA 10.5 (STANDARD) [id:9870276] | Deni Avdija OVER AST 7.5 (DEMON) [id:9870117],0.1795259019599561,1.0771554117597366,0.5794783173084418,0.0036567681735073707,Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Jrue Holiday UNDER RA 10.5 (STANDARD) [id:9870276] | Deni Avdija OVER AST 7.5 (DEMON) [id:9870117],Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145],Jrue Holiday UNDER RA 10.5 (STANDARD) [id:9870276],Deni Avdija OVER AST 7.5 (DEMON) [id:9870117]
3,Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:9870968] | Lauri Markkanen OVER PR 25.5 (STANDARD) [id:9870285] | Luke Kennard OVER PTS 12.5 (DEMON) [id:9880710],0.17911370623981665,1.0746822374388998,0.6164364664444547,0.002707197277333033,Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:9870968] | Lauri Markkanen OVER PR 25.5 (STANDARD) [id:9870285] | Luke Kennard OVER PTS 12.5 (DEMON) [id:9880710],Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:9870968],Lauri Markkanen OVER PR 25.5 (STANDARD) [id:9870285],Luke Kennard OVER PTS 12.5 (DEMON) [id:9880710]
