n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679] | Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Kris Murray UNDER PR 13.5 (STANDARD) [id:10192836],0.33976494120684964,20.0,1.0,20.0,6.795298824136992,20.0,atlas,0.8084963693225703,0.07844880621364354,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679] | Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Kris Murray UNDER PR 13.5 (STANDARD) [id:10192836],0.01,0.096,0.0007844880621364355,0.10678448806213643,135.7991919946777,"['bam adebayo', 'kon knueppel', ""kel'el ware"", 'gui santos', 'kris murray']",1,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178],Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679],Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463],Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358],Kris Murray UNDER PR 13.5 (STANDARD) [id:10192836],0,
5,Bam Adebayo OVER PR 23.5 (GOBLIN) [id:10206738] | Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10193501] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | Gui Santos UNDER PTS 14 (STANDARD) [id:10192357],0.33791334813504204,20.0,1.0,20.0,6.758266962700841,20.0,atlas,0.8057521879204828,0.05389492753878351,Bam Adebayo OVER PR 23.5 (GOBLIN) [id:10206738] | Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10193501] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | Gui Santos UNDER PTS 14 (STANDARD) [id:10192357],0.0,0.03,0.0005389492753878352,0.030538949275387833,135.13480030474145,"['bam adebayo', 'jrue holiday', 'kon knueppel', 'tristan vukcevic', 'gui santos']",1,Bam Adebayo OVER PR 23.5 (GOBLIN) [id:10206738],Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025],Kon Knueppel OVER PTS 17.5 (GOBLIN) [id:10193501],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],Gui Santos UNDER PTS 14 (STANDARD) [id:10192357],0,
5,Kristaps Porziņģis OVER PTS 7.5 (GOBLIN) [id:10200821] | Kyshawn George OVER AST 1.5 (GOBLIN) [id:10196357] | Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463] | John Konchar UNDER PA 8.5 (STANDARD) [id:10195156] | Gui Santos UNDER REB 5.5 (STANDARD) [id:10192361],0.31040363009556415,20.0,1.0,20.0,6.208072601911283,20.0,atlas,0.7946226431704403,0.06211349429962022,Kristaps Porziņģis OVER PTS 7.5 (GOBLIN) [id:10200821] | Kyshawn George OVER AST 1.5 (GOBLIN) [id:10196357] | Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463] | John Konchar UNDER PA 8.5 (STANDARD) [id:10195156] | Gui Santos UNDER REB 5.5 (STANDARD) [id:10192361],0.01,0.054,0.0006211349429962022,0.0646211349429962,124.09683090328267,"['kristaps porziņģis', 'kyshawn george', ""kel'el ware"", 'john konchar', 'gui santos']",1,Kristaps Porziņģis OVER PTS 7.5 (GOBLIN) [id:10200821],Kyshawn George OVER AST 1.5 (GOBLIN) [id:10196357],Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463],John Konchar UNDER PA 8.5 (STANDARD) [id:10195156],Gui Santos UNDER REB 5.5 (STANDARD) [id:10192361],0,
5,Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | Kristaps Porziņģis OVER PTS 7.5 (GOBLIN) [id:10200821] | Tyler Herro OVER PR 18.5 (GOBLIN) [id:10206831] | John Konchar UNDER PR 10.5 (STANDARD) [id:10195157] | Jrue Holiday OVER RA 10.5 (STANDARD) [id:10192809],0.3059445586261018,20.0,1.0,20.0,6.118891172522036,20.0,atlas,0.7926301998558207,0.06653746632304372,Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | Kristaps Porziņģis OVER PTS 7.5 (GOBLIN) [id:10200821] | Tyler Herro OVER PR 18.5 (GOBLIN) [id:10206831] | John Konchar UNDER PR 10.5 (STANDARD) [id:10195157] | Jrue Holiday OVER RA 10.5 (STANDARD) [id:10192809],0.01,0.054,0.0006653746632304372,0.06466537466323044,122.3131580757775,"['bam adebayo', 'kristaps porziņģis', 'tyler herro', 'john konchar', 'jrue holiday']",1,Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049],Kristaps Porziņģis OVER PTS 7.5 (GOBLIN) [id:10200821],Tyler Herro OVER PR 18.5 (GOBLIN) [id:10206831],John Konchar UNDER PR 10.5 (STANDARD) [id:10195157],Jrue Holiday OVER RA 10.5 (STANDARD) [id:10192809],0,
5,Bub Carrington OVER AST 2.5 (GOBLIN) [id:10200264] | Kel'el Ware OVER PTS 4.5 (GOBLIN) [id:10201697] | Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Ace Bailey UNDER PTS 17.5 (STANDARD) [id:10194804],0.299102066987474,20.0,1.0,20.0,5.98204133974948,20.0,atlas,0.7874076637725537,0.05585187979767485,Bub Carrington OVER AST 2.5 (GOBLIN) [id:10200264] | Kel'el Ware OVER PTS 4.5 (GOBLIN) [id:10201697] | Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Ace Bailey UNDER PTS 17.5 (STANDARD) [id:10194804],0.0,0.054,0.0005585187979767485,0.05455851879797675,119.58626827619162,"['bub carrington', ""kel'el ware"", 'scoot henderson', 'gui santos', 'ace bailey']",1,Bub Carrington OVER AST 2.5 (GOBLIN) [id:10200264],Kel'el Ware OVER PTS 4.5 (GOBLIN) [id:10201697],Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045],Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358],Ace Bailey UNDER PTS 17.5 (STANDARD) [id:10194804],0,
5,Donovan Clingan OVER PA 11.5 (GOBLIN) [id:10202438] | Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864] | Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Kyshawn George OVER PA 13.5 (STANDARD) [id:10196372] | Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0.29667479343257,20.0,1.0,20.0,5.9334958686514,20.0,atlas,0.7877180710844915,0.06496118629520176,Donovan Clingan OVER PA 11.5 (GOBLIN) [id:10202438] | Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864] | Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Kyshawn George OVER PA 13.5 (STANDARD) [id:10196372] | Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0.0,0.096,0.0006496118629520176,0.09664961186295203,118.57326776116506,"['donovan clingan', 'tyler herro', 'kon knueppel', 'kyshawn george', 'isaiah collier']",1,Donovan Clingan OVER PA 11.5 (GOBLIN) [id:10202438],Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864],Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110],Kyshawn George OVER PA 13.5 (STANDARD) [id:10196372],Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0,
5,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170] | Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | Jeremiah Fears UNDER PA 19.5 (STANDARD) [id:10195117] | Tristan Vukcevic UNDER PRA 18.5 (STANDARD) [id:10196536],0.296164023976767,20.0,1.0,20.0,5.9232804795353395,20.0,atlas,0.7889454737109223,0.06781673935507604,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170] | Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | Jeremiah Fears UNDER PA 19.5 (STANDARD) [id:10195117] | Tristan Vukcevic UNDER PRA 18.5 (STANDARD) [id:10196536],0.01,0.054,0.0006781673935507604,0.06467816739355076,118.40093142331325,"['tyler herro', 'grant williams', 'bam adebayo', 'jeremiah fears', 'tristan vukcevic']",1,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864],Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170],Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049],Jeremiah Fears UNDER PA 19.5 (STANDARD) [id:10195117],Tristan Vukcevic UNDER PRA 18.5 (STANDARD) [id:10196536],0,
5,Andrew Wiggins OVER PR 15.5 (GOBLIN) [id:10206734] | Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10198316] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jeremiah Fears UNDER PA 19.5 (STANDARD) [id:10195117],0.28903795310488234,20.0,1.0,20.0,5.780759062097647,20.0,atlas,0.783156707583196,0.07214604134329619,Andrew Wiggins OVER PR 15.5 (GOBLIN) [id:10206734] | Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10198316] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jeremiah Fears UNDER PA 19.5 (STANDARD) [id:10195117],0.02,0.054,0.000721460413432962,0.07472146041343296,115.54045978153951,"['andrew wiggins', 'saddiq bey', 'kon knueppel', 'ryan kalkbrenner', 'jeremiah fears']",1,Andrew Wiggins OVER PR 15.5 (GOBLIN) [id:10206734],Saddiq Bey OVER REB 3.5 (GOBLIN) [id:10198316],Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202],Jeremiah Fears UNDER PA 19.5 (STANDARD) [id:10195117],0,
5,Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10200280] | Jeremiah Fears UNDER PR 19.5 (STANDARD) [id:10195118] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0.2844753195658048,20.0,1.0,20.0,5.689506391316096,20.0,atlas,0.7813113648819967,0.06756048502608557,Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10200280] | Jeremiah Fears UNDER PR 19.5 (STANDARD) [id:10195118] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0.01,0.054,0.0006756048502608557,0.06467560485026086,113.72545222147166,"['donovan clingan', 'davion mitchell', 'kyshawn george', 'jeremiah fears', 'tristan vukcevic']",1,Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175],Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575],Kyshawn George OVER PA 9.5 (GOBLIN) [id:10200280],Jeremiah Fears UNDER PR 19.5 (STANDARD) [id:10195118],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0,
5,Luke Kennard OVER PA 4.5 (GOBLIN) [id:10201033] | Coby White OVER FG3M 0.5 (GOBLIN) [id:10205714] | Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | John Konchar UNDER PR 10.5 (STANDARD) [id:10195157],0.2821024269113037,20.0,1.0,20.0,5.642048538226074,20.0,atlas,0.7771597762989133,0.06389817734260297,Luke Kennard OVER PA 4.5 (GOBLIN) [id:10201033] | Coby White OVER FG3M 0.5 (GOBLIN) [id:10205714] | Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | John Konchar UNDER PR 10.5 (STANDARD) [id:10195157],0.0,0.012,0.0006389817734260298,0.01263898177342603,112.82833178274807,"['luke kennard', 'coby white', 'scoot henderson', 'tristan vukcevic', 'john konchar']",1,Luke Kennard OVER PA 4.5 (GOBLIN) [id:10201033],Coby White OVER FG3M 0.5 (GOBLIN) [id:10205714],Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],John Konchar UNDER PR 10.5 (STANDARD) [id:10195157],0,
