n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | CJ McCollum OVER PA 19.5 (GOBLIN) [id:10376975] | Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897] | Walter Clayton UNDER PTS 8.5 (STANDARD) [id:10381833] | Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0.24158251160889538,20.0,0.46363177990490506,9.272635598098102,2.2401065970225913,20.0,pp_kernel,0.7617703601416582,0.07289176397992359,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | CJ McCollum OVER PA 19.5 (GOBLIN) [id:10376975] | Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897] | Walter Clayton UNDER PTS 8.5 (STANDARD) [id:10381833] | Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0.02,0.096,0.0007289176397992359,0.11672891763979924,20.65496325744628,"['shai gilgeous-alexander', 'cj mccollum', 'cam spencer', 'walter clayton', 'cason wallace']",20.77169217508608,1,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110],CJ McCollum OVER PA 19.5 (GOBLIN) [id:10376975],Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897],Walter Clayton UNDER PTS 8.5 (STANDARD) [id:10381833],Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0,
5,Jaylen Wells OVER AST 0.5 (GOBLIN) [id:10381568] | Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10383106] | Cam Spencer OVER PRA 15.5 (GOBLIN) [id:10382155] | Onyeka Okongwu OVER PRA 26.5 (STANDARD) [id:10373580] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],0.22158468433316658,20.0,0.48239436689513826,9.647887337902766,2.1378240702511393,20.0,pp_kernel,0.744718435778009,0.0743218076599291,Jaylen Wells OVER AST 0.5 (GOBLIN) [id:10381568] | Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10383106] | Cam Spencer OVER PRA 15.5 (GOBLIN) [id:10382155] | Onyeka Okongwu OVER PRA 26.5 (STANDARD) [id:10373580] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],0.04,0.096,0.0007432180765992911,0.1367432180765993,20.488742559963118,"['jaylen wells', 'shai gilgeous-alexander', 'cam spencer', 'onyeka okongwu', 'gg jackson']",20.625485778039717,1,Jaylen Wells OVER AST 0.5 (GOBLIN) [id:10381568],Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10383106],Cam Spencer OVER PRA 15.5 (GOBLIN) [id:10382155],Onyeka Okongwu OVER PRA 26.5 (STANDARD) [id:10373580],GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],0,
5,Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10385371] | Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | CJ McCollum OVER RA 4.5 (GOBLIN) [id:10381077] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | Tyrese Maxey UNDER PTS 31.5 (STANDARD) [id:10373672],0.2673826600847307,20.0,0.43615092017965307,8.723018403593061,2.3323838647207737,20.0,pp_kernel,0.7755718654172299,0.07634825190867364,Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10385371] | Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | CJ McCollum OVER RA 4.5 (GOBLIN) [id:10381077] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | Tyrese Maxey UNDER PTS 31.5 (STANDARD) [id:10373672],0.02,0.096,0.0007634825190867365,0.11676348251908675,20.22866389368373,"['cam spencer', 'nickeil alexander-walker', 'cj mccollum', 'gg jackson', 'tyrese maxey']",20.345427376202817,1,Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10385371],Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537],CJ McCollum OVER RA 4.5 (GOBLIN) [id:10381077],GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],Tyrese Maxey UNDER PTS 31.5 (STANDARD) [id:10373672],0,
5,Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305] | Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10373579] | CJ McCollum OVER PA 21.5 (STANDARD) [id:10373318] | Jared McCain UNDER PR 12.5 (STANDARD) [id:10380205],0.26486195084714337,20.0,0.4363048595289302,8.726097190578605,2.3112111251784264,20.0,pp_kernel,0.7704276572342766,0.07502472858844776,Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305] | Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10373579] | CJ McCollum OVER PA 21.5 (STANDARD) [id:10373318] | Jared McCain UNDER PR 12.5 (STANDARD) [id:10380205],0.02,0.054,0.0007502472858844777,0.07475024728588447,20.093102658967595,"['jalen duren', 'shai gilgeous-alexander', 'onyeka okongwu', 'cj mccollum', 'jared mccain']",20.16785290625348,1,Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305],Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110],Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10373579],CJ McCollum OVER PA 21.5 (STANDARD) [id:10373318],Jared McCain UNDER PR 12.5 (STANDARD) [id:10380205],0,
5,Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897] | Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10371543] | Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Cody Williams UNDER PTS 7.5 (STANDARD) [id:10375307] | Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765],0.26078023795751054,20.0,0.43669398873079035,8.733879774615808,2.277623245916599,20.0,pp_kernel,0.7718424004399745,0.06807196928794922,Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897] | Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10371543] | Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Cody Williams UNDER PTS 7.5 (STANDARD) [id:10375307] | Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765],0.01,0.096,0.0006807196928794922,0.10668071969287948,19.78580688201291,"['cam spencer', 'ayo dosunmu', 'shai gilgeous-alexander', 'cody williams', 'olivier-maxence prosper']",19.89248760170579,1,Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897],Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10371543],Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110],Cody Williams UNDER PTS 7.5 (STANDARD) [id:10375307],Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765],0,
5,Jalen Duren OVER PRA 24.5 (GOBLIN) [id:10383834] | Zaccharie Risacher OVER PTS 5.5 (GOBLIN) [id:10383905] | Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10377742] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319] | Nickeil Alexander-Walker OVER RA 7 (STANDARD) [id:10385924],0.2004292257006504,20.0,0.4866239824268654,9.732479648537307,1.9506733601036705,20.0,pp_kernel,0.7286153912994353,0.07137005356406004,Jalen Duren OVER PRA 24.5 (GOBLIN) [id:10383834] | Zaccharie Risacher OVER PTS 5.5 (GOBLIN) [id:10383905] | Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10377742] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319] | Nickeil Alexander-Walker OVER RA 7 (STANDARD) [id:10385924],0.05,0.096,0.0007137005356406004,0.14671370053564062,18.838175077617215,"['jalen duren', 'zaccharie risacher', 'duncan robinson', 'cj mccollum', 'nickeil alexander-walker']",18.984888778152857,1,Jalen Duren OVER PRA 24.5 (GOBLIN) [id:10383834],Zaccharie Risacher OVER PTS 5.5 (GOBLIN) [id:10383905],Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10377742],CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],Nickeil Alexander-Walker OVER RA 7 (STANDARD) [id:10385924],0,
5,Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Dyson Daniels OVER REB 4.5 (GOBLIN) [id:10373411] | Walter Clayton UNDER PA 13.5 (STANDARD) [id:10381834] | Onyeka Okongwu OVER RA 10.5 (STANDARD) [id:10373592],0.22166373155817193,20.0,0.45266050320388024,9.053210064077605,2.006768325383439,20.0,pp_kernel,0.7459504968248909,0.07137028237097051,Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Dyson Daniels OVER REB 4.5 (GOBLIN) [id:10373411] | Walter Clayton UNDER PA 13.5 (STANDARD) [id:10381834] | Onyeka Okongwu OVER RA 10.5 (STANDARD) [id:10373592],0.04,0.054,0.0007137028237097051,0.09471370282370971,18.0729814968098,"['isaiah stewart', 'nickeil alexander-walker', 'dyson daniels', 'walter clayton', 'onyeka okongwu']",18.16769519963351,1,Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445],Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537],Dyson Daniels OVER REB 4.5 (GOBLIN) [id:10373411],Walter Clayton UNDER PA 13.5 (STANDARD) [id:10381834],Onyeka Okongwu OVER RA 10.5 (STANDARD) [id:10373592],0,
5,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10383886] | Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126] | Myles Turner OVER PTS 8.5 (STANDARD) [id:10374607] | Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0.2406772666568624,20.0,0.4336108371114794,8.672216742229589,2.0872054213756974,20.0,pp_kernel,0.7595162173777767,0.06680514379901892,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10383886] | Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126] | Myles Turner OVER PTS 8.5 (STANDARD) [id:10374607] | Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0.0,0.096,0.0006680514379901892,0.09666805143799019,18.004029748288694,"['duncan robinson', 'nickeil alexander-walker', 'desmond bane', 'myles turner', 'cason wallace']",18.100697799726685,1,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10383886],Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023],Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126],Myles Turner OVER PTS 8.5 (STANDARD) [id:10374607],Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0,
5,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Jaylen Wells OVER AST 0.5 (GOBLIN) [id:10381568] | Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10382878] | Onyeka Okongwu OVER PR 23.5 (STANDARD) [id:10373578] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],0.18587436165573953,20.0,0.4910244324861056,9.820488649722112,1.825377058914533,20.0,pp_kernel,0.7178050466310524,0.06465592928321329,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Jaylen Wells OVER AST 0.5 (GOBLIN) [id:10381568] | Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10382878] | Onyeka Okongwu OVER PR 23.5 (STANDARD) [id:10373578] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],0.01,0.054,0.0006465592928321329,0.06464655929283214,17.86144812924047,"['myles turner', 'jaylen wells', 'bennedict mathurin', 'onyeka okongwu', 'gg jackson']",17.9260946885333,1,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979],Jaylen Wells OVER AST 0.5 (GOBLIN) [id:10381568],Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10382878],Onyeka Okongwu OVER PR 23.5 (STANDARD) [id:10373578],GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],0,
5,Jaylen Wells OVER PR 11.5 (GOBLIN) [id:10384981] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126] | Donte DiVincenzo OVER REB 2.5 (GOBLIN) [id:10366277] | Duncan Robinson OVER FG3M 2.5 (STANDARD) [id:10376070] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10379282],0.198393207554841,20.0,0.46917873406199073,9.383574681239814,1.8616374793415613,20.0,pp_kernel,0.7273240622864365,0.06379909034173588,Jaylen Wells OVER PR 11.5 (GOBLIN) [id:10384981] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126] | Donte DiVincenzo OVER REB 2.5 (GOBLIN) [id:10366277] | Duncan Robinson OVER FG3M 2.5 (STANDARD) [id:10376070] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10379282],0.0,0.024,0.0006379909034173588,0.02463799090341736,17.444176325893167,"['jaylen wells', 'desmond bane', 'donte divincenzo', 'duncan robinson', 'jaylin williams']",17.468814316796585,1,Jaylen Wells OVER PR 11.5 (GOBLIN) [id:10384981],Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126],Donte DiVincenzo OVER REB 2.5 (GOBLIN) [id:10366277],Duncan Robinson OVER FG3M 2.5 (STANDARD) [id:10376070],Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10379282],0,
