n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10349987] | Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996] | Tim Hardaway OVER PTS 8.5 (GOBLIN) [id:10365410] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],0.4069545520582306,20.0,1.0,20.0,8.139091041164612,20.0,atlas,0.8357433139130531,0.05405444977907391,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10349987] | Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996] | Tim Hardaway OVER PTS 8.5 (GOBLIN) [id:10365410] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],0.01,0.054,0.0005405444977907391,0.06454054449779074,162.71728027879445,"['jabari smith', 'amen thompson', 'tim hardaway', 'ryan kalkbrenner', 'oso ighodaro']",1,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10349987],Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996],Tim Hardaway OVER PTS 8.5 (GOBLIN) [id:10365410],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],0,
5,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10348223] | Aaron Gordon OVER PA 9.5 (GOBLIN) [id:10364570] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10349559] | Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341] | Jabari Smith OVER PA 14.5 (STANDARD) [id:10352707],0.38969233993875846,20.0,1.0,20.0,7.793846798775169,20.0,atlas,0.8308649919006685,0.06403322448605449,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10348223] | Aaron Gordon OVER PA 9.5 (GOBLIN) [id:10364570] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10349559] | Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341] | Jabari Smith OVER PA 14.5 (STANDARD) [id:10352707],0.01,0.054,0.0006403322448605449,0.06464033224486054,155.81229564325852,"['tyler herro', 'aaron gordon', 'amen thompson', 'jayson tatum', 'jabari smith']",1,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10348223],Aaron Gordon OVER PA 9.5 (GOBLIN) [id:10364570],Amen Thompson OVER REB 5.5 (GOBLIN) [id:10349559],Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341],Jabari Smith OVER PA 14.5 (STANDARD) [id:10352707],0,
5,Ayo Dosunmu OVER PTS 8.5 (GOBLIN) [id:10367110] | Kon Knueppel OVER PR 20.5 (GOBLIN) [id:10361157] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10353408] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341],0.38659341047965273,20.0,1.0,20.0,7.731868209593054,20.0,atlas,0.8270996769602142,0.06794203443216025,Ayo Dosunmu OVER PTS 8.5 (GOBLIN) [id:10367110] | Kon Knueppel OVER PR 20.5 (GOBLIN) [id:10361157] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10353408] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341],0.01,0.096,0.0006794203443216025,0.1066794203443216,154.53068477151675,"['ayo dosunmu', 'kon knueppel', 'jabari smith', 'ryan kalkbrenner', 'jayson tatum']",1,Ayo Dosunmu OVER PTS 8.5 (GOBLIN) [id:10367110],Kon Knueppel OVER PR 20.5 (GOBLIN) [id:10361157],Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10353408],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341],0,
5,Neemias Queta OVER PR 11.5 (GOBLIN) [id:10356055] | Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10364453] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10349973] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412],0.3821257684278544,20.0,1.0,20.0,7.642515368557088,20.0,atlas,0.8257507609202139,0.06653750714877607,Neemias Queta OVER PR 11.5 (GOBLIN) [id:10356055] | Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10364453] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10349973] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412],0.0,0.03,0.0006653750714877608,0.03066537507148776,152.81964199607026,"['neemias queta', 'jeremiah fears', 'amen thompson', 'oso ighodaro', 'tim hardaway']",1,Neemias Queta OVER PR 11.5 (GOBLIN) [id:10356055],Jeremiah Fears OVER REB 1.5 (GOBLIN) [id:10364453],Amen Thompson OVER PR 19.5 (GOBLIN) [id:10349973],Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412],0,
5,Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10353226] | Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10345811] | Cooper Flagg OVER REB 3.5 (GOBLIN) [id:10348270] | Jayson Tatum OVER PA 18.5 (STANDARD) [id:10339427] | Oso Ighodaro UNDER RA 11.5 (STANDARD) [id:10351224],0.3798960811830675,20.0,1.0,20.0,7.59792162366135,20.0,atlas,0.824951372051094,0.07298144536714712,Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10353226] | Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10345811] | Cooper Flagg OVER REB 3.5 (GOBLIN) [id:10348270] | Jayson Tatum OVER PA 18.5 (STANDARD) [id:10339427] | Oso Ighodaro UNDER RA 11.5 (STANDARD) [id:10351224],0.0,0.054,0.0007298144536714712,0.05472981445367147,151.9037026587733,"['dejounte murray', 'brandon miller', 'cooper flagg', 'jayson tatum', 'oso ighodaro']",1,Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10353226],Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10345811],Cooper Flagg OVER REB 3.5 (GOBLIN) [id:10348270],Jayson Tatum OVER PA 18.5 (STANDARD) [id:10339427],Oso Ighodaro UNDER RA 11.5 (STANDARD) [id:10351224],0,
5,Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Cameron Johnson OVER RA 3.5 (GOBLIN) [id:10353662] | Devin Booker OVER PA 24.5 (GOBLIN) [id:10353233] | Tim Hardaway OVER PTS 9.5 (STANDARD) [id:10365405] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],0.3761369910256967,20.0,1.0,20.0,7.522739820513934,20.0,atlas,0.8229936488684665,0.06962334953022255,Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Cameron Johnson OVER RA 3.5 (GOBLIN) [id:10353662] | Devin Booker OVER PA 24.5 (GOBLIN) [id:10353233] | Tim Hardaway OVER PTS 9.5 (STANDARD) [id:10365405] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],0.01,0.096,0.0006962334953022254,0.10669623349530222,150.34810017678336,"['jayson tatum', 'cameron johnson', 'devin booker', 'tim hardaway', 'ryan kalkbrenner']",1,Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735],Cameron Johnson OVER RA 3.5 (GOBLIN) [id:10353662],Devin Booker OVER PA 24.5 (GOBLIN) [id:10353233],Tim Hardaway OVER PTS 9.5 (STANDARD) [id:10365405],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],0,
5,Cooper Flagg OVER PTS 11.5 (GOBLIN) [id:10349312] | Coby White OVER PTS 7.5 (GOBLIN) [id:10348862] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10349990] | Oso Ighodaro UNDER RA 11.5 (STANDARD) [id:10351224] | Kon Knueppel OVER PA 22.5 (STANDARD) [id:10345185],0.363111316561291,20.0,1.0,20.0,7.262226331225819,20.0,atlas,0.8193253298183789,0.06758746292878534,Cooper Flagg OVER PTS 11.5 (GOBLIN) [id:10349312] | Coby White OVER PTS 7.5 (GOBLIN) [id:10348862] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10349990] | Oso Ighodaro UNDER RA 11.5 (STANDARD) [id:10351224] | Kon Knueppel OVER PA 22.5 (STANDARD) [id:10345185],0.01,0.096,0.0006758746292878534,0.10667587462928785,145.13785074988712,"['cooper flagg', 'coby white', 'jabari smith', 'oso ighodaro', 'kon knueppel']",1,Cooper Flagg OVER PTS 11.5 (GOBLIN) [id:10349312],Coby White OVER PTS 7.5 (GOBLIN) [id:10348862],Jabari Smith OVER PR 14.5 (GOBLIN) [id:10349990],Oso Ighodaro UNDER RA 11.5 (STANDARD) [id:10351224],Kon Knueppel OVER PA 22.5 (STANDARD) [id:10345185],0,
5,Pascal Siakam OVER AST 1.5 (GOBLIN) [id:10351823] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10351717] | Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412] | Carter Bryant UNDER REB 4 (STANDARD) [id:10365464],0.3453138484279554,20.0,1.0,20.0,6.9062769685591086,20.0,atlas,0.8118001746094305,0.05606203269463356,Pascal Siakam OVER AST 1.5 (GOBLIN) [id:10351823] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10351717] | Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412] | Carter Bryant UNDER REB 4 (STANDARD) [id:10365464],0.0,0.054,0.0005606203269463356,0.054560620326946335,138.07097875085523,"['pascal siakam', ""royce o'neale"", 'dejounte murray', 'tim hardaway', 'carter bryant']",1,Pascal Siakam OVER AST 1.5 (GOBLIN) [id:10351823],Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10351717],Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609],Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412],Carter Bryant UNDER REB 4 (STANDARD) [id:10365464],0,
5,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10363653] | Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609] | Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187] | Jaylen Brown OVER PTS 26.5 (STANDARD) [id:10348318] | Christian Braun OVER PRA 17.5 (STANDARD) [id:10353693],0.32222760862132954,20.0,1.0,20.0,6.444552172426591,20.0,atlas,0.8070948931941819,0.06503344667670022,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10363653] | Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609] | Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187] | Jaylen Brown OVER PTS 26.5 (STANDARD) [id:10348318] | Christian Braun OVER PRA 17.5 (STANDARD) [id:10353693],0.01,0.096,0.0006503344667670022,0.106650334466767,128.78439311406504,"['aaron gordon', 'dejounte murray', 'amen thompson', 'jaylen brown', 'christian braun']",1,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10363653],Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609],Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187],Jaylen Brown OVER PTS 26.5 (STANDARD) [id:10348318],Christian Braun OVER PRA 17.5 (STANDARD) [id:10353693],0,
5,Grant Williams OVER PR 6.5 (GOBLIN) [id:10361090] | Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10363653] | Jeremiah Fears OVER AST 1.5 (GOBLIN) [id:10365866] | Coby White OVER PRA 18.5 (STANDARD) [id:10348864] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],0.3102494690362178,20.0,1.0,20.0,6.204989380724356,20.0,atlas,0.7961004503387752,0.06857799770861074,Grant Williams OVER PR 6.5 (GOBLIN) [id:10361090] | Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10363653] | Jeremiah Fears OVER AST 1.5 (GOBLIN) [id:10365866] | Coby White OVER PRA 18.5 (STANDARD) [id:10348864] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],0.04,0.096,0.0006857799770861074,0.1366857799770861,123.96310183451004,"['grant williams', 'aaron gordon', 'jeremiah fears', 'coby white', 'ryan kalkbrenner']",1,Grant Williams OVER PR 6.5 (GOBLIN) [id:10361090],Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10363653],Jeremiah Fears OVER AST 1.5 (GOBLIN) [id:10365866],Coby White OVER PRA 18.5 (STANDARD) [id:10348864],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],0,
