n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10377113] | CJ McCollum OVER RA 5.5 (GOBLIN) [id:10373330] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549] | Duncan Robinson OVER PTS 10.5 (STANDARD) [id:10377261],0.2773704433714751,20.0,0.462871177130748,9.25742354261496,2.5677356724926432,20.0,pp_kernel,0.7853320488651134,0.07543591125099536,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10377113] | CJ McCollum OVER RA 5.5 (GOBLIN) [id:10373330] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549] | Duncan Robinson OVER PTS 10.5 (STANDARD) [id:10377261],0.01,0.096,0.0007543591125099536,0.10675435911250995,23.663862306633142,"['nickeil alexander-walker', 'shai gilgeous-alexander', 'cj mccollum', 'gg jackson', 'duncan robinson']",23.770616665745653,1,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023],Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10377113],CJ McCollum OVER RA 5.5 (GOBLIN) [id:10373330],GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549],Duncan Robinson OVER PTS 10.5 (STANDARD) [id:10377261],0,
5,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10376067] | Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952] | Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Michael Porter OVER PTS 21 (STANDARD) [id:10376136] | Cason Wallace UNDER AST 3.5 (STANDARD) [id:10377853],0.27694051586311863,20.0,0.44889299328197024,8.977859865639404,2.4863331425369655,20.0,pp_kernel,0.7874064190074221,0.059233617673736784,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10376067] | Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952] | Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Michael Porter OVER PTS 21 (STANDARD) [id:10376136] | Cason Wallace UNDER AST 3.5 (STANDARD) [id:10377853],0.01,0.054,0.0005923361767373679,0.06459233617673737,22.25735819681498,"['duncan robinson', 'shai gilgeous-alexander', 'nickeil alexander-walker', 'michael porter', 'cason wallace']",22.321950532991718,1,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10376067],Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952],Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023],Michael Porter OVER PTS 21 (STANDARD) [id:10376136],Cason Wallace UNDER AST 3.5 (STANDARD) [id:10377853],0,
5,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10383106] | Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10384705] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],0.23816975852891478,20.0,0.4796890615587486,9.593781231174972,2.284948559208178,20.0,pp_kernel,0.758197426673509,0.07352278793875469,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10383106] | Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10384705] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],0.01,0.096,0.0007352278793875469,0.10673522787938755,21.814561373652325,"['shai gilgeous-alexander', 'scotty pippen', 'isaiah stewart', 'gg jackson', 'cj mccollum']",21.92129660153171,1,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10383106],Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10384705],Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445],GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],0,
5,Jaylen Wells OVER RA 2.5 (GOBLIN) [id:10386510] | Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Jalen Duren OVER PRA 30.5 (STANDARD) [id:10376120] | Cam Spencer OVER FG3M 1.5 (STANDARD) [id:10381412],0.22788362100525494,20.0,0.484869769891593,9.69739539783186,2.209877577577619,20.0,pp_kernel,0.75592050916233,0.06968100982752307,Jaylen Wells OVER RA 2.5 (GOBLIN) [id:10386510] | Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Jalen Duren OVER PRA 30.5 (STANDARD) [id:10376120] | Cam Spencer OVER FG3M 1.5 (STANDARD) [id:10381412],0.02,0.054,0.0006968100982752307,0.07469681009827522,21.35535984047475,"['jaylen wells', 'shai gilgeous-alexander', 'isaiah stewart', 'jalen duren', 'cam spencer']",21.430056650573025,1,Jaylen Wells OVER RA 2.5 (GOBLIN) [id:10386510],Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952],Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445],Jalen Duren OVER PRA 30.5 (STANDARD) [id:10376120],Cam Spencer OVER FG3M 1.5 (STANDARD) [id:10381412],0,
5,Michael Porter OVER PTS 17.5 (GOBLIN) [id:10377307] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Duncan Robinson OVER PTS 10.5 (STANDARD) [id:10377261] | Cam Spencer OVER PR 12.5 (STANDARD) [id:10381426],0.24256690488086086,20.0,0.46045703517008985,9.209140703401797,2.2338327570365277,20.0,pp_kernel,0.7586133481361109,0.054604151233597485,Michael Porter OVER PTS 17.5 (GOBLIN) [id:10377307] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Duncan Robinson OVER PTS 10.5 (STANDARD) [id:10377261] | Cam Spencer OVER PR 12.5 (STANDARD) [id:10381426],0.01,0.096,0.0005460415123359749,0.10654604151233597,20.46513412590501,"['michael porter', 'isaiah stewart', 'myles turner', 'duncan robinson', 'cam spencer']",20.571680167417345,1,Michael Porter OVER PTS 17.5 (GOBLIN) [id:10377307],Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445],Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979],Duncan Robinson OVER PTS 10.5 (STANDARD) [id:10377261],Cam Spencer OVER PR 12.5 (STANDARD) [id:10381426],0,
5,Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10377742] | Myles Turner OVER PTS 7.5 (GOBLIN) [id:10378913] | CJ McCollum OVER AST 2.5 (GOBLIN) [id:10373298] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549] | Jalen Duren OVER PR 28.5 (STANDARD) [id:10376119],0.19036919801492028,20.0,0.5103541189418085,10.20708237883617,1.9431140865312662,20.0,pp_kernel,0.7247945627775558,0.07090632263612026,Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10377742] | Myles Turner OVER PTS 7.5 (GOBLIN) [id:10378913] | CJ McCollum OVER AST 2.5 (GOBLIN) [id:10373298] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549] | Jalen Duren OVER PR 28.5 (STANDARD) [id:10376119],0.01,0.096,0.0007090632263612026,0.1067090632263612,19.726816489475265,"['duncan robinson', 'myles turner', 'cj mccollum', 'gg jackson', 'jalen duren']",19.833525552701627,1,Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10377742],Myles Turner OVER PTS 7.5 (GOBLIN) [id:10378913],CJ McCollum OVER AST 2.5 (GOBLIN) [id:10373298],GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549],Jalen Duren OVER PR 28.5 (STANDARD) [id:10376119],0,
5,Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10373579] | Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Nickeil Alexander-Walker OVER PTS 15.5 (GOBLIN) [id:10373530] | Jalen Duren OVER PRA 30.5 (STANDARD) [id:10376120] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],0.19824425756875566,20.0,0.48994002421774097,9.79880048435482,1.9425559270852846,20.0,pp_kernel,0.727938463962835,0.06611398748152761,Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10373579] | Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Nickeil Alexander-Walker OVER PTS 15.5 (GOBLIN) [id:10373530] | Jalen Duren OVER PRA 30.5 (STANDARD) [id:10376120] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],0.04,0.096,0.0006611398748152761,0.1366611398748153,18.898056819334798,"['onyeka okongwu', 'myles turner', 'nickeil alexander-walker', 'jalen duren', 'cj mccollum']",19.034717959209612,1,Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10373579],Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979],Nickeil Alexander-Walker OVER PTS 15.5 (GOBLIN) [id:10373530],Jalen Duren OVER PRA 30.5 (STANDARD) [id:10376120],CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],0,
5,Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10381081] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126] | Cam Spencer OVER PR 9.5 (GOBLIN) [id:10385370] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0.1802529577667502,20.0,0.509791323990693,10.19582647981386,1.8378278798630012,20.0,pp_kernel,0.7152130457021775,0.0775061049581085,Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10381081] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126] | Cam Spencer OVER PR 9.5 (GOBLIN) [id:10385370] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0.01,0.096,0.0007750610495810851,0.10677506104958108,18.631399101797772,"['onyeka okongwu', 'desmond bane', 'cam spencer', 'gg jackson', 'cason wallace']",18.738174162847354,1,Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10381081],Desmond Bane OVER AST 2.5 (GOBLIN) [id:10366126],Cam Spencer OVER PR 9.5 (GOBLIN) [id:10385370],GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],Cason Wallace UNDER RA 7.5 (STANDARD) [id:10369526],0,
5,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Darius Garland OVER PA 14.5 (GOBLIN) [id:10383478] | Zaccharie Risacher OVER PTS 5.5 (GOBLIN) [id:10383905] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10379282] | Al Horford UNDER PRA 19.5 (STANDARD) [id:10369461],0.2391405570447597,20.0,0.4350618038892287,8.701236077784575,2.080818442619363,20.0,pp_kernel,0.7597667396068061,0.07769057303031905,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Darius Garland OVER PA 14.5 (GOBLIN) [id:10383478] | Zaccharie Risacher OVER PTS 5.5 (GOBLIN) [id:10383905] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10379282] | Al Horford UNDER PRA 19.5 (STANDARD) [id:10369461],0.01,0.096,0.0007769057303031906,0.10677690573030318,17.998915598508816,"['nickeil alexander-walker', 'darius garland', 'zaccharie risacher', 'jaylin williams', 'al horford']",18.10569250423912,1,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023],Darius Garland OVER PA 14.5 (GOBLIN) [id:10383478],Zaccharie Risacher OVER PTS 5.5 (GOBLIN) [id:10383905],Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10379282],Al Horford UNDER PRA 19.5 (STANDARD) [id:10369461],0,
5,Day'Ron Sharpe OVER PTS 5.5 (GOBLIN) [id:10384234] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Zaccharie Risacher OVER PA 7.5 (GOBLIN) [id:10384509] | Jalen Duren UNDER RA 12 (STANDARD) [id:10376125] | Isaiah Joe OVER PA 12.5 (STANDARD) [id:10369653],0.08375754735889179,20.0,0.7382933410484016,14.765866820968032,1.236752789552319,20.0,pp_kernel,0.630941794787462,0.06981880059870513,Day'Ron Sharpe OVER PTS 5.5 (GOBLIN) [id:10384234] | Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445] | Zaccharie Risacher OVER PA 7.5 (GOBLIN) [id:10384509] | Jalen Duren UNDER RA 12 (STANDARD) [id:10376125] | Isaiah Joe OVER PA 12.5 (STANDARD) [id:10369653],0.01,0.096,0.0006981880059870513,0.10669818800598704,18.15502879298426,"[""day'ron sharpe"", 'isaiah stewart', 'zaccharie risacher', 'jalen duren', 'isaiah joe']",18.261726980990247,1,Day'Ron Sharpe OVER PTS 5.5 (GOBLIN) [id:10384234],Isaiah Stewart OVER PR 9.5 (GOBLIN) [id:10384445],Zaccharie Risacher OVER PA 7.5 (GOBLIN) [id:10384509],Jalen Duren UNDER RA 12 (STANDARD) [id:10376125],Isaiah Joe OVER PA 12.5 (STANDARD) [id:10369653],0,
