n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Russell Westbrook OVER REB 4.5 (DEMON) [id:10400768],0.31328867429511786,20.0,1.0,20.0,6.265773485902358,20.0,atlas,0.8010723749061549,0.04569324394564779,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Russell Westbrook OVER REB 4.5 (DEMON) [id:10400768],0.01,0.024,0.0004569324394564779,0.03445693243945648,125.28101278560769,"['miles bridges', 'jayson tatum', 'nique clifford', 'tristan silva', 'russell westbrook']",1,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693],Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675],Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Russell Westbrook OVER REB 4.5 (DEMON) [id:10400768],0,
5,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10400491] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10400572] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Mikal Bridges OVER REB 3.5 (DEMON) [id:10401400],0.304966019893129,20.0,1.0,20.0,6.09932039786258,20.0,atlas,0.8065570481918902,0.050144930884470605,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10400491] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10400572] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Mikal Bridges OVER REB 3.5 (DEMON) [id:10401400],0.0,0.012,0.000501449308844706,0.012501449308844706,121.97390650794276,"['jayson tatum', 'russell westbrook', 'guerschon yabusele', 'tristan silva', 'mikal bridges']",1,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818],Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10400491],Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10400572],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Mikal Bridges OVER REB 3.5 (DEMON) [id:10401400],0,
5,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:10410045] | Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Devin Booker OVER PRA 33.5 (STANDARD) [id:10397231] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.2992378502639889,20.0,1.0,20.0,5.9847570052797785,20.0,atlas,0.7959794955597884,0.06018421850550284,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:10410045] | Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Devin Booker OVER PRA 33.5 (STANDARD) [id:10397231] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.01,0.054,0.0006018421850550284,0.06460184218505503,119.63053826341051,"['donovan clingan', 'collin gillespie', 'devin booker', 'tristan silva', 'ryan kalkbrenner']",1,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:10410045],Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689],Devin Booker OVER PRA 33.5 (STANDARD) [id:10397231],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0,
5,DeMar DeRozan OVER PTS 11.5 (GOBLIN) [id:10401387] | Jayson Tatum OVER PR 19.5 (GOBLIN) [id:10397821] | Myles Turner OVER PTS 8.5 (STANDARD) [id:10404003] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.28910889321404043,20.0,1.0,20.0,5.782177864280809,20.0,atlas,0.7892454466166161,0.05752137572859937,DeMar DeRozan OVER PTS 11.5 (GOBLIN) [id:10401387] | Jayson Tatum OVER PR 19.5 (GOBLIN) [id:10397821] | Myles Turner OVER PTS 8.5 (STANDARD) [id:10404003] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.0,0.054,0.0005752137572859937,0.054575213757285995,115.58898207185888,"['demar derozan', 'jayson tatum', 'myles turner', 'tristan silva', 'coby white']",1,DeMar DeRozan OVER PTS 11.5 (GOBLIN) [id:10401387],Jayson Tatum OVER PR 19.5 (GOBLIN) [id:10397821],Myles Turner OVER PTS 8.5 (STANDARD) [id:10404003],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Coby White OVER PA 16.5 (DEMON) [id:10410050],0,
5,Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0.28351977649710025,20.0,1.0,20.0,5.670395529942005,20.0,atlas,0.7860314648403577,0.06645973941147534,Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0.01,0.096,0.0006645973941147535,0.10666459739411475,113.30124600144599,"['andrew wiggins', 'jayson tatum', 'nique clifford', 'guerschon yabusele', 'russell westbrook']",1,Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887],Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818],Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229],Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469],Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0,
5,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Russell Westbrook OVER PRA 22.5 (GOBLIN) [id:10400990] | Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0.2800138013484267,20.0,1.0,20.0,5.600276026968533,20.0,atlas,0.7808372241781989,0.06885000993333218,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Russell Westbrook OVER PRA 22.5 (GOBLIN) [id:10400990] | Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0.04,0.096,0.0006885000993333218,0.13668850009933334,111.86883203927134,"['jaime jaquez', 'russell westbrook', 'precious achiuwa', 'nique clifford', 'ryan kalkbrenner']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906],Russell Westbrook OVER PRA 22.5 (GOBLIN) [id:10400990],Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238],Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0,
5,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10407511] | Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Myles Turner OVER PR 14.5 (DEMON) [id:10408984],0.26786272109059706,20.0,1.0,20.0,5.357254421811941,20.0,atlas,0.7785063310574667,0.07237180054668513,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10407511] | Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Myles Turner OVER PR 14.5 (DEMON) [id:10408984],0.01,0.096,0.0007237180054668513,0.10672371800546684,107.03836471823335,"['bam adebayo', 'andrew wiggins', 'nique clifford', 'guerschon yabusele', 'myles turner']",1,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10407511],Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887],Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Myles Turner OVER PR 14.5 (DEMON) [id:10408984],0,
5,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10407371] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0.2621390308103361,20.0,1.0,20.0,5.242780616206723,20.0,atlas,0.7746281139475789,0.059430394674720076,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10407371] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0.0,0.096,0.0005943039467472007,0.0965943039467472,104.75901802018771,"['collin gillespie', 'davion mitchell', 'guerschon yabusele', 'precious achiuwa', 'dennis schröder']",1,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689],Davion Mitchell OVER PA 9.5 (GOBLIN) [id:10407371],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235],Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0,
5,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | Andrew Wiggins OVER PR 14.5 (GOBLIN) [id:10407345] | Ryan Kalkbrenner OVER PTS 4.5 (STANDARD) [id:10396932] | DeMar DeRozan OVER PRA 21.5 (STANDARD) [id:10400215] | Trae Young OVER AST 6.5 (DEMON) [id:10399271],0.23166487787954823,20.0,1.0,20.0,4.633297557590964,20.0,atlas,0.7527215669774849,0.0680707518694043,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | Andrew Wiggins OVER PR 14.5 (GOBLIN) [id:10407345] | Ryan Kalkbrenner OVER PTS 4.5 (STANDARD) [id:10396932] | DeMar DeRozan OVER PRA 21.5 (STANDARD) [id:10400215] | Trae Young OVER AST 6.5 (DEMON) [id:10399271],0.0,0.096,0.000680707518694043,0.09668070751869405,92.56927044430059,"['collin gillespie', 'andrew wiggins', 'ryan kalkbrenner', 'demar derozan', 'trae young']",1,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777],Andrew Wiggins OVER PR 14.5 (GOBLIN) [id:10407345],Ryan Kalkbrenner OVER PTS 4.5 (STANDARD) [id:10396932],DeMar DeRozan OVER PRA 21.5 (STANDARD) [id:10400215],Trae Young OVER AST 6.5 (DEMON) [id:10399271],0,
5,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920] | Grayson Allen OVER PA 22.5 (DEMON) [id:10412414],0.21887621930324097,20.0,1.0,20.0,4.377524386064819,20.0,atlas,0.7485432903251394,0.06003707989611261,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920] | Grayson Allen OVER PA 22.5 (DEMON) [id:10412414],0.0,0.096,0.0006003707989611261,0.09660037079896112,87.45388735049742,"['miles bridges', 'andrew wiggins', 'precious achiuwa', 'ousmane dieng', 'grayson allen']",1,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693],Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887],Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235],Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920],Grayson Allen OVER PA 22.5 (DEMON) [id:10412414],0,
