n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Cody Williams UNDER REB 4 (STANDARD) [id:10431522] | Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0.28086729278959294,10.0,1.0,10.0,2.8086729278959295,10.0,atlas,0.7438057494910747,0.05783280784927554,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Cody Williams UNDER REB 4 (STANDARD) [id:10431522] | Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0.0,0.024,0.0005783280784927554,0.024578328078492757,28.0621509508808,"['shai gilgeous-alexander', 'jabari walker', 'cody williams', 'jamal murray']",1,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],Cody Williams UNDER REB 4 (STANDARD) [id:10431522],Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0,
4,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695] | Jabari Walker UNDER PR 15.5 (STANDARD) [id:10430269] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.2771895174835018,10.0,1.0,10.0,2.771895174835018,10.0,atlas,0.727494056822657,0.09690381010408836,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695] | Jabari Walker UNDER PR 15.5 (STANDARD) [id:10430269] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.0,0.054,0.0009690381010408835,0.05496903810104088,27.663982710249137,"['aaron gordon', 'gui santos', 'jabari walker', 'shai gilgeous-alexander']",1,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627],Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695],Jabari Walker UNDER PR 15.5 (STANDARD) [id:10430269],Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0,
4,Evan Mobley OVER PA 14.5 (GOBLIN) [id:10428651] | Adem Bona UNDER RA 8 (STANDARD) [id:10425061] | Cody Williams UNDER REB 4 (STANDARD) [id:10431522] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.27480534247187216,10.0,1.0,10.0,2.7480534247187216,10.0,atlas,0.7257984945363514,0.07835266552205443,Evan Mobley OVER PA 14.5 (GOBLIN) [id:10428651] | Adem Bona UNDER RA 8 (STANDARD) [id:10425061] | Cody Williams UNDER REB 4 (STANDARD) [id:10431522] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.0,0.024,0.0007835266552205443,0.024783526655220545,27.455750720531995,"['evan mobley', 'adem bona', 'cody williams', 'shai gilgeous-alexander']",1,Evan Mobley OVER PA 14.5 (GOBLIN) [id:10428651],Adem Bona UNDER RA 8 (STANDARD) [id:10425061],Cody Williams UNDER REB 4 (STANDARD) [id:10431522],Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0,
4,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288] | Jaylon Tyson OVER RA 6.5 (DEMON) [id:10432387],0.27097272754511026,10.0,1.0,10.0,2.709727275451103,10.0,atlas,0.73347879183061,0.06437226422545385,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288] | Jaylon Tyson OVER RA 6.5 (DEMON) [id:10432387],0.0,0.054,0.0006437226422545385,0.05464372264225454,27.04262903186877,"['shai gilgeous-alexander', 'john konchar', 'gg jackson', 'jaylon tyson']",1,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514],John Konchar UNDER RA 8.5 (STANDARD) [id:10436140],GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288],Jaylon Tyson OVER RA 6.5 (DEMON) [id:10432387],0,
4,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0.2677715210516587,10.0,1.0,10.0,2.677715210516587,10.0,atlas,0.7316793325904988,0.060562719638730125,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0.01,0.054,0.0006056271963873012,0.06460562719638731,26.712546477969482,"['darius garland', 'quentin grimes', 'jabari walker', 'jamal murray']",1,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0,
4,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Darius Garland OVER PA 22.5 (DEMON) [id:10429564],0.26502641487913414,10.0,1.0,10.0,2.6502641487913414,10.0,atlas,0.7290383893213214,0.05866959595702588,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Darius Garland OVER PA 22.5 (DEMON) [id:10429564],0.02,0.054,0.0005866959595702588,0.07458669595957025,26.428054791953844,"['bennedict mathurin', 'quentin grimes', 'jabari walker', 'darius garland']",1,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825],Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],Darius Garland OVER PA 22.5 (DEMON) [id:10429564],0,
4,Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114] | James Harden OVER PTS 23.5 (DEMON) [id:10429037],0.23720409077333315,10.0,1.0,10.0,2.3720409077333313,10.0,atlas,0.7105663101138254,0.055025789020907594,Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114] | James Harden OVER PTS 23.5 (DEMON) [id:10429037],0.0,0.054,0.0005502578902090759,0.05455025789020908,23.665858819443105,"['darius garland', 'gui santos', 'quentin grimes', 'james harden']",1,Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227],Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692],Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],James Harden OVER PTS 23.5 (DEMON) [id:10429037],0,
4,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | Aaron Gordon OVER REB 5.5 (DEMON) [id:10427258],0.23144455850814033,10.0,1.0,10.0,2.3144455850814034,10.0,atlas,0.7065883343110111,0.060108975585343914,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | Aaron Gordon OVER REB 5.5 (DEMON) [id:10427258],0.0,0.024,0.0006010897558534392,0.02460108975585344,23.11985476105818,"['darius garland', 'kelly oubre', 'john konchar', 'aaron gordon']",1,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095],John Konchar UNDER RA 8.5 (STANDARD) [id:10436140],Aaron Gordon OVER REB 5.5 (DEMON) [id:10427258],0,
4,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10427647] | Cody Williams UNDER REB 4 (STANDARD) [id:10431522] | Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.2304714140767802,10.0,1.0,10.0,2.304714140767802,10.0,atlas,0.698883001364389,0.06020217125689577,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10427647] | Cody Williams UNDER REB 4 (STANDARD) [id:10431522] | Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.01,0.012,0.0006020217125689577,0.022602021712568955,23.02453938596545,"['jonas valančiūnas', 'cody williams', 'olivier-maxence prosper', 'aaron gordon']",1,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10427647],Cody Williams UNDER REB 4 (STANDARD) [id:10431522],Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381],Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0,
4,Josh Hart OVER PRA 17.5 (GOBLIN) [id:10436043] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Gui Santos UNDER REB 6.5 (STANDARD) [id:10429125] | Aaron Gordon OVER PTS 14.5 (DEMON) [id:10427250],0.22829636785749952,10.0,1.0,10.0,2.282963678574995,10.0,atlas,0.6971754920833002,0.0776756735258662,Josh Hart OVER PRA 17.5 (GOBLIN) [id:10436043] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Gui Santos UNDER REB 6.5 (STANDARD) [id:10429125] | Aaron Gordon OVER PTS 14.5 (DEMON) [id:10427250],0.0,0.024,0.000776756735258662,0.024776756735258663,22.80486002901469,"['josh hart', 'gg jackson', 'gui santos', 'aaron gordon']",1,Josh Hart OVER PRA 17.5 (GOBLIN) [id:10436043],GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],Gui Santos UNDER REB 6.5 (STANDARD) [id:10429125],Aaron Gordon OVER PTS 14.5 (DEMON) [id:10427250],0,
