n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10140372] | Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280] | Paolo Banchero OVER REB 5.5 (GOBLIN) [id:10143699] | Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273] | Mouhamed Gueye UNDER PA 8.5 (STANDARD) [id:10163057],0.5298294481055208,20.0,1.0,20.0,10.596588962110417,20.0,atlas,0.8818245775422457,0.07422621509023788,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10140372] | Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280] | Paolo Banchero OVER REB 5.5 (GOBLIN) [id:10143699] | Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273] | Mouhamed Gueye UNDER PA 8.5 (STANDARD) [id:10163057],0.02,0.054,0.0007422621509023789,0.07474226215090238,211.85703698005742,"['josh giddey', 'wendell carter', 'paolo banchero', 'guerschon yabusele', 'mouhamed gueye']",1,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10140372],Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280],Paolo Banchero OVER REB 5.5 (GOBLIN) [id:10143699],Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273],Mouhamed Gueye UNDER PA 8.5 (STANDARD) [id:10163057],0,
5,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835] | Josh Giddey OVER RA 10.5 (GOBLIN) [id:10140372] | Khris Middleton UNDER PTS 14.5 (STANDARD) [id:10147850] | Tristan Vukcevic UNDER REB 5.5 (STANDARD) [id:10161263],0.5237588153203058,20.0,1.0,20.0,10.475176306406116,20.0,atlas,0.8807048852095789,0.06718086219335516,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835] | Josh Giddey OVER RA 10.5 (GOBLIN) [id:10140372] | Khris Middleton UNDER PTS 14.5 (STANDARD) [id:10147850] | Tristan Vukcevic UNDER REB 5.5 (STANDARD) [id:10161263],0.0,0.054,0.0006718086219335516,0.05467180862193355,209.44885431950036,"['wendell carter', 'kon knueppel', 'josh giddey', 'khris middleton', 'tristan vukcevic']",1,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071],Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835],Josh Giddey OVER RA 10.5 (GOBLIN) [id:10140372],Khris Middleton UNDER PTS 14.5 (STANDARD) [id:10147850],Tristan Vukcevic UNDER REB 5.5 (STANDARD) [id:10161263],0,
5,Nickeil Alexander-Walker OVER PTS 14.5 (GOBLIN) [id:10137799] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:10162674] | Josh Giddey OVER RA 12.5 (STANDARD) [id:10139333] | Rob Dillingham UNDER PR 13.5 (STANDARD) [id:10165579],0.51554930950903,20.0,1.0,20.0,10.3109861901806,20.0,atlas,0.8774265454632157,0.07067988867987902,Nickeil Alexander-Walker OVER PTS 14.5 (GOBLIN) [id:10137799] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:10162674] | Josh Giddey OVER RA 12.5 (STANDARD) [id:10139333] | Rob Dillingham UNDER PR 13.5 (STANDARD) [id:10165579],0.01,0.096,0.0007067988867987902,0.10670679888679879,206.1130170047252,"['nickeil alexander-walker', 'andrew nembhard', 'ayo dosunmu', 'josh giddey', 'rob dillingham']",1,Nickeil Alexander-Walker OVER PTS 14.5 (GOBLIN) [id:10137799],Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855],Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:10162674],Josh Giddey OVER RA 12.5 (STANDARD) [id:10139333],Rob Dillingham UNDER PR 13.5 (STANDARD) [id:10165579],0,
5,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10139277] | Josh Giddey OVER AST 6 (STANDARD) [id:10151845],0.5151666900765184,20.0,1.0,20.0,10.303333801530368,20.0,atlas,0.8767983801619839,0.06424538828910269,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10139277] | Josh Giddey OVER AST 6 (STANDARD) [id:10151845],0.02,0.054,0.0006424538828910269,0.07464245388289102,205.99203357672448,"['ryan kalkbrenner', 'wendell carter', 'paolo banchero', 'guerschon yabusele', 'josh giddey']",1,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200],Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071],Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279],Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10139277],Josh Giddey OVER AST 6 (STANDARD) [id:10151845],0,
5,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10141246] | Desmond Bane OVER PA 21.5 (GOBLIN) [id:10147299] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Guerschon Yabusele UNDER RA 8.5 (STANDARD) [id:10139278],0.4735656210107323,20.0,1.0,20.0,9.471312420214646,20.0,atlas,0.8625869534137806,0.07933823292039546,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10141246] | Desmond Bane OVER PA 21.5 (GOBLIN) [id:10147299] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Guerschon Yabusele UNDER RA 8.5 (STANDARD) [id:10139278],0.0,0.096,0.0007933823292039546,0.09679338232920395,189.32945502196372,"['kon knueppel', 'desmond bane', 'andrew nembhard', 'yanic niederhäuser', 'guerschon yabusele']",1,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10141246],Desmond Bane OVER PA 21.5 (GOBLIN) [id:10147299],Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855],Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],Guerschon Yabusele UNDER RA 8.5 (STANDARD) [id:10139278],0,
5,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723] | Paolo Banchero OVER PTS 17.5 (GOBLIN) [id:10146732] | Desmond Bane OVER PR 18.5 (GOBLIN) [id:10162264] | Guerschon Yabusele UNDER PRA 20.5 (STANDARD) [id:10139275] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],0.4721419470974591,20.0,1.0,20.0,9.442838941949182,20.0,atlas,0.861383513757746,0.07142166977497214,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723] | Paolo Banchero OVER PTS 17.5 (GOBLIN) [id:10146732] | Desmond Bane OVER PR 18.5 (GOBLIN) [id:10162264] | Guerschon Yabusele UNDER PRA 20.5 (STANDARD) [id:10139275] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],0.02,0.096,0.0007142166977497213,0.11671421669774973,188.7400646222859,"['tre jones', 'paolo banchero', 'desmond bane', 'guerschon yabusele', 'yanic niederhäuser']",1,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723],Paolo Banchero OVER PTS 17.5 (GOBLIN) [id:10146732],Desmond Bane OVER PR 18.5 (GOBLIN) [id:10162264],Guerschon Yabusele UNDER PRA 20.5 (STANDARD) [id:10139275],Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],0,
5,Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10141201] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10141243] | Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262] | John Konchar UNDER PRA 15.5 (STANDARD) [id:10156493] | Khris Middleton UNDER PA 18.5 (STANDARD) [id:10147851],0.46999884833888766,20.0,1.0,20.0,9.399976966777754,20.0,atlas,0.8609694321346062,0.07961422271316163,Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10141201] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10141243] | Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262] | John Konchar UNDER PRA 15.5 (STANDARD) [id:10156493] | Khris Middleton UNDER PA 18.5 (STANDARD) [id:10147851],0.0,0.096,0.0007961422271316163,0.09679614222713162,187.90274319332792,"['andrew nembhard', 'kon knueppel', 'desmond bane', 'john konchar', 'khris middleton']",1,Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10141201],Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10141243],Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262],John Konchar UNDER PRA 15.5 (STANDARD) [id:10156493],Khris Middleton UNDER PA 18.5 (STANDARD) [id:10147851],0,
5,Day'Ron Sharpe OVER REB 3.5 (GOBLIN) [id:10163082] | Anthony Black OVER RA 5.5 (GOBLIN) [id:10162261] | Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Mouhamed Gueye UNDER PA 8.5 (STANDARD) [id:10163057],0.469260231953687,20.0,1.0,20.0,9.38520463907374,20.0,atlas,0.8607173018561338,0.07298331479751338,Day'Ron Sharpe OVER REB 3.5 (GOBLIN) [id:10163082] | Anthony Black OVER RA 5.5 (GOBLIN) [id:10162261] | Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Mouhamed Gueye UNDER PA 8.5 (STANDARD) [id:10163057],0.0,0.054,0.0007298331479751338,0.05472983314797513,187.64936294832683,"[""day'ron sharpe"", 'anthony black', 'andrew nembhard', 'yanic niederhäuser', 'mouhamed gueye']",1,Day'Ron Sharpe OVER REB 3.5 (GOBLIN) [id:10163082],Anthony Black OVER RA 5.5 (GOBLIN) [id:10162261],Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854],Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],Mouhamed Gueye UNDER PA 8.5 (STANDARD) [id:10163057],0,
5,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848] | Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Derrick Jones UNDER REB 4.5 (STANDARD) [id:10151823] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],0.4595871240943553,20.0,1.0,20.0,9.191742481887106,20.0,atlas,0.8579074761712093,0.06809258045605135,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848] | Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Derrick Jones UNDER REB 4.5 (STANDARD) [id:10151823] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],0.02,0.054,0.0006809258045605135,0.07468092580456051,183.76016871193758,"['grant williams', 'desmond bane', 'wendell carter', 'derrick jones', 'yanic niederhäuser']",1,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848],Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262],Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071],Derrick Jones UNDER REB 4.5 (STANDARD) [id:10151823],Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],0,
5,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10160132] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | CJ McCollum OVER AST 2.5 (GOBLIN) [id:10151692] | Rob Dillingham UNDER REB 3.5 (STANDARD) [id:10165587] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10139903],0.4186092170980214,20.0,1.0,20.0,8.372184341960429,20.0,atlas,0.8411139089852832,0.06580733696122501,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10160132] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | CJ McCollum OVER AST 2.5 (GOBLIN) [id:10151692] | Rob Dillingham UNDER REB 3.5 (STANDARD) [id:10165587] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10139903],0.0,0.054,0.0006580733696122501,0.05465807336961225,167.38902876583896,"['dejounte murray', 'paolo banchero', 'cj mccollum', 'rob dillingham', 'jarace walker']",1,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10160132],Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279],CJ McCollum OVER AST 2.5 (GOBLIN) [id:10151692],Rob Dillingham UNDER REB 3.5 (STANDARD) [id:10165587],Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10139903],0,
