n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ausar Thompson OVER PR 11.5 (GOBLIN) [id:10175018] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788] | Baylor Scheierman UNDER PR 11.5 (STANDARD) [id:10172076] | Caleb Martin UNDER PR 12.5 (STANDARD) [id:10178727] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.290806649399406,20.0,1.0,20.0,5.816132987988119,20.0,atlas,0.7834424932664896,0.07575482177730171,Ausar Thompson OVER PR 11.5 (GOBLIN) [id:10175018] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788] | Baylor Scheierman UNDER PR 11.5 (STANDARD) [id:10172076] | Caleb Martin UNDER PR 12.5 (STANDARD) [id:10178727] | Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0.01,0.054,0.0007575482177730171,0.06475754821777302,116.25790221154462,"['ausar thompson', 'duncan robinson', 'baylor scheierman', 'caleb martin', 'evan mobley']",1,Ausar Thompson OVER PR 11.5 (GOBLIN) [id:10175018],Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788],Baylor Scheierman UNDER PR 11.5 (STANDARD) [id:10172076],Caleb Martin UNDER PR 12.5 (STANDARD) [id:10178727],Evan Mobley OVER PRA 26.5 (DEMON) [id:10173664],0,
5,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10174216] | Ausar Thompson OVER AST 1.5 (GOBLIN) [id:10171762] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Evan Mobley OVER PA 17.5 (STANDARD) [id:10170924] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.2696863394750193,20.0,1.0,20.0,5.393726789500386,20.0,atlas,0.7755045559720836,0.0572582458957208,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10174216] | Ausar Thompson OVER AST 1.5 (GOBLIN) [id:10171762] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Evan Mobley OVER PA 17.5 (STANDARD) [id:10170924] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.01,0.096,0.000572582458957208,0.1065725824589572,107.76796320754876,"['jonas valančiūnas', 'ausar thompson', 'caleb martin', 'evan mobley', 'jaylon tyson']",1,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10174216],Ausar Thompson OVER AST 1.5 (GOBLIN) [id:10171762],Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],Evan Mobley OVER PA 17.5 (STANDARD) [id:10170924],Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0,
5,Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905] | Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10174216] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725] | Naji Marshall UNDER PRA 29.5 (STANDARD) [id:10175390] | Evan Mobley OVER PA 19.5 (DEMON) [id:10173656],0.26616796748391996,20.0,1.0,20.0,5.323359349678399,20.0,atlas,0.7689334134855222,0.06858414223519863,Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905] | Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10174216] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725] | Naji Marshall UNDER PRA 29.5 (STANDARD) [id:10175390] | Evan Mobley OVER PA 19.5 (DEMON) [id:10173656],0.01,0.096,0.0006858414223519863,0.10668584142235199,106.36050115214564,"['scotty pippen', 'jonas valančiūnas', 'caleb martin', 'naji marshall', 'evan mobley']",1,Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905],Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10174216],Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725],Naji Marshall UNDER PRA 29.5 (STANDARD) [id:10175390],Evan Mobley OVER PA 19.5 (DEMON) [id:10173656],0,
5,Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Evan Mobley OVER PRA 19.5 (GOBLIN) [id:10173666] | GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822] | Julian Strawther UNDER AST 1.5 (STANDARD) [id:10172716] | Bobby Portis OVER PR 16.5 (DEMON) [id:10179030],0.2616436517030766,20.0,1.0,20.0,5.232873034061532,20.0,atlas,0.7758988814484714,0.07457452776481781,Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Evan Mobley OVER PRA 19.5 (GOBLIN) [id:10173666] | GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822] | Julian Strawther UNDER AST 1.5 (STANDARD) [id:10172716] | Bobby Portis OVER PR 16.5 (DEMON) [id:10179030],0.0,0.096,0.0007457452776481781,0.09674574527764818,104.56071493595299,"['cade cunningham', 'evan mobley', 'gg jackson', 'julian strawther', 'bobby portis']",1,Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218],Evan Mobley OVER PRA 19.5 (GOBLIN) [id:10173666],GG Jackson UNDER PA 18.5 (STANDARD) [id:10175822],Julian Strawther UNDER AST 1.5 (STANDARD) [id:10172716],Bobby Portis OVER PR 16.5 (DEMON) [id:10179030],0,
5,Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10173446] | Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10177829] | Tim Hardaway OVER PR 14.5 (DEMON) [id:10179871],0.22562454538185533,20.0,1.0,20.0,4.5124909076371065,20.0,atlas,0.7501518442142832,0.055382818562824475,Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10173446] | Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10177829] | Tim Hardaway OVER PR 14.5 (DEMON) [id:10179871],0.0,0.054,0.0005538281856282448,0.05455382818562825,90.1952643245565,"['ausar thompson', 'scotty pippen', 'caleb martin', 'baylor scheierman', 'tim hardaway']",1,Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10173446],Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905],Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10177829],Tim Hardaway OVER PR 14.5 (DEMON) [id:10179871],0,
5,Sam Merrill OVER PR 9.5 (GOBLIN) [id:10173889] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Julian Strawther UNDER FG3M 1.5 (STANDARD) [id:10172714] | Jericho Sims UNDER PR 11.5 (STANDARD) [id:10180498] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.1907281345213714,20.0,1.0,20.0,3.814562690427428,20.0,atlas,0.7238582757214252,0.07006965093707111,Sam Merrill OVER PR 9.5 (GOBLIN) [id:10173889] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Julian Strawther UNDER FG3M 1.5 (STANDARD) [id:10172714] | Jericho Sims UNDER PR 11.5 (STANDARD) [id:10180498] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.01,0.054,0.0007006965093707111,0.06470069650937071,76.22655311203918,"['sam merrill', 'cam spencer', 'julian strawther', 'jericho sims', 'jaylon tyson']",1,Sam Merrill OVER PR 9.5 (GOBLIN) [id:10173889],Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397],Julian Strawther UNDER FG3M 1.5 (STANDARD) [id:10172714],Jericho Sims UNDER PR 11.5 (STANDARD) [id:10180498],Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0,
5,James Harden OVER REB 2.5 (GOBLIN) [id:10173733] | Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10169993] | Max Christie UNDER PTS 15.5 (STANDARD) [id:10175374] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.18969754068915692,20.0,1.0,20.0,3.7939508137831384,20.0,atlas,0.7230974567250928,0.06819824223602453,James Harden OVER REB 2.5 (GOBLIN) [id:10173733] | Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10169993] | Max Christie UNDER PTS 15.5 (STANDARD) [id:10175374] | Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0.01,0.054,0.0006819824223602452,0.06468198242236024,75.8143342932404,"['james harden', 'duncan robinson', 'julian strawther', 'max christie', 'jaylon tyson']",1,James Harden OVER REB 2.5 (GOBLIN) [id:10173733],Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219],Julian Strawther UNDER PR 13.5 (STANDARD) [id:10169993],Max Christie UNDER PTS 15.5 (STANDARD) [id:10175374],Jaylon Tyson OVER RA 7.5 (DEMON) [id:10173815],0,
5,James Harden OVER AST 5.5 (GOBLIN) [id:10170936] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10171333] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818] | Cam Spencer OVER AST 4.5 (STANDARD) [id:10175749] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0.18940996150362618,20.0,1.0,20.0,3.788199230072524,20.0,atlas,0.7219059016781981,0.04809040779916924,James Harden OVER AST 5.5 (GOBLIN) [id:10170936] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10171333] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818] | Cam Spencer OVER AST 4.5 (STANDARD) [id:10175749] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0.01,0.03,0.0004809040779916924,0.040480904077991695,75.72350369737248,"['james harden', 'shai gilgeous-alexander', 'gg jackson', 'cam spencer', 'bobby portis']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10170936],Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10171333],GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818],Cam Spencer OVER AST 4.5 (STANDARD) [id:10175749],Bobby Portis OVER FG3M 1.5 (DEMON) [id:10166298],0,
5,Nic Claxton OVER PA 9.5 (GOBLIN) [id:10175053] | Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508] | GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823] | Bobby Portis OVER PTS 12.5 (DEMON) [id:10166825],0.18911247483662808,20.0,1.0,20.0,3.7822494967325615,20.0,atlas,0.7251052702061793,0.06909163204208461,Nic Claxton OVER PA 9.5 (GOBLIN) [id:10175053] | Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508] | GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823] | Bobby Portis OVER PTS 12.5 (DEMON) [id:10166825],0.01,0.054,0.0006909163204208462,0.06469091632042084,75.58029901833082,"['nic claxton', 'duncan robinson', 'jericho sims', 'gg jackson', 'bobby portis']",1,Nic Claxton OVER PA 9.5 (GOBLIN) [id:10175053],Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219],Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508],GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823],Bobby Portis OVER PTS 12.5 (DEMON) [id:10166825],0,
5,Sam Merrill OVER PA 9.5 (GOBLIN) [id:10173886] | Josh Hart OVER PTS 7.5 (GOBLIN) [id:10172128] | Nolan Traore UNDER PA 15.5 (STANDARD) [id:10175257] | Naji Marshall UNDER PTS 19.5 (STANDARD) [id:10175385] | Ausar Thompson OVER RA 8.5 (DEMON) [id:10173460],0.1890555504672674,20.0,1.0,20.0,3.781111009345348,20.0,atlas,0.7204177298057648,0.07043438524445386,Sam Merrill OVER PA 9.5 (GOBLIN) [id:10173886] | Josh Hart OVER PTS 7.5 (GOBLIN) [id:10172128] | Nolan Traore UNDER PA 15.5 (STANDARD) [id:10175257] | Naji Marshall UNDER PTS 19.5 (STANDARD) [id:10175385] | Ausar Thompson OVER RA 8.5 (DEMON) [id:10173460],0.0,0.096,0.0007043438524445386,0.09670434385244454,75.5255158430545,"['sam merrill', 'josh hart', 'nolan traore', 'naji marshall', 'ausar thompson']",1,Sam Merrill OVER PA 9.5 (GOBLIN) [id:10173886],Josh Hart OVER PTS 7.5 (GOBLIN) [id:10172128],Nolan Traore UNDER PA 15.5 (STANDARD) [id:10175257],Naji Marshall UNDER PTS 19.5 (STANDARD) [id:10175385],Ausar Thompson OVER RA 8.5 (DEMON) [id:10173460],0,
