n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jalen Duren OVER PRA 24.5 (GOBLIN) [id:10173695] | Evan Mobley OVER PRA 19.5 (GOBLIN) [id:10173666] | Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Duncan Robinson OVER PRA 15.5 (STANDARD) [id:10171796] | Jaylon Tyson OVER PRA 19.5 (STANDARD) [id:10173810],0.29554426678444673,20.0,0.45620559863918003,9.1241119727836,2.696578983055521,20.0,pp_kernel,0.7927307269273073,0.07750471330143392,Jalen Duren OVER PRA 24.5 (GOBLIN) [id:10173695] | Evan Mobley OVER PRA 19.5 (GOBLIN) [id:10173666] | Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Duncan Robinson OVER PRA 15.5 (STANDARD) [id:10171796] | Jaylon Tyson OVER PRA 19.5 (STANDARD) [id:10173810],0.05,0.096,0.0007750471330143392,0.14677504713301437,24.45711353772049,"['jalen duren', 'evan mobley', 'cade cunningham', 'duncan robinson', 'jaylon tyson']",24.603888584853504,1,Jalen Duren OVER PRA 24.5 (GOBLIN) [id:10173695],Evan Mobley OVER PRA 19.5 (GOBLIN) [id:10173666],Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218],Duncan Robinson OVER PRA 15.5 (STANDARD) [id:10171796],Jaylon Tyson OVER PRA 19.5 (STANDARD) [id:10173810],0,
5,Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623] | Derrick White OVER REB 2.5 (GOBLIN) [id:10176367] | Paul Reed UNDER PR 14.5 (STANDARD) [id:10171816] | Ronald Holland OVER PR 11.5 (STANDARD) [id:10171824],0.21427454172699276,20.0,0.5212867450513261,10.425734901026523,2.2339695680845724,20.0,pp_kernel,0.7440682285080806,0.07369725484773144,Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623] | Derrick White OVER REB 2.5 (GOBLIN) [id:10176367] | Paul Reed UNDER PR 14.5 (STANDARD) [id:10171816] | Ronald Holland OVER PR 11.5 (STANDARD) [id:10171824],0.09,0.054,0.0007369725484773145,0.1447369725484773,23.146037521261995,"['cade cunningham', 'duncan robinson', 'derrick white', 'paul reed', 'ronald holland']",23.290774493810474,1,Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218],Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623],Derrick White OVER REB 2.5 (GOBLIN) [id:10176367],Paul Reed UNDER PR 14.5 (STANDARD) [id:10171816],Ronald Holland OVER PR 11.5 (STANDARD) [id:10171824],0,
5,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10173661] | Jalen Duren OVER PA 14.5 (GOBLIN) [id:10173689] | Ausar Thompson OVER PTS 8.5 (STANDARD) [id:10171765] | Tobias Harris OVER RA 7 (STANDARD) [id:10171980],0.2174311422451021,20.0,0.5056453371776055,10.11290674355211,2.198860864668731,20.0,pp_kernel,0.7466753324667532,0.06353585630176667,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10173661] | Jalen Duren OVER PA 14.5 (GOBLIN) [id:10173689] | Ausar Thompson OVER PTS 8.5 (STANDARD) [id:10171765] | Tobias Harris OVER RA 7 (STANDARD) [id:10171980],0.05,0.096,0.0006353585630176667,0.14663535856301768,22.090239507878213,"['sam merrill', 'evan mobley', 'jalen duren', 'ausar thompson', 'tobias harris']",22.23687486644123,1,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883],Evan Mobley OVER PR 19.5 (GOBLIN) [id:10173661],Jalen Duren OVER PA 14.5 (GOBLIN) [id:10173689],Ausar Thompson OVER PTS 8.5 (STANDARD) [id:10171765],Tobias Harris OVER RA 7 (STANDARD) [id:10171980],0,
5,Jarrett Allen OVER PR 19.5 (GOBLIN) [id:10173760] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10173661] | Jalen Duren OVER PA 19.5 (STANDARD) [id:10171977] | Javonte Green OVER PRA 7.5 (STANDARD) [id:10179647],0.2044586555812471,20.0,0.5185596176531296,10.371192353062593,2.1204800452816883,20.0,pp_kernel,0.7371403994813015,0.07089172369612,Jarrett Allen OVER PR 19.5 (GOBLIN) [id:10173760] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10173661] | Jalen Duren OVER PA 19.5 (STANDARD) [id:10171977] | Javonte Green OVER PRA 7.5 (STANDARD) [id:10179647],0.02,0.096,0.0007089172369612,0.11670891723696121,21.875197513210306,"['jarrett allen', 'bobby portis', 'evan mobley', 'jalen duren', 'javonte green']",21.99190643044727,1,Jarrett Allen OVER PR 19.5 (GOBLIN) [id:10173760],Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616],Evan Mobley OVER PR 19.5 (GOBLIN) [id:10173661],Jalen Duren OVER PA 19.5 (STANDARD) [id:10171977],Javonte Green OVER PRA 7.5 (STANDARD) [id:10179647],0,
5,Evan Mobley OVER PRA 22.5 (GOBLIN) [id:10173665] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10174689] | Sam Merrill OVER PRA 13.5 (GOBLIN) [id:10178652] | Ronald Holland OVER PRA 12.5 (STANDARD) [id:10179648] | Jalen Duren OVER PA 19.5 (STANDARD) [id:10171977],0.20340516430762218,20.0,0.5180936292436087,10.361872584872174,2.1076583956605703,20.0,pp_kernel,0.7373211883214926,0.07455703132574958,Evan Mobley OVER PRA 22.5 (GOBLIN) [id:10173665] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10174689] | Sam Merrill OVER PRA 13.5 (GOBLIN) [id:10178652] | Ronald Holland OVER PRA 12.5 (STANDARD) [id:10179648] | Jalen Duren OVER PA 19.5 (STANDARD) [id:10171977],0.02,0.054,0.0007455703132574958,0.07474557031325749,21.764542177957672,"['evan mobley', 'payton pritchard', 'sam merrill', 'ronald holland', 'jalen duren']",21.83928774827093,1,Evan Mobley OVER PRA 22.5 (GOBLIN) [id:10173665],Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10174689],Sam Merrill OVER PRA 13.5 (GOBLIN) [id:10178652],Ronald Holland OVER PRA 12.5 (STANDARD) [id:10179648],Jalen Duren OVER PA 19.5 (STANDARD) [id:10171977],0,
5,Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905] | Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968] | Ronald Holland OVER PR 11.5 (STANDARD) [id:10171824],0.21806087539863234,20.0,0.48662414511572494,9.732482902314498,2.1222737414809214,20.0,pp_kernel,0.7437298292384724,0.05684319633511873,Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905] | Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968] | Ronald Holland OVER PR 11.5 (STANDARD) [id:10171824],0.01,0.096,0.0005684319633511873,0.10656843196335118,20.548424471030735,"['bobby portis', 'cam spencer', 'scotty pippen', 'jaylon tyson', 'ronald holland']",20.654992902994085,1,Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616],Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397],Scotty Pippen OVER PTS 7.5 (GOBLIN) [id:10177905],Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968],Ronald Holland OVER PR 11.5 (STANDARD) [id:10171824],0,
5,Sam Merrill OVER PRA 13.5 (GOBLIN) [id:10178652] | Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10171342] | Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968] | Ausar Thompson OVER PTS 8.5 (STANDARD) [id:10171765],0.21382966594334224,20.0,0.4779704847163042,9.559409694326085,2.0440853815532942,20.0,pp_kernel,0.7406365160003325,0.06545105345190733,Sam Merrill OVER PRA 13.5 (GOBLIN) [id:10178652] | Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10171342] | Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968] | Ausar Thompson OVER PTS 8.5 (STANDARD) [id:10171765],0.02,0.096,0.0006545105345190733,0.11665451053451908,19.423595101916277,"['sam merrill', 'duncan robinson', 'shai gilgeous-alexander', 'jaylon tyson', 'ausar thompson']",19.540249612450797,1,Sam Merrill OVER PRA 13.5 (GOBLIN) [id:10178652],Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219],Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10171342],Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968],Ausar Thompson OVER PTS 8.5 (STANDARD) [id:10171765],0,
5,Jaylon Tyson OVER PRA 18.5 (GOBLIN) [id:10173809] | Noah Clowney OVER PTS 7.5 (GOBLIN) [id:10175312] | Cade Cunningham OVER AST 7.5 (GOBLIN) [id:10171775] | Javonte Green OVER PRA 7.5 (STANDARD) [id:10179647] | Ronald Holland OVER RA 4.5 (STANDARD) [id:10174133],0.19798289664922056,20.0,0.48674072447437866,9.734814489487572,1.927326770971553,20.0,pp_kernel,0.7268007750020047,0.064851856485494,Jaylon Tyson OVER PRA 18.5 (GOBLIN) [id:10173809] | Noah Clowney OVER PTS 7.5 (GOBLIN) [id:10175312] | Cade Cunningham OVER AST 7.5 (GOBLIN) [id:10171775] | Javonte Green OVER PRA 7.5 (STANDARD) [id:10179647] | Ronald Holland OVER RA 4.5 (STANDARD) [id:10174133],0.04,0.096,0.0006485185648549401,0.13664851856485494,18.625520057466314,"['jaylon tyson', 'noah clowney', 'cade cunningham', 'javonte green', 'ronald holland']",18.76216857603117,1,Jaylon Tyson OVER PRA 18.5 (GOBLIN) [id:10173809],Noah Clowney OVER PTS 7.5 (GOBLIN) [id:10175312],Cade Cunningham OVER AST 7.5 (GOBLIN) [id:10171775],Javonte Green OVER PRA 7.5 (STANDARD) [id:10179647],Ronald Holland OVER RA 4.5 (STANDARD) [id:10174133],0,
5,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623] | Tim Hardaway OVER PTS 8.5 (GOBLIN) [id:10177112] | Kevin Porter UNDER PTS 19.5 (STANDARD) [id:10166416] | Cade Cunningham OVER RA 15.5 (STANDARD) [id:10174235],0.20886399825310847,20.0,0.4663056334262132,9.326112668524264,1.9478891801069447,20.0,pp_kernel,0.7386556039928605,0.05809710228911902,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623] | Tim Hardaway OVER PTS 8.5 (GOBLIN) [id:10177112] | Kevin Porter UNDER PTS 19.5 (STANDARD) [id:10166416] | Cade Cunningham OVER RA 15.5 (STANDARD) [id:10174235],0.01,0.096,0.0005809710228911901,0.10658097102289119,18.059652988453827,"['cam spencer', 'duncan robinson', 'tim hardaway', 'kevin porter', 'cade cunningham']",18.166233959476717,1,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397],Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10173623],Tim Hardaway OVER PTS 8.5 (GOBLIN) [id:10177112],Kevin Porter UNDER PTS 19.5 (STANDARD) [id:10166416],Cade Cunningham OVER RA 15.5 (STANDARD) [id:10174235],0,
5,Josh Hart OVER PR 14.5 (GOBLIN) [id:10172134] | Shai Gilgeous-Alexander OVER PA 29.5 (GOBLIN) [id:10174907] | Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10174223] | Sam Merrill OVER PRA 16.5 (STANDARD) [id:10173895] | Ausar Thompson OVER PR 14.5 (STANDARD) [id:10171767],0.16868881569763583,20.0,0.5164823460101634,10.329646920203269,1.7424959055438207,20.0,pp_kernel,0.7049809337336316,0.06630414720407209,Josh Hart OVER PR 14.5 (GOBLIN) [id:10172134] | Shai Gilgeous-Alexander OVER PA 29.5 (GOBLIN) [id:10174907] | Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10174223] | Sam Merrill OVER PRA 16.5 (STANDARD) [id:10173895] | Ausar Thompson OVER PR 14.5 (STANDARD) [id:10171767],0.0,0.096,0.0006630414720407209,0.09666304147204072,17.902704422695493,"['josh hart', 'shai gilgeous-alexander', 'tim hardaway', 'sam merrill', 'ausar thompson']",17.999367464167534,1,Josh Hart OVER PR 14.5 (GOBLIN) [id:10172134],Shai Gilgeous-Alexander OVER PA 29.5 (GOBLIN) [id:10174907],Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10174223],Sam Merrill OVER PRA 16.5 (STANDARD) [id:10173895],Ausar Thompson OVER PR 14.5 (STANDARD) [id:10171767],0,
